https://docs.google.com/spreadsheets/d/1Qy3el1DFIpxtm3-VIAdZlBmEHual1CU39oB_urGxiyI/edit#gid=508940504,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60,n処理終了,,,,,,,,,,,,,,,,,d08_import_license_datas,完了,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
施設名,施設-住所1,施設-住所0,施設-住所2,施設-マンション名,施設-電話番号1,業種,,申請者1,申請者2,申請-住所0,申請-住所1,申請-マンション名,申請-電話番号1,開業年月日,許可年月日,申請区分,確認番号,ここまで,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
洋菓子　Ｈａｋｕ,石川県,白山市鶴来本町二丁目ワ３７番地,白山市鶴来本町２丁目ワ３７番地,,,菓子製造業,,徳田印刷株式会社,徳田雅美,金沢市土清水１丁目３１０番地,金沢市土清水１丁目３１０番地,,,2021.10.25,2021.10.25,新規,第63210253号,,218,洋菓子　Ｈａｋｕ,076,,,,,石川県　白山市鶴来本町２丁目ワ３７番地,石川県白山市鶴来本町２丁目ワ３７番地,,96345,17,17210,鶴来本町２,,2021/10/25,2021/10/25,,,徳田印刷株式会社,徳田雅美,,金沢市土清水１丁目３１０番地,石川県金沢市土清水１丁目３１０番地,,94863,石川県,金沢市,土清水１,第63210253号,新規,菓子製造業,,,,217-220_石川県_石川県一括_食品衛生(許可)_2021年09月-2022年01月_末日_新規、廃止(6)‗石川中央,E,9,,,洋菓子Ｈａｋｕ9634517210,60aaaa35-a93f-459d-afdd-8e36683b7712,徳田印刷株式会社94863,7eaa8d52-7f07-474e-a51a-f28bba7aab58,0129011f-ba57-4ba6-b0f0-615448a3ca6d,2021/10/25,洋菓子　Ｈａｋｕ,洋菓子Ｈａｋｕ,徳田印刷株式会社
銀のさら野々市店,石川県,野々市市御経塚4丁目88番地,野々市市御経塚４丁目８８番地,,,飲食店営業,,株式会社ＦｉｅｌｄＳｔｏｎｅ,石野浩平,小松市大川町３丁目１３４番地,小松市大川町３丁目１３４番地,,,2021.10.27,2021.10.27,新規,第63210254号,,218,銀のさら野々市店,076,,,,,石川県　野々市市御経塚４丁目８８番地,石川県野々市市御経塚４丁目８８番地,,96644,17,17212,御経塚４,,2021/10/27,2021/10/27,,,株式会社ＦｉｅｌｄＳｔｏｎｅ,石野浩平,,小松市大川町３丁目１３４番地,石川県小松市大川町３丁目１３４番地,,95239,石川県,小松市,大川町３,第63210254号,新規,飲食店営業,,,,217-220_石川県_石川県一括_食品衛生(許可)_2021年09月-2022年01月_末日_新規、廃止(6)‗石川中央,M,76,,,銀のさら野市店9664417212,6e3e3b5c-3b0c-476a-b43d-30ee9adb4848,株式会社ＦｉｅｌｄＳｔｏｎｅ95239,3ee4598f-dbca-4ff3-bfeb-23343bfc22ca,b986310e-1869-44da-954a-82b950cac017,2021/10/27,銀のさら野々市店,銀のさら野市店,株式会社ＦｉｅｌｄＳｔｏｎｅ
有限会社得田食品,石川県,白山市安田町29-1,白山市安田町２９－１,,,豆腐製造業,,有限会社得田食品,松井隆典,白山市安田町29-1,白山市安田町２９－１,,076-275-0156,2021.11.1,2021.11.1,新規,第63210255号,,218,有限会社得田食品,076,,,,,石川県　白山市安田町２９－１,石川県白山市安田町２９－１,,96481,17,17210,安田町,,2021/11/01,2021/11/01,,,有限会社得田食品,松井隆典,076-275-0156,白山市安田町２９－１,石川県白山市安田町２９－１,,96481,石川県,白山市,安田町,第63210255号,新規,豆腐製造業,,,,217-220_石川県_石川県一括_食品衛生(許可)_2021年09月-2022年01月_末日_新規、廃止(6)‗石川中央,E,9,,,有限会社得田食品9648117210,55dcd3b4-9d7f-432f-9e01-6e7b38afc4e1,有限会社得田食品96481,842a60f9-8920-41ac-8cd5-04b08cd31d03,7e20e248-30c0-4884-bef3-fa56b8248214,2021/11/01,有限会社得田食品,有限会社得田食品,有限会社得田食品
歌謡サロン　SONGS,石川県,白山市安養寺町ト16-1,白山市安養寺町ト１６－１,,,飲食店営業,,前田敦子,,,,,,2021.11.1,2021.11.1,新規,第63210256号,,218,歌謡サロン　SONGS,076,,,,,石川県　白山市安養寺町ト１６－１,石川県白山市安養寺町ト１６－１,,96200,17,17210,安養寺町,,2021/11/01,2021/11/01,,,,前田敦子 ,,,,,,,,,第63210256号,新規,飲食店営業,,,,217-220_石川県_石川県一括_食品衛生(許可)_2021年09月-2022年01月_末日_新規、廃止(6)‗石川中央,M,76,,,歌謡サロンＳＯＮＧＳ9620017210,413d61ae-80c0-4707-8c53-84f3cd2e51fb,,personal,faf0cd3d-83c3-4680-9bfa-19483316a620,2021/11/01,歌謡サロン　ＳＯＮＧＳ,歌謡サロンＳＯＮＧＳ,
スミヤ精肉店,石川県,白山市井関町ヌ５１－１０,白山市井関町ヌ５１－１０,,076-278-3337,食肉販売業,,有限会社スミヤ,角田俊則,白山市井関町ヌ51－10,白山市井関町ヌ５１－１０,,076-278-3337,2021.11.1,2021.11.1,新規,第63210257号,,218,スミヤ精肉店,076,076-278-3337,,,,石川県　白山市井関町ヌ５１－１０,石川県白山市井関町ヌ５１－１０,,96204,17,17210,井関町,,2021/11/01,2021/11/01,,,有限会社スミヤ,角田俊則,076-278-3337,白山市井関町ヌ５１－１０,石川県白山市井関町ヌ５１－１０,,96204,石川県,白山市,井関町,第63210257号,新規,食肉販売業,,,,217-220_石川県_石川県一括_食品衛生(許可)_2021年09月-2022年01月_末日_新規、廃止(6)‗石川中央,I,58,583,,スミヤ精肉店076-278-33379620417210,77cf68bf-a643-4280-9244-6d382547bd6f,有限会社スミヤ96204,3ed8bbcf-51d6-44d1-bc1f-1c6cb222e083,0fb0fb68-764f-4fe3-9011-4989cf811ef5,2021/11/01,スミヤ精肉店,スミヤ精肉店,有限会社スミヤ
スミヤ精肉店,石川県,白山市井関町ヌ５１－１０,白山市井関町ヌ５１－１０,,076-278-3337,そうざい製造業,,有限会社スミヤ,角田俊則,白山市井関町ヌ51－10,白山市井関町ヌ５１－１０,,076-278-3337,2021.11.1,2021.11.1,新規,第63210258号,,218,スミヤ精肉店,076,076-278-3337,,,,石川県　白山市井関町ヌ５１－１０,石川県白山市井関町ヌ５１－１０,,96204,17,17210,井関町,,2021/11/01,2021/11/01,,,有限会社スミヤ,角田俊則,076-278-3337,白山市井関町ヌ５１－１０,石川県白山市井関町ヌ５１－１０,,96204,石川県,白山市,井関町,第63210258号,新規,そうざい製造業,,,,217-220_石川県_石川県一括_食品衛生(許可)_2021年09月-2022年01月_末日_新規、廃止(6)‗石川中央,E,9,,,スミヤ精肉店076-278-33379620417210,77cf68bf-a643-4280-9244-6d382547bd6f,有限会社スミヤ96204,3ed8bbcf-51d6-44d1-bc1f-1c6cb222e083,832abb34-0ef2-49e2-a9e6-8b767c16df1e,2021/11/01,スミヤ精肉店,スミヤ精肉店,有限会社スミヤ
き太ろう,石川県,白山市井口町い９６番地,白山市井口町い９６番地,,,飲食店営業,,北村芳子,,,,,,2021.11.1,2021.11.1,新規,第63210259号,,218,き太ろう,076,,,,,石川県　白山市井口町い９６番地,石川県白山市井口町い９６番地,,96208,17,17210,井口町,,2021/11/01,2021/11/01,,,,北村芳子 ,,,,,,,,,第63210259号,新規,飲食店営業,,,,217-220_石川県_石川県一括_食品衛生(許可)_2021年09月-2022年01月_末日_新規、廃止(6)‗石川中央,M,76,,,き太ろう9620817210,a5d27d67-ae0a-4a9f-9de5-3ce772ccbf67,,personal,785287a8-8d3a-4017-a73c-380bfe07e119,2021/11/01,き太ろう,き太ろう,
カレーのチャンピオン松任店,石川県,白山市若宮3丁目77番1,白山市若宮３丁目７７番１,,,飲食店営業,,森憲治,,,,,,2021.11.1,2021.11.1,新規,第63210260号,,218,カレーのチャンピオン松任店,076,,,,,石川県　白山市若宮３丁目７７番１,石川県白山市若宮３丁目７７番１,,96509,17,17210,若宮３,,2021/11/01,2021/11/01,,,,森憲治 ,,,,,,,,,第63210260号,新規,飲食店営業,,,,217-220_石川県_石川県一括_食品衛生(許可)_2021年09月-2022年01月_末日_新規、廃止(6)‗石川中央,M,76,,,カレのチャンピオン松任店9650917210,8d264158-19d4-4201-a36c-16b0b7369d9b,,personal,b15a62bb-e4dc-4ef7-a9f9-cbb517ec3af1,2021/11/01,カレーのチャンピオン松任店,カレのチャンピオン松任店,
石焼ステーキ贅石川白山店,石川県,白山市倉光6丁目46番地ラスパ白山敷地内,白山市倉光６丁目４６番地,ラスパ白山敷地内,076-259-1129,飲食店営業,,株式会社サルーン,石丸進,新潟県三条市石上１丁目４番１２号,新潟県三条市石上１丁目４番１２号,,0256-35-5717,2021.11.1,2021.11.1,新規,第63210261号,,218,石焼ステーキ贅石川白山店,076,076-259-1129,,,,石川県　白山市倉光６丁目４６番地,石川県白山市倉光６丁目４６番地,ラスパ白山敷地内,96260,17,17210,倉光６,,2021/11/01,2021/11/01,,,株式会社サルーン,石丸進,0256-35-5717,新潟県三条市石上１丁目４番１２号,新潟県三条市石上１丁目４番１２号,,86009,新潟県,三条市,石上１,第63210261号,新規,飲食店営業,,,,217-220_石川県_石川県一括_食品衛生(許可)_2021年09月-2022年01月_末日_新規、廃止(6)‗石川中央,M,76,,,石焼ステキ贅石川白山店076-259-11299626017210,c2935f63-ec73-46f3-acfd-6ce197e2cb99,株式会社サルーン86009,42ac1e49-be23-4fa2-b651-42ce6123138d,cf6f54f6-4d76-4038-a01a-0ac0c2174b17,2021/11/01,石焼ステーキ贅石川白山店,石焼ステキ贅石川白山店,株式会社サルーン
カラオケ喫茶　なな,石川県,白山市大竹町１,白山市大竹町１,,,飲食店営業,,柴山みどり,,,,,,2021.11.1,2021.11.1,新規,第63210262号,,218,カラオケ喫茶　なな,076,,,,,石川県　白山市大竹町１,石川県白山市大竹町１,,96212,17,17210,大竹町,,2021/11/01,2021/11/01,,,,柴山みどり ,,,,,,,,,第63210262号,新規,飲食店営業,,,,217-220_石川県_石川県一括_食品衛生(許可)_2021年09月-2022年01月_末日_新規、廃止(6)‗石川中央,M,76,,,カラオケ喫茶なな9621217210,b3c0c6cb-f02e-4775-a66c-c79586463c80,,personal,605431f2-bb89-4821-a478-3b3240f2a669,2021/11/01,カラオケ喫茶　なな,カラオケ喫茶なな,
ファミリーマート白山中町店,石川県,白山市中町49番地1,白山市中町４９番地１,,,飲食店営業,,堅田孝代,,,,,,2021.11.1,2021.11.1,新規,第63210263号,,218,ファミリーマート白山中町店,076,,,,,石川県　白山市中町４９番地１,石川県白山市中町４９番地１,,96366,17,17210,中町,,2021/11/01,2021/11/01,,,,堅田孝代 ,,,,,,,,,第63210263号,新規,飲食店営業,,,,217-220_石川県_石川県一括_食品衛生(許可)_2021年09月-2022年01月_末日_新規、廃止(6)‗石川中央,M,76,,,ファミリマト白山中町店9636617210,21ad2ed8-aaf1-43e4-86aa-96e36ad412f2,,personal,db5bc609-eadc-4236-bab7-411cf055a6b8,2021/11/01,ファミリーマート白山中町店,ファミリマト白山中町店,
焼肉チキチキ,石川県,白山市徳丸町81-1,白山市徳丸町８１－１,,,飲食店営業,,村田雅司,,,,,,2021.11.1,2021.11.1,新規,第63210264号,,218,焼肉チキチキ,076,,,,,石川県　白山市徳丸町８１－１,石川県白山市徳丸町８１－１,,96356,17,17210,徳丸町,,2021/11/01,2021/11/01,,,,村田雅司 ,,,,,,,,,第63210264号,新規,飲食店営業,,,,217-220_石川県_石川県一括_食品衛生(許可)_2021年09月-2022年01月_末日_新規、廃止(6)‗石川中央,M,76,,,焼肉チキチキ9635617210,14f4dbd7-3899-4791-89f2-dcb2ef5e1a62,,personal,3fcd22be-7ed1-4d0d-bdd0-4478674f3b52,2021/11/01,焼肉チキチキ,焼肉チキチキ,
みのすけ,石川県,白山市白峰ロ168,白山市白峰ロ１６８,,,飲食店営業,,山田まき子,,,,,,2021.11.1,2021.11.1,新規,第63210265号,,218,みのすけ,076,,,,,石川県　白山市白峰ロ１６８,石川県白山市白峰ロ１６８,,96290,17,17210,白峰,,2021/11/01,2021/11/01,,,,山田まき子 ,,,,,,,,,第63210265号,新規,飲食店営業,,,,217-220_石川県_石川県一括_食品衛生(許可)_2021年09月-2022年01月_末日_新規、廃止(6)‗石川中央,M,76,,,みのすけ9629017210,bb39e3ef-35eb-4828-9d67-935993d8de64,,personal,63cfbed8-6c66-471b-ab69-4ada4fb99d5d,2021/11/01,みのすけ,みのすけ,
お菓子の工房　クルトン,石川県,白山市八ツ矢町620,白山市八ツ矢町６２０,,,菓子製造業,,武田清明,,,,,,2021.11.1,2021.11.1,新規,第63210266号,,218,お菓子の工房　クルトン,076,,,,,石川県　白山市八ツ矢町６２０,石川県白山市八ツ矢町６２０,,96487,17,17210,八ツ矢町,,2021/11/01,2021/11/01,,,,武田清明 ,,,,,,,,,第63210266号,新規,菓子製造業,,,,217-220_石川県_石川県一括_食品衛生(許可)_2021年09月-2022年01月_末日_新規、廃止(6)‗石川中央,E,9,,,お菓子の工房クルトン9648717210,83d6147e-a5dc-4594-9fe7-367ef3278eda,,personal,1e4cef83-4ae8-4447-98f4-250c63d06262,2021/11/01,お菓子の工房　クルトン,お菓子の工房クルトン,
白山お宿・そば処　さかい,石川県,白山市八幡町ル110,白山市八幡町ル１１０,,,飲食店営業,,酒井進,,,,,,2021.11.1,2021.11.1,新規,第63210267号,,218,白山お宿・そば処　さかい,076,,,,,石川県　白山市八幡町ル１１０,石川県白山市八幡町ル１１０,,96489,17,17210,八幡町,,2021/11/01,2021/11/01,,,,酒井進 ,,,,,,,,,第63210267号,新規,飲食店営業,,,,217-220_石川県_石川県一括_食品衛生(許可)_2021年09月-2022年01月_末日_新規、廃止(6)‗石川中央,M,76,,,白山お宿そば処さかい9648917210,31bb5f4a-f83f-4474-b765-e9f430346f6b,,personal,74685111-c64d-431e-a265-4dff223e3b57,2021/11/01,白山お宿・そば処　さかい,白山お宿そば処さかい,
ひだまり,石川県,白山市八幡町ル114,白山市八幡町ル１１４,,,飲食店営業,,藤部房男,,,,,,2021.11.1,2021.11.1,新規,第63210268号,,218,ひだまり,076,,,,,石川県　白山市八幡町ル１１４,石川県白山市八幡町ル１１４,,96489,17,17210,八幡町,,2021/11/01,2021/11/01,,,,藤部房男 ,,,,,,,,,第63210268号,新規,飲食店営業,,,,217-220_石川県_石川県一括_食品衛生(許可)_2021年09月-2022年01月_末日_新規、廃止(6)‗石川中央,M,76,,,ひだまり9648917210,0dbd7b29-5c4f-4648-a2eb-d0b3e12883a2,,personal,07bfc970-759f-4104-93f7-13b91cddd42c,2021/11/01,ひだまり,ひだまり,
yahataすしべん 福留店,石川県,白山市福留町570-2,白山市福留町５７０－２,,0767-22-0808,飲食店営業,,株式会社八幡,久保圭子,羽咋市兵庫町午10番地,羽咋市兵庫町午１０番地,,0767-22-0808,2021.11.1,2021.11.1,新規,第63210269号,,218,yahataすしべん 福留店,076,0767-22-0808,,,,石川県　白山市福留町５７０－２,石川県白山市福留町５７０－２,,96414,17,17210,福留町,,2021/11/01,2021/11/01,,,株式会社八幡,久保圭子,0767-22-0808,羽咋市兵庫町午１０番地,石川県羽咋市兵庫町午１０番地,,96102,石川県,羽咋市,兵庫町,第63210269号,新規,飲食店営業,,,,217-220_石川県_石川県一括_食品衛生(許可)_2021年09月-2022年01月_末日_新規、廃止(6)‗石川中央,M,76,,,ｙａｈａｔａすしべん福留店0767-22-08089641417210,4340f820-7e81-4a62-91e0-6a909bc0abbf,株式会社八幡96102,0ac3f9a8-0203-44e2-81f6-eebf97e5ae25,5d4e2671-b061-4893-8674-11ad08344c82,2021/11/01,ｙａｈａｔａすしべん　福留店,ｙａｈａｔａすしべん福留店,株式会社八幡
麺房廣見,石川県,白山市平松町102番地1イオン松任スナックプラザ内,白山市平松町１０２番地１,イオン松任スナックプラザ内,,飲食店営業,,有限会社麺房廣見,廣見多介央,能美市大成町ロ51,能美市大成町ロ５１,,0761-55-0254,2021.11.1,2021.11.1,新規,第63210270号,,218,麺房廣見,076,,,,,石川県　白山市平松町１０２番地１,石川県白山市平松町１０２番地１,イオン松任スナックプラザ内,96408,17,17210,平松町,,2021/11/01,2021/11/01,,,有限会社麺房廣見,廣見多介央,0761-55-0254,能美市大成町ロ５１,石川県能美市大成町ロ５１,,96559,石川県,能美市,大成町,第63210270号,新規,飲食店営業,,,,217-220_石川県_石川県一括_食品衛生(許可)_2021年09月-2022年01月_末日_新規、廃止(6)‗石川中央,M,76,,,麺房廣見9640817210,d60ef086-5f4a-49e2-8d91-d59ced47e4a6,有限会社麺房廣見96559,f0adf074-363c-4cad-bc00-a1b84359cacf,dd30878b-54a9-45bc-9630-00abe52b7285,2021/11/01,麺房廣見,麺房廣見,有限会社麺房廣見
