https://docs.google.com/spreadsheets/d/1Qy3el1DFIpxtm3-VIAdZlBmEHual1CU39oB_urGxiyI/edit#gid=508940504,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60,n処理終了,,,,,,,,,,,,,,,,,d08_import_license_datas,完了,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
施設名,施設-住所1,施設-住所0,施設-住所2,施設-マンション名,施設-電話番号1,業種,,申請者1,申請者2,申請-住所0,申請-住所1,申請-マンション名,申請-電話番号1,開業年月日,許可年月日,申請区分,確認番号,ここまで,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
屋　　号,,営業所所在地,,,"営業所
電話番号",業　　種,,"営業者名
(申請者氏名)","営業者名
(法人の代表者氏名)","営業者
住所(所在地)",,,"営業者
電話番号","初回の
許可年月日","最新の
許可年月日","新規か
継続か",許可番号,,管轄保健所,名称,市外局番,電話番号,施設の郵便番号,緯度,経度,施設の住所（元住所）,施設の住所（整備）,施設マンション名,施設-住所コード,施設-都道府県,施設-郡・政令市・市区町村名,施設-大字名・字名,申請年月日,開業年月日,許可年月日,許可期間開始日,許可期間終了日,申請法人,申請者氏名(個人名),申請者（開設者）の電話番号,申請者の住所（元住所）,申請者の住所（整備）,申請マンション名,申請-住所コード,申請-都道府県,申請-郡・政令市・市区町村名,申請-大字名・字名,確認番号,申請区分,業種,業態,その他,法人番号,シート名,産業分類大,産業分類中,産業分類小,産業分類詳細,facility_idを識別するための文字列,店舗コード,company_idを識別するための文字列,法人コード,ライセンスコード,検索用日付,整備名称,整備名称2,整備申請法人
ふがく堂,石川県,野々市市本町3丁目8-9,野々市市本町３丁目８－９,,076-256-3466,飲食店営業,,松尾博行,,,,,,2021.10.1,2021.10.1,新規,第63210238号,,218,ふがく堂,076,076-256-3466,,,,石川県　野々市市本町３丁目８－９,石川県野々市市本町３丁目８－９,,96715,17,17212,本町３,,2021/10/01,2021/10/01,,,,松尾博行 ,,,,,,,,,第63210238号,新規,飲食店営業,,,,217-220_石川県_石川県一括_食品衛生(許可)_2021年09月-2022年01月_末日_新規、廃止(6)‗石川中央,M,76,,,ふがく堂076-256-34669671517212,1976c444-6701-4664-9b70-67d19efbcf28,,personal,e0c5004c-b882-418a-a80c-0aca641380a1,2021/10/01,ふがく堂,ふがく堂,
ドミノ・ピザ　松任店,石川県,白山市幸明町239-1,白山市幸明町２３９－１,,,飲食店営業,,株式会社ドミノ・ピザジャパン,キリムニックジョシュア・ピーター,東京都千代田区岩本町一丁目10番3号　紀繁ビル,東京都千代田区岩本町１丁目１０番３号, 紀繁ビル,03-5820-3794,2021.10.5,2021.10.5,新規,第63210240号,,218,ドミノ・ピザ　松任店,076,,,,,石川県　白山市幸明町２３９－１,石川県白山市幸明町２３９－１,,96272,17,17210,幸明町,,2021/10/05,2021/10/05,,,株式会社ドミノ・ピザジャパン,キリムニックジョシュア・ピーター,03-5820-3794,東京都千代田区岩本町１丁目１０番３号,東京都千代田区岩本町１丁目１０番３号, 紀繁ビル,72830,東京都,千代田区,岩本町１,第63210240号,新規,飲食店営業,,,,217-220_石川県_石川県一括_食品衛生(許可)_2021年09月-2022年01月_末日_新規、廃止(6)‗石川中央,M,76,,,ドミノピザ松任店9627217210,c694e7a0-8586-40dd-a925-a08a7b8bca01,株式会社ドミノ・ピザジャパン72830,d30338f2-d9a6-41de-b849-510ab1c04af5,81f6a629-67dd-4ee9-b6f3-21714f36184e,2021/10/05,ドミノ・ピザ　松任店,ドミノピザ松任店,株式会社ドミノ・ピザジャパン
かあちゃんの駅カフェ,石川県,白山市河原山町ニ20番地3サイクルステーション白山下,白山市河原山町ニ２０番地３,サイクルステーション白山下,,飲食店営業,,株式会社ＬＯＤＵ,島田高行,野々市市本町２丁目１番２１号,野々市市本町２丁目１番２１号,,,2021.10.6,2021.10.6,新規,第63210241号,,218,かあちゃんの駅カフェ,076,,,,,石川県　白山市河原山町ニ２０番地３,石川県白山市河原山町ニ２０番地３,サイクルステーション白山下,96249,17,17210,河原山町,,2021/10/06,2021/10/06,,,株式会社ＬＯＤＵ,島田高行,,野々市市本町２丁目１番２１号,石川県野々市市本町２丁目１番２１号,,96714,石川県,野々市市,本町２,第63210241号,新規,飲食店営業,,,,217-220_石川県_石川県一括_食品衛生(許可)_2021年09月-2022年01月_末日_新規、廃止(6)‗石川中央,M,76,,,かあちゃんの駅カフェ9624917210,fa9023e3-141a-4283-9607-917c9f81edc3,株式会社ＬＯＤＵ96714,c36cdef7-c79f-49d9-9ebb-1a050e59105d,84dc5b98-d447-4221-a35a-1926910ad57d,2021/10/06,かあちゃんの駅カフェ,かあちゃんの駅カフェ,株式会社ＬＯＤＵ
麵屋達　松任店,石川県,白山市宮永町429-2麵屋達松任店　製麺所,白山市宮永町４２９－２,麵屋達松任店 製麺所,,麺類製造業,,麺達フーズ株式会社,齊藤達雄,金沢市中橋町１１番１３号,金沢市中橋町１１番１３号,,076-234-3340,2021.10.6,2021.10.6,新規,第63210242号,,218,麵屋達　松任店,076,,,,,石川県　白山市宮永町４２９－２,石川県白山市宮永町４２９－２,麵屋達松任店 製麺所,96463,17,17210,宮永町,,2021/10/06,2021/10/06,,,麺達フーズ株式会社,齊藤達雄,076-234-3340,金沢市中橋町１１番１３号,石川県金沢市中橋町１１番１３号,,94503,石川県,金沢市,中橋町,第63210242号,新規,麺類製造業,,,,217-220_石川県_石川県一括_食品衛生(許可)_2021年09月-2022年01月_末日_新規、廃止(6)‗石川中央,E,9,,,麵屋達松任店9646317210,cd916621-de75-4e3f-a178-4dbf5d4a89b9,麺達フーズ株式会社94503,0c975b1f-02fd-4ce1-8f97-2aeabdc19160,7f2aeb7c-3d78-4ed8-90a8-6951c64e0e64,2021/10/06,麵屋達　松任店,麵屋達松任店,麺達フーズ株式会社
米粉菓子　みと,石川県,白山市鶴来水戸町3丁目123番地,白山市鶴来水戸町３丁目１２３番地,,,飲食店営業,,前多薫,,,,,,2021.10.8,2021.10.8,新規,第63210243号,,218,米粉菓子　みと,076,,,,,石川県　白山市鶴来水戸町３丁目１２３番地,石川県白山市鶴来水戸町３丁目１２３番地,,96350,17,17210,鶴来水戸町３,,2021/10/08,2021/10/08,,,,前多薫 ,,,,,,,,,第63210243号,新規,飲食店営業,,,,217-220_石川県_石川県一括_食品衛生(許可)_2021年09月-2022年01月_末日_新規、廃止(6)‗石川中央,M,76,,,米粉菓子みと9635017210,3d6df76c-0fda-403b-b911-ddfd07e1db1f,,personal,6aebfd8f-4742-45e4-bc6f-c1dc9ee9f3c4,2021/10/08,米粉菓子　みと,米粉菓子みと,
米粉菓子　みと,石川県,白山市鶴来水戸町3丁目123番地,白山市鶴来水戸町３丁目１２３番地,,,菓子製造業,,前多薫,,,,,,2021.10.8,2021.10.8,新規,第63210245号,,218,米粉菓子　みと,076,,,,,石川県　白山市鶴来水戸町３丁目１２３番地,石川県白山市鶴来水戸町３丁目１２３番地,,96350,17,17210,鶴来水戸町３,,2021/10/08,2021/10/08,,,,前多薫 ,,,,,,,,,第63210245号,新規,菓子製造業,,,,217-220_石川県_石川県一括_食品衛生(許可)_2021年09月-2022年01月_末日_新規、廃止(6)‗石川中央,E,9,,,米粉菓子みと9635017210,3d6df76c-0fda-403b-b911-ddfd07e1db1f,,personal,72d417ef-c2b5-424a-b19c-267a48e02bfc,2021/10/08,米粉菓子　みと,米粉菓子みと,
石川県立翠星高等学校,石川県,白山市三浦町500-1,白山市三浦町５００－１,,076-275-1144,漬物製造業,,石川県,谷本正憲,金沢市鞍月1丁目1番地,金沢市鞍月１丁目１番地,,076-225-1111,2021.10.19,2021.10.19,新規,第63210250号,,218,石川県立翠星高等学校,076,076-275-1144,,,,石川県　白山市三浦町５００－１,石川県白山市三浦町５００－１,,96434,17,17210,三浦町,,2021/10/19,2021/10/19,,,石川県,谷本正憲,076-225-1111,金沢市鞍月１丁目１番地,石川県金沢市鞍月１丁目１番地,,94904,石川県,金沢市,鞍月１,第63210250号,新規,漬物製造業,,,,217-220_石川県_石川県一括_食品衛生(許可)_2021年09月-2022年01月_末日_新規、廃止(6)‗石川中央,E,9,,,石川県立翠星高等学校076-275-11449643417210,9340c11f-28ea-4d6e-8531-7f952c310b48,94904,personal,a07cd519-1961-40d0-9ece-82c026cf2fbd,2021/10/19,石川県立翠星高等学校,石川県立翠星高等学校,石川県
８番らーめん　横江店,石川県,白山市横江町土地区画整理事業施行地区内5街区12番地 ,白山市横江町土地区画整理事業施行地区内５街区１２番地 ,,,飲食店営業,,株式会社emyu,小原勇哉,白山市横江町土地区画整理地区内5街区12番地,白山市横江町土地区画整理地区内５街区１２番地,,076-227-8883,2021.10.20,2021.10.20,新規,第63210251号,,218,８番らーめん　横江店,076,,,,,石川県　白山市横江町土地区画整理事業施行地区内５街区１２番地 ,石川県白山市横江町土地区画整理事業施行地区内５街区１２番地,,96497,17,17210,横江町,,2021/10/20,2021/10/20,,,株式会社emyu,小原勇哉,076-227-8883,白山市横江町土地区画整理地区内５街区１２番地,石川県白山市横江町土地区画整理地区内５街区１２番地,,96497,石川県,白山市,横江町,第63210251号,新規,飲食店営業,,,,217-220_石川県_石川県一括_食品衛生(許可)_2021年09月-2022年01月_末日_新規、廃止(6)‗石川中央,M,76,,,８番らめん横江店9649717210,9337fa31-b557-45b1-aa62-acac4d551352,株式会社ｅｍｙｕ96497,993226af-066a-4325-bd75-8440749d1f9c,668e161b-7b64-4bc1-8cb8-e556608c8b66,2021/10/20,８番らーめん　横江店,８番らめん横江店,株式会社ｅｍｙｕ
タマルバー+,石川県,白山市鶴来日詰町カ１５７－３,白山市鶴来日詰町カ１５７－３,,,飲食店営業,,沖野未知也,,,,,,2021.10.20,2021.10.20,新規,第63210252号,,218,タマルバー+,076,,,,,石川県　白山市鶴来日詰町カ１５７－３,石川県白山市鶴来日詰町カ１５７－３,,96342,17,17210,鶴来日詰町,,2021/10/20,2021/10/20,,,,沖野未知也 ,,,,,,,,,第63210252号,新規,飲食店営業,,,,217-220_石川県_石川県一括_食品衛生(許可)_2021年09月-2022年01月_末日_新規、廃止(6)‗石川中央,M,76,,,タマルバ9634217210,a1d2f676-f3cc-4501-9d99-81c9190f4899,,personal,c4bdf2a3-b51a-4ba1-9b14-013bf5fe33b3,2021/10/20,タマルバー＋,タマルバ,
