https://docs.google.com/spreadsheets/d/1Qy3el1DFIpxtm3-VIAdZlBmEHual1CU39oB_urGxiyI/edit#gid=508940504,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47,n処理終了,,,,,,,,,,,,,,,d08_import_license_datas,完了,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
その他,業種,施設名,施設-住所1,,,施設-電話番号1,申請者1,申請者2,申請-住所1,,,申請-電話番号1,開業年月日,許可年月日,確認番号,ここまで,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
区分,業種,施設名称,施設所在地,,,施設電話番号,営業者名,代表者名（法人）,営業者住所（法人）,,,営業者電話番号（法人）,初回許可年月日,許可（届出）年月日,許可番号,,管轄保健所,名称,市外局番,電話番号,施設の郵便番号,緯度,経度,施設の住所（元住所）,施設の住所（整備）,施設マンション名,施設-住所コード,施設-都道府県,施設-郡・政令市・市区町村名,施設-大字名・字名,申請年月日,開業年月日,許可年月日,許可期間開始日,許可期間終了日,申請法人,申請者氏名(個人名),申請者（開設者）の電話番号,申請者の住所（元住所）,申請者の住所（整備）,申請マンション名,申請-住所コード,申請-都道府県,申請-郡・政令市・市区町村名,申請-大字名・字名,確認番号,申請区分,業種,業態,その他,法人番号,シート名,産業分類大,産業分類中,産業分類小,産業分類詳細,facility_idを識別するための文字列,店舗コード,company_idを識別するための文字列,法人コード,ライセンスコード,検索用日付,整備名称,整備名称2,整備申請法人
許可,飲食店営業,フードバー  ブルート,北広島市北進町1丁目2-6,,,011-375-9903,渡部　博臣,,,,,,2021.12.14,2021.12.14,217-282,,6,フードバー  ブルート,011,011-375-9903,,,,北広島市北進町1丁目2-6,北海道北広島市北進町１丁目２－６,,16764,1,1234,北進町１,,2021/12/14,2021/12/14,,,,渡部　博臣 ,,,,,,,,,217-282,,飲食店営業,,許可,,006_北海道_千歳保健所_食品衛生()_2021年12月_末日,M,76,,,フドバブルト011-375-9903167641234,63b9f1a8-6761-41e4-a4e6-db01b627a5ea,,personal,3974d8e9-fe19-4bd4-b68d-2442a831c978,2021/12/14,フードバー　ブルート,フドバブルト,
許可,飲食店営業,スナックプリシラ,北広島市北進町1丁目2-6,,,011-375-9902,渡部　博臣,,,,,,2021.12.14,2021.12.14,217-280,,6,スナックプリシラ,011,011-375-9902,,,,北広島市北進町1丁目2-6,北海道北広島市北進町１丁目２－６,,16764,1,1234,北進町１,,2021/12/14,2021/12/14,,,,渡部　博臣 ,,,,,,,,,217-280,,飲食店営業,,許可,,006_北海道_千歳保健所_食品衛生()_2021年12月_末日,M,76,,,スナックプリシラ011-375-9902167641234,01321751-c3f7-4145-a8ac-8a2aa6ad908a,,personal,69c72b12-b1c4-4a7d-9337-78826607520a,2021/12/14,スナックプリシラ,スナックプリシラ,
許可,飲食店営業,Snack ibis,恵庭市栄恵町35,,,,大浅　沙弥香,,,,,,2021.12.14,2021.12.14,217-281,,6,Snack ibis,0123,,,,,恵庭市栄恵町35,北海道恵庭市栄恵町３５,,16429,1,1231,栄恵町,,2021/12/14,2021/12/14,,,,大浅　沙弥香 ,,,,,,,,,217-281,,飲食店営業,,許可,,006_北海道_千歳保健所_食品衛生()_2021年12月_末日,M,76,,,Ｓｎａｃｋｉｂｉｓ164291231,38d2b955-2e99-464a-8b5a-e99f261e15ac,,personal,fd308aa5-62bb-4a01-bc1d-f966ee8dffc1,2021/12/14,Ｓｎａｃｋ　ｉｂｉｓ,Ｓｎａｃｋｉｂｉｓ,
許可,飲食店営業,ナイトパブエイトスター,千歳市清水町3丁目22-1,,,0123-26-8888,高橋　和子,,,,,,2021.12.14,2021.12.14,217-284,,6,ナイトパブエイトスター,0123,0123-26-8888,,,,千歳市清水町3丁目22-1,北海道千歳市清水町３丁目２２－１,,15118,1,1224,清水町３,,2021/12/14,2021/12/14,,,,高橋　和子 ,,,,,,,,,217-284,,飲食店営業,,許可,,006_北海道_千歳保健所_食品衛生()_2021年12月_末日,M,76,,,ナイトパブエイトスタ0123-26-8888151181224,575fe103-93d8-44b4-8261-3c59cd181a89,,personal,f42d405b-85bf-4dee-ae75-64c4e45bbcf1,2021/12/14,ナイトパブエイトスター,ナイトパブエイトスタ,
許可,飲食店営業,マクドナルド千歳新富店,千歳市新富3丁目2-14,,,0123-42-0031,株式会社タカコーポレーション,林　貴,千歳市柏台南1丁目3-1,,,0123-42-0810,2021.12.14,2021.12.14,217-285,,6,マクドナルド千歳新富店,0123,0123-42-0031,,,,千歳市新富3丁目2-14,北海道千歳市新富３丁目２－１４,,15127,1,1224,新富３,,2021/12/14,2021/12/14,,,株式会社タカコーポレーション,林　貴,0123-42-0810,千歳市柏台南1丁目3-1,北海道千歳市柏台南１丁目３－１,,15327,北海道,千歳市,柏台南１,217-285,,飲食店営業,,許可,,006_北海道_千歳保健所_食品衛生()_2021年12月_末日,M,76,,,マクドナルド千歳新富店0123-42-0031151271224,adba4b84-898f-4873-b6c1-4f1045c3d7a9,株式会社タカコーポレーション15327,609b6153-27ce-4d42-a75e-7750f91647a5,5c9caaea-7b3b-4086-b0f2-a01648aaa589,2021/12/14,マクドナルド千歳新富店,マクドナルド千歳新富店,株式会社タカコーポレーション
許可,飲食店営業,酒菜亭あうん,千歳市栄町1丁目9-2,,,,山澤　栄子,,,,,,2021.12.14,2021.12.14,217-286,,6,酒菜亭あうん,0123,,,,,千歳市栄町1丁目9-2,北海道千歳市栄町１丁目９－２,,15099,1,1224,栄町１,,2021/12/14,2021/12/14,,,,山澤　栄子 ,,,,,,,,,217-286,,飲食店営業,,許可,,006_北海道_千歳保健所_食品衛生()_2021年12月_末日,M,76,,,酒菜亭あうん150991224,7f56947c-7aef-4e99-bec2-76487d9fbd15,,personal,1dfd3cbc-7774-4b45-9d10-18d8cc501f45,2021/12/14,酒菜亭あうん,酒菜亭あうん,
許可,飲食店営業,カフェ・モーツァルト,千歳市駒里491-482,,,,下野　明子,,,,,,2021.12.14,2021.12.14,217-287,,6,カフェ・モーツァルト,0123,,,,,千歳市駒里491-482,北海道千歳市駒里４９１－４８２,,15092,1,1224,駒里,,2021/12/14,2021/12/14,,,,下野　明子 ,,,,,,,,,217-287,,飲食店営業,,許可,,006_北海道_千歳保健所_食品衛生()_2021年12月_末日,M,76,,,カフェモツァルト150921224,81f65f41-fb04-4fa4-86c8-cce3ecada6b9,,personal,795a59ab-0f3c-4140-bb9b-250490b604d1,2021/12/14,カフェ・モーツァルト,カフェモツァルト,
許可,飲食店営業,弟子屈ラーメン,千歳市美々987-22,,,0123-45-8888,北海道エアポート株式会社,蒲生　猛,千歳市美々987-22,,,0123-46-5115,2021.12.14,2021.12.14,217-277,,6,弟子屈ラーメン,0123,0123-45-8888,,,,千歳市美々987-22,北海道千歳市美々９８７－２２,,15157,1,1224,美々,,2021/12/14,2021/12/14,,,北海道エアポート株式会社,蒲生　猛,0123-46-5115,千歳市美々987-22,北海道千歳市美々９８７－２２,,15157,北海道,千歳市,美々,217-277,,飲食店営業,,許可,,006_北海道_千歳保健所_食品衛生()_2021年12月_末日,M,76,,,弟子屈ラメン0123-45-8888151571224,ab0802c8-3a23-473c-9763-d0d36d16d60d,北海道エアポート株式会社15157,bf20f026-cd09-4c0a-8cb4-a63fce7ffc26,cbb676dd-6d7e-42c0-9224-2563eea27b5a,2021/12/14,弟子屈ラーメン,弟子屈ラメン,北海道エアポート株式会社
許可,飲食店営業,札幌　飛燕,千歳市美々987-22,,,0123-46-2099,北海道エアポート株式会社,蒲生　猛,千歳市美々987-22,,,0123-46-5115,2021.12.14,2021.12.14,217-278,,6,札幌　飛燕,0123,0123-46-2099,,,,千歳市美々987-22,北海道千歳市美々９８７－２２,,15157,1,1224,美々,,2021/12/14,2021/12/14,,,北海道エアポート株式会社,蒲生　猛,0123-46-5115,千歳市美々987-22,北海道千歳市美々９８７－２２,,15157,北海道,千歳市,美々,217-278,,飲食店営業,,許可,,006_北海道_千歳保健所_食品衛生()_2021年12月_末日,M,76,,,札幌飛燕0123-46-2099151571224,56f11629-d82a-4428-aedd-c6166a7b3f1e,北海道エアポート株式会社15157,bf20f026-cd09-4c0a-8cb4-a63fce7ffc26,b381fe74-4ac0-459e-aff6-78fc556e4ee8,2021/12/14,札幌　飛燕,札幌飛燕,北海道エアポート株式会社
許可,飲食店営業,松尾ジンギスカンフードコート店,千歳市美々987-22,,,0123-46-2989,北海道エアポート株式会社,蒲生　猛,千歳市美々987-22,,,0123-46-5115,2021.12.14,2021.12.14,217-279,,6,松尾ジンギスカンフードコート店,0123,0123-46-2989,,,,千歳市美々987-22,北海道千歳市美々９８７－２２,,15157,1,1224,美々,,2021/12/14,2021/12/14,,,北海道エアポート株式会社,蒲生　猛,0123-46-5115,千歳市美々987-22,北海道千歳市美々９８７－２２,,15157,北海道,千歳市,美々,217-279,,飲食店営業,,許可,,006_北海道_千歳保健所_食品衛生()_2021年12月_末日,M,76,,,松尾ジンギスカンフドコト店0123-46-2989151571224,5b624f21-d437-4897-9e19-13c658ab6a60,北海道エアポート株式会社15157,bf20f026-cd09-4c0a-8cb4-a63fce7ffc26,0ce79550-a83c-4666-af86-699144fc2912,2021/12/14,松尾ジンギスカンフードコート店,松尾ジンギスカンフドコト店,北海道エアポート株式会社
