https://docs.google.com/spreadsheets/d/1Qy3el1DFIpxtm3-VIAdZlBmEHual1CU39oB_urGxiyI/edit#gid=508940504,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47,n処理終了,,,,,,,,,,,,,,,d08_import_license_datas,完了,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
その他,業種,施設名,施設-住所1,,,施設-電話番号1,申請者1,申請者2,申請-住所1,,,申請-電話番号1,開業年月日,許可年月日,確認番号,ここまで,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
区分,業種,施設名称,施設所在地,,,施設電話番号,営業者名,代表者名（法人）,営業者住所（法人）,,,営業者電話番号（法人）,初回許可年月日,許可（届出）年月日,許可番号,,管轄保健所,名称,市外局番,電話番号,施設の郵便番号,緯度,経度,施設の住所（元住所）,施設の住所（整備）,施設マンション名,施設-住所コード,施設-都道府県,施設-郡・政令市・市区町村名,施設-大字名・字名,申請年月日,開業年月日,許可年月日,許可期間開始日,許可期間終了日,申請法人,申請者氏名(個人名),申請者（開設者）の電話番号,申請者の住所（元住所）,申請者の住所（整備）,申請マンション名,申請-住所コード,申請-都道府県,申請-郡・政令市・市区町村名,申請-大字名・字名,確認番号,申請区分,業種,業態,その他,法人番号,シート名,産業分類大,産業分類中,産業分類小,産業分類詳細,facility_idを識別するための文字列,店舗コード,company_idを識別するための文字列,法人コード,ライセンスコード,検索用日付,整備名称,整備名称2,整備申請法人
許可,飲食店営業,セブンイレブン恵庭島松東町店,恵庭市島松東町3丁目7-8,,,0123-37-8355,佐々木　廣道,,,,,,2021.12.14,2021.12.14,217-283,,6,セブンイレブン恵庭島松東町店,0123,0123-37-8355,,,,恵庭市島松東町3丁目7-8,北海道恵庭市島松東町３丁目７－８,,16444,1,1231,島松東町３,,2021/12/14,2021/12/14,,,,佐々木　廣道 ,,,,,,,,,217-283,,飲食店営業,,許可,,006_北海道_千歳保健所_食品衛生()_2021年12月_末日,M,76,,,セブンイレブン恵庭島松東町店0123-37-8355164441231,70b51bbe-901b-495c-a785-86d81ff7a48f,,personal,3543c980-c506-41bd-892a-b92836bf19df,2021/12/14,セブンイレブン恵庭島松東町店,セブンイレブン恵庭島松東町店,
許可,飲食店営業,生活協同組合コープさっぽろ北広島店,北広島市中央3丁目2-4,,,011-372-2601,生活協同組合コープさっぽろ,大見　英明,札幌市西区発寒11条5丁目10-1,,,,2021.12.13,2021.12.13,217-276,,6,生活協同組合コープさっぽろ北広島店,011,011-372-2601,,,,北広島市中央3丁目2-4,北海道北広島市中央３丁目２－４,,16740,1,1234,中央３,,2021/12/13,2021/12/13,,,生活協同組合コープさっぽろ,大見　英明,,札幌市西区発寒11条5丁目10-1,北海道札幌市西区発寒十一条５丁目１０－１,,5093,北海道,札幌市西区,発寒十一条５,217-276,,飲食店営業,,許可,,006_北海道_千歳保健所_食品衛生()_2021年12月_末日,M,76,,,生活協同組合コプさっぽろ北広島店011-372-2601167401234,2fe5d745-02b7-48f6-9373-18e8ea837747,生活協同組合コープさっぽろ5093,6f937865-1fa9-4205-b6ae-ff0cb585929c,adfcd87f-ac2d-4b21-b6d4-604400344b0a,2021/12/13,生活協同組合コープさっぽろ北広島店,生活協同組合コプさっぽろ北広島店,生活協同組合コープさっぽろ
許可,飲食店営業,焼肉春華,恵庭市京町90,,,0123-33-0271,有限会社はるかカンパニー,斉藤　明,恵庭市福住町2丁目1-10,,,0123-32-2046,2021.12.9,2021.12.9,217-271,,6,焼肉春華,0123,0123-33-0271,,,,恵庭市京町90,北海道恵庭市京町９０,,16422,1,1231,京町,,2021/12/09,2021/12/09,,,有限会社はるかカンパニー,斉藤　明,0123-32-2046,恵庭市福住町2丁目1-10,北海道恵庭市福住町２丁目１－１０,,16513,北海道,恵庭市,福住町２,217-271,,飲食店営業,,許可,,006_北海道_千歳保健所_食品衛生()_2021年12月_末日,M,76,,,焼肉春華0123-33-0271164221231,c89d9231-5b00-4e78-b327-512804c95e67,有限会社はるかカンパニー16513,1a99d8d9-8d97-483f-8cd2-a05c0941a851,eac26271-9ebc-4d3e-862a-c3e1b3666ff0,2021/12/09,焼肉春華,焼肉春華,有限会社はるかカンパニー
許可,飲食店営業,シダックスフードサービス北海道株式会社北洋銀行恵庭中央店,恵庭市漁町17,,,,シダックスフードサービス北海道株式会社,佐藤　好男,札幌市中央区南1条西1丁目13-1,,,011-207-7882,2021.12.9,2021.12.9,217-272,,6,シダックスフードサービス北海道株式会社北洋銀行恵庭中央店,0123,,,,,恵庭市漁町17,北海道恵庭市漁町１７,,16412,1,1231,漁町,,2021/12/09,2021/12/09,,,シダックスフードサービス北海道株式会社,佐藤　好男,011-207-7882,札幌市中央区南1条西1丁目13-1,北海道札幌市中央区南一条西１丁目１３－１,,0443,北海道,札幌市中央区,南一条西１,217-272,,飲食店営業,,許可,,006_北海道_千歳保健所_食品衛生()_2021年12月_末日,M,76,,,シダックスフドサビス北海道株式会社北洋銀行恵庭中央店164121231,8fb1993b-c5b0-46cf-a9b9-e2f654284236,シダックスフードサービス北海道株式会社443,12c48915-8175-46b7-8736-7fde612def19,345c6d4b-0228-408c-b224-908d631238c6,2021/12/09,シダックスフードサービス北海道株式会社北洋銀行恵庭中央店,シダックスフドサビス北海道株式会社北洋銀行恵庭中央店,シダックスフードサービス北海道株式会社
許可,飲食店営業,スナックこゆび,千歳市清水町2丁目27,,,0123-42-0808,越　弘子,,,,,,2021.12.9,2021.12.9,217-274,,6,スナックこゆび,0123,0123-42-0808,,,,千歳市清水町2丁目27,北海道千歳市清水町２丁目２７,,15117,1,1224,清水町２,,2021/12/09,2021/12/09,,,,越　弘子 ,,,,,,,,,217-274,,飲食店営業,,許可,,006_北海道_千歳保健所_食品衛生()_2021年12月_末日,M,76,,,スナックこゆび0123-42-0808151171224,83414836-cf85-4aa7-a2b7-e8e2573dd0b1,,personal,ef0d3cb7-9b79-43dc-ad90-d8f784ea689f,2021/12/09,スナックこゆび,スナックこゆび,
許可,飲食店営業,しゃけ焼本舗　恵庭駅前店,恵庭市相生町2丁目1-1,,,0123-34-7666,豊田　裕美子,,,,,,2021.12.9,2021.12.9,217-273,,6,しゃけ焼本舗　恵庭駅前店,0123,0123-34-7666,,,,恵庭市相生町2丁目1-1,北海道恵庭市相生町２丁目１－１,,16404,1,1231,相生町,,2021/12/09,2021/12/09,,,,豊田　裕美子 ,,,,,,,,,217-273,,飲食店営業,,許可,,006_北海道_千歳保健所_食品衛生()_2021年12月_末日,M,76,,,しゃけ焼本舗恵庭駅前店0123-34-7666164041231,76d50aaf-4b9e-487c-983c-11980ed9f5c8,,personal,1ad0d6fb-aca3-408e-922d-d6d288131dff,2021/12/09,しゃけ焼本舗　恵庭駅前店,しゃけ焼本舗恵庭駅前店,
許可,飲食店営業,Café&DiningBar　KowTow,千歳市幸町4丁目26-2,,,0123-42-3731,佐藤　長,,,,,,2021.12.9,2021.12.9,217-275,,6,Café&DiningBar　KowTow,0123,0123-42-3731,,,,千歳市幸町4丁目26-2,北海道千歳市幸町４丁目２６－２,,15096,1,1224,幸町４,,2021/12/09,2021/12/09,,,,佐藤　長 ,,,,,,,,,217-275,,飲食店営業,,許可,,006_北海道_千歳保健所_食品衛生()_2021年12月_末日,M,76,,,ＣａｆeＤｉｎｉｎｇＢａｒＫｏｗＴｏｗ0123-42-3731150961224,e44c8318-ee98-4290-bf98-5fbb44f2eebd,,personal,0be53260-769d-40d2-8d9f-5d8d0f89a570,2021/12/09,Ｃａｆé＆ＤｉｎｉｎｇＢａｒ　ＫｏｗＴｏｗ,ＣａｆeＤｉｎｉｎｇＢａｒＫｏｗＴｏｗ,
許可,飲食店営業,パーラー恵み野きたひろ店,北広島市中央3丁目6-1,,,0123-36-7733,株式会社キド商事,木戸　啓之,恵庭市恵み野西1丁目4,,,0123-36-4114,2021.12.8,2021.12.8,217-266,,6,パーラー恵み野きたひろ店,011,0123-36-7733,,,,北広島市中央3丁目6-1,北海道北広島市中央３丁目６－１,,16740,1,1234,中央３,,2021/12/08,2021/12/08,,,株式会社キド商事,木戸　啓之,0123-36-4114,恵庭市恵み野西1丁目4,北海道恵庭市恵み野西１丁目４,,16515,北海道,恵庭市,恵み野西１,217-266,,飲食店営業,,許可,,006_北海道_千歳保健所_食品衛生()_2021年12月_末日,M,76,,,パラ恵み野きたひろ店0123-36-7733167401234,2cc1a98e-1049-4a47-b01c-c2d4fc0415a2,株式会社キド商事16515,a3ecbf43-35ab-4dd1-b44e-2d59cef4dbc1,d2b1a1a4-40fc-4608-9aa9-4b4c2c107143,2021/12/08,パーラー恵み野きたひろ店,パラ恵み野きたひろ店,株式会社キド商事
許可,飲食店営業,宙-SORA-,恵庭市恵み野西2丁目2-14,,,0123-36-1234,溝口　友和,,,,,,2021.12.8,2021.12.8,217-267,,6,宙-SORA-,0123,0123-36-1234,,,,恵庭市恵み野西2丁目2-14,北海道恵庭市恵み野西２丁目２－１４,,16516,1,1231,恵み野西２,,2021/12/08,2021/12/08,,,,溝口　友和 ,,,,,,,,,217-267,,飲食店営業,,許可,,006_北海道_千歳保健所_食品衛生()_2021年12月_末日,M,76,,,宙ＳＯＲＡ0123-36-1234165161231,9b52c850-5da4-46fe-aaf8-96712a82d81f,,personal,8b7bcb06-b9da-425d-922c-f9ddcd704156,2021/12/08,宙－ＳＯＲＡ－,宙ＳＯＲＡ,
許可,飲食店営業,まるやまジンギスカン,千歳市幸町2丁目7,,,0123-29-7360,合同会社時来也,佐々木　昌宏,千歳市自由ヶ丘4丁目2-3,,,0123-27-0127,2021.12.8,2021.12.8,217-268,,6,まるやまジンギスカン,0123,0123-29-7360,,,,千歳市幸町2丁目7,北海道千歳市幸町２丁目７,,15094,1,1224,幸町２,,2021/12/08,2021/12/08,,,合同会社時来也,佐々木　昌宏,0123-27-0127,千歳市自由ヶ丘4丁目2-3,北海道千歳市自由が丘４丁目２－３,,15202,北海道,千歳市,自由が丘４,217-268,,飲食店営業,,許可,,006_北海道_千歳保健所_食品衛生()_2021年12月_末日,M,76,,,まるやまジンギスカン0123-29-7360150941224,7f725664-a23f-4f69-a681-c40243cd0ae1,合同会社時来也15202,3086802e-1420-4c24-8a9e-29f0233c6a72,d838ae57-8d5c-498a-9530-7c8b6f8e2c64,2021/12/08,まるやまジンギスカン,まるやまジンギスカン,合同会社時来也
許可,飲食店営業,陸上自衛隊北恵庭駐屯地　隊員食堂,恵庭市柏木町531,,,0123-32-2101,協働美装株式会社,丹治　松二,埼玉県さいたま市見沼区大字中川79-1,,,048-671-1366,2021.12.8,2021.12.8,217-269,,6,陸上自衛隊北恵庭駐屯地　隊員食堂,0123,0123-32-2101,,,,恵庭市柏木町531,北海道恵庭市柏木町５３１,,16495,1,1231,柏木町５,,2021/12/08,2021/12/08,,,協働美装株式会社,丹治　松二,048-671-1366,埼玉県さいたま市見沼区大字中川79-1,埼玉県さいたま市見沼区中川７９－１,,61648,埼玉県,さいたま市見沼区,中川,217-269,,飲食店営業,,許可,,006_北海道_千歳保健所_食品衛生()_2021年12月_末日,M,76,,,陸上自衛隊北恵庭駐屯地隊員食堂0123-32-2101164951231,5ba25468-2a3e-4f14-8ff2-31c74813f518,協働美装株式会社61648,50fb3552-74d8-49fc-8f66-a37da0cf1366,e368bdff-77fd-41d2-b1c4-c6347eaeea38,2021/12/08,陸上自衛隊北恵庭駐屯地　隊員食堂,陸上自衛隊北恵庭駐屯地隊員食堂,協働美装株式会社
許可,飲食店営業,ラーメン山岡家千歳店,千歳市朝日町7丁目1-9,,,0123-26-7377,株式会社丸千代山岡家,一由　聡,札幌市東区東雁来7条1丁目4-32,,,011-781-7170,2021.12.8,2021.12.8,217-270,,6,ラーメン山岡家千歳店,0123,0123-26-7377,,,,千歳市朝日町7丁目1-9,北海道千歳市朝日町７丁目１－９,,15075,1,1224,朝日町７,,2021/12/08,2021/12/08,,,株式会社丸千代山岡家,一由　聡,011-781-7170,札幌市東区東雁来7条1丁目4-32,北海道札幌市東区東雁来七条１丁目４－３２,,3179,北海道,札幌市東区,東雁来七条１,217-270,,飲食店営業,,許可,,006_北海道_千歳保健所_食品衛生()_2021年12月_末日,M,76,,,ラメン山岡家千歳店0123-26-7377150751224,fab25a7f-56ea-4f19-8784-f8fccbc24e81,株式会社丸千代山岡家3179,e70b5102-f7d4-4449-8231-1cf04471e595,d443a34b-b3fd-4676-9954-e1c7d3f756c1,2021/12/08,ラーメン山岡家千歳店,ラメン山岡家千歳店,株式会社丸千代山岡家
許可,飲食店営業,レンタルキッチン　フードラボ,千歳市清水町3丁目17-2,,,0123-22-5319,フジ商産株式会社,藤本　聖美,千歳市高台4丁目4-17,,,0123-22-5319,2021.12.7,2021.12.7,217-265,,6,レンタルキッチン　フードラボ,0123,0123-22-5319,,,,千歳市清水町3丁目17-2,北海道千歳市清水町３丁目１７－２,,15118,1,1224,清水町３,,2021/12/07,2021/12/07,,,フジ商産株式会社,藤本　聖美,0123-22-5319,千歳市高台4丁目4-17,北海道千歳市高台４丁目４－１７,,15223,北海道,千歳市,高台４,217-265,,飲食店営業,,許可,,006_北海道_千歳保健所_食品衛生()_2021年12月_末日,M,76,,,レンタルキッチンフドラボ0123-22-5319151181224,f0e99296-afd3-4e25-97eb-93f0543f312a,フジ商産株式会社15223,95832dfe-3c38-4a3b-9283-8dee4dba4d7b,5097edd5-491d-49b3-81fa-f83cc3bdf039,2021/12/07,レンタルキッチン　フードラボ,レンタルキッチンフドラボ,フジ商産株式会社
許可,菓子製造業,レンタルキッチン　フードラボ,千歳市清水町3丁目17-2,,,0123-22-5319,フジ商産株式会社,藤本　聖美,千歳市高台4丁目4-17,,,0123-22-5319,2021.12.7,2021.12.7,217-265,,6,レンタルキッチン　フードラボ,0123,0123-22-5319,,,,千歳市清水町3丁目17-2,北海道千歳市清水町３丁目１７－２,,15118,1,1224,清水町３,,2021/12/07,2021/12/07,,,フジ商産株式会社,藤本　聖美,0123-22-5319,千歳市高台4丁目4-17,北海道千歳市高台４丁目４－１７,,15223,北海道,千歳市,高台４,217-265,,菓子製造業,,許可,,006_北海道_千歳保健所_食品衛生()_2021年12月_末日,E,9,,,レンタルキッチンフドラボ0123-22-5319151181224,f0e99296-afd3-4e25-97eb-93f0543f312a,フジ商産株式会社15223,95832dfe-3c38-4a3b-9283-8dee4dba4d7b,4fa6aa11-e018-472b-b031-a25a7af01231,2021/12/07,レンタルキッチン　フードラボ,レンタルキッチンフドラボ,フジ商産株式会社
許可,飲食店営業,ベルコシティーホール北広島,北広島市共栄町5丁目7-4,,,011-376-9400,芝野　則夫,,,,,,2021.12.3,2021.12.3,217-260,,6,ベルコシティーホール北広島,011,011-376-9400,,,,北広島市共栄町5丁目7-4,北海道北広島市共栄町５丁目７－４,,16704,1,1234,共栄町５,,2021/12/03,2021/12/03,,,,芝野　則夫 ,,,,,,,,,217-260,,飲食店営業,,許可,,006_北海道_千歳保健所_食品衛生()_2021年12月_末日,M,76,,,ベルコシティホル北広島011-376-9400167041234,e9eb3417-2d85-45d7-8a99-ff75cea7feb1,,personal,0419b538-c520-4dab-b2c0-d220329f6662,2021/12/03,ベルコシティーホール北広島,ベルコシティホル北広島,
許可,飲食店営業,マックスバリュ恵庭店,恵庭市恵央町11-1,,,0123-33-2600,イオン北海道株式会社,青栁　英樹,札幌市白石区本通21丁目南1-20,,,011-865-4120,2021.12.3,2021.12.3,217-261,,6,マックスバリュ恵庭店,0123,0123-33-2600,,,,恵庭市恵央町11-1,北海道恵庭市恵央町１１－１,,16489,1,1231,恵央町,,2021/12/03,2021/12/03,,,イオン北海道株式会社,青栁　英樹,011-865-4120,札幌市白石区本通21丁目南1-20,北海道札幌市白石区本通２１南１－２０,,3605,北海道,札幌市白石区,本通２１南,217-261,,飲食店営業,,許可,,006_北海道_千歳保健所_食品衛生()_2021年12月_末日,M,76,,,マックスバリュ恵庭店0123-33-2600164891231,25523102-a857-42f4-8396-2a66959110d7,イオン北海道株式会社3605,634e7900-c19d-41b4-8aef-0a218e53e2c0,0c97ae5d-02eb-4765-9845-d4460f56ffe5,2021/12/03,マックスバリュ恵庭店,マックスバリュ恵庭店,イオン北海道株式会社
許可,飲食店営業,日の出食堂,千歳市祝梅1016,,,0123-26-5681,株式会社日の出食堂,矢留　勝則,千歳市祝梅1016,,,0123-26-2504,2021.12.3,2021.12.3,217-262,,6,日の出食堂,0123,0123-26-5681,,,,千歳市祝梅1016,北海道千歳市祝梅１０１６,,15123,1,1224,祝梅,,2021/12/03,2021/12/03,,,株式会社日の出食堂,矢留　勝則,0123-26-2504,千歳市祝梅1016,北海道千歳市祝梅１０１６,,15123,北海道,千歳市,祝梅,217-262,,飲食店営業,,許可,,006_北海道_千歳保健所_食品衛生()_2021年12月_末日,M,76,,,日の出食堂0123-26-5681151231224,4d509a52-2348-4ce3-831b-6ef4e12b305a,株式会社日の出食堂15123,5eeb4056-7105-4a8d-ade4-a37358a49cee,ec27661a-a725-4ec6-b7cb-4a96bb035056,2021/12/03,日の出食堂,日の出食堂,株式会社日の出食堂
許可,飲食店営業,スナック you&me,千歳市清水町2丁目15-2,,,,小林　有美,,,,,,2021.12.3,2021.12.3,217-263,,6,スナック you&me,0123,,,,,千歳市清水町2丁目15-2,北海道千歳市清水町２丁目１５－２,,15117,1,1224,清水町２,,2021/12/03,2021/12/03,,,,小林　有美 ,,,,,,,,,217-263,,飲食店営業,,許可,,006_北海道_千歳保健所_食品衛生()_2021年12月_末日,M,76,,,スナックｙｏｕｍｅ151171224,f6ffc9ce-49ca-45cd-a7d9-5987e0f47c1f,,personal,ac4a6043-b7d5-4b92-81a6-c8d7e3c23c37,2021/12/03,スナック　ｙｏｕ＆ｍｅ,スナックｙｏｕｍｅ,
許可,飲食店営業,株式会社サッポロライオン　ザ・ノースカントリーゴルフクラブ店,千歳市蘭越26,,,0123-27-1111,株式会社サッポロライオン,三宅　裕一郎,東京都中央区銀座7丁目9-20,,,03-3249-6011,2021.12.3,2021.12.3,217-264,,6,株式会社サッポロライオン　ザ・ノースカントリーゴルフクラブ店,0123,0123-27-1111,,,,千歳市蘭越26,北海道千歳市蘭越２６,,15187,1,1224,蘭越,,2021/12/03,2021/12/03,,,株式会社サッポロライオン,三宅　裕一郎,03-3249-6011,東京都中央区銀座7丁目9-20,東京都中央区銀座７丁目９－２０,,72959,東京都,中央区,銀座７,217-264,,飲食店営業,,許可,,006_北海道_千歳保健所_食品衛生()_2021年12月_末日,M,76,,,株式会社サッポロライオンザノスカントリゴルフクラブ店0123-27-1111151871224,61c2220a-5e78-4d97-8c56-129448849fff,株式会社サッポロライオン72959,536fd2cf-6dcc-4318-a8ef-40a9fc41ae00,582f5be9-6afb-4a44-89e2-202cc7cfb6c1,2021/12/03,株式会社サッポロライオン　ザ・ノースカントリーゴルフクラブ店,株式会社サッポロライオンザノスカントリゴルフクラブ店,株式会社サッポロライオン
許可,飲食店営業,テイクアウトデリバリーのみかん,北広島市共栄1丁目1-18,,,,伊藤　昌弘,,,,,,2021.12.2,2021.12.2,217-256,,6,テイクアウトデリバリーのみかん,011,,,,,北広島市共栄1丁目1-18,北海道北広島市共栄１丁目１－１８,,16699,1,1234,共栄,,2021/12/02,2021/12/02,,,,伊藤　昌弘 ,,,,,,,,,217-256,,飲食店営業,,許可,,006_北海道_千歳保健所_食品衛生()_2021年12月_末日,M,76,,,テイクアウトデリバリのみかん166991234,da2093d0-e9e8-44c5-a82d-bf4b790ed5d3,,personal,cd19e7af-c7af-48ea-bdac-679d9bf9d9d5,2021/12/02,テイクアウトデリバリーのみかん,テイクアウトデリバリのみかん,
許可,飲食店営業,ACE,千歳市清水町2丁目19-3,,,,市橋　裕士,,,,,,2021.12.2,2021.12.2,217-257,,6,ACE,0123,,,,,千歳市清水町2丁目19-3,北海道千歳市清水町２丁目１９－３,,15117,1,1224,清水町２,,2021/12/02,2021/12/02,,,,市橋　裕士 ,,,,,,,,,217-257,,飲食店営業,,許可,,006_北海道_千歳保健所_食品衛生()_2021年12月_末日,M,76,,,ＡＣＥ151171224,ef7d9d28-6262-469d-a54b-42293e0365d6,,personal,60b864b3-3b60-4767-806d-c187caead02b,2021/12/02,ＡＣＥ,ＡＣＥ,
許可,菓子製造業,ポルトムインターナショナル北海道　タテルノヨシノ（ペストリー部門）,千歳市美々,,,0123-45-6012,株式会社碧雲堂ホテル＆リゾート,国本　学,千歳市美々987-22,,,0123-46-5520,2021.12.2,2021.12.2,217-258,,6,ポルトムインターナショナル北海道　タテルノヨシノ（ペストリー部門）,0123,0123-45-6012,,,,千歳市美々,北海道千歳市美々,,15157,1,1224,美々,,2021/12/02,2021/12/02,,,株式会社碧雲堂ホテル＆リゾート,国本　学,0123-46-5520,千歳市美々987-22,北海道千歳市美々９８７－２２,,15157,北海道,千歳市,美々,217-258,,菓子製造業,,許可,,006_北海道_千歳保健所_食品衛生()_2021年12月_末日,E,9,,,ポルトムインタナショナル北海道タテルノヨシノペストリ部門0123-45-6012151571224,4ba41f86-306b-40de-a4af-f73197fb312f,株式会社碧雲堂ホテル＆リゾート15157,232804e6-e44d-4683-b1c4-3fdda2eca2c4,c0638609-48d2-4963-9d8e-1c34e26f7683,2021/12/02,ポルトムインターナショナル北海道　タテルノヨシノ（ペストリー部門）,ポルトムインタナショナル北海道タテルノヨシノペストリ部門,株式会社碧雲堂ホテル＆リゾート
許可,飲食店営業,K-Kitchen,全道一円,,,,株式会社K-GARAGE,岸本　光央,恵庭市中島町1丁目12-7,,,,2021.12.2,2021.12.2,217-259,,6,K-Kitchen,,,,,,全道一円,北海道全道一円,,,1,,,,2021/12/02,2021/12/02,,,株式会社K-GARAGE,岸本　光央,,恵庭市中島町1丁目12-7,北海道恵庭市中島町１丁目１２－７,,16483,北海道,恵庭市,中島町１,217-259,,飲食店営業,,許可,,006_北海道_千歳保健所_食品衛生()_2021年12月_末日,M,76,,,ＫＫｉｔｃｈｅｎ,232227c0-5c1b-43cf-a52a-17e8bb049712,株式会社Ｋ－ＧＡＲＡＧＥ16483,2614948e-f81e-44bc-ba2d-fecf06081fc0,73e07ef8-4b12-499f-87cb-01491081c489,2021/12/02,Ｋ－Ｋｉｔｃｈｅｎ,ＫＫｉｔｃｈｅｎ,株式会社Ｋ－ＧＡＲＡＧＥ
