法人番号,申請者1,申請者2,,申請-住所1,申請-住所2,申請-住所3,申請-住所4,申請-マンション名,申請-電話番号1,,施設名,郵便番号,施設-住所1,施設-住所2,施設-住所3,施設-住所4,施設-マンション名,施設-電話番号1,業種,,許可年月日,許可期間開始日,許可期間終了日,その他,ここまで,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
法人番号（申請・届出者）,氏名（法人の場合は法人名）（申請・届出者）,法人の代表者の氏名（申請・届出者）,郵便番号（申請・届出者）,都道府県（申請・届出者）,市区町村（申請・届出者）,町域（申請・届出者）,番地等（申請・届出者）,マンション名等（申請・届出者）,電話番号（申請・届出者）,ファクシミリ番号（申請・届出者）,営業施設名称、屋号又は商号,郵便番号（営業施設）,都道府県（営業施設）,市区町村（営業施設）,町域（営業施設）,番地等（営業施設）,マンション名等（営業施設）,電話番号（営業施設）,営業の種類,廃業年月日,許可年月日,許可開始日,許可満了日,許可条件,,管轄保健所,名称,市外局番,電話番号,施設の郵便番号,緯度,経度,施設の住所（元住所）,施設の住所（整備）,施設マンション名,施設-住所コード,施設-都道府県,施設-郡・政令市・市区町村名,施設-大字名・字名,申請年月日,開業年月日,許可年月日,許可期間開始日,許可期間終了日,申請法人,申請者氏名(個人名),申請者（開設者）の電話番号,申請者の住所（元住所）,申請者の住所（整備）,申請マンション名,申請-住所コード,申請-都道府県,申請-郡・政令市・市区町村名,申請-大字名・字名,確認番号,申請区分,業種,業態,その他,法人番号,シート名,産業分類大,産業分類中,産業分類小,産業分類詳細,facility_idを識別するための文字列,店舗コード,company_idを識別するための文字列,法人コード,ライセンスコード,検索用日付,整備名称,整備名称2,整備申請法人
7390001004277,株式会社あじまん,佐藤友紀,9940002,山形県,天童市,乱川,3丁目6番1号,,023-653-1144,0236545544,株式会社あじまん　コメリみやき店,8490111,佐賀県,三養基郡みやき町,白壁,1005,,,⑪ 菓子製造業,,2022/1/26,2022/1/26,2028/2/29,回転焼に限る,,409,株式会社あじまん　コメリみやき店,0942,,,,,佐賀県　三養基郡みやき町　白壁　1005,佐賀県三養基郡みやき町白壁１００５,,205559,41,41346,白壁,,,2022/01/26,2022/01/26,2028/02/29,株式会社あじまん,佐藤友紀,023-653-1144,山形県　天童市　乱川　3丁目6番1号,山形県天童市乱川３丁目６番１号,,47996,山形県,天童市,乱川３,,,菓子製造業,,回転焼に限る,7390001004277,408-412_佐賀県_佐賀県一括_食品衛生(許可)_2022年01月まで全件_末日_新法,E,9,,,株式会社あじまんコメリみやき店20555941346,d518b2e2-72d1-4ae1-84ec-29214146bcb7,株式会社あじまん47996,d6eca970-d72a-49f9-8149-c117c29a8ad7,6d4b118f-8a79-45cf-b575-8a3501af647a,2022/01/26,株式会社あじまん　コメリみやき店,株式会社あじまんコメリみやき店,株式会社あじまん
7390001004277,株式会社あじまん,佐藤友紀,9940002,山形県,天童市,乱川,3丁目6番1号,,023-653-1144,0236545544,株式会社あじまん　コメリ唐津店,8470031,佐賀県,唐津市,原,,,,⑪ 菓子製造業,,2021/9/30,2021/9/30,2028/5/31, ,,410,株式会社あじまん　コメリ唐津店,0955,,,,,佐賀県　唐津市　原　,佐賀県唐津市原,,205019,41,41202,原,,,2021/09/30,2021/09/30,2028/05/31,株式会社あじまん,佐藤友紀,023-653-1144,山形県　天童市　乱川　3丁目6番1号,山形県天童市乱川３丁目６番１号,,47996,山形県,天童市,乱川３,,,菓子製造業,, ,7390001004277,408-412_佐賀県_佐賀県一括_食品衛生(許可)_2022年01月まで全件_末日_新法,E,9,,,株式会社あじまんコメリ唐津店20501941202,364281b9-2d62-4eba-a26e-229f0c690983,株式会社あじまん47996,d6eca970-d72a-49f9-8149-c117c29a8ad7,77283dd1-8f53-420f-ac34-931136329157,2021/09/30,株式会社あじまん　コメリ唐津店,株式会社あじまんコメリ唐津店,株式会社あじまん
3300001001377,福助食品株式会社,野田政信,8400047,佐賀県,佐賀市,与賀町,６－１２,,095-223-2038,,福助食品株式会社,8400047,佐賀県,佐賀市,与賀町,６－１２,,0952-23-2038,㉔ 麺類製造業,,2021/9/1,2021/9/1,2027/8/31,　,,408,福助食品株式会社,0952,0952-23-2038,,,,佐賀県　佐賀市　与賀町　６－１２,佐賀県佐賀市与賀町６－１２,,204803,41,41201,与賀町,,,2021/09/01,2021/09/01,2027/08/31,福助食品株式会社,野田政信,095-223-2038,佐賀県　佐賀市　与賀町　６－１２,佐賀県佐賀市与賀町６－１２,,204803,佐賀県,佐賀市,与賀町,,,麺類製造業,,　,3300001001377,408-412_佐賀県_佐賀県一括_食品衛生(許可)_2022年01月まで全件_末日_新法,E,9,,,福助食品株式会社0952-23-203820480341201,f3a70360-db8d-4307-a273-c585ec8a26bd,福助食品株式会社204803,20cffdbd-d669-4e71-9c72-f8e0afa7947c,677036e3-009d-40b7-b2a9-246d879842fd,2021/09/01,福助食品株式会社,福助食品株式会社,福助食品株式会社
3300001001377,福助食品株式会社,野田政信,8400047,佐賀県,佐賀市,与賀町,６－１２,,095-223-2038,,福助食品株式会社,8400047,佐賀県,佐賀市,与賀町,６－１２,,0952-23-2038,① 飲食店営業,,2021/9/1,2021/9/1,2027/8/31,麺類と具との詰め合わせに限る,,408,福助食品株式会社,0952,0952-23-2038,,,,佐賀県　佐賀市　与賀町　６－１２,佐賀県佐賀市与賀町６－１２,,204803,41,41201,与賀町,,,2021/09/01,2021/09/01,2027/08/31,福助食品株式会社,野田政信,095-223-2038,佐賀県　佐賀市　与賀町　６－１２,佐賀県佐賀市与賀町６－１２,,204803,佐賀県,佐賀市,与賀町,,,飲食店営業,,麺類と具との詰め合わせに限る,3300001001377,408-412_佐賀県_佐賀県一括_食品衛生(許可)_2022年01月まで全件_末日_新法,M,76,,,福助食品株式会社0952-23-203820480341201,f3a70360-db8d-4307-a273-c585ec8a26bd,福助食品株式会社204803,20cffdbd-d669-4e71-9c72-f8e0afa7947c,60a45ff4-fc8c-427d-bdd8-2a2c31277c29,2021/09/01,福助食品株式会社,福助食品株式会社,福助食品株式会社
2290001048578,木下株式会社,木下素直,8390862,福岡県,久留米市,野中町,８６５番地,,094-234-5183,0942346397,ホテルマリターレ創世,8400805,佐賀県,佐賀市,神野西,２－１１０４－１,,0952-33-5511,① 飲食店営業,,2021/12/1,2021/12/1,2027/11/30,　,,408,ホテルマリターレ創世,0952,0952-33-5511,,,,佐賀県　佐賀市　神野西　２－１１０４－１,佐賀県佐賀市神野西２－１１０４－１,,204709,41,41201,神野西２,,,2021/12/01,2021/12/01,2027/11/30,木下株式会社,木下素直,094-234-5183,福岡県　久留米市　野中町　８６５番地,福岡県久留米市野中町８６５番地,,201274,福岡県,久留米市,野中町,,,飲食店営業,,　,2290001048578,408-412_佐賀県_佐賀県一括_食品衛生(許可)_2022年01月まで全件_末日_新法,M,76,,,ホテルマリタレ創世0952-33-551120470941201,3b9412bf-ec73-4b46-8063-2c3085beb15c,木下株式会社201274,5bf9c3e1-a270-4a59-bb5f-6cc5448deefa,a53629e1-d346-442d-833f-81dcefd02a4d,2021/12/01,ホテルマリターレ創世,ホテルマリタレ創世,木下株式会社
3290001080282,地鶏食堂株式会社,麻那古主税,8140171,福岡県,福岡市早良区,野芥,2丁目11番28号,,092-803-1055,,飯場めし,8420122,佐賀県,神埼市,神埼町城原,1859-1,,0952-37-7600,① 飲食店営業,,2021/12/10,2021/12/10,2028/11/30,　,,408,飯場めし,0952,0952-37-7600,,,,佐賀県　神埼市　神埼町城原　1859-1,佐賀県神埼市神埼町城原１８５９－１,,205503,41,41210,神埼町城原,,,2021/12/10,2021/12/10,2028/11/30,地鶏食堂株式会社,麻那古主税,092-803-1055,福岡県　福岡市早良区　野芥　2丁目11番28号,福岡県福岡市早良区野芥２丁目１１番２８号,,200888,福岡県,福岡市早良区,野芥２,,,飲食店営業,,　,3290001080282,408-412_佐賀県_佐賀県一括_食品衛生(許可)_2022年01月まで全件_末日_新法,M,76,,,飯場めし0952-37-760020550341210,582a87bc-1625-49a9-aef0-67ac71d6018d,地鶏食堂株式会社200888,b4d67133-249e-4dae-a50a-cd837b9d5f8d,589df230-2a42-45ef-abd4-cf9777a29ff2,2021/12/10,飯場めし,飯場めし,地鶏食堂株式会社
8300005005964,特定非営利活動法人オレンジ,舩津久美子,8400015,佐賀県,佐賀市,木原二丁目,17番11号,,0952-37-9183,,orange plus,8400015,佐賀県,佐賀市,木原二丁目,17番11号,,0952-37-9183,⑪ 菓子製造業,,2022/1/4,2022/1/4,2028/8/31,　,,408,orange plus,0952,0952-37-9183,,,,佐賀県　佐賀市　木原二丁目　17番11号,佐賀県佐賀市木原２丁目１７番１１号,,204851,41,41201,木原２,,,2022/01/04,2022/01/04,2028/08/31,特定非営利活動法人オレンジ,舩津久美子,0952-37-9183,佐賀県　佐賀市　木原二丁目　17番11号,佐賀県佐賀市木原２丁目１７番１１号,,204851,佐賀県,佐賀市,木原２,,,菓子製造業,,　,8300005005964,408-412_佐賀県_佐賀県一括_食品衛生(許可)_2022年01月まで全件_末日_新法,E,9,,,ｏｒａｎｇｅｐｌｕｓ0952-37-918320485141201,1d35b360-9417-4155-9839-8e9f64d2b92c,特定非営利活動法人オレンジ204851,53222cc8-5ca1-45d8-9589-bb9c70d73ee0,7b0c71cf-7a45-4da0-8bfd-98545d93e022,2022/01/04,ｏｒａｎｇｅ　ｐｌｕｓ,ｏｒａｎｇｅｐｌｕｓ,特定非営利活動法人オレンジ
2300002009684,有限会社　ビリーブ,亀川信吉,8410026,佐賀県,鳥栖市,本鳥栖町,1512-8,,094-284-7387,0942847386,カメヤベーカリーカフェ鍋島店,8490936,佐賀県,佐賀市,鍋島町森田,三木椎618-11,,,① 飲食店営業,,2021/10/20,2021/10/20,2027/11/30,　,,408,カメヤベーカリーカフェ鍋島店,0952,,,,,佐賀県　佐賀市　鍋島町森田　三木椎618-11,佐賀県佐賀市鍋島町森田三木椎６１８－１１,,204756,41,41201,鍋島町森田,,,2021/10/20,2021/10/20,2027/11/30,有限会社　ビリーブ,亀川信吉,094-284-7387,佐賀県　鳥栖市　本鳥栖町　1512-8,佐賀県鳥栖市本鳥栖町１５１２－８,,205243,佐賀県,鳥栖市,本鳥栖町,,,飲食店営業,,　,2300002009684,408-412_佐賀県_佐賀県一括_食品衛生(許可)_2022年01月まで全件_末日_新法,M,76,,,カメヤベカリカフェ鍋島店20475641201,3bd73b52-b4c7-49c4-b2f2-6eaa11834b3a,有限会社ビリーブ205243,38aec1a0-8a63-4fd2-b5e1-fdca8b7228cf,6676b3e0-9d7d-4700-ac1e-a32b2e33dcaf,2021/10/20,カメヤベーカリーカフェ鍋島店,カメヤベカリカフェ鍋島店,有限会社ビリーブ
2300002009684,有限会社　ビリーブ,亀川信吉,8410026,佐賀県,鳥栖市,本鳥栖町,1512-8,,094-284-7387,0942847386,カメヤベーカリーカフェ鍋島店,8490936,佐賀県,佐賀市,鍋島町森田,三木椎618-11,,,⑪ 菓子製造業,,2021/10/20,2021/10/20,2027/11/30,　,,408,カメヤベーカリーカフェ鍋島店,0952,,,,,佐賀県　佐賀市　鍋島町森田　三木椎618-11,佐賀県佐賀市鍋島町森田三木椎６１８－１１,,204756,41,41201,鍋島町森田,,,2021/10/20,2021/10/20,2027/11/30,有限会社　ビリーブ,亀川信吉,094-284-7387,佐賀県　鳥栖市　本鳥栖町　1512-8,佐賀県鳥栖市本鳥栖町１５１２－８,,205243,佐賀県,鳥栖市,本鳥栖町,,,菓子製造業,,　,2300002009684,408-412_佐賀県_佐賀県一括_食品衛生(許可)_2022年01月まで全件_末日_新法,E,9,,,カメヤベカリカフェ鍋島店20475641201,3bd73b52-b4c7-49c4-b2f2-6eaa11834b3a,有限会社ビリーブ205243,38aec1a0-8a63-4fd2-b5e1-fdca8b7228cf,45dff8df-679b-4cbf-8279-7531ff8e893d,2021/10/20,カメヤベーカリーカフェ鍋島店,カメヤベカリカフェ鍋島店,有限会社ビリーブ
3300002008586,有限会社　山下精肉店,山下輝子,8440018,佐賀県,西松浦郡有田町,本町丙,９９９－４,,0955-43-2944,,有限会社　山下精肉店,8440018,佐賀県,西松浦郡有田町,本町丙,９９９－４,,0955-43-2944,① 飲食店営業,,2021/11/30,2021/12/1,2027/11/30,　,,411,有限会社　山下精肉店,0955,0955-43-2944,,,,佐賀県　西松浦郡有田町　本町丙　９９９－４,佐賀県西松浦郡有田町本町丙９９９－４,,205664,41,41401,本町丙,,,2021/11/30,2021/12/01,2027/11/30,有限会社　山下精肉店,山下輝子,0955-43-2944,佐賀県　西松浦郡有田町　本町丙　９９９－４,佐賀県西松浦郡有田町本町丙９９９－４,,205664,佐賀県,西松浦郡有田町,本町丙,,,飲食店営業,,　,3300002008586,408-412_佐賀県_佐賀県一括_食品衛生(許可)_2022年01月まで全件_末日_新法,M,76,,,有限会社山下精肉店0955-43-294420566441401,b1745b12-8659-414b-bfc9-879d044a9658,有限会社山下精肉店205664,3df33c6d-0938-4b41-ae4b-cd74e88d713f,68311c58-847c-47e0-89f9-e1a2275f3c95,2021/11/30,有限会社山下精肉店,有限会社山下精肉店,有限会社山下精肉店
