https://docs.google.com/spreadsheets/d/1Qy3el1DFIpxtm3-VIAdZlBmEHual1CU39oB_urGxiyI/edit#gid=508940504,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
163,n処理終了,,,,,,,,,,d08_import_license_datas,完了,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
施設名,申請者1,確認番号,許可年月日,申請区分,施設-住所1,施設-住所0,施設-住所2,施設-マンション名,業種,施設-電話番号1,ここまで,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
屋号または商号,営業者氏名,許可番号,許可年月日,申請種別,,施設所在地,,,業種,営業所電話番号,,管轄保健所,名称,市外局番,電話番号,施設の郵便番号,緯度,経度,施設の住所（元住所）,施設の住所（整備）,施設マンション名,施設-住所コード,施設-都道府県,施設-郡・政令市・市区町村名,施設-大字名・字名,申請年月日,開業年月日,許可年月日,許可期間開始日,許可期間終了日,申請法人,申請者氏名(個人名),申請者（開設者）の電話番号,申請者の住所（元住所）,申請者の住所（整備）,申請マンション名,申請-住所コード,申請-都道府県,申請-郡・政令市・市区町村名,申請-大字名・字名,確認番号,申請区分,業種,業態,その他,法人番号,シート名,産業分類大,産業分類中,産業分類小,産業分類詳細,facility_idを識別するための文字列,店舗コード,company_idを識別するための文字列,法人コード,ライセンスコード,検索用日付,整備名称,整備名称2,整備申請法人
サミットストア志村店,サミット株式会社,3板保生食ほ 第  810号,令和03年11月10日,新規,東京都,板橋区志村三丁目26番4号,板橋区志村３丁目２６番４号,,魚介類販売業,5916-3210,,198,サミットストア志村店,03,03-5916-3210,,,,東京都　板橋区志村３丁目２６番４号,東京都板橋区志村３丁目２６番４号,,75080,13,13119,志村３,,,2021/11/10,,,サミット株式会社,,,,,,,,,,3板保生食ほ 第  810号,新規,魚介類販売業,,,,198_東京都_板橋区保健所_食品衛生(許可)_2021年11月-2021年12月_末日_新規、変更、廃止(1),I,58,,,サミットストア志村店03-5916-32107508013119,b51560ff-8e78-4d08-9800-d24b3560e783,サミット株式会社,6b629076-ad14-44ec-bd5f-e1df641ca0d1,d2bfe8f5-f571-4cd4-9252-7b2410d85a52,2021/11/10,サミットストア志村店,サミットストア志村店,サミット株式会社
クッキーハウスＣｏｓｍｏｓ,社会福祉法人にりん草,3板保生食ほ 第  770号,令和03年11月08日,新規,東京都,板橋区高島平八丁目6番10号　１０１,板橋区高島平８丁目６番１０号,１０１,菓子製造業,3936-8506,,198,クッキーハウスＣｏｓｍｏｓ,03,03-3936-8506,,,,東京都　板橋区高島平８丁目６番１０号,東京都板橋区高島平８丁目６番１０号,１０１,75091,13,13119,高島平８,,,2021/11/08,,,社会福祉法人にりん草,,,,,,,,,,3板保生食ほ 第  770号,新規,菓子製造業,,,,198_東京都_板橋区保健所_食品衛生(許可)_2021年11月-2021年12月_末日_新規、変更、廃止(1),E,9,,,クッキハウスＣｏｓｍｏｓ03-3936-85067509113119,e6a7e2aa-f5d9-4558-a6f2-6691c23acf2a,社会福祉法人にりん草,b4d23359-6fae-4be7-8b9b-9981d316c6cd,bfb5b2d4-9abb-4c40-a4c6-c5cfb463b955,2021/11/08,クッキーハウスＣｏｓｍｏｓ,クッキハウスＣｏｓｍｏｓ,社会福祉法人にりん草
株式会社イトーヨーカ堂上板橋店,株式会社イトーヨーカ堂,3板保生食ほ 第  803号,令和03年11月05日,新規,東京都,板橋区常盤台四丁目26番1号,板橋区常盤台４丁目２６番１号,,飲食店営業,3936-4411,,198,株式会社イトーヨーカ堂上板橋店,03,03-3936-4411,,,,東京都　板橋区常盤台４丁目２６番１号,東京都板橋区常盤台４丁目２６番１号,,75097,13,13119,常盤台４,,,2021/11/05,,,株式会社イトーヨーカ堂,,,,,,,,,,3板保生食ほ 第  803号,新規,飲食店営業,,,,198_東京都_板橋区保健所_食品衛生(許可)_2021年11月-2021年12月_末日_新規、変更、廃止(1),M,76,,,株式会社イトヨカ堂上板橋店03-3936-44117509713119,c7be9b07-c521-48a5-9924-7c0875327886,株式会社イトーヨーカ堂,69fc934f-7506-42b6-bdf1-0eb2beda404c,ec30b0a5-e1a4-46e8-bb6f-609489732f4a,2021/11/05,株式会社イトーヨーカ堂上板橋店,株式会社イトヨカ堂上板橋店,株式会社イトーヨーカ堂
カラオケ・バー・セブ,ＲＯＤＲＩＧＵＥＺ　ＲＩＴＺＩ　ＪＥＡＮ　ＤＡＧＡＴＡＮ,3板保生食ほ 第  798号,令和03年11月05日,新規,東京都,板橋区常盤台四丁目33番14号　新井ビル３０３,板橋区常盤台４丁目３３番１４号, 新井ビル３０３,飲食店営業,6912-3022,,198,カラオケ・バー・セブ,03,03-6912-3022,,,,東京都　板橋区常盤台４丁目３３番１４号,東京都板橋区常盤台４丁目３３番１４号, 新井ビル３０３,75097,13,13119,常盤台４,,,2021/11/05,,,,ＲＯＤＲＩＧＵＥＺ　ＲＩＴＺＩ　ＪＥＡＮ　ＤＡＧＡＴＡＮ,,,,,,,,,3板保生食ほ 第  798号,新規,飲食店営業,,,,198_東京都_板橋区保健所_食品衛生(許可)_2021年11月-2021年12月_末日_新規、変更、廃止(1),M,76,,,カラオケバセブ03-6912-30227509713119,db74207a-e110-4fdd-b7cb-3cd1add86739,,personal,2b95a56c-7aa2-44c2-83a5-30540e972b73,2021/11/05,カラオケ・バー・セブ,カラオケバセブ,
珈琲屋らびっと,濱　秀雄,3板保生食ほ 第  733号,令和03年11月02日,新規,東京都,板橋区徳丸三丁目13番10号,板橋区徳丸３丁目１３番１０号,,飲食店営業,3933-2601,,198,珈琲屋らびっと,03,03-3933-2601,,,,東京都　板橋区徳丸３丁目１３番１０号,東京都板橋区徳丸３丁目１３番１０号,,75100,13,13119,徳丸３,,,2021/11/02,,,,濱　秀雄,,,,,,,,,3板保生食ほ 第  733号,新規,飲食店営業,,,,198_東京都_板橋区保健所_食品衛生(許可)_2021年11月-2021年12月_末日_新規、変更、廃止(1),M,76,,,珈琲屋らびっと03-3933-26017510013119,e66f1e4c-3ca4-4521-8aed-5608c920ce8e,,personal,7214616e-2322-4d1b-b07d-167dc5a8e591,2021/11/02,珈琲屋らびっと,珈琲屋らびっと,
食堂　髙ひろ,日牟禮屋株式会社,3板保生食ほ 第  726号,令和03年11月01日,新規,東京都,板橋区中板橋14番11号,板橋区中板橋１４番１１号,,飲食店営業,6315-2915,,198,食堂　髙ひろ,03,03-6315-2915,,,,東京都　板橋区中板橋１４番１１号,東京都板橋区中板橋１４番１１号,,75106,13,13119,中板橋,,,2021/11/01,,,日牟禮屋株式会社,,,,,,,,,,3板保生食ほ 第  726号,新規,飲食店営業,,,,198_東京都_板橋区保健所_食品衛生(許可)_2021年11月-2021年12月_末日_新規、変更、廃止(1),M,76,,,食堂髙ひろ03-6315-29157510613119,1f1953f4-2709-4a7f-8a03-e2750faea2fc,日牟禮屋株式会社,5e3e5071-4899-4942-8a7b-738cc1e1919d,8bccdc73-c42a-4464-8ecd-57f26017ce27,2021/11/01,食堂　髙ひろ,食堂髙ひろ,日牟禮屋株式会社
ハスナム,株式会社フェラム,3板保生食ほ 第  746号,令和03年11月01日,新規,東京都,板橋区中台一丁目37番1号　ドミール上板橋１Ｆ,板橋区中台１丁目３７番１号, ドミール上板橋１Ｆ,飲食店営業,,,198,ハスナム,03,,,,,東京都　板橋区中台１丁目３７番１号,東京都板橋区中台１丁目３７番１号, ドミール上板橋１Ｆ,75108,13,13119,中台１,,,2021/11/01,,,株式会社フェラム,,,,,,,,,,3板保生食ほ 第  746号,新規,飲食店営業,,,,198_東京都_板橋区保健所_食品衛生(許可)_2021年11月-2021年12月_末日_新規、変更、廃止(1),M,76,,,ハスナム7510813119,0391499e-00c9-49c6-ab89-441af2ad8c73,株式会社フェラム,5294e727-6042-4777-baac-eff2d8edfc16,d767a8c9-aa0a-42b7-83a2-f64e77ca36ac,2021/11/01,ハスナム,ハスナム,株式会社フェラム
ローソン西台店,有限会社いいすとわん,3板保生食ほ 第  837号,令和03年11月12日,新規,東京都,板橋区西台二丁目24番21号,板橋区西台２丁目２４番２１号,,飲食店営業,3935-5732,,198,ローソン西台店,03,03-3935-5732,,,,東京都　板橋区西台２丁目２４番２１号,東京都板橋区西台２丁目２４番２１号,,75119,13,13119,西台２,,,2021/11/12,,,有限会社いいすとわん,,,,,,,,,,3板保生食ほ 第  837号,新規,飲食店営業,,,,198_東京都_板橋区保健所_食品衛生(許可)_2021年11月-2021年12月_末日_新規、変更、廃止(1),M,76,,,ロソン西台店03-3935-57327511913119,8ea94566-a63f-4b55-bf78-47f8b27f54d7,有限会社いいすとわん,3bde8702-7f2b-4556-bd97-89e4c4bc18cd,cbf48162-b8d8-4ebd-8cf9-76c17f6d2486,2021/11/12,ローソン西台店,ロソン西台店,有限会社いいすとわん
酒処　園,小原　ヒロ子,3板保生食ほ 第  749号,令和03年11月10日,新規,東京都,板橋区蓮根二丁目21番8号,板橋区蓮根２丁目２１番８号,,飲食店営業,,,198,酒処　園,03,,,,,東京都　板橋区蓮根２丁目２１番８号,東京都板橋区蓮根２丁目２１番８号,,75124,13,13119,蓮根２,,,2021/11/10,,,,小原　ヒロ子,,,,,,,,,3板保生食ほ 第  749号,新規,飲食店営業,,,,198_東京都_板橋区保健所_食品衛生(許可)_2021年11月-2021年12月_末日_新規、変更、廃止(1),M,76,,,酒処園7512413119,216a3294-2e20-4e89-8554-743393b71066,,personal,339dc99a-fe5d-4188-9766-6aff8e8e7a44,2021/11/10,酒処　園,酒処園,
とびっきりそば　イオン板橋前野町店,株式会社インクリースビル,3板保生食ほ 第  747号,令和03年11月05日,新規,東京都,板橋区前野町四丁目21番22号,板橋区前野町４丁目２１番２２号,,飲食店営業,3949-7111,,198,とびっきりそば　イオン板橋前野町店,03,03-3949-7111,,,,東京都　板橋区前野町４丁目２１番２２号,東京都板橋区前野町４丁目２１番２２号,,75142,13,13119,前野町４,,,2021/11/05,,,株式会社インクリースビル,,,,,,,,,,3板保生食ほ 第  747号,新規,飲食店営業,,,,198_東京都_板橋区保健所_食品衛生(許可)_2021年11月-2021年12月_末日_新規、変更、廃止(1),M,76,,,とびっきりそばイオン板橋前野町店03-3949-71117514213119,f71cd595-2b3e-4a77-ac2b-dde412f5f188,株式会社インクリースビル,7cc61a02-d425-44dd-9e61-43c21a0e99f6,b80c0fee-69e6-4f0a-8a01-7801bb611dd4,2021/11/05,とびっきりそば　イオン板橋前野町店,とびっきりそばイオン板橋前野町店,株式会社インクリースビル
