https://docs.google.com/spreadsheets/d/1Qy3el1DFIpxtm3-VIAdZlBmEHual1CU39oB_urGxiyI/edit#gid=508940504,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
163,n処理終了,,,,,,,,,,d08_import_license_datas,完了,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
施設名,申請者1,確認番号,許可年月日,申請区分,施設-住所1,施設-住所0,施設-住所2,施設-マンション名,業種,施設-電話番号1,ここまで,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
屋号または商号,営業者氏名,許可番号,許可年月日,申請種別,,施設所在地,,,業種,営業所電話番号,,管轄保健所,名称,市外局番,電話番号,施設の郵便番号,緯度,経度,施設の住所（元住所）,施設の住所（整備）,施設マンション名,施設-住所コード,施設-都道府県,施設-郡・政令市・市区町村名,施設-大字名・字名,申請年月日,開業年月日,許可年月日,許可期間開始日,許可期間終了日,申請法人,申請者氏名(個人名),申請者（開設者）の電話番号,申請者の住所（元住所）,申請者の住所（整備）,申請マンション名,申請-住所コード,申請-都道府県,申請-郡・政令市・市区町村名,申請-大字名・字名,確認番号,申請区分,業種,業態,その他,法人番号,シート名,産業分類大,産業分類中,産業分類小,産業分類詳細,facility_idを識別するための文字列,店舗コード,company_idを識別するための文字列,法人コード,ライセンスコード,検索用日付,整備名称,整備名称2,整備申請法人
Ｃａｓｕａｌ Ｂａｒ ＣｏＣｏ,株式会社ＣｏＣｏ,3板保生食ほ 第  824号,令和03年11月08日,新規,東京都,板橋区南常盤台一丁目28番2号　田中ビル２０１,板橋区南常盤台１丁目２８番２号, 田中ビル２０１,飲食店営業,,,198,Ｃａｓｕａｌ Ｂａｒ ＣｏＣｏ,03,,,,,東京都　板橋区南常盤台１丁目２８番２号,東京都板橋区南常盤台１丁目２８番２号, 田中ビル２０１,75148,13,13119,南常盤台１,,,2021/11/08,,,株式会社ＣｏＣｏ,,,,,,,,,,3板保生食ほ 第  824号,新規,飲食店営業,,,,198_東京都_板橋区保健所_食品衛生(許可)_2021年11月-2021年12月_末日_新規、変更、廃止(1),M,76,,,ＣａｓｕａｌＢａｒＣｏＣｏ7514813119,8c647268-7ef3-4427-b795-c6c36714f7f7,株式会社ＣｏＣｏ,0a08b8ff-6e01-4a60-b95e-7af4760b0746,65fc4f60-3a61-4c9f-af67-ac0d94427f0d,2021/11/08,Ｃａｓｕａｌ　Ｂａｒ　ＣｏＣｏ,ＣａｓｕａｌＢａｒＣｏＣｏ,株式会社ＣｏＣｏ
珈琲屋珈夢居,飯塚　博,3板保生食ほ 第  736号,令和03年11月11日,新規,東京都,板橋区南常盤台二丁目14番1号,板橋区南常盤台２丁目１４番１号,,飲食店営業,3956-7553,,198,珈琲屋珈夢居,03,03-3956-7553,,,,東京都　板橋区南常盤台２丁目１４番１号,東京都板橋区南常盤台２丁目１４番１号,,75149,13,13119,南常盤台２,,,2021/11/11,,,,飯塚　博,,,,,,,,,3板保生食ほ 第  736号,新規,飲食店営業,,,,198_東京都_板橋区保健所_食品衛生(許可)_2021年11月-2021年12月_末日_新規、変更、廃止(1),M,76,,,珈琲屋珈夢居03-3956-75537514913119,2b9bda57-fff7-4dff-aec7-1865d84382ae,,personal,4896a783-ba07-439c-8886-39dfb732aadc,2021/11/11,珈琲屋珈夢居,珈琲屋珈夢居,
Ｌｅｔ’ｓ　Ｅａｔ,ＩＪＣコーポレーション日本合同会社,3板保生食ほ 第  834号,令和03年11月09日,新規,東京都,都内一円,都内一円,,飲食店営業（自動車）,,,198,Ｌｅｔ’ｓ　Ｅａｔ,,,,,,東京都　都内一円,東京都都内一円,,,13,,,,,2021/11/09,,,ＩＪＣコーポレーション日本合同会社,,,,,,,,,,3板保生食ほ 第  834号,新規,飲食店営業,自動車,,,198_東京都_板橋区保健所_食品衛生(許可)_2021年11月-2021年12月_末日_新規、変更、廃止(1),M,76,,,ＬｅｔｓＥａｔ,8d345fb4-cc3c-44d4-873b-bfb4f873d865,ＩＪＣコーポレーション日本合同会社,d1f027ec-7151-462e-bade-ef4d970629be,bfec8567-f3ee-41f1-8f8c-939a364de207,2021/11/09,Ｌｅｔ＇ｓ　Ｅａｔ,ＬｅｔｓＥａｔ,ＩＪＣコーポレーション日本合同会社
鳥頂点,株式会社ｃｏｎｃｒｅｎｇｅ,3板保生食ほ 第  856号,令和03年11月25日,新規,東京都,板橋区赤塚二丁目2番17号,板橋区赤塚２丁目２番１７号,,飲食店営業,6904-0170,,198,鳥頂点,03,03-6904-0170,,,,東京都　板橋区赤塚２丁目２番１７号,東京都板橋区赤塚２丁目２番１７号,,75029,13,13119,赤塚２,,,2021/11/25,,,株式会社ｃｏｎｃｒｅｎｇｅ,,,,,,,,,,3板保生食ほ 第  856号,新規,飲食店営業,,,,198_東京都_板橋区保健所_食品衛生(許可)_2021年11月-2021年12月_末日_新規、変更、廃止(1),M,76,,,鳥頂点03-6904-01707502913119,38d2d0c2-4acd-47bb-ae4b-24bd77b1d420,株式会社ｃｏｎｃｒｅｎｇｅ,0b5e3b07-340e-4783-8c4a-8ea7dd2d6ed1,eefd0312-77b7-4135-90e1-2f0f14970ba0,2021/11/25,鳥頂点,鳥頂点,株式会社ｃｏｎｃｒｅｎｇｅ
美かさ,金子　由美子,3板保生食ほ 第  840号,令和03年11月16日,新規,東京都,板橋区赤塚二丁目22番16号　皆月荘１Ｆ,板橋区赤塚２丁目２２番１６号, 皆月荘１Ｆ,飲食店営業,,,198,美かさ,03,,,,,東京都　板橋区赤塚２丁目２２番１６号,東京都板橋区赤塚２丁目２２番１６号, 皆月荘１Ｆ,75029,13,13119,赤塚２,,,2021/11/16,,,,金子　由美子,,,,,,,,,3板保生食ほ 第  840号,新規,飲食店営業,,,,198_東京都_板橋区保健所_食品衛生(許可)_2021年11月-2021年12月_末日_新規、変更、廃止(1),M,76,,,美かさ7502913119,87439e45-43b3-407a-a6ce-0997e599122f,,personal,f83e8afc-7374-4912-af28-00eda8d68b99,2021/11/16,美かさ,美かさ,
ちゅらさん,國吉　清司,3板保生食ほ 第  814号,令和03年11月17日,新規,東京都,板橋区赤塚新町二丁目2番13号,板橋区赤塚新町２丁目２番１３号,,飲食店営業,3976-2007,,198,ちゅらさん,03,03-3976-2007,,,,東京都　板橋区赤塚新町２丁目２番１３号,東京都板橋区赤塚新町２丁目２番１３号,,75037,13,13119,赤塚新町２,,,2021/11/17,,,,國吉　清司,,,,,,,,,3板保生食ほ 第  814号,新規,飲食店営業,,,,198_東京都_板橋区保健所_食品衛生(許可)_2021年11月-2021年12月_末日_新規、変更、廃止(1),M,76,,,ちゅらさん03-3976-20077503713119,d7f17dd6-26f5-4f8a-8835-93f5b06875d4,,personal,00485876-55a2-47b6-9207-06d9cd5d21e5,2021/11/17,ちゅらさん,ちゅらさん,
ケンタッキーフライドチキンセブンタウン小豆沢店,山中産業株式会社,3板保生食ほ 第  763号,令和03年11月17日,新規,東京都,板橋区小豆沢三丁目9番5号,板橋区小豆沢３丁目９番５号,,飲食店営業,3965-7791,,198,ケンタッキーフライドチキンセブンタウン小豆沢店,03,03-3965-7791,,,,東京都　板橋区小豆沢３丁目９番５号,東京都板橋区小豆沢３丁目９番５号,,75041,13,13119,小豆沢３,,,2021/11/17,,,山中産業株式会社,,,,,,,,,,3板保生食ほ 第  763号,新規,飲食店営業,,,,198_東京都_板橋区保健所_食品衛生(許可)_2021年11月-2021年12月_末日_新規、変更、廃止(1),M,76,,,ケンタッキフライドチキンセブンタウン小豆沢店03-3965-77917504113119,b03299cf-2db8-4105-8875-41990f3c764d,山中産業株式会社,d7925e5f-59cc-43a6-9e4a-fd4714e28b8d,47c70898-ca77-40c4-a49b-62d009d06635,2021/11/17,ケンタッキーフライドチキンセブンタウン小豆沢店,ケンタッキフライドチキンセブンタウン小豆沢店,山中産業株式会社
ゆ～らんど,田中　純一郎,3板保生食ほ 第  846号,令和03年11月25日,新規,東京都,板橋区板橋一丁目41番13号,板橋区板橋１丁目４１番１３号,,飲食店営業,3579-1126,,198,ゆ～らんど,03,03-3579-1126,,,,東京都　板橋区板橋１丁目４１番１３号,東京都板橋区板橋１丁目４１番１３号,,75044,13,13119,板橋１,,,2021/11/25,,,,田中　純一郎,,,,,,,,,3板保生食ほ 第  846号,新規,飲食店営業,,,,198_東京都_板橋区保健所_食品衛生(許可)_2021年11月-2021年12月_末日_新規、変更、廃止(1),M,76,,,ゆらんど03-3579-11267504413119,cb34ce8c-f95b-4f42-8e22-dcafea5561d0,,personal,acd5eb4f-08b6-4ed2-a4f1-475033e6ea6e,2021/11/25,ゆ～らんど,ゆらんど,
すし処ととや,村岡　忠志,3板保生食ほ 第  737号,令和03年11月19日,新規,東京都,板橋区板橋一丁目49番11号　加藤第２ビル,板橋区板橋１丁目４９番１１号, 加藤第２ビル,飲食店営業,3964-0091,,198,すし処ととや,03,03-3964-0091,,,,東京都　板橋区板橋１丁目４９番１１号,東京都板橋区板橋１丁目４９番１１号, 加藤第２ビル,75044,13,13119,板橋１,,,2021/11/19,,,,村岡　忠志,,,,,,,,,3板保生食ほ 第  737号,新規,飲食店営業,,,,198_東京都_板橋区保健所_食品衛生(許可)_2021年11月-2021年12月_末日_新規、変更、廃止(1),M,76,,,すし処ととや03-3964-00917504413119,67ca8c17-6c85-4352-8ff3-def72d79d055,,personal,f3299fc1-716a-4d7b-a1f8-6fe08e99faba,2021/11/19,すし処ととや,すし処ととや,
暖おかえり,Ｊ・ルートジャパン株式会社,3板保生食ほ 第  877号,令和03年11月22日,新規,東京都,板橋区板橋一丁目54番12号,板橋区板橋１丁目５４番１２号,,飲食店営業,5961-2485,,198,暖おかえり,03,03-5961-2485,,,,東京都　板橋区板橋１丁目５４番１２号,東京都板橋区板橋１丁目５４番１２号,,75044,13,13119,板橋１,,,2021/11/22,,,Ｊ・ルートジャパン株式会社,,,,,,,,,,3板保生食ほ 第  877号,新規,飲食店営業,,,,198_東京都_板橋区保健所_食品衛生(許可)_2021年11月-2021年12月_末日_新規、変更、廃止(1),M,76,,,暖おかえり03-5961-24857504413119,762711bc-bd16-409a-bd9a-757d0d0d8c01,Ｊ・ルートジャパン株式会社,72163cc3-bfac-4034-9df0-881873f78178,fecd81da-e74c-45a1-b55f-8a983a015873,2021/11/22,暖おかえり,暖おかえり,Ｊ・ルートジャパン株式会社
十寿焼肉,橋爪　進,3板保生食ほ 第  828号,令和03年11月19日,新規,東京都,板橋区板橋二丁目23番2号,板橋区板橋２丁目２３番２号,,飲食店営業,3964-7626,,198,十寿焼肉,03,03-3964-7626,,,,東京都　板橋区板橋２丁目２３番２号,東京都板橋区板橋２丁目２３番２号,,75045,13,13119,板橋２,,,2021/11/19,,,,橋爪　進,,,,,,,,,3板保生食ほ 第  828号,新規,飲食店営業,,,,198_東京都_板橋区保健所_食品衛生(許可)_2021年11月-2021年12月_末日_新規、変更、廃止(1),M,76,,,十寿焼肉03-3964-76267504513119,6f2a3282-0f4b-4e0d-a4a1-6857509e2bdd,,personal,5cc4127f-8655-42a3-9e4b-d6dc640cea77,2021/11/19,十寿焼肉,十寿焼肉,
株式会社よしや大谷口店,株式会社よしや,3板保生食ほ 第  826号,令和03年11月18日,新規,東京都,板橋区大谷口二丁目66番1号,板橋区大谷口２丁目６６番１号,,飲食店営業,3972-1411,,198,株式会社よしや大谷口店,03,03-3972-1411,,,,東京都　板橋区大谷口２丁目６６番１号,東京都板橋区大谷口２丁目６６番１号,,75051,13,13119,大谷口２,,,2021/11/18,,,株式会社よしや,,,,,,,,,,3板保生食ほ 第  826号,新規,飲食店営業,,,,198_東京都_板橋区保健所_食品衛生(許可)_2021年11月-2021年12月_末日_新規、変更、廃止(1),M,76,,,株式会社よしや大谷口店03-3972-14117505113119,415c083f-21c2-4c0c-8863-92bf432dd3e2,株式会社よしや,017532f6-5cd9-46bf-8d81-0a2007e7f32b,6f8a712b-1039-4979-b723-2b0a1e24aa78,2021/11/18,株式会社よしや大谷口店,株式会社よしや大谷口店,株式会社よしや
株式会社よしや大谷口店,株式会社よしや,3板保生食ほ 第  827号,令和03年11月18日,新規,東京都,板橋区大谷口二丁目66番1号,板橋区大谷口２丁目６６番１号,,魚介類販売業,3972-1411,,198,株式会社よしや大谷口店,03,03-3972-1411,,,,東京都　板橋区大谷口２丁目６６番１号,東京都板橋区大谷口２丁目６６番１号,,75051,13,13119,大谷口２,,,2021/11/18,,,株式会社よしや,,,,,,,,,,3板保生食ほ 第  827号,新規,魚介類販売業,,,,198_東京都_板橋区保健所_食品衛生(許可)_2021年11月-2021年12月_末日_新規、変更、廃止(1),I,58,,,株式会社よしや大谷口店03-3972-14117505113119,415c083f-21c2-4c0c-8863-92bf432dd3e2,株式会社よしや,017532f6-5cd9-46bf-8d81-0a2007e7f32b,6a9a5223-93a5-4c22-964b-a1df91202a37,2021/11/18,株式会社よしや大谷口店,株式会社よしや大谷口店,株式会社よしや
ファミリーマート板橋日大病院前店,伊東　信太郎,3板保生食ほ 第  835号,令和03年11月22日,新規,東京都,板橋区大谷口上町31番1号,板橋区大谷口上町３１番１号,,飲食店営業,5917-2038,,198,ファミリーマート板橋日大病院前店,03,03-5917-2038,,,,東京都　板橋区大谷口上町３１番１号,東京都板橋区大谷口上町３１番１号,,75052,13,13119,大谷口上町,,,2021/11/22,,,,伊東　信太郎,,,,,,,,,3板保生食ほ 第  835号,新規,飲食店営業,,,,198_東京都_板橋区保健所_食品衛生(許可)_2021年11月-2021年12月_末日_新規、変更、廃止(1),M,76,,,ファミリマト板橋日大病院前店03-5917-20387505213119,2c09900c-c71f-4911-a9e4-ee1bb1c04f99,,personal,2d134301-7988-4d92-bbfa-94404ee48d26,2021/11/22,ファミリーマート板橋日大病院前店,ファミリマト板橋日大病院前店,
オーケー株式会社大谷口店,オーケー株式会社,3板保生食ほ 第  817号,令和03年11月16日,新規,東京都,板橋区大谷口北町37番7号,板橋区大谷口北町３７番７号,,飲食店営業,6905-8252,,198,オーケー株式会社大谷口店,03,03-6905-8252,,,,東京都　板橋区大谷口北町３７番７号,東京都板橋区大谷口北町３７番７号,,75053,13,13119,大谷口北町,,,2021/11/16,,,オーケー株式会社,,,,,,,,,,3板保生食ほ 第  817号,新規,飲食店営業,,,,198_東京都_板橋区保健所_食品衛生(許可)_2021年11月-2021年12月_末日_新規、変更、廃止(1),M,76,,,オケ株式会社大谷口店03-6905-82527505313119,60dbf558-a3b3-469d-9669-7b060a2a6ed2,オーケー株式会社,cba1568c-ddd9-4770-a291-087695752cc5,2b3a640b-d5de-4edd-8b1c-8ca03c46a4d9,2021/11/16,オーケー株式会社大谷口店,オケ株式会社大谷口店,オーケー株式会社
オーケー株式会社大谷口店,オーケー株式会社,3板保生食ほ 第  819号,令和03年11月16日,新規,東京都,板橋区大谷口北町37番7号,板橋区大谷口北町３７番７号,,食肉販売業,6905-8252,,198,オーケー株式会社大谷口店,03,03-6905-8252,,,,東京都　板橋区大谷口北町３７番７号,東京都板橋区大谷口北町３７番７号,,75053,13,13119,大谷口北町,,,2021/11/16,,,オーケー株式会社,,,,,,,,,,3板保生食ほ 第  819号,新規,食肉販売業,,,,198_東京都_板橋区保健所_食品衛生(許可)_2021年11月-2021年12月_末日_新規、変更、廃止(1),I,58,583,,オケ株式会社大谷口店03-6905-82527505313119,60dbf558-a3b3-469d-9669-7b060a2a6ed2,オーケー株式会社,cba1568c-ddd9-4770-a291-087695752cc5,b943f9d8-4553-4cb8-b011-40eb0b794cd1,2021/11/16,オーケー株式会社大谷口店,オケ株式会社大谷口店,オーケー株式会社
オーケー株式会社大谷口店,オーケー株式会社,3板保生食ほ 第  820号,令和03年11月16日,新規,東京都,板橋区大谷口北町37番7号,板橋区大谷口北町３７番７号,,魚介類販売業,6905-8252,,198,オーケー株式会社大谷口店,03,03-6905-8252,,,,東京都　板橋区大谷口北町３７番７号,東京都板橋区大谷口北町３７番７号,,75053,13,13119,大谷口北町,,,2021/11/16,,,オーケー株式会社,,,,,,,,,,3板保生食ほ 第  820号,新規,魚介類販売業,,,,198_東京都_板橋区保健所_食品衛生(許可)_2021年11月-2021年12月_末日_新規、変更、廃止(1),I,58,,,オケ株式会社大谷口店03-6905-82527505313119,60dbf558-a3b3-469d-9669-7b060a2a6ed2,オーケー株式会社,cba1568c-ddd9-4770-a291-087695752cc5,60eb274d-54d2-4b6f-892f-05bc163d6481,2021/11/16,オーケー株式会社大谷口店,オケ株式会社大谷口店,オーケー株式会社
オーケー株式会社大谷口店,オーケー株式会社,3板保生食ほ 第  821号,令和03年11月16日,新規,東京都,板橋区大谷口北町37番7号,板橋区大谷口北町３７番７号,,菓子製造業,6905-8252,,198,オーケー株式会社大谷口店,03,03-6905-8252,,,,東京都　板橋区大谷口北町３７番７号,東京都板橋区大谷口北町３７番７号,,75053,13,13119,大谷口北町,,,2021/11/16,,,オーケー株式会社,,,,,,,,,,3板保生食ほ 第  821号,新規,菓子製造業,,,,198_東京都_板橋区保健所_食品衛生(許可)_2021年11月-2021年12月_末日_新規、変更、廃止(1),E,9,,,オケ株式会社大谷口店03-6905-82527505313119,60dbf558-a3b3-469d-9669-7b060a2a6ed2,オーケー株式会社,cba1568c-ddd9-4770-a291-087695752cc5,76a04070-e3a7-47f3-8751-e68ffca68583,2021/11/16,オーケー株式会社大谷口店,オケ株式会社大谷口店,オーケー株式会社
文月,前田　富美,3板保生食ほ 第  838号,令和03年11月16日,新規,東京都,板橋区大山金井町38番1号1F,板橋区大山金井町３８番１号,１F,飲食店営業,,,198,文月,03,,,,,東京都　板橋区大山金井町３８番１号,東京都板橋区大山金井町３８番１号,１F,75054,13,13119,大山金井町,,,2021/11/16,,,,前田　富美,,,,,,,,,3板保生食ほ 第  838号,新規,飲食店営業,,,,198_東京都_板橋区保健所_食品衛生(許可)_2021年11月-2021年12月_末日_新規、変更、廃止(1),M,76,,,文月7505413119,ea731f71-0d2a-4123-8815-2eab6b37499b,,personal,5a795d51-fc1c-4024-8232-3f7e109ea983,2021/11/16,文月,文月,
茶処ＰＯＮ-ＰＯＫＯ,舘野　竜,3板保生食ほ 第  794号,令和03年11月24日,新規,東京都,板橋区大山金井町38番2号,板橋区大山金井町３８番２号,,飲食店営業,5926-3277,,198,茶処ＰＯＮ-ＰＯＫＯ,03,03-5926-3277,,,,東京都　板橋区大山金井町３８番２号,東京都板橋区大山金井町３８番２号,,75054,13,13119,大山金井町,,,2021/11/24,,,,舘野　竜,,,,,,,,,3板保生食ほ 第  794号,新規,飲食店営業,,,,198_東京都_板橋区保健所_食品衛生(許可)_2021年11月-2021年12月_末日_新規、変更、廃止(1),M,76,,,茶処ＰＯＮＰＯＫＯ03-5926-32777505413119,b34e77e3-44ee-4f10-9e7f-e7cbac47ec9e,,personal,4c629c0c-c5e8-455f-ad2d-db4dc3871126,2021/11/24,茶処ＰＯＮ－ＰＯＫＯ,茶処ＰＯＮＰＯＫＯ,
焼鳥とし,河野　昌彦,3板保生食ほ 第  797号,令和03年11月22日,新規,東京都,板橋区大山金井町38番9号,板橋区大山金井町３８番９号,,飲食店営業,,,198,焼鳥とし,03,,,,,東京都　板橋区大山金井町３８番９号,東京都板橋区大山金井町３８番９号,,75054,13,13119,大山金井町,,,2021/11/22,,,,河野　昌彦,,,,,,,,,3板保生食ほ 第  797号,新規,飲食店営業,,,,198_東京都_板橋区保健所_食品衛生(許可)_2021年11月-2021年12月_末日_新規、変更、廃止(1),M,76,,,焼鳥とし7505413119,1e3ba9aa-ed2b-44b4-88d5-f194db0f8986,,personal,695dc066-8e7c-44f3-89d8-331a905a2d76,2021/11/22,焼鳥とし,焼鳥とし,
一献,Ｍステージ株式会社,3板保生食ほ 第  844号,令和03年11月30日,新規,東京都,板橋区大山町6番6号　金子ビル１Ｆ,板橋区大山町６番６号, 金子ビル１Ｆ,飲食店営業,5926-6688,,198,一献,03,03-5926-6688,,,,東京都　板橋区大山町６番６号,東京都板橋区大山町６番６号, 金子ビル１Ｆ,75055,13,13119,大山町,,,2021/11/30,,,Ｍステージ株式会社,,,,,,,,,,3板保生食ほ 第  844号,新規,飲食店営業,,,,198_東京都_板橋区保健所_食品衛生(許可)_2021年11月-2021年12月_末日_新規、変更、廃止(1),M,76,,,一献03-5926-66887505513119,2c535fbd-963b-460b-bdcc-9772b1cbf113,Ｍステージ株式会社,81b3a232-7973-4293-83cc-208bd9e99de9,a3f52ee3-d08d-43f0-9416-d34d003a6daf,2021/11/30,一献,一献,Ｍステージ株式会社
串焼たつ,岩崎　ふたみ,3板保生食ほ 第  847号,令和03年11月17日,新規,東京都,板橋区大山町7番5号,板橋区大山町７番５号,,飲食店営業,3554-0811,,198,串焼たつ,03,03-3554-0811,,,,東京都　板橋区大山町７番５号,東京都板橋区大山町７番５号,,75055,13,13119,大山町,,,2021/11/17,,,,岩崎　ふたみ,,,,,,,,,3板保生食ほ 第  847号,新規,飲食店営業,,,,198_東京都_板橋区保健所_食品衛生(許可)_2021年11月-2021年12月_末日_新規、変更、廃止(1),M,76,,,串焼たつ03-3554-08117505513119,f671fc98-65d8-4bf0-8eee-85189401df8c,,personal,460186c7-98fd-4eac-9c2d-175af20650b3,2021/11/17,串焼たつ,串焼たつ,
大王マッコリ,栁井　章吾,3板保生食ほ 第  864号,令和03年11月22日,新規,東京都,板橋区大山町32番2号,板橋区大山町３２番２号,,飲食店営業,,,198,大王マッコリ,03,,,,,東京都　板橋区大山町３２番２号,東京都板橋区大山町３２番２号,,75055,13,13119,大山町,,,2021/11/22,,,,栁井　章吾,,,,,,,,,3板保生食ほ 第  864号,新規,飲食店営業,,,,198_東京都_板橋区保健所_食品衛生(許可)_2021年11月-2021年12月_末日_新規、変更、廃止(1),M,76,,,大王マッコリ7505513119,5ede213e-0f92-41cf-8ef4-f5cbf5e70005,,personal,5cb8ddd2-3630-4068-af3e-42f5791ae391,2021/11/22,大王マッコリ,大王マッコリ,
お酒の美術館　大山店,森川　愛蔵,3板保生食ほ 第  867号,令和03年11月22日,新規,東京都,板橋区大山東町25番17号　ベルドシールパインＢ１０２,板橋区大山東町２５番１７号, ベルドシールパインＢ１０２,飲食店営業,,,198,お酒の美術館　大山店,03,,,,,東京都　板橋区大山東町２５番１７号,東京都板橋区大山東町２５番１７号, ベルドシールパインＢ１０２,75057,13,13119,大山東町,,,2021/11/22,,,,森川　愛蔵,,,,,,,,,3板保生食ほ 第  867号,新規,飲食店営業,,,,198_東京都_板橋区保健所_食品衛生(許可)_2021年11月-2021年12月_末日_新規、変更、廃止(1),M,76,,,お酒の美術館大山店7505713119,9393593c-8d31-48e8-b757-c601df25ad63,,personal,31075430-f151-4113-90f7-2aead84b4d9f,2021/11/22,お酒の美術館　大山店,お酒の美術館大山店,
あづま,菊池　三郎,3板保生食ほ 第  830号,令和03年11月18日,新規,東京都,板橋区上板橋三丁目7番5号,板橋区上板橋３丁目７番５号,,飲食店営業,,,198,あづま,03,,,,,東京都　板橋区上板橋３丁目７番５号,東京都板橋区上板橋３丁目７番５号,,75062,13,13119,上板橋３,,,2021/11/18,,,,菊池　三郎,,,,,,,,,3板保生食ほ 第  830号,新規,飲食店営業,,,,198_東京都_板橋区保健所_食品衛生(許可)_2021年11月-2021年12月_末日_新規、変更、廃止(1),M,76,,,あづま7506213119,b32a3fae-e5b3-4ee6-82d6-418f8ac88b89,,personal,702a608d-b127-4d0f-86cd-720616c59a5b,2021/11/18,あづま,あづま,
居酒屋榛名,関口　佳聡,3板保生食ほ 第  839号,令和03年11月24日,新規,東京都,板橋区幸町19番2号,板橋区幸町１９番２号,,飲食店営業,3530-2616,,198,居酒屋榛名,03,03-3530-2616,,,,東京都　板橋区幸町１９番２号,東京都板橋区幸町１９番２号,,75069,13,13119,幸町,,,2021/11/24,,,,関口　佳聡,,,,,,,,,3板保生食ほ 第  839号,新規,飲食店営業,,,,198_東京都_板橋区保健所_食品衛生(許可)_2021年11月-2021年12月_末日_新規、変更、廃止(1),M,76,,,居酒屋榛名03-3530-26167506913119,07ef5cb9-0b79-4545-b660-36eaff2a1a79,,personal,a26f607d-adfa-4bb4-9a9d-c1317d179cd5,2021/11/24,居酒屋榛名,居酒屋榛名,
あいちゃん,古川　喜子,3板保生食ほ 第  771号,令和03年11月24日,新規,東京都,板橋区坂下三丁目36番11号,板橋区坂下３丁目３６番１１号,,飲食店営業,,,198,あいちゃん,03,,,,,東京都　板橋区坂下３丁目３６番１１号,東京都板橋区坂下３丁目３６番１１号,,75073,13,13119,坂下３,,,2021/11/24,,,,古川　喜子,,,,,,,,,3板保生食ほ 第  771号,新規,飲食店営業,,,,198_東京都_板橋区保健所_食品衛生(許可)_2021年11月-2021年12月_末日_新規、変更、廃止(1),M,76,,,あいちゃん7507313119,d5d71c20-2120-40fb-9132-ed6531c997d3,,personal,95ce68d7-f6b5-4ff8-8a63-59b534c4b684,2021/11/24,あいちゃん,あいちゃん,
有限会社たまや,有限会社たまや,3板保生食ほ 第  836号,令和03年11月16日,新規,東京都,板橋区清水町19番5号,板橋区清水町１９番５号,,飲食店営業,3961-9798,,198,有限会社たまや,03,03-3961-9798,,,,東京都　板橋区清水町１９番５号,東京都板橋区清水町１９番５号,,75077,13,13119,清水町,,,2021/11/16,,,有限会社たまや,,,,,,,,,,3板保生食ほ 第  836号,新規,飲食店営業,,,,198_東京都_板橋区保健所_食品衛生(許可)_2021年11月-2021年12月_末日_新規、変更、廃止(1),M,76,,,有限会社たまや03-3961-97987507713119,c2ae5085-ebc6-4eea-9c7a-e7fcfe7dc64d,有限会社たまや,70cb9398-3f3d-458b-80da-ac6f2b1187b5,a8f8d77d-97cc-403d-825b-2799667705e4,2021/11/16,有限会社たまや,有限会社たまや,有限会社たまや
有限会社肉の太田屋,有限会社肉の太田屋,3板保生食ほ 第  784号,令和03年11月17日,新規,東京都,板橋区新河岸二丁目10番10号　１１０,板橋区新河岸２丁目１０番１０号,１１０,食肉販売業,3938-2983,,198,有限会社肉の太田屋,03,03-3938-2983,,,,東京都　板橋区新河岸２丁目１０番１０号,東京都板橋区新河岸２丁目１０番１０号,１１０,75082,13,13119,新河岸２,,,2021/11/17,,,有限会社肉の太田屋,,,,,,,,,,3板保生食ほ 第  784号,新規,食肉販売業,,,,198_東京都_板橋区保健所_食品衛生(許可)_2021年11月-2021年12月_末日_新規、変更、廃止(1),I,58,583,,有限会社肉の太田屋03-3938-29837508213119,5727510c-25a3-4435-933a-06ed2622e737,有限会社肉の太田屋,fe25361c-34a1-415d-ad87-fbb0b2dcafd0,b0aac5fe-1c27-4057-ac42-33791bc469eb,2021/11/17,有限会社肉の太田屋,有限会社肉の太田屋,有限会社肉の太田屋
有限会社肉の太田屋,有限会社肉の太田屋,3板保生食ほ 第  785号,令和03年11月17日,新規,東京都,板橋区新河岸二丁目10番10号　１１０,板橋区新河岸２丁目１０番１０号,１１０,飲食店営業,3938-2983,,198,有限会社肉の太田屋,03,03-3938-2983,,,,東京都　板橋区新河岸２丁目１０番１０号,東京都板橋区新河岸２丁目１０番１０号,１１０,75082,13,13119,新河岸２,,,2021/11/17,,,有限会社肉の太田屋,,,,,,,,,,3板保生食ほ 第  785号,新規,飲食店営業,,,,198_東京都_板橋区保健所_食品衛生(許可)_2021年11月-2021年12月_末日_新規、変更、廃止(1),M,76,,,有限会社肉の太田屋03-3938-29837508213119,5727510c-25a3-4435-933a-06ed2622e737,有限会社肉の太田屋,fe25361c-34a1-415d-ad87-fbb0b2dcafd0,3ddb84ed-f9c8-4d6c-b665-4a1f54b44b42,2021/11/17,有限会社肉の太田屋,有限会社肉の太田屋,有限会社肉の太田屋
