https://docs.google.com/spreadsheets/d/1Qy3el1DFIpxtm3-VIAdZlBmEHual1CU39oB_urGxiyI/edit#gid=508940504,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
81,n処理終了,,,,,,,,,,,d08_import_license_datas,完了,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
施設名,施設-住所0,施設-住所1,施設-マンション名,施設-電話番号1,業種,申請者1,申請-電話番号1,開業年月日,許可年月日,申請区分,確認番号,ここまで,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
屋号,所在地1,,,施設TEL,業種2,営業者,法人住所TEL,初登録日,許可年月,新更,指令番号,,管轄保健所,名称,市外局番,電話番号,施設の郵便番号,緯度,経度,施設の住所（元住所）,施設の住所（整備）,施設マンション名,施設-住所コード,施設-都道府県,施設-郡・政令市・市区町村名,施設-大字名・字名,申請年月日,開業年月日,許可年月日,許可期間開始日,許可期間終了日,申請法人,申請者氏名(個人名),申請者（開設者）の電話番号,申請者の住所（元住所）,申請者の住所（整備）,申請マンション名,申請-住所コード,申請-都道府県,申請-郡・政令市・市区町村名,申請-大字名・字名,確認番号,申請区分,業種,業態,その他,法人番号,シート名,産業分類大,産業分類中,産業分類小,産業分類詳細,facility_idを識別するための文字列,店舗コード,company_idを識別するための文字列,法人コード,ライセンスコード,検索用日付,整備名称,整備名称2,整備申請法人
牛若丸豊岡環状通り店,旭川市豊岡15条6丁目6-1,旭川市豊岡１５条６丁目６－１,,39-3029,飲食店営業,株式会社 HIRフード,011-615-7701,R03.11.09,R03.11.09,新規,755,,3,牛若丸豊岡環状通り店,0166,0166-39-3029,,,,旭川市豊岡１５条６丁目６－１　,北海道旭川市豊岡十五条６丁目６－１,,7595,1,1204,豊岡十五条６,,2021/11/09,2021/11/09,,,株式会社 HIRフード,,011-615-7701,,,,,,,,755,新規,飲食店営業,,,,003_北海道_旭川市保健所_食品衛生()_2021年11月_末日_新規,M,76,,,牛若丸豊岡環状通り店0166-39-302975951204,23b26108-d4c3-497d-aa96-9185c1efa98f,株式会社ＨＩＲフード,b9806af6-4935-4a41-8c7d-fd43925f036b,3d65957e-620a-4072-81f7-8a6a185a6a46,2021/11/09,牛若丸豊岡環状通り店,牛若丸豊岡環状通り店,株式会社ＨＩＲフード
machibar(マチパル),旭川市2条通8丁目569,旭川市２条通８丁目５６９,,23-5977,飲食店営業,株式会社もめんどき,22-1655,R03.11.09,R03.11.09,新規,756,,3,machibar(マチパル),0166,0166-23-5977,,,,旭川市２条通８丁目５６９　,北海道旭川市二条通８丁目５６９,,8339,1,1204,二条通８,,2021/11/09,2021/11/09,,,株式会社もめんどき,,0166-22-1655,,,,,,,,756,新規,飲食店営業,,,,003_北海道_旭川市保健所_食品衛生()_2021年11月_末日_新規,M,76,,,ｍａｃｈｉｂａｒマチパル0166-23-597783391204,501ca614-5d92-45f8-9e11-0ca5cd5d5439,株式会社もめんどき,3eddf634-e328-481c-9ae8-35bf6e677861,bd552f99-095f-446f-b63f-2e0bf8014f11,2021/11/09,ｍａｃｈｉｂａｒ（マチパル）,ｍａｃｈｉｂａｒマチパル,株式会社もめんどき
ペジスタンドチアフル,旭川市豊岡8条5丁目1-16豊岡ビル1F左,旭川市豊岡８条５丁目１－１６,豊岡ビル１F左,76-7724,飲食店営業,株式会社アプトルーム,,R03.11.09,R03.11.09,新規,757,,3,ペジスタンドチアフル,0166,0166-76-7724,,,,旭川市豊岡８条５丁目１－１６　豊岡ビル１F左,北海道旭川市豊岡八条５丁目１－１６,豊岡ビル１F左,7526,1,1204,豊岡八条５,,2021/11/09,2021/11/09,,,株式会社アプトルーム,,,,,,,,,,757,新規,飲食店営業,,,,003_北海道_旭川市保健所_食品衛生()_2021年11月_末日_新規,M,76,,,ペジスタンドチアフル0166-76-772475261204,f8c32cd8-4d24-4272-af2a-759b2a229e7d,株式会社アプトルーム,f6e3ab61-a33e-44d2-971e-67d339867832,0dc58ffd-800e-4abb-9c9f-51991bebd62a,2021/11/09,ペジスタンドチアフル,ペジスタンドチアフル,株式会社アプトルーム
味処内海,旭川市豊岡14条5丁目7-1,旭川市豊岡１４条５丁目７－１,,32-1414,飲食店営業,内海模子,,R03.11.10,R03.11.10,新規,760,,3,味処内海,0166,0166-32-1414,,,,旭川市豊岡１４条５丁目７－１　,北海道旭川市豊岡十四条５丁目７－１,,7588,1,1204,豊岡十四条５,,2021/11/10,2021/11/10,,,,内海模子,,,,,,,,,760,新規,飲食店営業,,,,003_北海道_旭川市保健所_食品衛生()_2021年11月_末日_新規,M,76,,,味処内海0166-32-141475881204,a1fcc6b3-7d85-42dd-b7c8-ac4d70bc490c,,personal,600debe2-b734-4e92-8847-d22b72d5c014,2021/11/10,味処内海,味処内海,
株式会社KP産業,旭川市工業団地3条3丁目-14,旭川市工業団地３条３丁目－１４,,85-7950,密封包装食品製造業,株式会社KP産業,85-7950,R03.11.10,R03.11.10,新規,761,,3,株式会社KP産業,0166,0166-85-7950,,,,旭川市工業団地３条３丁目－１４　,北海道旭川市工業団地三条３丁目－１４,,8721,1,1204,工業団地三条３,,2021/11/10,2021/11/10,,,株式会社KP産業,,0166-85-7950,,,,,,,,761,新規,密封包装食品製造業,,,,003_北海道_旭川市保健所_食品衛生()_2021年11月_末日_新規,E,9,,,株式会社ＫＰ産業0166-85-795087211204,b3bd96af-0988-432c-8aed-2b6b8bb53899,株式会社ＫＰ産業,93973e09-5a3f-455c-9dd4-75536ca3356c,74e95ce1-1199-417a-98a7-39a0d163806f,2021/11/10,株式会社ＫＰ産業,株式会社ＫＰ産業,株式会社ＫＰ産業
大害病院 洋麺食堂くるくる,旭川市永山3条7丁目1-5,旭川市永山３条７丁目１－５,,46-3885,飲食店営業,高橋伸和,76-7686,R03.11.11,R03.11.11,新規,765,,3,大害病院 洋麺食堂くるくる,0166,0166-46-3885,,,,旭川市永山３条７丁目１－５　,北海道旭川市永山三条７丁目１－５,,7673,1,1204,永山三条７,,2021/11/11,2021/11/11,,,,高橋伸和,,,,,,,,,765,新規,飲食店営業,,,,003_北海道_旭川市保健所_食品衛生()_2021年11月_末日_新規,M,76,,,大害病院洋麺食堂くるくる0166-46-388576731204,ddc5822c-7be6-4cbf-8254-cddc74b8fa63,,personal,87a9e514-e2af-4e44-8342-baab8e09b225,2021/11/11,大害病院　洋麺食堂くるくる,大害病院洋麺食堂くるくる,
ものくろーむ,旭川市4条通6丁目328-1プネットビル4F404号室,旭川市４条通６丁目３２８－１,プネットビル４F４０４号室,,飲食店営業,株式会社G-revolution,,R03.11.11,R03.11.11,新規,766,,3,ものくろーむ,0166,,,,,旭川市４条通６丁目３２８－１　プネットビル４F４０４号室,北海道旭川市四条通６丁目３２８－１,プネットビル４F４０４号室,8396,1,1204,四条通６,,2021/11/11,2021/11/11,,,株式会社G-revolution,,,,,,,,,,766,新規,飲食店営業,,,,003_北海道_旭川市保健所_食品衛生()_2021年11月_末日_新規,M,76,,,ものくろむ83961204,5e27f8f6-2fa2-44a6-82a3-505e06c24de6,株式会社Ｇ－ｒｅｖｏｌｕｔｉｏｎ,f333e0d1-a06e-4bd0-b8cc-cee00d8b3e48,116593b6-2a93-4f3d-8f7d-c35dc1ca3925,2021/11/11,ものくろーむ,ものくろむ,株式会社Ｇ－ｒｅｖｏｌｕｔｉｏｎ
トモトモガレージ,旭川市豊岡1条3丁目2-20,旭川市豊岡１条３丁目２－２０,,56-6212,飲食店営業,笹原智弘,,R03.11.15,2021.11.15,新規,768,,3,トモトモガレージ,0166,0166-56-6212,,,,旭川市豊岡１条３丁目２－２０　,北海道旭川市豊岡一条３丁目２－２０,,7450,1,1204,豊岡一条３,,2021/11/15,2021/11/15,,,,笹原智弘,,,,,,,,,768,新規,飲食店営業,,,,003_北海道_旭川市保健所_食品衛生()_2021年11月_末日_新規,M,76,,,トモトモガレジ0166-56-621274501204,242f6b62-2063-4e91-9c65-5430f8446800,,personal,dcc1d26c-4fb6-4d49-9ea2-ed7afd01daac,2021/11/15,トモトモガレージ,トモトモガレジ,
寺口鮮魚店,旭川市6条通24丁目あさひストアー内,旭川市６条通２４丁目,あさひストアー内,31-3190,魚介類販売業,寺口衛,,R03.11.15,R03.11.15,新規,769,,3,寺口鮮魚店,0166,0166-31-3190,,,,旭川市６条通２４丁目　あさひストアー内,北海道旭川市六条通２４丁目,あさひストアー内,8482,1,1204,六条通２４,,2021/11/15,2021/11/15,,,,寺口衛,,,,,,,,,769,新規,魚介類販売業,,,,003_北海道_旭川市保健所_食品衛生()_2021年11月_末日_新規,I,58,,,寺口鮮魚店0166-31-319084821204,91ec1a54-2cc6-4039-9d0e-a3b1d8bcebeb,,personal,dee7f0e7-48ca-428e-a83c-4783caea3781,2021/11/15,寺口鮮魚店,寺口鮮魚店,
ラウンジ叶,旭川市3条通6丁目417-13タケビル6号館5F,旭川市３条通６丁目４１７－１３,タケビル６号館５F,73-7788,飲食店営業,白幡由紀子,22-0468,R03.11.15,R03.11.15,新規,770,,3,ラウンジ叶,0166,0166-73-7788,,,,旭川市３条通６丁目４１７－１３　タケビル６号館５F,北海道旭川市三条通６丁目４１７－１３,タケビル６号館５F,8365,1,1204,三条通６,,2021/11/15,2021/11/15,,,,白幡由紀子,,,,,,,,,770,新規,飲食店営業,,,,003_北海道_旭川市保健所_食品衛生()_2021年11月_末日_新規,M,76,,,ラウンジ叶0166-73-778883651204,9f65ccf8-de8a-4fc9-affb-bf8080e8f4af,,personal,21cb5f52-0e01-4cbd-bb75-23a5e95f54cb,2021/11/15,ラウンジ叶,ラウンジ叶,
