https://docs.google.com/spreadsheets/d/1Qy3el1DFIpxtm3-VIAdZlBmEHual1CU39oB_urGxiyI/edit#gid=508940504,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
81,n処理終了,,,,,,,,,,,d08_import_license_datas,完了,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
施設名,施設-住所0,施設-住所1,施設-マンション名,施設-電話番号1,業種,申請者1,申請-電話番号1,開業年月日,許可年月日,申請区分,確認番号,ここまで,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
屋号,所在地1,,,施設TEL,業種2,営業者,法人住所TEL,初登録日,許可年月,新更,指令番号,,管轄保健所,名称,市外局番,電話番号,施設の郵便番号,緯度,経度,施設の住所（元住所）,施設の住所（整備）,施設マンション名,施設-住所コード,施設-都道府県,施設-郡・政令市・市区町村名,施設-大字名・字名,申請年月日,開業年月日,許可年月日,許可期間開始日,許可期間終了日,申請法人,申請者氏名(個人名),申請者（開設者）の電話番号,申請者の住所（元住所）,申請者の住所（整備）,申請マンション名,申請-住所コード,申請-都道府県,申請-郡・政令市・市区町村名,申請-大字名・字名,確認番号,申請区分,業種,業態,その他,法人番号,シート名,産業分類大,産業分類中,産業分類小,産業分類詳細,facility_idを識別するための文字列,店舗コード,company_idを識別するための文字列,法人コード,ライセンスコード,検索用日付,整備名称,整備名称2,整備申請法人
餅菓子専門有限会社おぎ乃,旭川市亀吉2条1丁目4-16,旭川市亀吉２条１丁目４－１６,,22-0468,飲食店営業,有限会社おぎ乃,,R03.11.16,R03.11.16,新規,771,,3,餅菓子専門有限会社おぎ乃,0166,0166-22-0468,,,,旭川市亀吉２条１丁目４－１６　,北海道旭川市亀吉二条１丁目４－１６,,6934,1,1204,亀吉二条１,,2021/11/16,2021/11/16,,,有限会社おぎ乃,,,,,,,,,,771,新規,飲食店営業,,,,003_北海道_旭川市保健所_食品衛生()_2021年11月_末日_新規,M,76,,,餅菓子専門有限会社おぎ乃0166-22-046869341204,d6984fa3-69b7-425b-aaf3-4f0107de11b7,有限会社おぎ乃,4288a56a-ffc1-47e2-b62e-e476225748e7,ab750b19-b18d-4856-a705-1c9a19c34135,2021/11/16,餅菓子専門有限会社おぎ乃,餅菓子専門有限会社おぎ乃,有限会社おぎ乃
餅菓子専門有限会社おぎ乃,旭川市亀吉2条1丁目4-16,旭川市亀吉２条１丁目４－１６,,22-0468,飲食店営業,有限会社おぎ乃,22-0468,R03.11.16,R03.11.16,新規,772,,3,餅菓子専門有限会社おぎ乃,0166,0166-22-0468,,,,旭川市亀吉２条１丁目４－１６　,北海道旭川市亀吉二条１丁目４－１６,,6934,1,1204,亀吉二条１,,2021/11/16,2021/11/16,,,有限会社おぎ乃,,0166-22-0468,,,,,,,,772,新規,飲食店営業,,,,003_北海道_旭川市保健所_食品衛生()_2021年11月_末日_新規,M,76,,,餅菓子専門有限会社おぎ乃0166-22-046869341204,d6984fa3-69b7-425b-aaf3-4f0107de11b7,有限会社おぎ乃,4288a56a-ffc1-47e2-b62e-e476225748e7,b2505a9a-d2be-4028-b278-373a064f7cdd,2021/11/16,餅菓子専門有限会社おぎ乃,餅菓子専門有限会社おぎ乃,有限会社おぎ乃
北海製麺株式会社,旭川市流通団地2条1丁目2-5,旭川市流通団地２条１丁目２－５,,48-5811,麺類製造業,北海製麺株式会社,48-5811,R03.11.16,R03.11.16,新規,773,,3,北海製麺株式会社,0166,0166-48-5811,,,,旭川市流通団地２条１丁目２－５　,北海道旭川市流通団地二条１丁目２－５,,8299,1,1204,流通団地二条１,,2021/11/16,2021/11/16,,,北海製麺株式会社,,0166-48-5811,,,,,,,,773,新規,麺類製造業,,,,003_北海道_旭川市保健所_食品衛生()_2021年11月_末日_新規,E,9,,,北海製麺株式会社0166-48-581182991204,0ed6709b-804e-4031-a8d5-29156be1178c,北海製麺株式会社,a10d5b2a-161c-44d8-899d-dfcd8fb0134e,569ccefe-3d3c-46ef-ba42-72c56d131b51,2021/11/16,北海製麺株式会社,北海製麺株式会社,北海製麺株式会社
株式会社フーズ·ワン,旭川市流通団地2条3丁目34,旭川市流通団地２条３丁目３４,,40-3210,魚介類販売業,株式会社フーズ·ワン,40-3210,R03.11.16,R03.11.16,新規,774,,3,株式会社フーズ·ワン,0166,0166-40-3210,,,,旭川市流通団地２条３丁目３４　,北海道旭川市流通団地二条３丁目３４,,8301,1,1204,流通団地二条３,,2021/11/16,2021/11/16,,,株式会社フーズ·ワン,,0166-40-3210,,,,,,,,774,新規,魚介類販売業,,,,003_北海道_旭川市保健所_食品衛生()_2021年11月_末日_新規,I,58,,,株式会社フズワン0166-40-321083011204,b63b579c-bf46-4587-9789-cb873a8e8125,株式会社フーズ・ワン,6998f4db-9641-4877-a35d-c02c81fb6e17,2a563cbe-f27d-4874-a58b-8fc7427425d4,2021/11/16,株式会社フーズ・ワン,株式会社フズワン,株式会社フーズ・ワン
株式会社フーズ·ワン,旭川市流通団地2条3丁目34,旭川市流通団地２条３丁目３４,,40-3210,冷凍食品製造業,株式会社フーズ·ワン,40-3210,R03.11.16,R03.11.16,新規,775,,3,株式会社フーズ·ワン,0166,0166-40-3210,,,,旭川市流通団地２条３丁目３４　,北海道旭川市流通団地二条３丁目３４,,8301,1,1204,流通団地二条３,,2021/11/16,2021/11/16,,,株式会社フーズ·ワン,,0166-40-3210,,,,,,,,775,新規,冷凍食品製造業,,,,003_北海道_旭川市保健所_食品衛生()_2021年11月_末日_新規,E,9,,,株式会社フズワン0166-40-321083011204,b63b579c-bf46-4587-9789-cb873a8e8125,株式会社フーズ・ワン,6998f4db-9641-4877-a35d-c02c81fb6e17,a1b728bd-a5ce-4209-a81a-764e06dbb1de,2021/11/16,株式会社フーズ・ワン,株式会社フズワン,株式会社フーズ・ワン
株式会社フーズ·ワン,旭川市流通団地2条3丁目34,旭川市流通団地２条３丁目３４,,40-3210,漬物製造業,株式会社フーズ·ワン,40-3210,R03.11.16,R03.11.16,新規,776,,3,株式会社フーズ·ワン,0166,0166-40-3210,,,,旭川市流通団地２条３丁目３４　,北海道旭川市流通団地二条３丁目３４,,8301,1,1204,流通団地二条３,,2021/11/16,2021/11/16,,,株式会社フーズ·ワン,,0166-40-3210,,,,,,,,776,新規,漬物製造業,,,,003_北海道_旭川市保健所_食品衛生()_2021年11月_末日_新規,E,9,,,株式会社フズワン0166-40-321083011204,b63b579c-bf46-4587-9789-cb873a8e8125,株式会社フーズ・ワン,6998f4db-9641-4877-a35d-c02c81fb6e17,e6cfce01-849d-4c19-a097-f5b365e8fe1c,2021/11/16,株式会社フーズ・ワン,株式会社フズワン,株式会社フーズ・ワン
旭川高砂台万葉の湯,旭川市高砂台1丁目1-52,旭川市高砂台１丁目１－５２,,62-8910,飲食店営業万葉倶楽部株式会社,,0465-22-6665,R03.11.17,R03.11.17,新規,777,,3,旭川高砂台万葉の湯,0166,0166-62-8910,,,,旭川市高砂台１丁目１－５２　,北海道旭川市高砂台１丁目１－５２,,8595,1,1204,高砂台１,,2021/11/17,2021/11/17,,,万葉倶楽部株式会社,,0465-22-6665,,,,,,,,777,新規,飲食店営業,,,,003_北海道_旭川市保健所_食品衛生()_2021年11月_末日_新規,M,76,,,旭川高砂台万葉の湯0166-62-891085951204,ef143ad4-4bea-45c9-963d-5b115017d599,万葉倶楽部株式会社,6745d4e2-a51f-4bf5-92ee-a6c1900c18ee,0e4dabad-be2d-45a6-9816-f72b6415d660,2021/11/17,旭川高砂台万葉の湯,旭川高砂台万葉の湯,万葉倶楽部株式会社
肉のにしやま,旭川市大雪通7丁目504,旭川市大雪通７丁目５０４,,23-5856,食肉販売業西山三夫,,,R03.11.17,R03.11.17,新規,778,,3,肉のにしやま,0166,0166-23-5856,,,,旭川市大雪通７丁目５０４　,北海道旭川市大雪通７丁目５０４,,7178,1,1204,大雪通７,,2021/11/17,2021/11/17,,,,西山三夫,,,,,,,,,778,新規,食肉販売業,,,,003_北海道_旭川市保健所_食品衛生()_2021年11月_末日_新規,I,58,583,,肉のにしやま0166-23-585671781204,2c5c2e2b-4777-401d-a519-9347e9c8842d,,personal,93c6a819-bad8-47e5-9298-aae5a57aeb92,2021/11/17,肉のにしやま,肉のにしやま,
魚べい旭川永山店,旭川市永山3条8丁目1-10,旭川市永山３条８丁目１－１０,,48-7511,飲食店営業元気寿司株式会社,,028-632-5711,R03.11.17,2021.11.17,新規,779,,3,魚べい旭川永山店,0166,0166-48-7511,,,,旭川市永山３条８丁目１－１０　,北海道旭川市永山三条８丁目１－１０,,7674,1,1204,永山三条８,,2021/11/17,2021/11/17,,,元気寿司株式会社,,028-632-5711,,,,,,,,779,新規,飲食店営業,,,,003_北海道_旭川市保健所_食品衛生()_2021年11月_末日_新規,M,76,,,魚べい旭川永山店0166-48-751176741204,0966d140-c690-4bef-9ba8-aa02a7f1842e,元気寿司株式会社,3829bcad-4643-4209-acc2-0606a62bb73e,385cb7e8-fe01-44a7-ad46-3c4bbdaf0ace,2021/11/17,魚べい旭川永山店,魚べい旭川永山店,元気寿司株式会社
Bakery&Bakery,旭川市旭町1条4丁目841-7スティバレス安井1F,旭川市旭町１条４丁目８４１－７,スティバレス安井１F,85-6249,菓子製造業中村智子,,,R03.11.17,2021.11.17,新規,780,,3,Bakery&Bakery,0166,0166-85-6249,,,,旭川市旭町１条４丁目８４１－７　スティバレス安井１F,北海道旭川市旭町一条４丁目８４１－７,スティバレス安井１F,6480,1,1204,旭町一条４,,2021/11/17,2021/11/17,,,,中村智子,,,,,,,,,780,新規,菓子製造業,,,,003_北海道_旭川市保健所_食品衛生()_2021年11月_末日_新規,E,9,,,ＢａｋｅｒｙＢａｋｅｒｙ0166-85-624964801204,cd02b3d8-078d-433f-9357-2f0f722da3f4,,personal,0f119ed0-2591-4d14-a6c4-e8df53e36ea9,2021/11/17,Ｂａｋｅｒｙ＆Ｂａｋｅｒｙ,ＢａｋｅｒｙＢａｋｅｒｙ,
Ralan(ららん),旭川市末広5条8丁目10-15/1F,旭川市末広５条８丁目１０－１５,１F,73-9895,飲食店営業村上晃美,,,R03.11.17,R03.11.17,新規,781,,3,Ralan(ららん),0166,0166-73-9895,,,,旭川市末広５条８丁目１０－１５　１F,北海道旭川市末広五条８丁目１０－１５,１F,7131,1,1204,末広五条８,,2021/11/17,2021/11/17,,,,村上晃美,,,,,,,,,781,新規,飲食店営業,,,,003_北海道_旭川市保健所_食品衛生()_2021年11月_末日_新規,M,76,,,Ｒａｌａｎららん0166-73-989571311204,1f0602e0-fa34-47c4-ba2b-ecd8fc0324f8,,personal,c37c394b-75b1-47c2-a236-ff01f758bc83,2021/11/17,Ｒａｌａｎ（ららん）,Ｒａｌａｎららん,
スナックooja,旭川市永山1条20丁目5-12/1F(A),旭川市永山１条２０丁目５－１２,１F(A),74-7909,飲食店営業,三浦和歌子,,R03.11.18,R03.11.18,新規,782,,3,スナックooja,0166,0166-74-7909,,,,旭川市永山１条２０丁目５－１２　１F(A),北海道旭川市永山一条２０丁目５－１２,１F(A),7638,1,1204,永山一条２０,,2021/11/18,2021/11/18,,,,三浦和歌子,,,,,,,,,782,新規,飲食店営業,,,,003_北海道_旭川市保健所_食品衛生()_2021年11月_末日_新規,M,76,,,スナックｏｏｊａ0166-74-790976381204,09ca35ed-cef5-41c7-a38c-a47f7658c6a9,,personal,33093a1b-6818-4b6b-ba3b-53cbf6441fa9,2021/11/18,スナックｏｏｊａ,スナックｏｏｊａ,
旭川やまさ,旭川市春光台1条3丁目2-27,旭川市春光台１条３丁目２－２７,,54-8616,食品の小分け業,阿部芳久,,R03.11.18,R03.11.18,新規,783,,3,旭川やまさ,0166,0166-54-8616,,,,旭川市春光台１条３丁目２－２７　,北海道旭川市春光台一条３丁目２－２７,,6968,1,1204,春光台一条３,,2021/11/18,2021/11/18,,,,阿部芳久,,,,,,,,,783,新規,食品の小分け業,,,,003_北海道_旭川市保健所_食品衛生()_2021年11月_末日_新規,I,58,522,5229,旭川やまさ0166-54-861669681204,4994688f-94ba-4a2d-bef3-6d7d8c7dfd96,,personal,724f38ab-1312-4cef-91b9-4ce7ec5dd0e4,2021/11/18,旭川やまさ,旭川やまさ,
有限会社丸愛三愛冷蔵,旭川市東6条9丁目1-16,旭川市東６条９丁目１－１６,,26-5051,魚介類販売業,有限会社 丸愛三愛冷蔵,26-5051,R03.11.18,R03.11.18,新規,784,,3,有限会社丸愛三愛冷蔵,0166,0166-26-5051,,,,旭川市東６条９丁目１－１６　,北海道旭川市東六条９丁目１－１６,,8129,1,1204,東六条９,,2021/11/18,2021/11/18,,,有限会社 丸愛三愛冷蔵,,0166-26-5051,,,,,,,,784,新規,魚介類販売業,,,,003_北海道_旭川市保健所_食品衛生()_2021年11月_末日_新規,I,58,,,有限会社丸愛三愛冷蔵0166-26-505181291204,deee40de-0ce0-41c9-9ac3-a1663e9e94eb,有限会社丸愛三愛冷蔵,1759979c-79e8-443c-b60b-9b7ad41d35e7,57a0dba2-c1b8-4cac-a6a4-f1219353d9fa,2021/11/18,有限会社丸愛三愛冷蔵,有限会社丸愛三愛冷蔵,有限会社丸愛三愛冷蔵
ビストロエンボリー,旭川市末広2条7丁目3-3,旭川市末広２条７丁目３－３,,,飲食店営業,伊藤広史,,R03.11.18,R03.11.18,新規,785,,3,ビストロエンボリー,0166,,,,,旭川市末広２条７丁目３－３　,北海道旭川市末広二条７丁目３－３,,7091,1,1204,末広二条７,,2021/11/18,2021/11/18,,,,伊藤広史,,,,,,,,,785,新規,飲食店営業,,,,003_北海道_旭川市保健所_食品衛生()_2021年11月_末日_新規,M,76,,,ビストロエンボリ70911204,e62df351-bbab-44ae-a0b7-2d478845232d,,personal,13878df0-b1aa-4734-b4eb-b261a55dca26,2021/11/18,ビストロエンボリー,ビストロエンボリ,
よつ葉,旭川市豊岡12条6丁目7-17,旭川市豊岡１２条６丁目７－１７,,35-4313,飲食店営業,石井健太,,R03.11.19,R03.11.19,新規,786,,3,よつ葉,0166,0166-35-4313,,,,旭川市豊岡１２条６丁目７－１７　,北海道旭川市豊岡十二条６丁目７－１７,,7571,1,1204,豊岡十二条６,,2021/11/19,2021/11/19,,,,石井健太,,,,,,,,,786,新規,飲食店営業,,,,003_北海道_旭川市保健所_食品衛生()_2021年11月_末日_新規,M,76,,,よつ葉0166-35-431375711204,2bc09918-e9f2-4701-8b78-f7279500ef12,,personal,d4572775-e7c3-4fd8-970d-3d2cdda212f2,2021/11/19,よつ葉,よつ葉,
ピータイム,旭川市8条西2丁目2-7,旭川市８条西２丁目２－７,,24-3248,飲食店営業,福田知広,,R03.11.19,R03.11.19,新規,787,,3,ピータイム,0166,0166-24-3248,,,,旭川市８条西２丁目２－７　,北海道旭川市八条西２丁目２－７,,8546,1,1204,八条西２,,2021/11/19,2021/11/19,,,,福田知広,,,,,,,,,787,新規,飲食店営業,,,,003_北海道_旭川市保健所_食品衛生()_2021年11月_末日_新規,M,76,,,ピタイム0166-24-324885461204,3e261e53-f70f-43fc-8efd-6dcb156c8674,,personal,071ca5f8-449a-441f-939f-402af3be2511,2021/11/19,ピータイム,ピタイム,
有限会社コレガ,旭川市神楽岡15条5丁目2-5,旭川市神楽岡１５条５丁目２－５,,65-8948,飲食店営業,有限会社コレガ,65-8948,R03.11.19,R03.11.19,新規,788,,3,有限会社コレガ,0166,0166-65-8948,,,,旭川市神楽岡１５条５丁目２－５　,北海道旭川市神楽岡十五条５丁目２－５,,6662,1,1204,神楽岡十五条５,,2021/11/19,2021/11/19,,,有限会社コレガ,,0166-65-8948,,,,,,,,788,新規,飲食店営業,,,,003_北海道_旭川市保健所_食品衛生()_2021年11月_末日_新規,M,76,,,有限会社コレガ0166-65-894866621204,36d4f355-ae92-46a7-aa53-3020b6566f02,有限会社コレガ,e90966ec-114d-46cf-8095-3eace53751b2,abcef6aa-5e0b-4ae4-85c8-c08acac54704,2021/11/19,有限会社コレガ,有限会社コレガ,有限会社コレガ
HOTELCLIPS(ホテルクリップ),旭川市永山3条1丁目1-16,旭川市永山３条１丁目１－１６,,48-1919,飲食店営業,BraineCorporation株式会社,0164-23-2111,R03.11.19,2021.11.19,新規,789,,3,HOTELCLIPS(ホテルクリップ),0166,0166-48-1919,,,,旭川市永山３条１丁目１－１６　,北海道旭川市永山三条１丁目１－１６,,7667,1,1204,永山三条１,,2021/11/19,2021/11/19,,,BraineCorporation株式会社,,0164-23-2111,,,,,,,,789,新規,飲食店営業,,,,003_北海道_旭川市保健所_食品衛生()_2021年11月_末日_新規,M,76,,,ＨＯＴＥＬＣＬＩＰＳホテルクリップ0166-48-191976671204,583e04a3-f04b-4f8a-8126-4af30cc62de4,ＢｒａｉｎｅＣｏｒｐｏｒａｔｉｏｎ株式会社,d986d540-9b3b-4896-a7e2-d538230b63c7,8a654829-972f-47fc-8e97-aa64d135a870,2021/11/19,ＨＯＴＥＬＣＬＩＰＳ（ホテルクリップ）,ＨＯＴＥＬＣＬＩＰＳホテルクリップ,ＢｒａｉｎｅＣｏｒｐｏｒａｔｉｏｎ株式会社
スーパーアークスパルブタウン,旭川市パルフ町1条2丁5505-2,旭川市パルフ町１条２丁５５０５－２,,20-2525,飲食店営業,株式会社道北アークス,47-2818,R03.11.19,R03.11.19,新規,790,,3,スーパーアークスパルブタウン,0166,0166-20-2525,,,,旭川市パルフ町１条２丁５５０５－２　,北海道旭川市パルプ町一条２丁５５０５－２,,7988,1,1204,パルプ町,,2021/11/19,2021/11/19,,,株式会社道北アークス,,0166-47-2818,,,,,,,,790,新規,飲食店営業,,,,003_北海道_旭川市保健所_食品衛生()_2021年11月_末日_新規,M,76,,,スパアクスパルブタウン0166-20-252579881204,6f4e48c3-6b60-4f35-9a46-529fbc4eee2a,株式会社道北アークス,86ca9057-dfdf-433f-9dfb-5a7ad9a30c74,fc8916af-9bd2-48c3-a411-a0d92bcd9f9c,2021/11/19,スーパーアークスパルブタウン,スパアクスパルブタウン,株式会社道北アークス
スーパーアークスパルブタウン,旭川市パルプ町1条2丁目505-2,旭川市パルプ町１条２丁目５０５－２,,20-2525,飲食店営業,株式会社道北アークス,47-2818,R03.11.19,R03.11.19,新規,791,,3,スーパーアークスパルブタウン,0166,0166-20-2525,,,,旭川市パルプ町１条２丁目５０５－２　,北海道旭川市パルプ町一条２丁目５０５－２,,7988,1,1204,パルプ町,,2021/11/19,2021/11/19,,,株式会社道北アークス,,0166-47-2818,,,,,,,,791,新規,飲食店営業,,,,003_北海道_旭川市保健所_食品衛生()_2021年11月_末日_新規,M,76,,,スパアクスパルブタウン0166-20-252579881204,6f4e48c3-6b60-4f35-9a46-529fbc4eee2a,株式会社道北アークス,86ca9057-dfdf-433f-9dfb-5a7ad9a30c74,b3169199-2d4e-4ead-843a-324f8984045d,2021/11/19,スーパーアークスパルブタウン,スパアクスパルブタウン,株式会社道北アークス
スーパーアークス パルブタウン,旭川市パルフ町1条2丁目505-2,旭川市パルフ町１条２丁目５０５－２,,20-2525,菓子製造業株式会社,株式会社道北アークス,47-2818,R03.11.19,R03.11.19,新規,792,,3,スーパーアークス パルブタウン,0166,0166-20-2525,,,,旭川市パルフ町１条２丁目５０５－２　,北海道旭川市パルプ町一条２丁目５０５－２,,7988,1,1204,パルプ町,,2021/11/19,2021/11/19,,,株式会社道北アークス,,0166-47-2818,,,,,,,,792,新規,菓子製造業,,,,003_北海道_旭川市保健所_食品衛生()_2021年11月_末日_新規,E,9,,,スパアクスパルブタウン0166-20-252579881204,6f4e48c3-6b60-4f35-9a46-529fbc4eee2a,株式会社道北アークス,86ca9057-dfdf-433f-9dfb-5a7ad9a30c74,83577efd-a75a-4721-aeef-c078be09780b,2021/11/19,スーパーアークス　パルブタウン,スパアクスパルブタウン,株式会社道北アークス
スーパーアークスパルプタウン,旭川市パルプ町1条2丁目505-2,旭川市パルプ町１条２丁目５０５－２,,20-2525,食肉販売業,株式会社道北アークス,47-2818,R03.11.19,R03.11.19,新規,793,,3,スーパーアークスパルプタウン,0166,0166-20-2525,,,,旭川市パルプ町１条２丁目５０５－２　,北海道旭川市パルプ町一条２丁目５０５－２,,7988,1,1204,パルプ町,,2021/11/19,2021/11/19,,,株式会社道北アークス,,0166-47-2818,,,,,,,,793,新規,食肉販売業,,,,003_北海道_旭川市保健所_食品衛生()_2021年11月_末日_新規,I,58,583,,スパアクスパルプタウン0166-20-252579881204,aaa6c5b6-59b6-4903-8277-fe1570692ea1,株式会社道北アークス,86ca9057-dfdf-433f-9dfb-5a7ad9a30c74,91449e07-df3f-43ce-8e83-05de5b7c837b,2021/11/19,スーパーアークスパルプタウン,スパアクスパルプタウン,株式会社道北アークス
スーパーアークス パルフタウン,旭川市パルプ町1条2丁目505-2,旭川市パルプ町１条２丁目５０５－２,,20-2525,魚介類販売業,株式会社道北アークス,47-2818,R03.11.19,R03.11.19,新規,794,,3,スーパーアークス パルフタウン,0166,0166-20-2525,,,,旭川市パルプ町１条２丁目５０５－２　,北海道旭川市パルプ町一条２丁目５０５－２,,7988,1,1204,パルプ町,,2021/11/19,2021/11/19,,,株式会社道北アークス,,0166-47-2818,,,,,,,,794,新規,魚介類販売業,,,,003_北海道_旭川市保健所_食品衛生()_2021年11月_末日_新規,I,58,,,スパアクスパルフタウン0166-20-252579881204,bb17bd31-1a1b-44ad-9688-b35577151458,株式会社道北アークス,86ca9057-dfdf-433f-9dfb-5a7ad9a30c74,56a12ec7-8289-4c9c-8dae-61baad090478,2021/11/19,スーパーアークス　パルフタウン,スパアクスパルフタウン,株式会社道北アークス
一口茶屋,旭川市パルプ町1条2丁目505-2スーパーアークスパルプタウン1F,旭川市パルプ町１条２丁目５０５－２,スーパーアークスパルプタウン１F,27-5678,飲食店営業,株式会社グリーンズプラネット,03-6277-4422,R03.11.19,R03.11.19,新規,795,,3,一口茶屋,0166,0166-27-5678,,,,旭川市パルプ町１条２丁目５０５－２　スーパーアークスパルプタウン１F,北海道旭川市パルプ町一条２丁目５０５－２,スーパーアークスパルプタウン１F,7988,1,1204,パルプ町,,2021/11/19,2021/11/19,,,株式会社グリーンズプラネット,,03-6277-4422,,,,,,,,795,新規,飲食店営業,,,,003_北海道_旭川市保健所_食品衛生()_2021年11月_末日_新規,M,76,,,一口茶屋0166-27-567879881204,d53c3822-a7bd-4a2a-8697-9b067be01aca,株式会社グリーンズプラネット,93be36b5-2664-4c7d-a7cd-d53fe0e89ae2,70b5d77d-87fb-4bfe-8d1d-8a94b87c8ece,2021/11/19,一口茶屋,一口茶屋,株式会社グリーンズプラネット
株式会社谷口農場食品工場,旭川市東旭川町共栄255,旭川市東旭川町共栄２５５,,34-6699,清涼飲料水製造,株式会社谷口農場,34-6699,R03.11.19,R03.11.19,新規,796,,3,株式会社谷口農場食品工場,0166,0166-34-6699,,,,旭川市東旭川町共栄２５５　,北海道旭川市東旭川町共栄２５５,,8010,1,1204,東旭川町共栄,,2021/11/19,2021/11/19,,,株式会社谷口農場,,0166-34-6699,,,,,,,,796,新規,清涼飲料水製造業,,,,003_北海道_旭川市保健所_食品衛生()_2021年11月_末日_新規,E,10,,,株式会社谷口農場食品工場0166-34-669980101204,d070a9c8-ed56-4dcb-8829-a45c3844204b,株式会社谷口農場,38bdfb15-8d5c-46b8-bd7d-d1288d282e77,ab69f1e7-9fe4-4881-b730-f282df726ed2,2021/11/19,株式会社谷口農場食品工場,株式会社谷口農場食品工場,株式会社谷口農場
株式会社谷口農場食品工場,旭川市東旭川町共栄255,旭川市東旭川町共栄２５５,,34-6699,複合型そうざい製造業,株式会社谷口農場,34-6699,R03.11.19,R03.11.19,新規,797,,3,株式会社谷口農場食品工場,0166,0166-34-6699,,,,旭川市東旭川町共栄２５５　,北海道旭川市東旭川町共栄２５５,,8010,1,1204,東旭川町共栄,,2021/11/19,2021/11/19,,,株式会社谷口農場,,0166-34-6699,,,,,,,,797,新規,そうざい製造業,,,,003_北海道_旭川市保健所_食品衛生()_2021年11月_末日_新規,E,9,,,株式会社谷口農場食品工場0166-34-669980101204,d070a9c8-ed56-4dcb-8829-a45c3844204b,株式会社谷口農場,38bdfb15-8d5c-46b8-bd7d-d1288d282e77,fa6ec0db-d2f5-4414-9b3d-83bae7b40588,2021/11/19,株式会社谷口農場食品工場,株式会社谷口農場食品工場,株式会社谷口農場
零亭(ゼロテイ),旭川市4条通6丁目1446パリ街,旭川市４条通６丁目１４４６,パリ街,26-0377,飲食店営業,笹渕英孝,,R03.11.22,2021.11.22,新規,798,,3,零亭(ゼロテイ),0166,0166-26-0377,,,,旭川市４条通６丁目１４４６　パリ街,北海道旭川市四条通６丁目１４４６,パリ街,8396,1,1204,四条通６,,2021/11/22,2021/11/22,,,,笹渕英孝,,,,,,,,,798,新規,飲食店営業,,,,003_北海道_旭川市保健所_食品衛生()_2021年11月_末日_新規,M,76,,,零亭ゼロテイ0166-26-037783961204,0dbc70b5-ef8e-4759-a783-da066d43f890,,personal,96719a75-b1fe-4f23-99f6-68827fd7031b,2021/11/22,零亭（ゼロテイ）,零亭ゼロテイ,
スナック北の国から4条店,旭川市4条通7丁目右3第3米沢ビルBF,旭川市４条通７丁目右３,第3米沢ビルBF,23-7444,飲食店営業,開口久美子,,R03.11.22,2021.11.22,新規,799,,3,スナック北の国から4条店,0166,0166-23-7444,,,,旭川市４条通７丁目右３　第3米沢ビルBF,北海道旭川市四条通７丁目右３,第3米沢ビルBF,8397,1,1204,四条通７,,2021/11/22,2021/11/22,,,,開口久美子,,,,,,,,,799,新規,飲食店営業,,,,003_北海道_旭川市保健所_食品衛生()_2021年11月_末日_新規,M,76,,,スナック北の国から４条店0166-23-744483971204,8975ceee-c98d-48d9-8228-a90d8aa5d281,,personal,1e4cb1fe-93ee-4b67-af0e-60f27bb4dd18,2021/11/22,スナック北の国から４条店,スナック北の国から４条店,
ディサービス「ほほえみぷらす」,旭川市末広東1条3丁目3-4,旭川市末広東１条３丁目３－４,,50-0808,飲食店営業,株式会社日総,011-785-0015,R03.11.22,R03.11.22,新規,800,,3,ディサービス「ほほえみぷらす」,0166,0166-50-0808,,,,旭川市末広東１条３丁目３－４　,北海道旭川市末広東一条３丁目３－４,,7037,1,1204,末広東一条３,,2021/11/22,2021/11/22,,,株式会社日総,,011-785-0015,,,,,,,,800,新規,飲食店営業,,,,003_北海道_旭川市保健所_食品衛生()_2021年11月_末日_新規,M,76,,,ディサビスほほえみぷらす0166-50-080870371204,531e002f-514c-4507-a038-51967f779a1f,株式会社日総,4c2b1718-2d22-45b2-9313-feba1ba3fa0a,4fc5f2a4-142e-4542-ac5f-6af74d006b7e,2021/11/22,ディサービス「ほほえみぷらす」,ディサビスほほえみぷらす,株式会社日総
とんかつ玉藤旭川大雪通店,旭川市大雪通7丁目506-10,旭川市大雪通７丁目５０６－１０,,73-8831,飲食店営業,株式会社 どうきゅう,011-850-4151,R03.11.24,R03.11.24,新規,801,,3,とんかつ玉藤旭川大雪通店,0166,0166-73-8831,,,,旭川市大雪通７丁目５０６－１０　,北海道旭川市大雪通７丁目５０６－１０,,7178,1,1204,大雪通７,,2021/11/24,2021/11/24,,,株式会社 どうきゅう,,011-850-4151,,,,,,,,801,新規,飲食店営業,,,,003_北海道_旭川市保健所_食品衛生()_2021年11月_末日_新規,M,76,,,とんかつ玉藤旭川大雪通店0166-73-883171781204,e93a7670-026e-46d5-99e5-804654a0fe74,株式会社どうきゅう,a1a7bd35-a71e-4ede-99e4-2074acf119e0,9fda1f4b-4e3d-4878-8b71-bcd9513f1447,2021/11/24,とんかつ玉藤旭川大雪通店,とんかつ玉藤旭川大雪通店,株式会社どうきゅう
