https://docs.google.com/spreadsheets/d/1Qy3el1DFIpxtm3-VIAdZlBmEHual1CU39oB_urGxiyI/edit#gid=508940504,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
110,n処理終了,,,,,,,,,,d08_import_license_datas,完了,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
施設名,施設-住所0,施設-住所1,施設-マンション名,申請者1,業種,施設-電話番号1,申請-電話番号1,確認番号,許可年月日,開業年月日,ここまで,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
施設の名称,施設所在地,,,営業者氏名,営業の種類,施設電話番号,営業者電話番号,許可番号,許可年月日,初回許可日,,管轄保健所,名称,市外局番,電話番号,施設の郵便番号,緯度,経度,施設の住所（元住所）,施設の住所（整備）,施設マンション名,施設-住所コード,施設-都道府県,施設-郡・政令市・市区町村名,施設-大字名・字名,申請年月日,開業年月日,許可年月日,許可期間開始日,許可期間終了日,申請法人,申請者氏名(個人名),申請者（開設者）の電話番号,申請者の住所（元住所）,申請者の住所（整備）,申請マンション名,申請-住所コード,申請-都道府県,申請-郡・政令市・市区町村名,申請-大字名・字名,確認番号,申請区分,業種,業態,その他,法人番号,シート名,産業分類大,産業分類中,産業分類小,産業分類詳細,facility_idを識別するための文字列,店舗コード,company_idを識別するための文字列,法人コード,ライセンスコード,検索用日付,整備名称,整備名称2,整備申請法人
明月庵ぎんざ田中屋松屋店,中央区銀座３丁目６番１号  松屋銀座８階,中央区銀座３丁目６番１号, 松屋銀座８階,株式会社グルメ杵屋,野菜果物販売業,3535-3113,6683-1222,3中保生食届第2102号,2021/12/22,2021/12/22,,181,明月庵ぎんざ田中屋松屋店,03,03-3535-3113,,,,中央区銀座３丁目６番１号,東京都中央区銀座３丁目６番１号, 松屋銀座８階,72955,13,13102,銀座３,,2021/12/22,2021/12/22,,,株式会社グルメ杵屋,,03-6683-1222,,,,,,,,3中保生食届第2102号,,野菜果物販売業,,,,181_東京都_中央区保健所_食品衛生(許可-届出)_2021年11月-2021年12月_末日_新規、廃止(2),I,58,582,,明月庵ぎんざ田中屋松屋店03-3535-31137295513102,a0448bba-3610-4603-a47d-4afb5570ebc1,株式会社グルメ杵屋,dabc3407-7a55-478e-95a2-3df3a9f878be,4b16f2d7-8671-4d76-85e9-fb09a77f728e,2021/12/22,明月庵ぎんざ田中屋松屋店,明月庵ぎんざ田中屋松屋店,株式会社グルメ杵屋
すずのおむすび銀座駅自動販売機店,中央区銀座４丁目１番２号,中央区銀座４丁目１番２号,,有限会社鈴木農産企画,その他の食料・飲料販売業,5577-4160,023-564-3059,3中保生食届第2090号,2021/12/17,2021/12/17,,181,すずのおむすび銀座駅自動販売機店,03,03-5577-4160,,,,中央区銀座４丁目１番２号,東京都中央区銀座４丁目１番２号,,72956,13,13102,銀座４,,2021/12/17,2021/12/17,,,有限会社鈴木農産企画,,023-564-3059,,,,,,,,3中保生食届第2090号,,その他の食料品製造・加工業,(包装),,,181_東京都_中央区保健所_食品衛生(許可-届出)_2021年11月-2021年12月_末日_新規、廃止(2),E,9,99,,すずのおむすび銀座駅自動販売機店03-5577-41607295613102,267f61c8-5fca-49ab-87fb-cc052c9df70f,有限会社鈴木農産企画,dbfce6a5-1c13-4532-ae6e-357cf5af5d3a,f1accf0d-74da-42f5-ad08-302581bd89e0,2021/12/17,すずのおむすび銀座駅自動販売機店,すずのおむすび銀座駅自動販売機店,有限会社鈴木農産企画
叙々苑　銀座三越店,中央区銀座４丁目６番１６号  銀座三越　１１階,中央区銀座４丁目６番１６号,銀座三越 １１階,株式会社叙々苑,その他の食料・飲料販売業,3538-1289,3423-2646,3中保生食届第2035号,2021/12/3,2021/12/3,,181,叙々苑　銀座三越店,03,03-3538-1289,,,,中央区銀座４丁目６番１６号,東京都中央区銀座４丁目６番１６号,銀座三越 １１階,72956,13,13102,銀座４,,2021/12/03,2021/12/03,,,株式会社叙々苑,,03-3423-2646,,,,,,,,3中保生食届第2035号,,その他の食料品製造・加工業,(包装),,,181_東京都_中央区保健所_食品衛生(許可-届出)_2021年11月-2021年12月_末日_新規、廃止(2),E,9,99,,叙苑銀座三越店03-3538-12897295613102,0134e841-1bc4-46c3-a28c-3756b5b9226d,株式会社叙々苑,a4a77f9b-bc52-41b4-a0b9-328de3ee2b0c,4fb13237-ee78-4e53-8836-a46fba6ac211,2021/12/03,叙々苑　銀座三越店,叙苑銀座三越店,株式会社叙々苑
福．笑いＰＯＰＵＰショップ　期間：２０２１年１２月９日～１２日,中央区銀座５丁目７番１号  江島屋ビル１階,中央区銀座５丁目７番１号, 江島屋ビル１階,株式会社フロンティアインターナショナル,米穀類販売業,,5778-3500,3中保生食届第2048号,2021/12/6,2021/12/6,,181,福．笑いＰＯＰＵＰショップ　期間：２０２１年１２月９日～１２日,03,,,,,中央区銀座５丁目７番１号,東京都中央区銀座５丁目７番１号, 江島屋ビル１階,72957,13,13102,銀座５,,2021/12/06,2021/12/06,,,株式会社フロンティアインターナショナル,,03-5778-3500,,,,,,,,3中保生食届第2048号,,米穀類販売業,,,,181_東京都_中央区保健所_食品衛生(許可-届出)_2021年11月-2021年12月_末日_新規、廃止(2),I,58,589,5896,福笑いＰＯＰＵＰショップ期間２０２１年１２月９日１２日7295713102,1bcb085e-be05-47a1-8634-1c3bd812b18e,株式会社フロンティアインターナショナル,27b93372-d2f7-4df2-bc21-b5ec074a9ba4,89a7b4a9-c9d9-450a-acbc-aeb65cc15769,2021/12/06,福．笑いＰＯＰＵＰショップ　期間：２０２１年１２月９日～１２日,福笑いＰＯＰＵＰショップ期間２０２１年１２月９日１２日,株式会社フロンティアインターナショナル
明月庵ぎんざ田中屋本店,中央区銀座６丁目６番１９号  新太炉ビル１階・２階・５階,中央区銀座６丁目６番１９号, 新太炉ビル１階・２階・５階,株式会社グルメ杵屋,野菜果物販売業,3571-8228,6683-1222,3中保生食届第2101号,2021/12/22,2021/12/22,,181,明月庵ぎんざ田中屋本店,03,03-3571-8228,,,,中央区銀座６丁目６番１９号,東京都中央区銀座６丁目６番１９号, 新太炉ビル１階・２階・５階,72958,13,13102,銀座６,,2021/12/22,2021/12/22,,,株式会社グルメ杵屋,,03-6683-1222,,,,,,,,3中保生食届第2101号,,野菜果物販売業,,,,181_東京都_中央区保健所_食品衛生(許可-届出)_2021年11月-2021年12月_末日_新規、廃止(2),I,58,582,,明月庵ぎんざ田中屋本店03-3571-82287295813102,79531353-c6eb-4988-89ae-b548d1fca0af,株式会社グルメ杵屋,dabc3407-7a55-478e-95a2-3df3a9f878be,8a87398b-fcc3-4710-bf5f-89f12a77c031,2021/12/22,明月庵ぎんざ田中屋本店,明月庵ぎんざ田中屋本店,株式会社グルメ杵屋
Ｂｅ！　ＳＡＮＤＷＩＣＨ,中央区銀座６丁目１０番１号  ＧＩＮＺＡ　ＳＩＸ　地下２階,中央区銀座６丁目１０番１号 ,ＧＩＮＺＡ ＳＩＸ 地下２階,株式会社フレッシュワン,野菜果物販売業,6891-3390,011-618-6066,3中保生食届第2052号,2021/12/7,2021/12/7,,181,Ｂｅ！　ＳＡＮＤＷＩＣＨ,03,03-6891-3390,,,,中央区銀座６丁目１０番１号 ,東京都中央区銀座６丁目１０番１号,ＧＩＮＺＡ ＳＩＸ 地下２階,72958,13,13102,銀座６,,2021/12/07,2021/12/07,,,株式会社フレッシュワン,,011-618-6066,,,,,,,,3中保生食届第2052号,,野菜果物販売業,,,,181_東京都_中央区保健所_食品衛生(許可-届出)_2021年11月-2021年12月_末日_新規、廃止(2),I,58,582,,ＢｅＳＡＮＤＷＩＣＨ03-6891-33907295813102,34228d56-5b2f-4eb8-bda4-9c2565eb5ecf,株式会社フレッシュワン,6a5ec2f7-e83c-498d-a5e3-7bd846d1aec2,7a28625c-f918-4aab-b084-c81ec8af0439,2021/12/07,Ｂｅ！　ＳＡＮＤＷＩＣＨ,ＢｅＳＡＮＤＷＩＣＨ,株式会社フレッシュワン
ローソン　Ｓ　ＧＩＮＺＡ　ＳＩＸ,中央区銀座６丁目１０番１号  ＧＩＮＺＡ　ＳＩＸ　地下３階,中央区銀座６丁目１０番１号 ,ＧＩＮＺＡ ＳＩＸ 地下３階,株式会社ローソン,コンビニエンスストア,3575-1326,6429-3963,3中保生食届第1927号,2021/12/1,2021/12/1,,181,ローソン　Ｓ　ＧＩＮＺＡ　ＳＩＸ,03,03-3575-1326,,,,中央区銀座６丁目１０番１号 ,東京都中央区銀座６丁目１０番１号,ＧＩＮＺＡ ＳＩＸ 地下３階,72958,13,13102,銀座６,,2021/12/01,2021/12/01,,,株式会社ローソン,,03-6429-3963,,,,,,,,3中保生食届第1927号,,コンビニエンスストア,,,,181_東京都_中央区保健所_食品衛生(許可-届出)_2021年11月-2021年12月_末日_新規、廃止(2),I,58,589,5891,ロソンＳＧＩＮＺＡＳＩＸ03-3575-13267295813102,b0fd4b3b-7d46-4e3c-b382-51a6c5b7f3ab,株式会社ローソン,0edc1483-54d6-4268-81cb-27b1bb70405b,0ce673b9-6e8c-4664-9190-6daefe39623a,2021/12/01,ローソン　Ｓ　ＧＩＮＺＡ　ＳＩＸ,ロソンＳＧＩＮＺＡＳＩＸ,株式会社ローソン
荻野屋　ＧＩＮＺＡ　ＳＩＸ　店,中央区銀座６丁目１０番１号  ＧＩＮＺＡ　ＳＩＸ　地下２階,中央区銀座６丁目１０番１号,ＧＩＮＺＡ ＳＩＸ 地下２階,株式会社荻野屋,弁当販売業,6263-9939,027-395-2311,3中保生食届第1999号,2021/12/1,2021/12/1,,181,荻野屋　ＧＩＮＺＡ　ＳＩＸ　店,03,03-6263-9939,,,,中央区銀座６丁目１０番１号,東京都中央区銀座６丁目１０番１号,ＧＩＮＺＡ ＳＩＸ 地下２階,72958,13,13102,銀座６,,2021/12/01,2021/12/01,,,株式会社荻野屋,,027-395-2311,,,,,,,,3中保生食届第1999号,,弁当販売業,,,,181_東京都_中央区保健所_食品衛生(許可-届出)_2021年11月-2021年12月_末日_新規、廃止(2),I,58,581,5811,荻野屋ＧＩＮＺＡＳＩＸ店03-6263-99397295813102,394d1110-cdc6-4444-b85c-f4ea869be355,株式会社荻野屋,d07cdff7-895e-4bd1-9fe5-b8d4b83f33c3,be783b78-344b-4561-839f-c593a4e84d0d,2021/12/01,荻野屋　ＧＩＮＺＡ　ＳＩＸ　店,荻野屋ＧＩＮＺＡＳＩＸ店,株式会社荻野屋
ＪＡＰＡＮ　ＳＴＡＧＥ,中央区銀座６丁目１０番１号  Ｇ－ｓｉｘ　地下２階,中央区銀座６丁目１０番１号,Ｇ－ｓｉｘ 地下２階,丸山　寛子,その他の食料・飲料販売業,,,3中保生食届第2063号,2021/12/8,2021/12/8,,181,ＪＡＰＡＮ　ＳＴＡＧＥ,03,,,,,中央区銀座６丁目１０番１号,東京都中央区銀座６丁目１０番１号,Ｇ－ｓｉｘ 地下２階,72958,13,13102,銀座６,,2021/12/08,2021/12/08,,,,丸山　寛子,,,,,,,,,3中保生食届第2063号,,その他の食料品製造・加工業,(包装),,,181_東京都_中央区保健所_食品衛生(許可-届出)_2021年11月-2021年12月_末日_新規、廃止(2),E,9,99,,ＪＡＰＡＮＳＴＡＧＥ7295813102,9a358f5b-3894-4794-b8be-25fd0972f2a5,,personal,099f13af-7a72-46c7-a011-9ef7cea6b501,2021/12/08,ＪＡＰＡＮ　ＳＴＡＧＥ,ＪＡＰＡＮＳＴＡＧＥ,
マーロウＧＩＮＺＡ　ＳＩＸ店,中央区銀座６丁目１０番１号  ＧＩＮＺＡ　ＳＩＸ　地下２階,中央区銀座６丁目１０番１号 ,ＧＩＮＺＡ ＳＩＸ 地下２階,有限会社マーロウ,その他の食料・飲料販売業,6264-5512,046-884-4383,3中保生食届第1998号,2021/12/2,2021/12/2,,181,マーロウＧＩＮＺＡ　ＳＩＸ店,03,03-6264-5512,,,,中央区銀座６丁目１０番１号 ,東京都中央区銀座６丁目１０番１号,ＧＩＮＺＡ ＳＩＸ 地下２階,72958,13,13102,銀座６,,2021/12/02,2021/12/02,,,有限会社マーロウ,,046-884-4383,,,,,,,,3中保生食届第1998号,,その他の食料品製造・加工業,(包装),,,181_東京都_中央区保健所_食品衛生(許可-届出)_2021年11月-2021年12月_末日_新規、廃止(2),E,9,99,,マロウＧＩＮＺＡＳＩＸ店03-6264-55127295813102,6f0b756a-b14b-4a77-850c-90b6e6abf04d,有限会社マーロウ,879d4c4c-68bd-4e73-9a9c-25be21ade981,29d0f21b-f46f-40e2-8c3a-4c0388d16e5d,2021/12/02,マーロウＧＩＮＺＡ　ＳＩＸ店,マロウＧＩＮＺＡＳＩＸ店,有限会社マーロウ
