https://docs.google.com/spreadsheets/d/1Qy3el1DFIpxtm3-VIAdZlBmEHual1CU39oB_urGxiyI/edit#gid=508940504,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
110,n処理終了,,,,,,,,,,d08_import_license_datas,完了,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
施設名,施設-住所0,施設-住所1,施設-マンション名,申請者1,業種,施設-電話番号1,申請-電話番号1,確認番号,許可年月日,開業年月日,ここまで,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
施設の名称,施設所在地,,,営業者氏名,営業の種類,施設電話番号,営業者電話番号,許可番号,許可年月日,初回許可日,,管轄保健所,名称,市外局番,電話番号,施設の郵便番号,緯度,経度,施設の住所（元住所）,施設の住所（整備）,施設マンション名,施設-住所コード,施設-都道府県,施設-郡・政令市・市区町村名,施設-大字名・字名,申請年月日,開業年月日,許可年月日,許可期間開始日,許可期間終了日,申請法人,申請者氏名(個人名),申請者（開設者）の電話番号,申請者の住所（元住所）,申請者の住所（整備）,申請マンション名,申請-住所コード,申請-都道府県,申請-郡・政令市・市区町村名,申請-大字名・字名,確認番号,申請区分,業種,業態,その他,法人番号,シート名,産業分類大,産業分類中,産業分類小,産業分類詳細,facility_idを識別するための文字列,店舗コード,company_idを識別するための文字列,法人コード,ライセンスコード,検索用日付,整備名称,整備名称2,整備申請法人
ＲＩＣＨＥＳＳＥ　ＹＵＵＫＡ,中央区銀座６丁目１３番５号  銀座ＮＨビル１階,中央区銀座６丁目１３番５号, 銀座ＮＨビル１階,山崎　裕子,その他の食料・飲料販売業,,,3中保生食届第2118号,2021/12/13,2021/12/13,,181,ＲＩＣＨＥＳＳＥ　ＹＵＵＫＡ,03,,,,,中央区銀座６丁目１３番５号,東京都中央区銀座６丁目１３番５号, 銀座ＮＨビル１階,72958,13,13102,銀座６,,2021/12/13,2021/12/13,,,,山崎　裕子,,,,,,,,,3中保生食届第2118号,,その他の食料品製造・加工業,(包装),,,181_東京都_中央区保健所_食品衛生(許可-届出)_2021年11月-2021年12月_末日_新規、廃止(2),E,9,99,,ＲＩＣＨＥＳＳＥＹＵＵＫＡ7295813102,8099fb0c-26cf-4abb-9143-0d015474203e,,personal,d4360fe9-12c5-43f0-bca0-062397ae236c,2021/12/13,ＲＩＣＨＥＳＳＥ　ＹＵＵＫＡ,ＲＩＣＨＥＳＳＥＹＵＵＫＡ,
ハプスブルグ・ファイルヒェン,中央区銀座７丁目８番７号  ＧＩＮＺＡ　ＧＲＥＥＮ７階,中央区銀座７丁目８番７号,ＧＩＮＺＡ ＧＲＥＥＮ７階,株式会社カー・ウント・カー,食肉販売業（包装済みの食肉のみの販売）,5537-3226,5537-3226,3中保生食届第2014号,2021/12/2,2021/12/2,,181,ハプスブルグ・ファイルヒェン,03,03-5537-3226,,,,中央区銀座７丁目８番７号,東京都中央区銀座７丁目８番７号,ＧＩＮＺＡ ＧＲＥＥＮ７階,72959,13,13102,銀座７,,2021/12/02,2021/12/02,,,株式会社カー・ウント・カー,,03-5537-3226,,,,,,,,3中保生食届第2014号,,食肉販売業,包装済みの食肉のみの販売,,,181_東京都_中央区保健所_食品衛生(許可-届出)_2021年11月-2021年12月_末日_新規、廃止(2),I,58,583,,ハプスブルグファイルヒェン03-5537-32267295913102,e823287d-ea00-4be1-b813-2485065b498c,株式会社カー・ウント・カー,c1d07b0d-9748-4e52-bed8-99f43cc1b0d3,2dccb45f-6ab1-4808-afdf-d4022ed9be41,2021/12/02,ハプスブルグ・ファイルヒェン,ハプスブルグファイルヒェン,株式会社カー・ウント・カー
ＮＯＴＥＳ　ＢＹ　ＹＡＭＡＨＡ　１Ｆ　ｃａｆｅ　ｓｔａｎｄ,中央区銀座７丁目９番１４号  ヤマハ銀座ビル１階,中央区銀座７丁目９番１４号, ヤマハ銀座ビル１階,株式会社トランジットジェネラルオフィス,その他,3573-3291,050-1743-1700,3中保生食届第2053号,2021/12/7,2021/12/7,,181,ＮＯＴＥＳ　ＢＹ　ＹＡＭＡＨＡ　１Ｆ　ｃａｆｅ　ｓｔａｎｄ,03,03-3573-3291,,,,中央区銀座７丁目９番１４号,東京都中央区銀座７丁目９番１４号, ヤマハ銀座ビル１階,72959,13,13102,銀座７,,2021/12/07,2021/12/07,,,株式会社トランジットジェネラルオフィス,,050-1743-1700,,,,,,,,3中保生食届第2053号,,その他,,,,181_東京都_中央区保健所_食品衛生(許可-届出)_2021年11月-2021年12月_末日_新規、廃止(2),T,,,,ＮＯＴＥＳＢＹＹＡＭＡＨＡ１Ｆｃａｆｅｓｔａｎｄ03-3573-32917295913102,40ed1cd6-6a1c-410b-9487-f9e376062d7e,株式会社トランジットジェネラルオフィス,8ff274df-90bc-404f-bdd9-cca931cdae80,86ff46b7-f7dd-45ce-9416-11cd03bc2522,2021/12/07,ＮＯＴＥＳ　ＢＹ　ＹＡＭＡＨＡ　１Ｆ　ｃａｆｅ　ｓｔａｎｄ,ＮＯＴＥＳＢＹＹＡＭＡＨＡ１Ｆｃａｆｅｓｔａｎｄ,株式会社トランジットジェネラルオフィス
ＮＯＴＥＳ　ＢＹ　ＹＡＭＡＨＡ　２Ｆ　ｃａｆｅ　ｌｏｕｎｇｅ,中央区銀座７丁目９番１４号  ヤマハ銀座ビル２階,中央区銀座７丁目９番１４号, ヤマハ銀座ビル２階,株式会社トランジットジェネラルオフィス,その他,3573-3290,050-1743-1700,3中保生食届第2054号,2021/12/7,2021/12/7,,181,ＮＯＴＥＳ　ＢＹ　ＹＡＭＡＨＡ　２Ｆ　ｃａｆｅ　ｌｏｕｎｇｅ,03,03-3573-3290,,,,中央区銀座７丁目９番１４号,東京都中央区銀座７丁目９番１４号, ヤマハ銀座ビル２階,72959,13,13102,銀座７,,2021/12/07,2021/12/07,,,株式会社トランジットジェネラルオフィス,,050-1743-1700,,,,,,,,3中保生食届第2054号,,その他,,,,181_東京都_中央区保健所_食品衛生(許可-届出)_2021年11月-2021年12月_末日_新規、廃止(2),T,,,,ＮＯＴＥＳＢＹＹＡＭＡＨＡ２Ｆｃａｆｅｌｏｕｎｇｅ03-3573-32907295913102,9b57a6af-44f8-4cb1-a0e9-e22a2af6c9f9,株式会社トランジットジェネラルオフィス,8ff274df-90bc-404f-bdd9-cca931cdae80,39d0157f-e6ad-4974-83cc-791185e2824d,2021/12/07,ＮＯＴＥＳ　ＢＹ　ＹＡＭＡＨＡ　２Ｆ　ｃａｆｅ　ｌｏｕｎｇｅ,ＮＯＴＥＳＢＹＹＡＭＡＨＡ２Ｆｃａｆｅｌｏｕｎｇｅ,株式会社トランジットジェネラルオフィス
ナチュラルローソン銀座三井ビル店,中央区銀座８丁目１３番１号  銀座三井ビルディング１階,中央区銀座８丁目１３番１号, 銀座三井ビルディング１階,有限会社セブンワイズ,コンビニエンスストア,3543-8889,3796-3403,3中保生食届第2033号,2021/12/3,2021/12/3,,181,ナチュラルローソン銀座三井ビル店,03,03-3543-8889,,,,中央区銀座８丁目１３番１号,東京都中央区銀座８丁目１３番１号, 銀座三井ビルディング１階,72960,13,13102,銀座８,,2021/12/03,2021/12/03,,,有限会社セブンワイズ,,03-3796-3403,,,,,,,,3中保生食届第2033号,,コンビニエンスストア,,,,181_東京都_中央区保健所_食品衛生(許可-届出)_2021年11月-2021年12月_末日_新規、廃止(2),I,58,589,5891,ナチュラルロソン銀座三井ビル店03-3543-88897296013102,b7486785-a75c-4804-a7d1-863268586c7b,有限会社セブンワイズ,3c2cd1ed-0878-4c62-9d32-8a6a875255f4,dde3163d-da4d-44cd-b5a3-4f35e11ef502,2021/12/03,ナチュラルローソン銀座三井ビル店,ナチュラルロソン銀座三井ビル店,有限会社セブンワイズ
Ｂｉｓｔｒｏ　Ｌｅ　Ｃａｋｅ,中央区新富１丁目６番１５号,中央区新富１丁目６番１５号,,加藤　善一,その他の食料品製造・加工業,6280-3611,,3中保生食届第2039号,2021/12/3,2021/12/3,,181,Ｂｉｓｔｒｏ　Ｌｅ　Ｃａｋｅ,03,03-6280-3611,,,,中央区新富１丁目６番１５号,東京都中央区新富１丁目６番１５号,,72963,13,13102,新富１,,2021/12/03,2021/12/03,,,,加藤　善一,,,,,,,,,3中保生食届第2039号,,その他の食料品製造・加工業,,,,181_東京都_中央区保健所_食品衛生(許可-届出)_2021年11月-2021年12月_末日_新規、廃止(2),E,9,99,,ＢｉｓｔｒｏＬｅＣａｋｅ03-6280-36117296313102,c2dffabe-4f45-4455-bb65-5843a39166aa,,personal,c9d24735-863b-44b9-8c67-a727b1cabaca,2021/12/03,Ｂｉｓｔｒｏ　Ｌｅ　Ｃａｋｅ,ＢｉｓｔｒｏＬｅＣａｋｅ,
Ｆｒｏｍａｇｅｒｉｅ　ｔｅｒｒｅ×ｔｅｒｒｅ,中央区入船１丁目４番８号  ネオアージュ八丁堀３０２,中央区入船１丁目４番８号, ネオアージュ八丁堀３０２,須藤　佳子,その他の食料・飲料販売業,,,3中保生食届第2001号,2021/12/1,2021/12/1,,181,Ｆｒｏｍａｇｅｒｉｅ　ｔｅｒｒｅ×ｔｅｒｒｅ,03,,,,,中央区入船１丁目４番８号,東京都中央区入船１丁目４番８号, ネオアージュ八丁堀３０２,72941,13,13102,入船１,,2021/12/01,2021/12/01,,,,須藤　佳子,,,,,,,,,3中保生食届第2001号,,その他の食料品製造・加工業,(包装),,,181_東京都_中央区保健所_食品衛生(許可-届出)_2021年11月-2021年12月_末日_新規、廃止(2),E,9,99,,Ｆｒｏｍａｇｅｒｉｅｔｅｒｒｅｔｅｒｒｅ7294113102,2def447d-c114-4b12-8454-5d500bd6d12d,,personal,365fd6fe-05c9-4c40-9fe3-eb4f715872f3,2021/12/01,Ｆｒｏｍａｇｅｒｉｅ　ｔｅｒｒｅ×ｔｅｒｒｅ,Ｆｒｏｍａｇｅｒｉｅｔｅｒｒｅｔｅｒｒｅ,
有限会社南印度洋行,中央区湊２丁目１２番６号  ＳＹビル４階,中央区湊２丁目１２番６号, ＳＹビル４階,有限会社南印度洋行,その他の食料・飲料販売業,5566-0777,5566-0777,3中保生食届第2120号,2021/12/27,2021/12/27,,181,有限会社南印度洋行,03,03-5566-0777,,,,中央区湊２丁目１２番６号,東京都中央区湊２丁目１２番６号, ＳＹビル４階,73034,13,13102,湊２,,2021/12/27,2021/12/27,,,有限会社南印度洋行,,03-5566-0777,,,,,,,,3中保生食届第2120号,,その他の食料品製造・加工業,(包装),,,181_東京都_中央区保健所_食品衛生(許可-届出)_2021年11月-2021年12月_末日_新規、廃止(2),E,9,99,,有限会社南印度洋行03-5566-07777303413102,974303ee-83d3-46ef-9628-85f59dfbfdbf,有限会社南印度洋行,52e8a13a-b606-4da8-91db-7fac9e174901,d2af5768-91f5-469b-8a70-f8092b5b589a,2021/12/27,有限会社南印度洋行,有限会社南印度洋行,有限会社南印度洋行
どらっぐぱぱす明石町店,中央区明石町７番１５号  １階,中央区明石町７番１５号,１階,株式会社ぱぱす,その他の食料・飲料販売業,5550-4141,5610-8811,3中保生食届第2109号,2021/12/22,2021/12/22,,181,どらっぐぱぱす明石町店,03,03-5550-4141,,,,中央区明石町７番１５号,東京都中央区明石町７番１５号,１階,72940,13,13102,明石町,,2021/12/22,2021/12/22,,,株式会社ぱぱす,,03-5610-8811,,,,,,,,3中保生食届第2109号,,その他の食料品製造・加工業,(包装),,,181_東京都_中央区保健所_食品衛生(許可-届出)_2021年11月-2021年12月_末日_新規、廃止(2),E,9,99,,どらっぐぱぱす明石町店03-5550-41417294013102,27a57da0-5622-44f1-ab15-d89f4c2942da,株式会社ぱぱす,671fbeea-600b-4739-bcf1-84965636c11e,0e8a4677-c7c8-463a-9603-d2d23e0bfa9c,2021/12/22,どらっぐぱぱす明石町店,どらっぐぱぱす明石町店,株式会社ぱぱす
アートコネクト銀座,中央区築地１丁目１３番１号  銀座松竹スクエア１階,中央区築地１丁目１３番１号, 銀座松竹スクエア１階,有限会社れくら,その他の食料・飲料販売業,6226-5921,6712-8034,3中保生食届第2068号,2021/12/20,2021/12/20,,181,アートコネクト銀座,03,03-6226-5921,,,,中央区築地１丁目１３番１号,東京都中央区築地１丁目１３番１号, 銀座松竹スクエア１階,72969,13,13102,築地１,,2021/12/20,2021/12/20,,,有限会社れくら,,03-6712-8034,,,,,,,,3中保生食届第2068号,,その他の食料品製造・加工業,(包装),,,181_東京都_中央区保健所_食品衛生(許可-届出)_2021年11月-2021年12月_末日_新規、廃止(2),E,9,99,,アトコネクト銀座03-6226-59217296913102,309d8be7-8964-4663-8746-8b56f3c577f2,有限会社れくら,2b05ff5c-a908-4909-9036-e7fcc4bc4b2b,6aff6f89-6388-49f3-810a-0208539280ea,2021/12/20,アートコネクト銀座,アトコネクト銀座,有限会社れくら
タリーズコーヒー　東銀座店,中央区築地１丁目１３番１４号  ＮＢＦ東銀座スクエア１階,中央区築地１丁目１３番１４号, ＮＢＦ東銀座スクエア１階,有限会社アナヴァン,その他の食料・飲料販売業,5550-8017,0154-24-8055,3中保生食届第2059号,2021/12/1,2021/12/1,,181,タリーズコーヒー　東銀座店,03,03-5550-8017,,,,中央区築地１丁目１３番１４号,東京都中央区築地１丁目１３番１４号, ＮＢＦ東銀座スクエア１階,72969,13,13102,築地１,,2021/12/01,2021/12/01,,,有限会社アナヴァン,,0154-24-8055,,,,,,,,3中保生食届第2059号,,その他の食料品製造・加工業,(包装),,,181_東京都_中央区保健所_食品衛生(許可-届出)_2021年11月-2021年12月_末日_新規、廃止(2),E,9,99,,タリズコヒ東銀座店03-5550-80177296913102,60dd65be-e10e-4262-8fcb-1f684b22c820,有限会社アナヴァン,83260512-4a97-4665-bebb-207646c1f9e1,e360b25c-84ed-4446-928e-5202061e1c92,2021/12/01,タリーズコーヒー　東銀座店,タリズコヒ東銀座店,有限会社アナヴァン
なか卯築地橋店,中央区築地２丁目１番１７号  陽光築地ビル１階,中央区築地２丁目１番１７号, 陽光築地ビル１階,株式会社なか卯,その他の食料・飲料販売業,3545-2481,6833-8820,3中保生食届第1930号,2021/12/1,2021/12/1,,181,なか卯築地橋店,03,03-3545-2481,,,,中央区築地２丁目１番１７号,東京都中央区築地２丁目１番１７号, 陽光築地ビル１階,72970,13,13102,築地２,,2021/12/01,2021/12/01,,,株式会社なか卯,,03-6833-8820,,,,,,,,3中保生食届第1930号,,その他の食料品製造・加工業,(包装),,,181_東京都_中央区保健所_食品衛生(許可-届出)_2021年11月-2021年12月_末日_新規、廃止(2),E,9,99,,なか卯築地橋店03-3545-24817297013102,a9e7d502-1201-4702-a662-3e02c7de028b,株式会社なか卯,18ec8b9e-b113-4d67-ae26-e6a16b3f4485,bf7534e4-17b7-469d-a2b9-d2295990a63f,2021/12/01,なか卯築地橋店,なか卯築地橋店,株式会社なか卯
どらっぐぱぱす築地店,中央区築地２丁目１１番２４号  第２９興和ビル１階,中央区築地２丁目１１番２４号, 第２９興和ビル１階,株式会社ぱぱす,その他の食料・飲料販売業,6264-1541,5610-8811,3中保生食届第2111号,2021/12/22,2021/12/22,,181,どらっぐぱぱす築地店,03,03-6264-1541,,,,中央区築地２丁目１１番２４号,東京都中央区築地２丁目１１番２４号, 第２９興和ビル１階,72970,13,13102,築地２,,2021/12/22,2021/12/22,,,株式会社ぱぱす,,03-5610-8811,,,,,,,,3中保生食届第2111号,,その他の食料品製造・加工業,(包装),,,181_東京都_中央区保健所_食品衛生(許可-届出)_2021年11月-2021年12月_末日_新規、廃止(2),E,9,99,,どらっぐぱぱす築地店03-6264-15417297013102,5cf9bb90-412b-489f-8c31-6893c3d1be61,株式会社ぱぱす,671fbeea-600b-4739-bcf1-84965636c11e,2b79bfe5-ef17-4f77-a93f-7ed5ceb06cfa,2021/12/22,どらっぐぱぱす築地店,どらっぐぱぱす築地店,株式会社ぱぱす
なか卯築地二丁目店,中央区築地２丁目１４番１号  河瀬ビル１階,中央区築地２丁目１４番１号, 河瀬ビル１階,株式会社なか卯,その他の食料・飲料販売業,6226-5012,6833-8820,3中保生食届第2030号,2021/12/2,2021/12/2,,181,なか卯築地二丁目店,03,03-6226-5012,,,,中央区築地２丁目１４番１号,東京都中央区築地２丁目１４番１号, 河瀬ビル１階,72970,13,13102,築地２,,2021/12/02,2021/12/02,,,株式会社なか卯,,03-6833-8820,,,,,,,,3中保生食届第2030号,,その他の食料品製造・加工業,(包装),,,181_東京都_中央区保健所_食品衛生(許可-届出)_2021年11月-2021年12月_末日_新規、廃止(2),E,9,99,,なか卯築地二丁目店03-6226-50127297013102,039dd2cd-5284-4839-a261-0693b5c8743a,株式会社なか卯,18ec8b9e-b113-4d67-ae26-e6a16b3f4485,1311df57-d6b9-4b79-8599-b169d39c5f8a,2021/12/02,なか卯築地二丁目店,なか卯築地二丁目店,株式会社なか卯
カフェ・ド・クリエ築地聖路加通り店,中央区築地３丁目８番１号  アネシア築地ステーションレジデンス１０２,中央区築地３丁目８番１号, アネシア築地ステーションレジデンス１０２,株式会社ポッカクリエイト,その他の食料・飲料販売業,6264-2747,5275-2758,3中保生食届第2016号,2021/12/2,2021/12/2,,181,カフェ・ド・クリエ築地聖路加通り店,03,03-6264-2747,,,,中央区築地３丁目８番１号,東京都中央区築地３丁目８番１号, アネシア築地ステーションレジデンス１０２,72971,13,13102,築地３,,2021/12/02,2021/12/02,,,株式会社ポッカクリエイト,,03-5275-2758,,,,,,,,3中保生食届第2016号,,その他の食料品製造・加工業,(包装),,,181_東京都_中央区保健所_食品衛生(許可-届出)_2021年11月-2021年12月_末日_新規、廃止(2),E,9,99,,カフェドクリエ築地聖路加通り店03-6264-27477297113102,9efeedfa-b4ff-435d-9cca-f2568637aa27,株式会社ポッカクリエイト,f5eda26c-999e-4fb8-95a4-1071d5d46532,a6ead0dc-c556-4c96-9d75-b9d31d7cfc41,2021/12/02,カフェ・ド・クリエ築地聖路加通り店,カフェドクリエ築地聖路加通り店,株式会社ポッカクリエイト
大東,中央区築地４丁目７番３号  １階、地下１階,中央区築地４丁目７番３号,１階、地下１階,株式会社大東水産,その他の食料・飲料販売業,3541-1281,3541-1281,3中保生食届第2006号,2021/12/1,2021/12/1,,181,大東,03,03-3541-1281,,,,中央区築地４丁目７番３号,東京都中央区築地４丁目７番３号,１階、地下１階,72972,13,13102,築地４,,2021/12/01,2021/12/01,,,株式会社大東水産,,03-3541-1281,,,,,,,,3中保生食届第2006号,,その他の食料品製造・加工業,(包装),,,181_東京都_中央区保健所_食品衛生(許可-届出)_2021年11月-2021年12月_末日_新規、廃止(2),E,9,99,,大東03-3541-12817297213102,a4ccd2c3-92cf-4cac-a09e-15b89568a5f8,株式会社大東水産,6216ab5f-9e9a-4dc7-a999-fd0eca5261dd,8f63a9cc-38af-4845-912e-1aabcc21a5fa,2021/12/01,大東,大東,株式会社大東水産
吉田商店,中央区築地４丁目９番９号  １階,中央区築地４丁目９番９号,１階,吉田　博明,その他の食料・飲料販売業,3543-2002,,3中保生食届第2097号,2021/12/20,2021/12/20,,181,吉田商店,03,03-3543-2002,,,,中央区築地４丁目９番９号,東京都中央区築地４丁目９番９号,１階,72972,13,13102,築地４,,2021/12/20,2021/12/20,,,,吉田　博明,,,,,,,,,3中保生食届第2097号,,その他の食料品製造・加工業,(包装),,,181_東京都_中央区保健所_食品衛生(許可-届出)_2021年11月-2021年12月_末日_新規、廃止(2),E,9,99,,吉田商店03-3543-20027297213102,98873a09-28d5-4388-b6eb-9a9965c7d1f4,,personal,67f17e69-7463-47a8-8f08-42a18585857b,2021/12/20,吉田商店,吉田商店,
株式会社幸修園,中央区築地４丁目１０番７号  夕月ビル１階,中央区築地４丁目１０番７号, 夕月ビル１階,株式会社幸修園,その他の食料・飲料販売業,3545-6186,3545-6186,3中保生食届第2003号,2021/12/1,2021/12/1,,181,株式会社幸修園,03,03-3545-6186,,,,中央区築地４丁目１０番７号,東京都中央区築地４丁目１０番７号, 夕月ビル１階,72972,13,13102,築地４,,2021/12/01,2021/12/01,,,株式会社幸修園,,03-3545-6186,,,,,,,,3中保生食届第2003号,,その他の食料品製造・加工業,(包装),,,181_東京都_中央区保健所_食品衛生(許可-届出)_2021年11月-2021年12月_末日_新規、廃止(2),E,9,99,,株式会社幸修園03-3545-61867297213102,f2115fd1-8ee0-43d2-aa02-91249da369be,株式会社幸修園,0d3be7b5-becc-41e0-b5be-01fe0ffab889,2a82e647-05f6-41f0-ba93-71b6f393fca7,2021/12/01,株式会社幸修園,株式会社幸修園,株式会社幸修園
㈱つきぢ味幸堂,中央区築地４丁目１４番１号  モンテベルデ築地１階,中央区築地４丁目１４番１号, モンテベルデ築地１階,株式会社つきぢ味幸堂,その他の食料・飲料販売業,3545-6178,0465-37-1534,3中保生食届第2036号,2021/12/3,2021/12/3,,181,㈱つきぢ味幸堂,03,03-3545-6178,,,,中央区築地４丁目１４番１号,東京都中央区築地４丁目１４番１号, モンテベルデ築地１階,72972,13,13102,築地４,,2021/12/03,2021/12/03,,,株式会社つきぢ味幸堂,,0465-37-1534,,,,,,,,3中保生食届第2036号,,その他の食料品製造・加工業,(包装),,,181_東京都_中央区保健所_食品衛生(許可-届出)_2021年11月-2021年12月_末日_新規、廃止(2),E,9,99,,株式会社つきぢ味幸堂03-3545-61787297213102,7dc917fc-fe60-4b79-af2e-38fec0efbff3,株式会社つきぢ味幸堂,9a2c9bd1-f2e8-4c10-aed9-8add9d336452,e6396b5c-97d6-4909-893e-203108874129,2021/12/03,株式会社つきぢ味幸堂,株式会社つきぢ味幸堂,株式会社つきぢ味幸堂
株式会社丸や,中央区築地６丁目７番１１号,中央区築地６丁目７番１１号,,株式会社丸や,その他の食料・飲料販売業,3543-2366,3543-2366,3中保生食届第2000号,2021/12/1,2021/12/1,,181,株式会社丸や,03,03-3543-2366,,,,中央区築地６丁目７番１１号,東京都中央区築地６丁目７番１１号,,72974,13,13102,築地６,,2021/12/01,2021/12/01,,,株式会社丸や,,03-3543-2366,,,,,,,,3中保生食届第2000号,,その他の食料品製造・加工業,(包装),,,181_東京都_中央区保健所_食品衛生(許可-届出)_2021年11月-2021年12月_末日_新規、廃止(2),E,9,99,,株式会社丸や03-3543-23667297413102,71dd3996-d948-4415-8624-bb0fb8b833a6,株式会社丸や,7bb76129-c427-4578-8885-f2851ac421d6,4c2b9855-e7a0-4dae-86f1-8300c53cb197,2021/12/01,株式会社丸や,株式会社丸や,株式会社丸や
築地魚河岸　丸集,中央区築地６丁目２６番１号  築地魚河岸小田原橋棟（Ｅ－１５）,中央区築地６丁目２６番１号 ,築地魚河岸小田原橋棟（Ｅ－１５）,株式会社康寿,魚介類販売業（包装済みの魚介類のみの販売）,3542-1200,3542-1200,3中保生食届第2080号,2021/12/14,2021/12/14,,181,築地魚河岸　丸集,03,03-3542-1200,,,,中央区築地６丁目２６番１号 ,東京都中央区築地６丁目２６番１号,築地魚河岸小田原橋棟（Ｅ－１５）,72974,13,13102,築地６,,2021/12/14,2021/12/14,,,株式会社康寿,,03-3542-1200,,,,,,,,3中保生食届第2080号,,魚介類販売業,包装済みの魚介類のみの販売,,,181_東京都_中央区保健所_食品衛生(許可-届出)_2021年11月-2021年12月_末日_新規、廃止(2),I,58,,,築地魚河岸丸集03-3542-12007297413102,a32cbf14-c108-4f83-a043-f2399e289de9,株式会社康寿,8ca0f9ed-81a8-4387-a467-04cd192bcc28,110bc59e-304c-42cd-8c73-20cdefedf439,2021/12/14,築地魚河岸　丸集,築地魚河岸丸集,株式会社康寿
築地魚河岸　丸集,中央区築地６丁目２６番１号  築地魚河岸小田原橋棟（Ｅ－１０）,中央区築地６丁目２６番１号 ,築地魚河岸小田原橋棟（Ｅ－１０）,株式会社康寿,その他の食料・飲料販売業,3542-1200,3542-1200,3中保生食届第2078号,2021/12/14,2021/12/14,,181,築地魚河岸　丸集,03,03-3542-1200,,,,中央区築地６丁目２６番１号 ,東京都中央区築地６丁目２６番１号,築地魚河岸小田原橋棟（Ｅ－１０）,72974,13,13102,築地６,,2021/12/14,2021/12/14,,,株式会社康寿,,03-3542-1200,,,,,,,,3中保生食届第2078号,,その他の食料品製造・加工業,(包装),,,181_東京都_中央区保健所_食品衛生(許可-届出)_2021年11月-2021年12月_末日_新規、廃止(2),E,9,99,,築地魚河岸丸集03-3542-12007297413102,a32cbf14-c108-4f83-a043-f2399e289de9,株式会社康寿,8ca0f9ed-81a8-4387-a467-04cd192bcc28,e70853dc-ff07-4a6f-9b70-82bb2e4f1561,2021/12/14,築地魚河岸　丸集,築地魚河岸丸集,株式会社康寿
だし　尾粂　築地魚河岸,中央区築地６丁目２６番１号  築地魚河岸小田原橋棟（Ｗ－０２）,中央区築地６丁目２６番１号 ,築地魚河岸小田原橋棟（Ｗ－０２）,株式会社尾粂,調味料製造・加工業,6260-6922,6264-3747,3中保生食届第2055号,2021/12/7,2021/12/7,,181,だし　尾粂　築地魚河岸,03,03-6260-6922,,,,中央区築地６丁目２６番１号 ,東京都中央区築地６丁目２６番１号,築地魚河岸小田原橋棟（Ｗ－０２）,72974,13,13102,築地６,,2021/12/07,2021/12/07,,,株式会社尾粂,,03-6264-3747,,,,,,,,3中保生食届第2055号,,調味料製造・加工業,,,,181_東京都_中央区保健所_食品衛生(許可-届出)_2021年11月-2021年12月_末日_新規、廃止(2),E,9,94,,だし尾粂築地魚河岸03-6260-69227297413102,e08a797c-4fe7-40c2-acf5-79622c9b57aa,株式会社尾粂,5eb29eb0-5a82-45b4-9b3b-ae3d00b638e7,66f78fc3-039b-46c3-af9e-01c04a58ba3c,2021/12/07,だし　尾粂　築地魚河岸,だし尾粂築地魚河岸,株式会社尾粂
築地魚河岸　丸集,中央区築地６丁目２７番１号  築地魚河岸海幸橋棟（Ｓ－１２）,中央区築地６丁目２７番１号,築地魚河岸小田原橋棟（Ｓ－１２）,株式会社康寿,その他の食料・飲料販売業,3542-1200,3542-1200,3中保生食届第2079号,2021/12/14,2021/12/14,,181,築地魚河岸　丸集,03,03-3542-1200,,,,中央区築地６丁目２７番１号,東京都中央区築地６丁目２７番１号,築地魚河岸小田原橋棟（Ｓ－１２）,72974,13,13102,築地６,,2021/12/14,2021/12/14,,,株式会社康寿,,03-3542-1200,,,,,,,,3中保生食届第2079号,,その他の食料品製造・加工業,(包装),,,181_東京都_中央区保健所_食品衛生(許可-届出)_2021年11月-2021年12月_末日_新規、廃止(2),E,9,99,,築地魚河岸丸集03-3542-12007297413102,a32cbf14-c108-4f83-a043-f2399e289de9,株式会社康寿,8ca0f9ed-81a8-4387-a467-04cd192bcc28,6d527568-9576-4ba0-a481-985515316535,2021/12/14,築地魚河岸　丸集,築地魚河岸丸集,株式会社康寿
どらっぐぱぱす八丁堀店,中央区八丁堀２丁目７番１号  八丁堀サンケイビル１階,中央区八丁堀２丁目７番１号, 八丁堀サンケイビル１階,株式会社ぱぱす,その他の食料・飲料販売業,3552-8814,5610-8811,3中保生食届第2106号,2021/12/22,2021/12/22,,181,どらっぐぱぱす八丁堀店,03,03-3552-8814,,,,中央区八丁堀２丁目７番１号,東京都中央区八丁堀２丁目７番１号, 八丁堀サンケイビル１階,73021,13,13102,八丁堀２,,2021/12/22,2021/12/22,,,株式会社ぱぱす,,03-5610-8811,,,,,,,,3中保生食届第2106号,,その他の食料品製造・加工業,(包装),,,181_東京都_中央区保健所_食品衛生(許可-届出)_2021年11月-2021年12月_末日_新規、廃止(2),E,9,99,,どらっぐぱぱす八丁堀店03-3552-88147302113102,1e2470c4-a3bb-4f5c-aca5-2edbae863fd5,株式会社ぱぱす,671fbeea-600b-4739-bcf1-84965636c11e,900e096c-b48e-412b-8c78-d34a80d0ccc9,2021/12/22,どらっぐぱぱす八丁堀店,どらっぐぱぱす八丁堀店,株式会社ぱぱす
