https://docs.google.com/spreadsheets/d/1Qy3el1DFIpxtm3-VIAdZlBmEHual1CU39oB_urGxiyI/edit#gid=508940504,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
98,n処理終了,,,,,,,,,,,,,d08_import_license_datas,完了,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
施設名,郵便番号,施設-住所1,施設-住所2,施設-住所3,施設-住所4,施設-マンション名,施設-電話番号1,業種,申請者1,申請-電話番号1,開業年月日,許可年月日,確認番号,ここまで,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
営業施設名称、屋号又は商号,郵便番号（営業施設）,都道府県（営業施設）,市区町村（営業施設）,町域（営業施設）,番地等（営業施設）,マンション名等（営業施設）,電話番号（営業施設）,営業の種類,氏名（法人の場合は法人名）（申請・届出者）,電話番号（申請・届出者）,初回許可年月日,許可年月日,許可番号,,管轄保健所,名称,市外局番,電話番号,施設の郵便番号,緯度,経度,施設の住所（元住所）,施設の住所（整備）,施設マンション名,施設-住所コード,施設-都道府県,施設-郡・政令市・市区町村名,施設-大字名・字名,申請年月日,開業年月日,許可年月日,許可期間開始日,許可期間終了日,申請法人,申請者氏名(個人名),申請者（開設者）の電話番号,申請者の住所（元住所）,申請者の住所（整備）,申請マンション名,申請-住所コード,申請-都道府県,申請-郡・政令市・市区町村名,申請-大字名・字名,確認番号,申請区分,業種,業態,その他,法人番号,シート名,産業分類大,産業分類中,産業分類小,産業分類詳細,facility_idを識別するための文字列,店舗コード,company_idを識別するための文字列,法人コード,ライセンスコード,検索用日付,整備名称,整備名称2,整備申請法人
パティスリーラフィネ,8300037,福岡県,久留米市,諏訪野町,2162,錦芳ビル101,0942-48-1524,⑪ 菓子製造業,小峰貴志,,2021/12/14,2021/12/14,03衛第1000635号,,398,パティスリーラフィネ,0942,0942-48-1524,,,,福岡県　久留米市　諏訪野町　2162,福岡県久留米市諏訪野町２１６２,錦芳ビル101,201243,40,40203,諏訪野町,,2021/12/14,2021/12/14,,,,小峰貴志,,,,,,,,,03衛第1000635号,,菓子製造業,,,,398_福岡県_久留米市保健所_食品衛生(許可)_2021年11月-2021年12月_末日_新規,E,9,,,パティスリラフィネ0942-48-152420124340203,7ed45d78-630f-4f70-b749-eaac6d153dc1,,personal,d7841427-64ec-4e33-9b34-879e71f408b5,2021/12/14,パティスリーラフィネ,パティスリラフィネ,
炙り百貫,8390865,福岡県,久留米市,新合川,1丁目2−1,ゆめタウン久留米1階,0942-65-6961,① 飲食店営業,株式会社サイプレス,03-6807-4165,2021/12/13,2021/12/13,03衛第1000803号,,398,炙り百貫,0942,0942-65-6961,,,,福岡県　久留米市　新合川　1丁目2−1,福岡県久留米市新合川１丁目２−１,ゆめタウン久留米1階,201362,40,40203,新合川１,,2021/12/13,2021/12/13,,,株式会社サイプレス,,03-6807-4165,,,,,,,,03衛第1000803号,,飲食店営業,,,,398_福岡県_久留米市保健所_食品衛生(許可)_2021年11月-2021年12月_末日_新規,M,76,,,炙り百貫0942-65-696120136240203,f521fc0c-9edc-4dab-b45b-e20112e7f2b5,株式会社サイプレス,81ab4551-e78b-458b-962f-63765a1e94c4,43f0ac18-3a66-426a-955b-14162b0a3011,2021/12/13,炙り百貫,炙り百貫,株式会社サイプレス
サンドイッチショップ,8390863,福岡県,久留米市,国分町,1440-1,,0942-21-6885,① 飲食店営業,M.G.C株式会社,0942-37-4331,2021/12/3,2021/12/3,03衛第1000696号,,398,サンドイッチショップ,0942,0942-21-6885,,,,福岡県　久留米市　国分町　1440-1,福岡県久留米市国分町１４４０－１,,201236,40,40203,国分町,,2021/12/03,2021/12/03,,,M.G.C株式会社,,0942-37-4331,,,,,,,,03衛第1000696号,,飲食店営業,,,,398_福岡県_久留米市保健所_食品衛生(許可)_2021年11月-2021年12月_末日_新規,M,76,,,サンドイッチショップ0942-21-688520123640203,d8c8605c-b1f1-4191-9f6d-fc41063610f3,Ｍ．Ｇ．Ｃ株式会社,0d4ee238-1740-4b87-ad36-9d722c25f49b,d3d3b3f6-a0c6-43c0-9ca5-8a4f62ac19cf,2021/12/03,サンドイッチショップ,サンドイッチショップ,Ｍ．Ｇ．Ｃ株式会社
太陽のいちご,8390863,福岡県,久留米市,国分町,1648-1,,0942-65-6278,⑪ 菓子製造業,原口義友,,2021/12/7,2021/12/7,03衛第1000697号,,398,太陽のいちご,0942,0942-65-6278,,,,福岡県　久留米市　国分町　1648-1,福岡県久留米市国分町１６４８－１,,201236,40,40203,国分町,,2021/12/07,2021/12/07,,,,原口義友,,,,,,,,,03衛第1000697号,,菓子製造業,,,,398_福岡県_久留米市保健所_食品衛生(許可)_2021年11月-2021年12月_末日_新規,E,9,,,太陽のいちご0942-65-627820123640203,d85de529-c1a8-44d1-a414-e2a68b655375,,personal,6172569e-b50d-40f1-8a7d-302596473f11,2021/12/07,太陽のいちご,太陽のいちご,
一味ラーメン北野本店,8301113,福岡県,久留米市,北野町中,914番地1,,,① 飲食店営業,有限会社一味,0942-78-6586,2021/12/20,2021/12/20,03衛第1000824号,,398,一味ラーメン北野本店,0942,,,,,福岡県　久留米市　北野町中　914番地1,福岡県久留米市北野町中９１４番地１,,201381,40,40203,北野町中,,2021/12/20,2021/12/20,,,有限会社一味,,0942-78-6586,,,,,,,,03衛第1000824号,,飲食店営業,,,,398_福岡県_久留米市保健所_食品衛生(許可)_2021年11月-2021年12月_末日_新規,M,76,,,一味ラメン北野本店20138140203,3ec876bb-bed0-49cc-acd5-0899aaada0c9,有限会社一味,987580d6-e6dc-42fb-be18-668f95f985f1,a27c4b42-45d5-402f-a381-2efedf6d6257,2021/12/20,一味ラーメン北野本店,一味ラメン北野本店,有限会社一味
一味セントラルキッチン,8301113,福岡県,久留米市,北野町中,913番地2,,0942-78-6586,㉕ そうざい製造業,有限会社一味,0942-78-6586,2021/12/20,2021/12/20,03衛第1000825号,,398,一味セントラルキッチン,0942,0942-78-6586,,,,福岡県　久留米市　北野町中　913番地2,福岡県久留米市北野町中９１３番地２,,201381,40,40203,北野町中,,2021/12/20,2021/12/20,,,有限会社一味,,0942-78-6586,,,,,,,,03衛第1000825号,,そうざい製造業,,,,398_福岡県_久留米市保健所_食品衛生(許可)_2021年11月-2021年12月_末日_新規,E,9,,,一味セントラルキッチン0942-78-658620138140203,31b11bdf-d85f-4e71-849e-8955d7637549,有限会社一味,987580d6-e6dc-42fb-be18-668f95f985f1,a505ca96-944f-472d-941a-7eec47de36ad,2021/12/20,一味セントラルキッチン,一味セントラルキッチン,有限会社一味
エーム1689,8391202,福岡県,久留米市,田主丸町鷹取,808,,,① 飲食店営業,エームサービス株式会社,03-6234-7500,2021/12/16,2021/12/16,03衛第1000705号,,398,エーム1689,0943,,,,,福岡県　久留米市　田主丸町鷹取　808,福岡県久留米市田主丸町鷹取８０８,,201413,40,40203,田主丸町鷹取,,2021/12/16,2021/12/16,,,エームサービス株式会社,,03-6234-7500,,,,,,,,03衛第1000705号,,飲食店営業,,,,398_福岡県_久留米市保健所_食品衛生(許可)_2021年11月-2021年12月_末日_新規,M,76,,,エム１６８９20141340203,01f48175-c3a1-4aa2-931b-d860a0c01c29,エームサービス株式会社,f21c08a8-5026-4512-b533-e949b0ce190a,5b09234a-3252-46f8-a8ab-34fc686fe332,2021/12/16,エーム１６８９,エム１６８９,エームサービス株式会社
つる屋,8300017,福岡県,久留米市,日吉町,26-23,,0942-39-6768,① 飲食店営業,靏宏章,,2021/12/3,2021/12/3,03衛第1000716号,,398,つる屋,0942,0942-39-6768,,,,福岡県　久留米市　日吉町　26-23,福岡県久留米市日吉町２６－２３,,201280,40,40203,日吉町,,2021/12/03,2021/12/03,,,,靏宏章,,,,,,,,,03衛第1000716号,,飲食店営業,,,,398_福岡県_久留米市保健所_食品衛生(許可)_2021年11月-2021年12月_末日_新規,M,76,,,つる屋0942-39-676820128040203,11f0a61f-2c1b-4e93-9053-eaca5d178a51,,personal,259244c2-2ce2-4e2a-b3a4-abc771c7e72f,2021/12/03,つる屋,つる屋,
角打ちBAR さくら,8300032,福岡県,久留米市,東町,396番4,,,① 飲食店営業,白石恵美香,,2021/12/10,2021/12/10,03衛第1000715号,,398,角打ちBAR さくら,0942,,,,,福岡県　久留米市　東町　396番4,福岡県久留米市東町３９６番４,,201278,40,40203,東町,,2021/12/10,2021/12/10,,,,白石恵美香,,,,,,,,,03衛第1000715号,,飲食店営業,,,,398_福岡県_久留米市保健所_食品衛生(許可)_2021年11月-2021年12月_末日_新規,M,76,,,角打ちＢＡＲさくら20127840203,8d6c3f23-44c5-4e9f-a3f0-e172050f43df,,personal,d890488f-5441-4723-8b26-3008e379a72c,2021/12/10,角打ちＢＡＲ　さくら,角打ちＢＡＲさくら,
住よし,8300017,福岡県,久留米市,日吉町,12-10,,0942-32-6779,① 飲食店営業,香田美千世,,2021/12/3,2021/12/3,03衛第1000717号,,398,住よし,0942,0942-32-6779,,,,福岡県　久留米市　日吉町　12-10,福岡県久留米市日吉町１２－１０,,201280,40,40203,日吉町,,2021/12/03,2021/12/03,,,,香田美千世,,,,,,,,,03衛第1000717号,,飲食店営業,,,,398_福岡県_久留米市保健所_食品衛生(許可)_2021年11月-2021年12月_末日_新規,M,76,,,住よし0942-32-677920128040203,f362f5b9-3a1b-4d8b-9766-6a29218bf112,,personal,0bbd32d8-4c92-4e69-8129-869dea5e81e4,2021/12/03,住よし,住よし,
