https://docs.google.com/spreadsheets/d/1Qy3el1DFIpxtm3-VIAdZlBmEHual1CU39oB_urGxiyI/edit#gid=508940504,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
75,n処理終了,,,,,,,,,,,,d08_import_license_datas,完了,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
業種,施設名,施設-電話番号1,許可年月日,施設-住所0,施設-住所1,施設-マンション名,申請者1,申請-電話番号1,申請者2,申請-住所0,申請-住所1,申請-マンション名,ここまで,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
業種名称,屋号名称,営業所電話番号,許可年月日,営業所所在地,,,営業者氏名,本社電話番号,代表者氏名,法人所在地,,,,管轄保健所,名称,市外局番,電話番号,施設の郵便番号,緯度,経度,施設の住所（元住所）,施設の住所（整備）,施設マンション名,施設-住所コード,施設-都道府県,施設-郡・政令市・市区町村名,施設-大字名・字名,申請年月日,開業年月日,許可年月日,許可期間開始日,許可期間終了日,申請法人,申請者氏名(個人名),申請者（開設者）の電話番号,申請者の住所（元住所）,申請者の住所（整備）,申請マンション名,申請-住所コード,申請-都道府県,申請-郡・政令市・市区町村名,申請-大字名・字名,確認番号,申請区分,業種,業態,その他,法人番号,シート名,産業分類大,産業分類中,産業分類小,産業分類詳細,facility_idを識別するための文字列,店舗コード,company_idを識別するための文字列,法人コード,ライセンスコード,検索用日付,整備名称,整備名称2,整備申請法人
飲食店営業,ＢＡＲＡＫＡＨ ＲＥＳＴＡＵＲＡＮＴ,,令和3年11月26日,東京都葛飾区青戸四丁目２１番２８号２階,東京都葛飾区青戸４丁目２１番２８号,２階,ＴＯＫＹＯ　ＴＲＡＤＥＸ合同会社,,荒川エイワハブ,東京都葛飾区青戸四丁目２１番２８号２階,東京都葛飾区青戸４丁目２１番２８号,２階,,201,ＢＡＲＡＫＡＨ ＲＥＳＴＡＵＲＡＮＴ,03,,,,,東京都葛飾区青戸４丁目２１番２８号,東京都葛飾区青戸４丁目２１番２８号,２階,75640,13,13122,青戸４,,,2021/11/26,,,ＴＯＫＹＯ　ＴＲＡＤＥＸ合同会社,荒川エイワハブ,,東京都葛飾区青戸４丁目２１番２８号,東京都葛飾区青戸４丁目２１番２８号,２階,75640,東京都,葛飾区,青戸４,,,飲食店営業,,,,201_東京都_葛飾区保健所_食品衛生()_2021年11月-2021年12月_末日_新規,M,76,,,ＢＡＲＡＫＡＨＲＥＳＴＡＵＲＡＮＴ7564013122,f1ad95cd-ad70-4211-8989-8d3c3b5343ae,ＴＯＫＹＯ　ＴＲＡＤＥＸ合同会社75640,d034ec7d-afc0-4eea-850b-2d36ca75214e,2f89d4dd-b49d-471e-add8-53c422cdbb4d,2021/11/26,ＢＡＲＡＫＡＨ　ＲＥＳＴＡＵＲＡＮＴ,ＢＡＲＡＫＡＨＲＥＳＴＡＵＲＡＮＴ,ＴＯＫＹＯ　ＴＲＡＤＥＸ合同会社
飲食店営業,窯焼きピザとワインのお店 ＲＯＭＡＥ～炉前～,03-6231-5115,令和3年12月22日,東京都葛飾区新小岩一丁目２９番７号プランドール２Ｆ,東京都葛飾区新小岩１丁目２９番７号,プランドール２Ｆ,株式会社ＳｔｙＬｅ,03-6279-3564,石川瑛祐,東京都渋谷区幡ヶ谷一丁目３０番１１号ミハス幡ヶ谷２０１,東京都渋谷区幡ヶ谷１丁目３０番１１号,ミハス幡ヶ谷２０１,,201,窯焼きピザとワインのお店 ＲＯＭＡＥ～炉前～,03,03-6231-5115,,,,東京都葛飾区新小岩１丁目２９番７号,東京都葛飾区新小岩１丁目２９番７号,プランドール２Ｆ,75688,13,13122,新小岩１,,,2021/12/22,,,株式会社ＳｔｙＬｅ,石川瑛祐,03-6279-3564,東京都渋谷区幡ヶ谷１丁目３０番１１号,東京都渋谷区幡が谷１丁目３０番１１号,ミハス幡ヶ谷２０１,74523,東京都,渋谷区,幡が谷１,,,飲食店営業,,,,201_東京都_葛飾区保健所_食品衛生()_2021年11月-2021年12月_末日_新規,M,76,,,窯焼きピザとワインのお店ＲＯＭＡＥ炉前03-6231-51157568813122,eddddee7-058e-4bd2-b3e6-e95910e5a768,株式会社ＳｔｙＬｅ74523,3a22ebd8-f14c-4537-8f90-c64143508bf2,4937fd00-15d7-4d4f-9df4-39a48efff810,2021/12/22,窯焼きピザとワインのお店　ＲＯＭＡＥ～炉前～,窯焼きピザとワインのお店ＲＯＭＡＥ炉前,株式会社ＳｔｙＬｅ
飲食店営業,※※※※※,,令和3年12月16日,東京都葛飾区,東京都葛飾区,,,,,,,,,201,※※※※※,03,,,,,東京都葛飾区,東京都葛飾区,,75636,13,13122,,,,2021/12/16,,,,,,,,,,,,,,,飲食店営業,,,,201_東京都_葛飾区保健所_食品衛生()_2021年11月-2021年12月_末日_新規,M,76,,,※※※※※7563613122,1f4e212d-fe9c-4af5-9364-884a04e897d6,,personal,e122bd92-ac73-4905-b96a-87823fa8772a,2021/12/16,※※※※※,※※※※※,
飲食店営業,※※※※※,,令和3年12月20日,東京都葛飾区,東京都葛飾区,,,,,,,,,201,※※※※※,03,,,,,東京都葛飾区,東京都葛飾区,,75636,13,13122,,,,2021/12/20,,,,,,,,,,,,,,,飲食店営業,,,,201_東京都_葛飾区保健所_食品衛生()_2021年11月-2021年12月_末日_新規,M,76,,,※※※※※7563613122,1f4e212d-fe9c-4af5-9364-884a04e897d6,,personal,a6bf2cd5-1895-4c77-9dbc-0b5598b20887,2021/12/20,※※※※※,※※※※※,
飲食店営業,ＡＭＡＮＤＡ＇Ｓ ＤＩＮＥＲ,,令和3年12月24日,東京都葛飾区東堀切三丁目２１番１２号,東京都葛飾区東堀切３丁目２１番１２号,,山室友美,,,,,,,201,ＡＭＡＮＤＡ＇Ｓ ＤＩＮＥＲ,03,,,,,東京都葛飾区東堀切３丁目２１番１２号,東京都葛飾区東堀切３丁目２１番１２号,,75747,13,13122,東堀切３,,,2021/12/24,,,,山室友美 ,,,,,,,,,,,飲食店営業,,,,201_東京都_葛飾区保健所_食品衛生()_2021年11月-2021年12月_末日_新規,M,76,,,ＡＭＡＮＤＡＳＤＩＮＥＲ7574713122,8e901a2c-f7cb-47aa-8d03-1a6dab5f8df6,,personal,c4e7ee7a-e2b3-41dd-b37a-d1976cad4e78,2021/12/24,ＡＭＡＮＤＡ＇Ｓ　ＤＩＮＥＲ,ＡＭＡＮＤＡＳＤＩＮＥＲ,
飲食店営業,Ｍｏｉｓｔ,,令和3年12月24日,東京都葛飾区金町五丁目３７番４号金井田ビルＢＦ１,東京都葛飾区金町５丁目３７番４号,金井田ビルＢＦ１,エルザ株式会社,03-6806-4009,耿静,東京都葛飾区東金町一丁目４１番９‐３Ｆ,東京都葛飾区東金町１丁目４１番９,３Ｆ,,201,Ｍｏｉｓｔ,03,,,,,東京都葛飾区金町５丁目３７番４号,東京都葛飾区金町５丁目３７番４号,金井田ビルＢＦ１,75661,13,13122,金町５,,,2021/12/24,,,エルザ株式会社,耿静,03-6806-4009,東京都葛飾区東金町１丁目４１番９,東京都葛飾区東金町１丁目４１番９,３Ｆ,75725,東京都,葛飾区,東金町１,,,飲食店営業,,,,201_東京都_葛飾区保健所_食品衛生()_2021年11月-2021年12月_末日_新規,M,76,,,Ｍｏｉｓｔ7566113122,840ff55d-c319-498c-b246-72667475f30d,エルザ株式会社75725,213f5204-55f7-4559-b44c-829f6ca929ac,6898e23c-235f-454a-8da7-d76f429b0973,2021/12/24,Ｍｏｉｓｔ,Ｍｏｉｓｔ,エルザ株式会社
飲食店営業,ナースＧｉｒｌ’ｓ   Ｂａｒ Ｄｒ．Ｔｉｐｓｙ,,令和3年12月23日,東京都葛飾区東金町一丁目２０番５号アオイビル４階,東京都葛飾区東金町１丁目２０番５号,アオイビル４階,株式会社 Ｔｓｕｂａｋｉ,03-3608-3233,中野友香,東京都葛飾区東金町一丁目２０番５号 ＡＯＩビル５階,東京都葛飾区東金町１丁目２０番５号, ＡＯＩビル５階,一致の場合削除ガールズバー神楽/ナースＧｉｒｌ＇ｓ　Ｂａｒ　Ｄｒ．Ｔｉｐｓｙ,201,ナースＧｉｒｌ’ｓ   Ｂａｒ Ｄｒ．Ｔｉｐｓｙ,03,,,,,東京都葛飾区東金町１丁目２０番５号,東京都葛飾区東金町１丁目２０番５号,アオイビル４階,75725,13,13122,東金町１,,,2021/12/23,,,株式会社 Ｔｓｕｂａｋｉ,中野友香,03-3608-3233,東京都葛飾区東金町１丁目２０番５号,東京都葛飾区東金町１丁目２０番５号, ＡＯＩビル５階,75725,東京都,葛飾区,東金町１,,,飲食店営業,,,,201_東京都_葛飾区保健所_食品衛生()_2021年11月-2021年12月_末日_新規,M,76,,,ナスＧｉｒｌｓＢａｒＤｒＴｉｐｓｙ7572513122,93d87758-9c68-43d9-9f32-b0c29a14af57,株式会社Ｔｓｕｂａｋｉ75725,4c8761c8-f955-4b41-9d19-098dcc0723a5,1ab89694-44d7-4c56-9951-927cb24ccd4c,2021/12/23,ナースＧｉｒｌ＇ｓ　Ｂａｒ　Ｄｒ．Ｔｉｐｓｙ,ナスＧｉｒｌｓＢａｒＤｒＴｉｐｓｙ,株式会社Ｔｓｕｂａｋｉ
飲食店営業,金町酒場,03-5876-4522,令和3年11月19日,東京都葛飾区東金町一丁目２１番１５号,東京都葛飾区東金町１丁目２１番１５号,,株式会社コムズ,048-969-4000,小野﨑勉,埼玉県三郷市高州三丁目５２番地,埼玉県三郷市高州３丁目５２番地,,一致の場合削除ガールズバー神楽/金町酒場,201,金町酒場,03,03-5876-4522,,,,東京都葛飾区東金町１丁目２１番１５号,東京都葛飾区東金町１丁目２１番１５号,,75725,13,13122,東金町１,,,2021/11/19,,,株式会社コムズ,小野﨑勉,048-969-4000,埼玉県三郷市高州３丁目５２番地,埼玉県三郷市高州３丁目５２番地,,65609,埼玉県,三郷市,高州３,,,飲食店営業,,,,201_東京都_葛飾区保健所_食品衛生()_2021年11月-2021年12月_末日_新規,M,76,,,金町酒場03-5876-45227572513122,bf5648bd-2f2a-4b10-9a0f-614210c5e895,株式会社コムズ65609,a37f385b-db0a-44cf-bb85-8bbfb895b685,99b14287-7a56-4c0d-8107-5a8ad4e8b111,2021/11/19,金町酒場,金町酒場,株式会社コムズ
飲食店営業,仲膳,,令和3年12月22日,東京都葛飾区亀有二丁目４番２号西藤荘１－Ｂ,東京都葛飾区亀有２丁目４番２号,西藤荘１－Ｂ,渥美仲盟,,,,,,,201,仲膳,03,,,,,東京都葛飾区亀有２丁目４番２号,東京都葛飾区亀有２丁目４番２号,西藤荘１－Ｂ,75669,13,13122,亀有２,,,2021/12/22,,,,渥美仲盟 ,,,,,,,,,,,飲食店営業,,,,201_東京都_葛飾区保健所_食品衛生()_2021年11月-2021年12月_末日_新規,M,76,,,仲膳7566913122,9b787905-e42b-4863-96e5-c91553ae61fe,,personal,c7242f1f-8bc8-4bf8-a087-ba6f2e0e55a9,2021/12/22,仲膳,仲膳,
飲食店営業,Ｈｅａｒｔ   Ｓｕｎ,,令和3年12月1日,東京都葛飾区亀有三丁目７番１７号シティハイツ亀有１Ｆ,東京都葛飾区亀有３丁目７番１７号,シティハイツ亀有１Ｆ,久松由利子,,,,,,,201,Ｈｅａｒｔ   Ｓｕｎ,03,,,,,東京都葛飾区亀有３丁目７番１７号,東京都葛飾区亀有３丁目７番１７号,シティハイツ亀有１Ｆ,75670,13,13122,亀有３,,,2021/12/01,,,,久松由利子 ,,,,,,,,,,,飲食店営業,,,,201_東京都_葛飾区保健所_食品衛生()_2021年11月-2021年12月_末日_新規,M,76,,,ＨｅａｒｔＳｕｎ7567013122,e8a92542-2ec8-403d-ba86-eb7b1450f8d3,,personal,90e43390-8a93-48da-8c95-29feb7e42436,2021/12/01,Ｈｅａｒｔ　Ｓｕｎ,ＨｅａｒｔＳｕｎ,
