https://docs.google.com/spreadsheets/d/1Qy3el1DFIpxtm3-VIAdZlBmEHual1CU39oB_urGxiyI/edit#gid=508940504,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
269,n処理終了,,,,,,,,,d08_import_license_datas,完了,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
業種,施設名,施設-住所1,施設-住所2,施設-住所3,施設-マンション名,確認番号,許可年月日,許可期間終了日,開業年月日,ここまで,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
営業の種類,施設名,所在地,,,マンション名等（営業施設）,許可番号,許可年月日,有効年月日,開設年月日,,管轄保健所,名称,市外局番,電話番号,施設の郵便番号,緯度,経度,施設の住所（元住所）,施設の住所（整備）,施設マンション名,施設-住所コード,施設-都道府県,施設-郡・政令市・市区町村名,施設-大字名・字名,申請年月日,開業年月日,許可年月日,許可期間開始日,許可期間終了日,申請法人,申請者氏名(個人名),申請者（開設者）の電話番号,申請者の住所（元住所）,申請者の住所（整備）,申請マンション名,申請-住所コード,申請-都道府県,申請-郡・政令市・市区町村名,申請-大字名・字名,確認番号,申請区分,業種,業態,その他,法人番号,シート名,産業分類大,産業分類中,産業分類小,産業分類詳細,facility_idを識別するための文字列,店舗コード,company_idを識別するための文字列,法人コード,ライセンスコード,検索用日付,整備名称,整備名称2,整備申請法人
① 飲食店営業,さたけ産婦人科,富山市,町村二丁目,70番地,,22AA0008,2022/4/1,2028/3/31,2015/11/2,,211,さたけ産婦人科,076,,,,,富山市　町村二丁目　70番地,富山県富山市町村２丁目７０番地,,91401,16,16201,町村２,,2015/11/02,2022/04/01,,2028/03/31,,,,,,,,,,,22AA0008,,飲食店営業,,,,211_富山県_富山市保健所_食品衛生()_2022年03月まで全件_末日_※更新頻度：3か月に1回,M,76,,,さたけ産婦人科9140116201,1a730c62-f422-4cf0-a262-45eca3c5faae,,personal,cc890655-c1f1-4dfa-9472-23b16eeab84c,2022/04/01,さたけ産婦人科,さたけ産婦人科,
① 飲食店営業,居酒屋　でんでん,富山市,堀,195番地,,22AA0009,2022/4/1,2027/3/31,1996/9/5,,211,居酒屋　でんでん,076,,,,,富山市　堀　195番地,富山県富山市堀１９５番地,,91147,16,16201,堀,,1996/09/05,2022/04/01,,2027/03/31,,,,,,,,,,,22AA0009,,飲食店営業,,,,211_富山県_富山市保健所_食品衛生()_2022年03月まで全件_末日_※更新頻度：3か月に1回,M,76,,,居酒屋でんでん9114716201,3e623aed-7dba-46c5-9709-752bb86c7fcd,,personal,103dea81-1cbd-44d8-94db-dc0d260186a0,2022/04/01,居酒屋　でんでん,居酒屋でんでん,
① 飲食店営業,サガミ掛尾店,富山市,黒瀬北町二丁目,４－１１,,22AA0010,2022/4/1,2028/3/31,1999/7/16,,211,サガミ掛尾店,076,,,,,富山市　黒瀬北町二丁目　４－１１,富山県富山市黒瀬北町２丁目４－１１,,91464,16,16201,黒瀬北町２,,1999/07/16,2022/04/01,,2028/03/31,,,,,,,,,,,22AA0010,,飲食店営業,,,,211_富山県_富山市保健所_食品衛生()_2022年03月まで全件_末日_※更新頻度：3か月に1回,M,76,,,サガミ掛尾店9146416201,d9eb7db0-7c84-41e2-a97d-1fa40384ff17,,personal,0aa12c54-0cc7-458e-82e2-9641a93d0f0e,2022/04/01,サガミ掛尾店,サガミ掛尾店,
① 飲食店営業,モスバーガー　富山掛尾店,富山市,掛尾町,619,,22AA0011,2022/4/1,2028/3/31,2004/7/29,,211,モスバーガー　富山掛尾店,076,,,,,富山市　掛尾町　619,富山県富山市掛尾町６１９,,90763,16,16201,掛尾町,,2004/07/29,2022/04/01,,2028/03/31,,,,,,,,,,,22AA0011,,飲食店営業,,,,211_富山県_富山市保健所_食品衛生()_2022年03月まで全件_末日_※更新頻度：3か月に1回,M,76,,,モスバガ富山掛尾店9076316201,9610fe6a-6c56-4623-b9cc-3bf8333f120f,,personal,21206060-821f-4958-a78e-252d213491da,2022/04/01,モスバーガー　富山掛尾店,モスバガ富山掛尾店,
① 飲食店営業,カレーハウスCoCo壱番屋　富山黒瀬店,富山市,黒瀬北町一丁目,4-3,,22AA0012,2022/4/1,2028/3/31,2004/10/22,,211,カレーハウスCoCo壱番屋　富山黒瀬店,076,,,,,富山市　黒瀬北町一丁目　4-3,富山県富山市黒瀬北町１丁目４－３,,91463,16,16201,黒瀬北町１,,2004/10/22,2022/04/01,,2028/03/31,,,,,,,,,,,22AA0012,,飲食店営業,,,,211_富山県_富山市保健所_食品衛生()_2022年03月まで全件_末日_※更新頻度：3か月に1回,M,76,,,カレハウスＣｏＣｏ壱番屋富山黒瀬店9146316201,8ef9cecb-cf93-430b-9717-22e3caf414c9,,personal,a8e73a5a-3b74-4101-8302-ead2386422fe,2022/04/01,カレーハウスＣｏＣｏ壱番屋　富山黒瀬店,カレハウスＣｏＣｏ壱番屋富山黒瀬店,
① 飲食店営業,グリエＴＡＮＩＧＵＣＨＩ　根塚店,富山市,新根塚町一丁目,６－１７,,22AA0013,2022/4/1,2028/3/31,2015/8/31,,211,グリエＴＡＮＩＧＵＣＨＩ　根塚店,076,,,,,富山市　新根塚町一丁目　６－１７,富山県富山市新根塚町１丁目６－１７,,91419,16,16201,新根塚町１,,2015/08/31,2022/04/01,,2028/03/31,,,,,,,,,,,22AA0013,,飲食店営業,,,,211_富山県_富山市保健所_食品衛生()_2022年03月まで全件_末日_※更新頻度：3か月に1回,M,76,,,グリエＴＡＮＩＧＵＣＨＩ根塚店9141916201,8a414535-9fec-4256-a71f-30de8b70050b,,personal,c7ba4d50-dc0b-4e16-b10b-b3e42a287759,2022/04/01,グリエＴＡＮＩＧＵＣＨＩ　根塚店,グリエＴＡＮＩＧＵＣＨＩ根塚店,
① 飲食店営業,串いち,富山市,赤田,794-1,,22AA0015,2022/4/1,2028/3/31,1999/10/14,,211,串いち,076,,,,,富山市　赤田　794-1,富山県富山市赤田７９４－１,,90628,16,16201,赤田,,1999/10/14,2022/04/01,,2028/03/31,,,,,,,,,,,22AA0015,,飲食店営業,,,,211_富山県_富山市保健所_食品衛生()_2022年03月まで全件_末日_※更新頻度：3か月に1回,M,76,,,串いち9062816201,a0f03830-a656-468a-9648-58f4fc198462,,personal,4ad7ad70-02c9-4307-aef9-0c381922479b,2022/04/01,串いち,串いち,
① 飲食店営業,九重荘内富士産業(株)営業所,富山市,流杉,１７７－３,,22AA0017,2022/4/1,2028/3/31,2005/10/1,,211,九重荘内富士産業(株)営業所,076,,,,,富山市　流杉　１７７－３,富山県富山市流杉１７７－３,,91028,16,16201,流杉,,2005/10/01,2022/04/01,,2028/03/31,,,,,,,,,,,22AA0017,,飲食店営業,,,,211_富山県_富山市保健所_食品衛生()_2022年03月まで全件_末日_※更新頻度：3か月に1回,M,76,,,九重荘内富士産業株式会社営業所9102816201,8ad4ed0f-95fb-4394-8d21-fc74ecf79cc5,,personal,81a503e8-6f30-4a6c-b249-58dab17f6b78,2022/04/01,九重荘内富士産業株式会社営業所,九重荘内富士産業株式会社営業所,
① 飲食店営業,月岡デイサービスセンター　やまゆり,富山市,中布目,163,,22AA0019,2022/4/1,2028/3/31,2009/11/17,,211,月岡デイサービスセンター　やまゆり,076,,,,,富山市　中布目　163,富山県富山市中布目１６３,,91011,16,16201,中布目,,2009/11/17,2022/04/01,,2028/03/31,,,,,,,,,,,22AA0019,,飲食店営業,,,,211_富山県_富山市保健所_食品衛生()_2022年03月まで全件_末日_※更新頻度：3か月に1回,M,76,,,月岡デイサビスセンタやまゆり9101116201,80ababe1-40bd-48d8-a0c1-ad5803a16e93,,personal,cf1d5270-a591-4d14-bb0f-fd08aabf2b73,2022/04/01,月岡デイサービスセンター　やまゆり,月岡デイサビスセンタやまゆり,
① 飲食店営業,ステーキ飛騨たかやま,富山市,大泉中町,１－６,,22AA0021,2022/4/1,2027/3/31,2011/5/18,,211,ステーキ飛騨たかやま,076,,,,,富山市　大泉中町　１－６,富山県富山市大泉中町１－６,,90727,16,16201,大泉中町,,2011/05/18,2022/04/01,,2027/03/31,,,,,,,,,,,22AA0021,,飲食店営業,,,,211_富山県_富山市保健所_食品衛生()_2022年03月まで全件_末日_※更新頻度：3か月に1回,M,76,,,ステキ飛騨たかやま9072716201,0a3cf386-42d1-4a5e-9f4c-77952af816fe,,personal,21b05682-55b5-4fd2-894a-f3e59a6a901f,2022/04/01,ステーキ飛騨たかやま,ステキ飛騨たかやま,
① 飲食店営業,コンパスグループ・ジャパン㈱富山本郷事業所,富山市,本郷町,13,,22AA0022,2022/4/1,2023/3/31,2017/4/1,,211,コンパスグループ・ジャパン㈱富山本郷事業所,076,,,,,富山市　本郷町　13,富山県富山市本郷町１３,,91156,16,16201,本郷町,,2017/04/01,2022/04/01,,2023/03/31,,,,,,,,,,,22AA0022,,飲食店営業,,,,211_富山県_富山市保健所_食品衛生()_2022年03月まで全件_末日_※更新頻度：3か月に1回,M,76,,,コンパスグルプジャパン株式会社富山本郷事業所9115616201,1e379abd-6fe0-405c-9861-e36260965b33,,personal,13895422-abd6-4e1d-8643-39603fbebc78,2022/04/01,コンパスグループ・ジャパン株式会社富山本郷事業所,コンパスグルプジャパン株式会社富山本郷事業所,
① 飲食店営業,三輪病院内　富士産業（株）営業所,富山市,小中291,,,22AA0023,2022/4/1,2028/3/31,2016/4/1,,211,三輪病院内　富士産業（株）営業所,076,,,,,富山市　小中291　,富山県富山市小中２９１,,90826,16,16201,小中,,2016/04/01,2022/04/01,,2028/03/31,,,,,,,,,,,22AA0023,,飲食店営業,,,,211_富山県_富山市保健所_食品衛生()_2022年03月まで全件_末日_※更新頻度：3か月に1回,M,76,,,三輪病院内富士産業株式会社営業所9082616201,396598d6-338d-4a8f-8c20-ec57687b3d2d,,personal,24051e69-c972-4e67-94b1-c8390ba55f12,2022/04/01,三輪病院内　富士産業株式会社営業所,三輪病院内富士産業株式会社営業所,
① 飲食店営業,インド料理インディラ富山店,富山市,天正寺,１０５９,,22AA0028,2022/4/1,2027/3/31,2011/8/1,,211,インド料理インディラ富山店,076,,,,,富山市　天正寺　１０５９,富山県富山市天正寺１０５９,,90981,16,16201,天正寺,,2011/08/01,2022/04/01,,2027/03/31,,,,,,,,,,,22AA0028,,飲食店営業,,,,211_富山県_富山市保健所_食品衛生()_2022年03月まで全件_末日_※更新頻度：3か月に1回,M,76,,,インド料理インディラ富山店9098116201,855cedcd-e363-481e-8fd9-ae5b35934a00,,personal,1a813e80-ba75-4cae-bca5-bda92a0a7219,2022/04/01,インド料理インディラ富山店,インド料理インディラ富山店,
① 飲食店営業,丸一みなみ食堂,富山市,大町2区136,,,22AA0029,2022/4/1,2027/3/31,1985/12/24,,211,丸一みなみ食堂,076,,,,,富山市　大町2区136　,富山県富山市大町二区１３６,,90749,16,16201,大町,,1985/12/24,2022/04/01,,2027/03/31,,,,,,,,,,,22AA0029,,飲食店営業,,,,211_富山県_富山市保健所_食品衛生()_2022年03月まで全件_末日_※更新頻度：3か月に1回,M,76,,,丸一みなみ食堂9074916201,f3b90086-d8d3-45fb-b72c-cafb78b3ee0d,,personal,f9bca3a7-d24c-4e37-857d-b17c7fc56730,2022/04/01,丸一みなみ食堂,丸一みなみ食堂,
① 飲食店営業,やわらかとんかつ　かつ兵衛空港通り店,富山市,二口町五丁目,１－１,,22AA0031,2022/4/1,2028/3/31,2010/1/20,,211,やわらかとんかつ　かつ兵衛空港通り店,076,,,,,富山市　二口町五丁目　１－１,富山県富山市二口町５丁目１－１,,91134,16,16201,二口町５,,2010/01/20,2022/04/01,,2028/03/31,,,,,,,,,,,22AA0031,,飲食店営業,,,,211_富山県_富山市保健所_食品衛生()_2022年03月まで全件_末日_※更新頻度：3か月に1回,M,76,,,やわらかとんかつかつ兵衛空港通り店9113416201,c9c30ab1-b793-4142-ad6f-ec4c86ebce28,,personal,b6a9cfc7-db00-44aa-aa90-55638659652e,2022/04/01,やわらかとんかつ　かつ兵衛空港通り店,やわらかとんかつかつ兵衛空港通り店,
① 飲食店営業,スパ・アルプス,富山市,山室,２９２－１,,22AA0032,2022/4/1,2028/3/31,2004/6/7,,211,スパ・アルプス,076,,,,,富山市　山室　２９２－１,富山県富山市山室２９２－１,,91257,16,16201,山室,,2004/06/07,2022/04/01,,2028/03/31,,,,,,,,,,,22AA0032,,飲食店営業,,,,211_富山県_富山市保健所_食品衛生()_2022年03月まで全件_末日_※更新頻度：3か月に1回,M,76,,,スパアルプス9125716201,c1083938-6a7a-4fc9-bac7-7ff06c9f6cd7,,personal,c39ac6f8-a82e-4496-896e-c45e3575002c,2022/04/01,スパ・アルプス,スパアルプス,
① 飲食店営業,麺とお食事処　天狗,富山市,下熊野257-2,,,22AA0034,2022/4/1,2028/3/31,2016/4/1,,211,麺とお食事処　天狗,076,,,,,富山市　下熊野257-2　,富山県富山市下熊野２５７－２,,90868,16,16201,下熊野,,2016/04/01,2022/04/01,,2028/03/31,,,,,,,,,,,22AA0034,,飲食店営業,,,,211_富山県_富山市保健所_食品衛生()_2022年03月まで全件_末日_※更新頻度：3か月に1回,M,76,,,麺とお食事処天狗9086816201,0d10b3d3-bcd3-42ff-9d4e-d26f45aa9a4c,,personal,9eebfc89-e4e2-48db-9c38-094665220017,2022/04/01,麺とお食事処　天狗,麺とお食事処天狗,
① 飲食店営業,洋食だんらんや,富山市,太田北区,８１－１,,22AA0038,2022/4/1,2027/3/31,1993/12/9,,211,洋食だんらんや,076,,,,,富山市　太田北区　８１－１,富山県富山市太田北区８１－１,,90740,16,16201,太田,,1993/12/09,2022/04/01,,2027/03/31,,,,,,,,,,,22AA0038,,飲食店営業,,,,211_富山県_富山市保健所_食品衛生()_2022年03月まで全件_末日_※更新頻度：3か月に1回,M,76,,,洋食だんらんや9074016201,f064d023-0897-421a-91b3-e5e9c3b367fa,,personal,3273e2e6-6f73-4dad-8d15-d8b81ece915d,2022/04/01,洋食だんらんや,洋食だんらんや,
① 飲食店営業,ジョイフル　富山インター店,富山市,赤田794-1,,,22AA0039,2022/4/1,2028/3/31,1998/8/4,,211,ジョイフル　富山インター店,076,,,,,富山市　赤田794-1　,富山県富山市赤田７９４－１,,90628,16,16201,赤田,,1998/08/04,2022/04/01,,2028/03/31,,,,,,,,,,,22AA0039,,飲食店営業,,,,211_富山県_富山市保健所_食品衛生()_2022年03月まで全件_末日_※更新頻度：3か月に1回,M,76,,,ジョイフル富山インタ店9062816201,083a691b-6d5a-40fc-b2d8-af605aacdfa5,,personal,3a694ee5-4269-4e79-8b3a-cfc14b699f8f,2022/04/01,ジョイフル　富山インター店,ジョイフル富山インタ店,
① 飲食店営業,富山高等専門学校生活協同組合,富山市,本郷町,１３,,22AA0041,2022/4/1,2028/3/31,2010/4/1,,211,富山高等専門学校生活協同組合,076,,,,,富山市　本郷町　１３,富山県富山市本郷町１３,,91156,16,16201,本郷町,,2010/04/01,2022/04/01,,2028/03/31,,,,,,,,,,,22AA0041,,飲食店営業,,,,211_富山県_富山市保健所_食品衛生()_2022年03月まで全件_末日_※更新頻度：3か月に1回,M,76,,,富山高等専門学校生活協同組合9115616201,79c6863f-2d9b-4c40-b6ec-0d7c097401ff,,personal,a4a60daa-952f-464a-9644-a08d0ea6872c,2022/04/01,富山高等専門学校生活協同組合,富山高等専門学校生活協同組合,
① 飲食店営業,ジェイ・エス・ビー富山市学生マンション,富山市,五福字大曲沼5351番地1他12筆,,ユニエミール富山大学前１Ｆ,22AA0045,2022/4/1,2029/10/31,2022/4/1,,211,ジェイ・エス・ビー富山市学生マンション,076,,,,,富山市　五福字大曲沼5351番地1他12筆　,富山県富山市五福字大曲沼５３５１番地１他１２筆,ユニエミール富山大学前１Ｆ,90831,16,16201,五福,,2022/04/01,2022/04/01,,2029/10/31,,,,,,,,,,,22AA0045,,飲食店営業,,,,211_富山県_富山市保健所_食品衛生()_2022年03月まで全件_末日_※更新頻度：3か月に1回,M,76,,,ジェイエスビ富山市学生マンション9083116201,936bf5a8-7a45-4ffe-ab1e-d368cbab99dd,,personal,654a06c0-77db-41e8-aae9-9e5443015c3a,2022/04/01,ジェイ・エス・ビー富山市学生マンション,ジェイエスビ富山市学生マンション,
① 飲食店営業,中華料理　ちゅー,富山市,月岡町,５－８４,,22AB0002,2022/4/1,2027/3/31,1977/11/12,,211,中華料理　ちゅー,076,,,,,富山市　月岡町　５－８４,富山県富山市月岡町５－８４,,91322,16,16201,月岡町５,,1977/11/12,2022/04/01,,2027/03/31,,,,,,,,,,,22AB0002,,飲食店営業,,,,211_富山県_富山市保健所_食品衛生()_2022年03月まで全件_末日_※更新頻度：3か月に1回,M,76,,,中華料理ちゅ9132216201,13dbedef-8eba-405c-aabe-00933b0f2559,,personal,e119a2b8-f304-44ca-8887-82aef04d8d22,2022/04/01,中華料理　ちゅー,中華料理ちゅ,
① 飲食店営業,麺飯屋　醤,富山市,中川原,224-3,,22AB0003,2022/4/1,2028/3/31,2015/8/21,,211,麺飯屋　醤,076,,,,,富山市　中川原　224-3,富山県富山市中川原２２４－３,,90998,16,16201,中川原,,2015/08/21,2022/04/01,,2028/03/31,,,,,,,,,,,22AB0003,,飲食店営業,,,,211_富山県_富山市保健所_食品衛生()_2022年03月まで全件_末日_※更新頻度：3か月に1回,M,76,,,麺飯屋醤9099816201,c92d8d62-9b87-41a5-af01-d1268b49cc61,,personal,a38bafb9-4f75-49ba-854c-b44bf3fff73f,2022/04/01,麺飯屋　醤,麺飯屋醤,
① 飲食店営業,鮨安,富山市,安養寺,１２９９－２,,22AC0004,2022/4/1,2027/3/31,1997/5/10,,211,鮨安,076,,,,,富山市　安養寺　１２９９－２,富山県富山市安養寺１２９９－２,,90650,16,16201,安養寺,,1997/05/10,2022/04/01,,2027/03/31,,,,,,,,,,,22AC0004,,飲食店営業,,,,211_富山県_富山市保健所_食品衛生()_2022年03月まで全件_末日_※更新頻度：3か月に1回,M,76,,,鮨安9065016201,88ed3814-235f-4889-9855-0e2b1fcc6ad3,,personal,8b618333-a5bb-40a6-b272-5d2432b4bd4a,2022/04/01,鮨安,鮨安,
① 飲食店営業,すし食いねぇ！富山天正寺店,富山市,天正寺,77-1,,22AC0006,2022/4/1,2028/3/31,2011/11/22,,211,すし食いねぇ！富山天正寺店,076,,,,,富山市　天正寺　77-1,富山県富山市天正寺７７－１,,90981,16,16201,天正寺,,2011/11/22,2022/04/01,,2028/03/31,,,,,,,,,,,22AC0006,,飲食店営業,,,,211_富山県_富山市保健所_食品衛生()_2022年03月まで全件_末日_※更新頻度：3か月に1回,M,76,,,すし食いねぇ富山天正寺店9098116201,0c0c3559-d89d-41c4-903b-872b5569d2fc,,personal,55c67840-5008-44fe-b967-a5538dc64708,2022/04/01,すし食いねぇ！富山天正寺店,すし食いねぇ富山天正寺店,
① 飲食店営業,寿司栄　掛尾店,富山市,掛尾町,２８５－１,,22AC0007,2022/4/1,2027/3/31,1993/6/26,,211,寿司栄　掛尾店,076,,,,,富山市　掛尾町　２８５－１,富山県富山市掛尾町２８５－１,,90763,16,16201,掛尾町,,1993/06/26,2022/04/01,,2027/03/31,,,,,,,,,,,22AC0007,,飲食店営業,,,,211_富山県_富山市保健所_食品衛生()_2022年03月まで全件_末日_※更新頻度：3か月に1回,M,76,,,寿司栄掛尾店9076316201,e90c2413-1505-4607-84cd-833584aa1c0a,,personal,050096dc-857b-4a22-b62b-49c9eda369cf,2022/04/01,寿司栄　掛尾店,寿司栄掛尾店,
① 飲食店営業,生粋手打蕎麦　市川,富山市,今泉北部町,1-5,シティアイアイビル　1F,22AD0002,2022/4/1,2028/3/31,1999/8/18,,211,生粋手打蕎麦　市川,076,,,,,富山市　今泉北部町　1-5,富山県富山市今泉北部町１－５,シティアイアイビル　1F,91461,16,16201,今泉北部町,,1999/08/18,2022/04/01,,2028/03/31,,,,,,,,,,,22AD0002,,飲食店営業,,,,211_富山県_富山市保健所_食品衛生()_2022年03月まで全件_末日_※更新頻度：3か月に1回,M,76,,,生粋手打蕎麦市川9146116201,55376fcc-fbd9-4968-8dbd-6029acb03ac5,,personal,906dad24-d80d-440c-bc77-274040201599,2022/04/01,生粋手打蕎麦　市川,生粋手打蕎麦市川,
① 飲食店営業,８番らーめん　黒瀬店,富山市,黒瀬北町二丁目,2-11,,22AD0003,2022/4/1,2028/3/31,2003/7/17,,211,８番らーめん　黒瀬店,076,,,,,富山市　黒瀬北町二丁目　2-11,富山県富山市黒瀬北町２丁目２－１１,,91464,16,16201,黒瀬北町２,,2003/07/17,2022/04/01,,2028/03/31,,,,,,,,,,,22AD0003,,飲食店営業,,,,211_富山県_富山市保健所_食品衛生()_2022年03月まで全件_末日_※更新頻度：3か月に1回,M,76,,,８番らめん黒瀬店9146416201,2c80dec3-2383-4f60-bc6d-4fb218f35531,,personal,0856b397-0c4d-4098-bc72-963823fa9667,2022/04/01,８番らーめん　黒瀬店,８番らめん黒瀬店,
① 飲食店営業,本格手打ち蕎麦　福籠,富山市,山室,303-28,,22AD0004,2022/4/1,2027/3/31,2016/10/25,,211,本格手打ち蕎麦　福籠,076,,,,,富山市　山室　303-28,富山県富山市山室３０３－２８,,91257,16,16201,山室,,2016/10/25,2022/04/01,,2027/03/31,,,,,,,,,,,22AD0004,,飲食店営業,,,,211_富山県_富山市保健所_食品衛生()_2022年03月まで全件_末日_※更新頻度：3か月に1回,M,76,,,本格手打ち蕎麦福籠9125716201,85a4820e-a2fd-49e5-ba9f-be53bdd54df4,,personal,fef377b6-a41a-48d2-87d1-7aeb506a4232,2022/04/01,本格手打ち蕎麦　福籠,本格手打ち蕎麦福籠,
① 飲食店営業,なか道,富山市,大島一丁目,211,,22AD0005,2022/4/1,2028/3/31,2010/3/7,,211,なか道,076,,,,,富山市　大島一丁目　211,富山県富山市大島１丁目２１１,,90736,16,16201,大島１,,2010/03/07,2022/04/01,,2028/03/31,,,,,,,,,,,22AD0005,,飲食店営業,,,,211_富山県_富山市保健所_食品衛生()_2022年03月まで全件_末日_※更新頻度：3か月に1回,M,76,,,なか道9073616201,ed852716-8fff-4fc8-8824-411ef4612908,,personal,edaa4dc6-c2a8-4e58-bd3a-622ff943df7d,2022/04/01,なか道,なか道,
① 飲食店営業,ラーメン専門店　あっちっち本店,富山市,堀川町,486-2,,22AD0007,2022/4/1,2028/3/31,1987/11/18,,211,ラーメン専門店　あっちっち本店,076,,,,,富山市　堀川町　486-2,富山県富山市堀川町４８６－２,,91151,16,16201,堀川町,,1987/11/18,2022/04/01,,2028/03/31,,,,,,,,,,,22AD0007,,飲食店営業,,,,211_富山県_富山市保健所_食品衛生()_2022年03月まで全件_末日_※更新頻度：3か月に1回,M,76,,,ラメン専門店あっちっち本店9115116201,c3931d64-14cf-4122-89bf-53b8872ef71d,,personal,5b8a8cec-b744-4aa9-b6a3-600b086042bf,2022/04/01,ラーメン専門店　あっちっち本店,ラメン専門店あっちっち本店,
① 飲食店営業,８番らーめん　大泉店,富山市,大泉本町1-4-2,,,22AD0009,2022/4/1,2027/3/31,2016/6/21,,211,８番らーめん　大泉店,076,,,,,富山市　大泉本町1-4-2　,富山県富山市大泉本町１－４－２,,90730,16,16201,大泉本町１,,2016/06/21,2022/04/01,,2027/03/31,,,,,,,,,,,22AD0009,,飲食店営業,,,,211_富山県_富山市保健所_食品衛生()_2022年03月まで全件_末日_※更新頻度：3か月に1回,M,76,,,８番らめん大泉店9073016201,fd5801c6-eacb-4c31-9e1d-1c473f45a53d,,personal,610ec4f1-d9fd-40be-b4ee-8cdff6b01723,2022/04/01,８番らーめん　大泉店,８番らめん大泉店,
① 飲食店営業,ローソン　富山中屋店,富山市,中屋,２９７－２,,22AE0003,2022/4/1,2028/3/31,2015/11/5,,211,ローソン　富山中屋店,076,,,,,富山市　中屋　２９７－２,富山県富山市中屋２９７－２,,91016,16,16201,中屋,,2015/11/05,2022/04/01,,2028/03/31,,,,,,,,,,,22AE0003,,飲食店営業,,,,211_富山県_富山市保健所_食品衛生()_2022年03月まで全件_末日_※更新頻度：3か月に1回,M,76,,,ロソン富山中屋店9101616201,39a829d9-6d74-4565-9b00-59c908f4c26b,,personal,7f5b0194-483d-46fa-b621-a791838636ac,2022/04/01,ローソン　富山中屋店,ロソン富山中屋店,
① 飲食店営業,とべーぐる山室店,富山市,山室,340-2,サザンロードビル1Ｆ,22AE0004,2022/4/1,2028/3/31,2015/6/26,,211,とべーぐる山室店,076,,,,,富山市　山室　340-2,富山県富山市山室３４０－２,サザンロードビル1Ｆ,91257,16,16201,山室,,2015/06/26,2022/04/01,,2028/03/31,,,,,,,,,,,22AE0004,,飲食店営業,,,,211_富山県_富山市保健所_食品衛生()_2022年03月まで全件_末日_※更新頻度：3か月に1回,M,76,,,とべぐる山室店9125716201,adc5396c-435b-4b23-bfb7-3feb06b17c2b,,personal,e530ff55-a173-442b-8735-5f4eac4b525a,2022/04/01,とべーぐる山室店,とべぐる山室店,
① 飲食店営業,富山製パン　株式会社,富山市,秋ケ島,269-1,,22AE0005,2022/4/1,2027/3/31,2012/4/1,,211,富山製パン　株式会社,076,,,,,富山市　秋ケ島　269-1,富山県富山市秋が島２６９－１,,90629,16,16201,秋が島,,2012/04/01,2022/04/01,,2027/03/31,,,,,,,,,,,22AE0005,,飲食店営業,,,,211_富山県_富山市保健所_食品衛生()_2022年03月まで全件_末日_※更新頻度：3か月に1回,M,76,,,富山製パン株式会社9062916201,026f5c84-345a-44a5-b3ae-5380096585a6,,personal,6eede360-57c8-49e9-aa4d-7bf12f2cd240,2022/04/01,富山製パン　株式会社,富山製パン株式会社,
① 飲食店営業,中部フーズ(株)　本郷店,富山市,本郷町,55-1,,22AE0006,2022/4/1,2028/3/31,2004/9/21,,211,中部フーズ(株)　本郷店,076,,,,,富山市　本郷町　55-1,富山県富山市本郷町５５－１,,91156,16,16201,本郷町,,2004/09/21,2022/04/01,,2028/03/31,,,,,,,,,,,22AE0006,,飲食店営業,,,,211_富山県_富山市保健所_食品衛生()_2022年03月まで全件_末日_※更新頻度：3か月に1回,M,76,,,中部フズ株式会社本郷店9115616201,a93c6867-e3af-43d1-bd2d-61c45cc646e3,,personal,10ee7eb1-04fd-4985-bacd-11346754be35,2022/04/01,中部フーズ株式会社本郷店,中部フズ株式会社本郷店,
① 飲食店営業,中部フーズ（バロー黒瀬店）,富山市,黒瀬,４７０－２,,22AE0007,2022/4/1,2028/3/31,2009/7/16,,211,中部フーズ（バロー黒瀬店）,076,,,,,富山市　黒瀬　４７０－２,富山県富山市黒瀬４７０－２,,90814,16,16201,黒瀬,,2009/07/16,2022/04/01,,2028/03/31,,,,,,,,,,,22AE0007,,飲食店営業,,,,211_富山県_富山市保健所_食品衛生()_2022年03月まで全件_末日_※更新頻度：3か月に1回,M,76,,,中部フズバロ黒瀬店9081416201,f75bb068-3245-4f73-a774-d8891d4264e8,,personal,49cb5ecb-8216-44f7-aad0-8e8349c2bd1a,2022/04/01,中部フーズ（バロー黒瀬店）,中部フズバロ黒瀬店,
① 飲食店営業,土井鮮魚店,富山市,中市一丁目,１２－３７,,22AE0008,2022/4/1,2028/3/31,1999/6/4,,211,土井鮮魚店,076,,,,,富山市　中市一丁目　１２－３７,富山県富山市中市１丁目１２－３７,,90994,16,16201,中市１,,1999/06/04,2022/04/01,,2028/03/31,,,,,,,,,,,22AE0008,,飲食店営業,,,,211_富山県_富山市保健所_食品衛生()_2022年03月まで全件_末日_※更新頻度：3か月に1回,M,76,,,土井鮮魚店9099416201,02db526e-362b-4248-bcd3-bd9f90ef1246,,personal,78e086f0-2653-4df4-aa08-eb392dbb1cc2,2022/04/01,土井鮮魚店,土井鮮魚店,
