https://docs.google.com/spreadsheets/d/1Qy3el1DFIpxtm3-VIAdZlBmEHual1CU39oB_urGxiyI/edit#gid=508940504,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
269,n処理終了,,,,,,,,,d08_import_license_datas,完了,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
業種,施設名,施設-住所1,施設-住所2,施設-住所3,施設-マンション名,確認番号,許可年月日,許可期間終了日,開業年月日,ここまで,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
営業の種類,施設名,所在地,,,マンション名等（営業施設）,許可番号,許可年月日,有効年月日,開設年月日,,管轄保健所,名称,市外局番,電話番号,施設の郵便番号,緯度,経度,施設の住所（元住所）,施設の住所（整備）,施設マンション名,施設-住所コード,施設-都道府県,施設-郡・政令市・市区町村名,施設-大字名・字名,申請年月日,開業年月日,許可年月日,許可期間開始日,許可期間終了日,申請法人,申請者氏名(個人名),申請者（開設者）の電話番号,申請者の住所（元住所）,申請者の住所（整備）,申請マンション名,申請-住所コード,申請-都道府県,申請-郡・政令市・市区町村名,申請-大字名・字名,確認番号,申請区分,業種,業態,その他,法人番号,シート名,産業分類大,産業分類中,産業分類小,産業分類詳細,facility_idを識別するための文字列,店舗コード,company_idを識別するための文字列,法人コード,ライセンスコード,検索用日付,整備名称,整備名称2,整備申請法人
① 飲食店営業,しゃぶしゃぶ温野菜　上飯野店,富山市,飯野,10-1,,22AI0031,2022/5/1,2028/4/30,2005/2/22,,211,しゃぶしゃぶ温野菜　上飯野店,076,,,,,富山市　飯野　10-1,富山県富山市飯野１０－１,,90652,16,16201,飯野,,2005/02/22,2022/05/01,,2028/04/30,,,,,,,,,,,22AI0031,,飲食店営業,,,,211_富山県_富山市保健所_食品衛生()_2022年03月まで全件_末日_※更新頻度：3か月に1回,M,76,,,しゃぶしゃぶ温野菜上飯野店9065216201,435a6b52-c286-4b37-876b-b33072ef4307,,personal,5c490013-b60c-4dcf-bf7e-77711e7850b5,2022/05/01,しゃぶしゃぶ温野菜　上飯野店,しゃぶしゃぶ温野菜上飯野店,
① 飲食店営業,まる田,富山市,永楽町,1-11,,22AI0033,2022/5/1,2028/4/30,1991/8/1,,211,まる田,076,,,,,富山市　永楽町　1-11,富山県富山市永楽町１－１１,,90719,16,16201,永楽町,,1991/08/01,2022/05/01,,2028/04/30,,,,,,,,,,,22AI0033,,飲食店営業,,,,211_富山県_富山市保健所_食品衛生()_2022年03月まで全件_末日_※更新頻度：3か月に1回,M,76,,,まる田9071916201,439b2f80-408c-4ed5-84d8-24c430ea4ec0,,personal,cac5f577-82ac-464e-bb0e-cae30d7442e6,2022/05/01,まる田,まる田,
① 飲食店営業,やきとり　天ちゃん,富山市,奥田寿町,6-3-126,奥田ビル3号棟,22AI0034,2022/5/1,2027/4/30,1991/3/28,,211,やきとり　天ちゃん,076,,,,,富山市　奥田寿町　6-3-126,富山県富山市奥田寿町６－３－１２６,奥田ビル3号棟,90752,16,16201,奥田寿町,,1991/03/28,2022/05/01,,2027/04/30,,,,,,,,,,,22AI0034,,飲食店営業,,,,211_富山県_富山市保健所_食品衛生()_2022年03月まで全件_末日_※更新頻度：3か月に1回,M,76,,,やきとり天ちゃん9075216201,255d9b2f-2967-4d49-9cd2-9c5ff5768c78,,personal,2540a90e-d0b3-4bb9-b81a-42b150e9c050,2022/05/01,やきとり　天ちゃん,やきとり天ちゃん,
① 飲食店営業,居酒屋　小もり,富山市,永楽町,35-3,,22AI0039,2022/5/1,2028/4/30,1992/3/16,,211,居酒屋　小もり,076,,,,,富山市　永楽町　35-3,富山県富山市永楽町３５－３,,90719,16,16201,永楽町,,1992/03/16,2022/05/01,,2028/04/30,,,,,,,,,,,22AI0039,,飲食店営業,,,,211_富山県_富山市保健所_食品衛生()_2022年03月まで全件_末日_※更新頻度：3か月に1回,M,76,,,居酒屋小もり9071916201,ff10aafc-1cb3-4860-a75a-122a61926f42,,personal,4b64f8e7-7346-40f0-8783-9b5292254545,2022/05/01,居酒屋　小もり,居酒屋小もり,
① 飲食店営業,hanare(ハナレ）,富山市,上飯野,2-50,,22AJ0015,2022/5/1,2027/4/30,2017/4/4,,211,hanare(ハナレ）,076,,,,,富山市　上飯野　2-50,富山県富山市上飯野２－５０,,90772,16,16201,上飯野,,2017/04/04,2022/05/01,,2027/04/30,,,,,,,,,,,22AJ0015,,飲食店営業,,,,211_富山県_富山市保健所_食品衛生()_2022年03月まで全件_末日_※更新頻度：3か月に1回,M,76,,,ｈａｎａｒｅハナレ9077216201,85cb5f17-1745-4aad-a4f7-fdeffdd11882,,personal,069fca94-e431-4d9c-af04-f19efe124ac3,2022/05/01,ｈａｎａｒｅ（ハナレ）,ｈａｎａｒｅハナレ,
① 飲食店営業,喫茶シーズン,富山市,上飯野新町,２－２３,,22AJ0026,2022/5/1,2027/4/30,1981/12/28,,211,喫茶シーズン,076,,,,,富山市　上飯野新町　２－２３,富山県富山市上飯野新町２－２３,,90774,16,16201,上飯野新町２,,1981/12/28,2022/05/01,,2027/04/30,,,,,,,,,,,22AJ0026,,飲食店営業,,,,211_富山県_富山市保健所_食品衛生()_2022年03月まで全件_末日_※更新頻度：3か月に1回,M,76,,,喫茶シズン9077416201,dba58ff6-7f7b-4b7a-be5d-6b54e720b3ae,,personal,6944f60d-cdaf-4d8e-857a-38b8fa534f37,2022/05/01,喫茶シーズン,喫茶シズン,
① 飲食店営業,あん　金泉寺,富山市,金泉寺,101,,22AJ0031,2022/5/1,2027/4/30,2016/9/28,,211,あん　金泉寺,076,,,,,富山市　金泉寺　101,富山県富山市金泉寺１０１,,90803,16,16201,金泉寺,,2016/09/28,2022/05/01,,2027/04/30,,,,,,,,,,,22AJ0031,,飲食店営業,,,,211_富山県_富山市保健所_食品衛生()_2022年03月まで全件_末日_※更新頻度：3か月に1回,M,76,,,あん金泉寺9080316201,1a9da551-682a-4208-ba8f-412634688445,,personal,3ce75aa4-9cb0-4b11-b8bc-8696e16cf011,2022/05/01,あん　金泉寺,あん金泉寺,
① 飲食店営業,アピタ富山東店,富山市,上冨居三丁目,８－３８,,22AK0008,2022/5/1,2028/4/30,1998/10/15,,211,アピタ富山東店,076,,,,,富山市　上冨居三丁目　８－３８,富山県富山市上冨居３丁目８－３８,,90789,16,16201,上冨居３,,1998/10/15,2022/05/01,,2028/04/30,,,,,,,,,,,22AK0008,,飲食店営業,,,,211_富山県_富山市保健所_食品衛生()_2022年03月まで全件_末日_※更新頻度：3か月に1回,M,76,,,アピタ富山東店9078916201,875d693d-dd06-4a8d-918c-ce94ab7af988,,personal,c17f2c2d-3edd-4909-b912-69c408a86df1,2022/05/01,アピタ富山東店,アピタ富山東店,
① 飲食店営業,森　豆富店,富山市,荏原236,,,22AK0009,2022/5/1,2028/4/30,2004/4/1,,211,森　豆富店,076,,,,,富山市　荏原236　,富山県富山市向新庄２３６,,91232,16,16201,向新庄,,2004/04/01,2022/05/01,,2028/04/30,,,,,,,,,,,22AK0009,,飲食店営業,,,,211_富山県_富山市保健所_食品衛生()_2022年03月まで全件_末日_※更新頻度：3か月に1回,M,76,,,森豆富店9123216201,6d1523f2-5405-4db1-95f0-30c324a25902,,personal,bf5a1b51-104d-4ea4-9668-69b1bf253a6f,2022/05/01,森　豆富店,森豆富店,
① 飲食店営業,お惣菜の神戸亭アピタ富山東店,富山市,上冨居三丁目,８－３８,,22AK0011,2022/5/1,2028/4/30,1998/10/15,,211,お惣菜の神戸亭アピタ富山東店,076,,,,,富山市　上冨居三丁目　８－３８,富山県富山市上冨居３丁目８－３８,,90789,16,16201,上冨居３,,1998/10/15,2022/05/01,,2028/04/30,,,,,,,,,,,22AK0011,,飲食店営業,,,,211_富山県_富山市保健所_食品衛生()_2022年03月まで全件_末日_※更新頻度：3か月に1回,M,76,,,お惣菜の神戸亭アピタ富山東店9078916201,774e0a89-d3c3-4ab4-93cb-bc5be66cf1ab,,personal,1107a78c-2e91-42ba-b288-de93e2d52b7b,2022/05/01,お惣菜の神戸亭アピタ富山東店,お惣菜の神戸亭アピタ富山東店,
