,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,n処理終了,,,,,,,,,,,,,,,,n10_company_name_maintenance,完了,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
業種,施設名,施設-住所0,施設-住所1,施設-住所2,施設-電話番号1,施設名,申請者1,申請-住所1,申請-電話番号1,,確認番号,許可年月日,許可期間開始日,許可期間終了日,開業年月日,申請区分,ここまで,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
営業種目,営業所名,営業所所在地,,,営業所電話番号,営業者名,代表者,営業者所在地,営業者電話番号,仮設区分,許可番号,許可年月日,許可開始日,許可期限,当初許可日,新規／継続の別,,管轄保健所,名称,市外局番,電話番号,施設の郵便番号,緯度,経度,施設の住所（元住所）,施設の住所（整備）,施設マンション名,施設-住所コード,施設-都道府県,施設-郡・政令市・市区町村名,施設-大字名・字名,申請年月日,開業年月日,許可年月日,許可期間開始日,許可期間終了日,申請法人,申請者氏名(個人名),申請者（開設者）の電話番号,申請者の住所（元住所）,申請者の住所（整備）,申請マンション名,申請-住所コード,申請-都道府県,申請-郡・政令市・市区町村名,申請-大字名・字名,確認番号,申請区分,業種,業態,その他,法人番号,シート名,産業分類大,産業分類中,産業分類小,産業分類詳細,facility_idを識別するための文字列,店舗コード,company_idを識別するための文字列,法人コード,ライセンスコード,検索用日付,整備名称,整備名称2,整備申請法人,チェーン店名,重複確認,店舗業種(大),店舗業種(中),店舗業種(小),店舗業種(詳細),施設名のフリガナ
飲食店営業（仕出し）,ＴＡＮＯＭＥＬ,前橋市千代田町3-9-13呑竜仲店協同組合店舗B-6,前橋市千代田町３－９－１３,呑竜仲店協同組合店舗B－６,,冨士イズム株式会社,冨士　和樹,前橋市城東町5-3-14-1F,前橋市城東町５－３－１４,１F,311,R04/07/06,R04/07/06,R10/09/30,R04/07/06,新規,,前橋市保健所,冨士イズム株式会社,027,,,,,前橋市千代田町３－９－１３　呑竜仲店協同組合店舗B－６,群馬県前橋市千代田町３－９－１３呑竜仲店協同組合店舗B－６,,59905,群馬県,前橋市,千代田町３,,2022/07/06,2022/07/06,2022/07/06,2028/09/30,,冨士　和樹,前橋市城東町５－３－１４,前橋市城東町5-3-14-1F,群馬県前橋市城東町５－３－１４－１F,,59884,群馬県,前橋市,城東町５,311,新規,飲食店営業,仕出し,,,113_群馬県_前橋市保健所_食品衛生(許可)_2022年07月_末日_新規,宿泊業，飲食サービス業,飲食店,,,,,,,,,冨士イズム株式会社,冨士イズム株式会社,,,1,,,,,
飲食店営業（弁当）,株式会社大合アピタ前橋店,前橋市文京町2-1-1ｱﾋﾟﾀ前橋店内,前橋市文京町２－１－１,ｱﾋﾟﾀ前橋店内,027-243-1231,株式会社大合,横井　佑典,東京都豊島区東池袋1-17-11ﾊﾟｰｸﾊｲﾂ池袋1105,東京都豊島区東池袋１－１７－１１ﾊﾟｰｸﾊｲﾂ池袋１１０５,,313,R04/07/06,R04/07/06,R11/03/31,R04/07/06,新規,,前橋市保健所,株式会社大合,027,027-243-1231,,,,前橋市文京町２－１－１　ｱﾋﾟﾀ前橋店内,群馬県前橋市文京町２－１－１ｱﾋﾟﾀ前橋店内,,59949,群馬県,前橋市,文京町２,,2022/07/06,2022/07/06,2022/07/06,2029/03/31,,横井　佑典,東京都豊島区東池袋１－１７－１１ﾊﾟｰｸﾊｲﾂ池袋１１０５,東京都豊島区東池袋1-17-11ﾊﾟｰｸﾊｲﾂ池袋1105,東京都豊島区東池袋１－１７－１１ﾊﾟｰｸﾊｲツ池袋１１０５,,74830,東京都,豊島区,東池袋１,313,新規,飲食店営業,弁当,,,113_群馬県_前橋市保健所_食品衛生(許可)_2022年07月_末日_新規,宿泊業，飲食サービス業,飲食店,,,,,,,,,株式会社大合,株式会社大合,,,1,,,,,
飲食店営業（ｺﾝﾋﾞﾆｴﾝｽｽﾄｱ）,セブンーイレブン前橋天川町店,前橋市天川町3-3,前橋市天川町３－３,,027-223-2355,株式会社セブン－イレブン・ジャパン,永松　文彦,東京都千代田区二番町8-8,東京都千代田区二番町８－８,,312,R04/07/07,R04/07/07,R11/03/31,R04/07/07,新規,,前橋市保健所,株式会社セブン－イレブン・ジャパン,027,027-223-2355,,,,前橋市天川町３－３　,群馬県前橋市天川町３－３,,59777,群馬県,前橋市,天川町,,2022/07/07,2022/07/07,2022/07/07,2029/03/31,,永松　文彦,東京都千代田区二番町８－８,東京都千代田区二番町8-8,東京都千代田区二番町８－８,,72918,東京都,千代田区,二番町,312,新規,飲食店営業,（ｺﾝﾋﾞﾆｴﾝｽｽﾄｱ）,,,113_群馬県_前橋市保健所_食品衛生(許可)_2022年07月_末日_新規,宿泊業，飲食サービス業,飲食店,,,,,,,,,株式会社セブンイレブン・ジャパン,株式会社セブンイレブンジャパン,,セブンイレブン,1,卸売業，小売業,飲食料品小売業,その他の飲食料品小売業,コンビニエンスストア（飲食料品を中心とするものに限る）,
そうざい製造業,ｓｏｋｏｎｏ　ｐｌａｎｔｅ　,前橋市天川原町1-13-2 E棟,前橋市天川原町１－１３－２,E棟,,石澤　笑子,,,,,314,R04/07/13,R04/07/13,R11/03/31,R04/07/13,新規,,前橋市保健所,石澤　笑子,027,,,,,前橋市天川原町１－１３－２　E棟,群馬県前橋市天川原町１－１３－２E棟,,59775,群馬県,前橋市,天川原町１,,2022/07/13,2022/07/13,2022/07/13,2029/03/31,,,,,,,,,,,314,新規,そうざい製造業,,,,113_群馬県_前橋市保健所_食品衛生(許可)_2022年07月_末日_新規,製造業,食料品製造業,,,,,,,,,石澤　笑子,石澤笑子,,,1,,,,,
飲食店営業（専門料理店）,ＨＫＴ株式会社 （ベトナム料理ＴＨＡＮＨ ＭＡＩ）,前橋市下小出町1-20-5-1F,前橋市下小出町１－２０－５,１F,027-212-8071,ＨＫＴ株式会社,HOANG VU HIEP,前橋市下小出町1-20-5-1F,前橋市下小出町１－２０－５,１F,318,R04/07/14,R04/07/14,R11/06/30,R04/07/14,新規,,前橋市保健所,ＨＫＴ株式会社,027,027-212-8071,,,,前橋市下小出町１－２０－５　１F,群馬県前橋市下小出町１－２０－５１F,,59868,群馬県,前橋市,下小出町１,,2022/07/14,2022/07/14,2022/07/14,2029/06/30,,HOANG VU HIEP,前橋市下小出町１－２０－５,前橋市下小出町1-20-5-1F,群馬県前橋市下小出町１－２０－５－１F,,59868,群馬県,前橋市,下小出町１,318,新規,飲食店営業,専門料理店,,,113_群馬県_前橋市保健所_食品衛生(許可)_2022年07月_末日_新規,宿泊業，飲食サービス業,飲食店,,,,,,,,,ＨＫＴ株式会社,ＨＫＴ株式会社,,,1,,,,,
飲食店営業（自動車営業）,Ｃ２Ｕ,前橋市青柳町198(前橋市内一円）,前橋市青柳町１９８,,,橋爪　香苗,,,,,319,R04/07/14,R04/07/14,R09/09/30,R04/07/14,新規,,前橋市保健所,橋爪　香苗,027,,,,,前橋市青柳町１９８　,群馬県前橋市青柳町１９８,,59759,群馬県,前橋市,青柳町,,2022/07/14,2022/07/14,2022/07/14,2027/09/30,,,,,,,,,,,319,新規,飲食店営業,自動車営業,,,113_群馬県_前橋市保健所_食品衛生(許可)_2022年07月_末日_新規,宿泊業，飲食サービス業,飲食店,,,,,,,,,橋爪　香苗,橋爪香苗,,,1,,,,,
飲食店営業（スナック）,Ｙｏｕ－Ｋｏ,前橋市千代田町4-2-5　2F,前橋市千代田町４－２－５,２F,,酒井　美和,,,,,315,R04/07/15,R04/07/15,R10/09/30,R04/07/15,新規,,前橋市保健所,酒井　美和,027,,,,,前橋市千代田町４－２－５　２F,群馬県前橋市千代田町４－２－５２F,,59906,群馬県,前橋市,千代田町４,,2022/07/15,2022/07/15,2022/07/15,2028/09/30,,,,,,,,,,,315,新規,飲食店営業,スナック,,,113_群馬県_前橋市保健所_食品衛生(許可)_2022年07月_末日_新規,宿泊業，飲食サービス業,飲食店,,,,,,,,,酒井　美和,酒井美和,,,1,,,,,
飲食店営業（スナック）,ラウンジ亜子,前橋市千代田町5-5-12高山ﾋﾞﾙ1F,前橋市千代田町５－５－１２,高山ﾋﾞﾙ１F,,髙野　麻子,,,,,316,R04/07/15,R04/07/15,R10/09/30,R04/07/15,新規,,前橋市保健所,髙野　麻子,027,,,,,前橋市千代田町５－５－１２　高山ﾋﾞﾙ１F,群馬県前橋市千代田町５－５－１２高山ﾋﾞﾙ１F,,59907,群馬県,前橋市,千代田町５,,2022/07/15,2022/07/15,2022/07/15,2028/09/30,,,,,,,,,,,316,新規,飲食店営業,スナック,,,113_群馬県_前橋市保健所_食品衛生(許可)_2022年07月_末日_新規,宿泊業，飲食サービス業,飲食店,,,,,,,,,髙野　麻子,髙野麻子,,,1,,,,,
飲食店営業（スナック）,酒処カラオケすず,前橋市日吉町4-42-20,前橋市日吉町４－４２－２０,,027-225-2480,小野　鈴子,,,,,317,R04/07/15,R04/07/15,R10/12/31,R04/07/15,新規,,前橋市保健所,小野　鈴子,027,027-225-2480,,,,前橋市日吉町４－４２－２０　,群馬県前橋市日吉町４－４２－２０,,59941,群馬県,前橋市,日吉町４,,2022/07/15,2022/07/15,2022/07/15,2028/12/31,,,,,,,,,,,317,新規,飲食店営業,スナック,,,113_群馬県_前橋市保健所_食品衛生(許可)_2022年07月_末日_新規,宿泊業，飲食サービス業,飲食店,,,,,,,,,小野　鈴子,小野鈴子,,,1,,,,,
菓子製造業,おやつのプティ前橋店,前橋市西片貝町5-4-8ｴﾙ･ｱﾙｶｻﾞｰﾙ小池102,前橋市西片貝町５－４－８,ｴﾙ･ｱﾙｶｻﾞｰﾙ小池１０２,,中山　あみ,,,,,320,R04/07/15,R04/07/15,R11/03/31,R04/07/15,新規,,前橋市保健所,中山　あみ,027,,,,,前橋市西片貝町５－４－８　ｴﾙ･ｱﾙｶｻﾞｰﾙ小池１０２,群馬県前橋市西片貝町５－４－８ｴﾙ･ｱﾙｶｻﾞｰﾙ小池１０２,,59925,群馬県,前橋市,西片貝町５,,2022/07/15,2022/07/15,2022/07/15,2029/03/31,,,,,,,,,,,320,新規,菓子製造業,,,,113_群馬県_前橋市保健所_食品衛生(許可)_2022年07月_末日_新規,製造業,食料品製造業,,,,,,,,,中山　あみ,中山あみ,,,1,,,,,
漬物製造業,焼肉　光炎,前橋市総社町総社3110-1,前橋市総社町総社３１１０－１,,027-289-2175,豊川　光孝,,,,,321,R04/07/15,R04/07/15,R11/06/30,R04/07/15,新規,,前橋市保健所,豊川　光孝,027,027-289-2175,,,,前橋市総社町総社３１１０－１　,群馬県前橋市総社町総社３１１０－１,,59896,群馬県,前橋市,総社町総社,,2022/07/15,2022/07/15,2022/07/15,2029/06/30,,,,,,,,,,,321,新規,漬物製造業,,,,113_群馬県_前橋市保健所_食品衛生(許可)_2022年07月_末日_新規,製造業,食料品製造業,,,,,,,,,豊川　光孝,豊川光孝,,,1,,,,,
飲食店営業（一般）,Ｃａｆｅ　こねくと,前橋市南町3-48-9,前橋市南町３－４８－９,,027-212-5117,株式会社コネクトワールド,松本　健,前橋市下大島町995,前橋市下大島町９９５,,322,R04/07/20,R04/07/20,R11/03/31,R04/07/20,新規,,前橋市保健所,株式会社コネクトワールド,027,027-212-5117,,,,前橋市南町３－４８－９　,群馬県前橋市南町３－４８－９,,59969,群馬県,前橋市,南町３,,2022/07/20,2022/07/20,2022/07/20,2029/03/31,,松本　健,前橋市下大島町９９５,前橋市下大島町995,群馬県前橋市下大島町９９５,,59864,群馬県,前橋市,下大島町,322,新規,飲食店営業,一般,,,113_群馬県_前橋市保健所_食品衛生(許可)_2022年07月_末日_新規,宿泊業，飲食サービス業,飲食店,,,,,,,,,株式会社コネクトワールド,株式会社コネクトワルド,,,1,,,,,
飲食店営業（ｶﾌｪ･ﾊﾞｰ･ｷｬﾊﾞﾚｰ）,ライデン　シャフトリヒ,前橋市千代田町5-7-3 2F,前橋市千代田町５－７－３,２F,,黒澤　悠希,,,,,323,R04/07/21,R04/07/21,R10/09/30,R04/07/21,新規,,前橋市保健所,黒澤　悠希,027,,,,,前橋市千代田町５－７－３　２F,群馬県前橋市千代田町５－７－３２F,,59907,群馬県,前橋市,千代田町５,,2022/07/21,2022/07/21,2022/07/21,2028/09/30,,,,,,,,,,,323,新規,飲食店営業,カフェ・バー・キャバレー,,,113_群馬県_前橋市保健所_食品衛生(許可)_2022年07月_末日_新規,宿泊業，飲食サービス業,飲食店,,,,,,,,,黒澤　悠希,黒澤悠希,,,1,,,,,
