,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,n処理終了,,,,,,,,,,,,,,,,n10_company_name_maintenance,完了,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
業種,施設名,施設-住所0,施設-住所1,施設-住所2,施設-電話番号1,施設名,申請者1,申請-住所1,申請-電話番号1,,確認番号,許可年月日,許可期間開始日,許可期間終了日,開業年月日,申請区分,ここまで,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
営業種目,営業所名,営業所所在地,,,営業所電話番号,営業者名,代表者,営業者所在地,営業者電話番号,仮設区分,許可番号,許可年月日,許可開始日,許可期限,当初許可日,新規／継続の別,,管轄保健所,名称,市外局番,電話番号,施設の郵便番号,緯度,経度,施設の住所（元住所）,施設の住所（整備）,施設マンション名,施設-住所コード,施設-都道府県,施設-郡・政令市・市区町村名,施設-大字名・字名,申請年月日,開業年月日,許可年月日,許可期間開始日,許可期間終了日,申請法人,申請者氏名(個人名),申請者（開設者）の電話番号,申請者の住所（元住所）,申請者の住所（整備）,申請マンション名,申請-住所コード,申請-都道府県,申請-郡・政令市・市区町村名,申請-大字名・字名,確認番号,申請区分,業種,業態,その他,法人番号,シート名,産業分類大,産業分類中,産業分類小,産業分類詳細,facility_idを識別するための文字列,店舗コード,company_idを識別するための文字列,法人コード,ライセンスコード,検索用日付,整備名称,整備名称2,整備申請法人,チェーン店名,重複確認,店舗業種(大),店舗業種(中),店舗業種(小),店舗業種(詳細),施設名のフリガナ
飲食店営業（自動車営業）,kitchen　iwasaki,前橋市河原浜町1152-11(前橋市内一円),前橋市河原浜町１１５２－１１,,,岩﨑　憲彦,,,,,324,R04/07/21,R04/07/21,R09/12/31,R04/07/21,新規,,前橋市保健所,岩﨑　憲彦,027,,,,,前橋市河原浜町１１５２－１１　,群馬県前橋市河原浜町１１５２－１１,,60011,群馬県,前橋市,河原浜町,,2022/07/21,2022/07/21,2022/07/21,2027/12/31,,,,,,,,,,,324,新規,飲食店営業,自動車営業,,,113_群馬県_前橋市保健所_食品衛生(許可)_2022年07月_末日_新規,宿泊業，飲食サービス業,飲食店,,,,,,,,,岩﨑　憲彦,岩﨑憲彦,,,1,,,,,
飲食店営業（一般）,ｔｏｒｉｔｅｔｕ　（鶏哲）　　,前橋市荒牧町2-33-5,前橋市荒牧町２－３３－５,,,高橋　哲　,,,,,326,R04/07/21,R04/07/21,R10/09/30,R04/07/21,新規,,前橋市保健所,高橋　哲　,027,,,,,前橋市荒牧町２－３３－５　,群馬県前橋市荒牧町２－３３－５,,59783,群馬県,前橋市,荒牧町２,,2022/07/21,2022/07/21,2022/07/21,2028/09/30,,,,,,,,,,,326,新規,飲食店営業,一般,,,113_群馬県_前橋市保健所_食品衛生(許可)_2022年07月_末日_新規,宿泊業，飲食サービス業,飲食店,,,,,,,,,高橋　哲　,高橋哲,,,1,,,,,
飲食店営業（仮設）,まえばし元気フェスティバル,前橋市千代田町2-8-21前橋中央ｲﾍﾞﾝﾄ広場,前橋市千代田町２－８－２１,前橋中央ｲﾍﾞﾝﾄ広場,027-289-5565,まえばし元気フェスティバル実行委員会　細田　賢司,,,,,325,R04/07/25,R04/07/31,R04/07/31,R04/07/25,新規,,前橋市保健所,まえばし元気フェスティバル実行委員会　細田　賢司,027,027-289-5565,,,,前橋市千代田町２－８－２１　前橋中央ｲﾍﾞﾝﾄ広場,群馬県前橋市千代田町２－８－２１前橋中央ｲﾍﾞﾝﾄ広場,,59904,群馬県,前橋市,千代田町２,,2022/07/25,2022/07/25,2022/07/31,2022/07/31,,,,,,,,,,,325,新規,飲食店営業,仮設,,,113_群馬県_前橋市保健所_食品衛生(許可)_2022年07月_末日_新規,宿泊業，飲食サービス業,飲食店,,,,,,,,,まえばし元気フェスティバル実行委員会　細田　賢司,まえばし元気フェスティバル実行委員会細田賢司,,,1,,,,,
飲食店営業（自動車営業）,ヤマトフードトラック,前橋市大手町3-7-7前橋公園(前橋市内一円),前橋市大手町３－７－７,前橋公園,,岸　智浩,,,,,327,R04/07/27,R04/07/27,R10/06/30,R04/07/27,新規,,前橋市保健所,岸　智浩,027,,,,,前橋市大手町３－７－７　前橋公園,群馬県前橋市大手町３－７－７前橋公園,,59806,群馬県,前橋市,大手町３,,2022/07/27,2022/07/27,2022/07/27,2028/06/30,,,,,,,,,,,327,新規,飲食店営業,自動車営業,,,113_群馬県_前橋市保健所_食品衛生(許可)_2022年07月_末日_新規,宿泊業，飲食サービス業,飲食店,,,,,,,,,岸　智浩,岸智浩,,,1,,,,,
飲食店営業（喫茶）,ボートハウス・カフェ,前橋市富士見町赤城山1,前橋市富士見町赤城山１,,027-287-8311,有限会社大沼山荘　,塩原　勲　,前橋市富士見町赤城山大洞3,前橋市富士見町赤城山大洞３,,328,R04/07/27,R04/07/27,R10/09/30,R04/07/27,新規,,前橋市保健所,有限会社大沼山荘　,027,027-287-8311,,,,前橋市富士見町赤城山１　,群馬県前橋市富士見町赤城山１,,60022,群馬県,前橋市,富士見町赤城山,,2022/07/27,2022/07/27,2022/07/27,2028/09/30,,塩原　勲,前橋市富士見町赤城山大洞３,前橋市富士見町赤城山大洞3,群馬県前橋市富士見町赤城山大洞３,,60022,群馬県,前橋市,富士見町赤城山,328,新規,飲食店営業,喫茶,,,113_群馬県_前橋市保健所_食品衛生(許可)_2022年07月_末日_新規,宿泊業，飲食サービス業,飲食店,,,,,,,,,有限会社大沼山荘　,有限会社大沼山荘,,,1,,,,,
飲食店営業（一般）,株式会社ツルヤ　ツルヤ前橋南店,前橋市公田町668-1,前橋市公田町６６８－１,,027-212-0611,株式会社ツルヤ,掛川　健三,長野県小諸市御幸町2-1-20,長野県小諸市御幸町２－１－２０,,329,R04/07/28,R04/07/28,R11/03/31,R04/07/28,新規,,前橋市保健所,株式会社ツルヤ,027,027-212-0611,,,,前橋市公田町６６８－１　,群馬県前橋市公田町６６８－１,,59842,群馬県,前橋市,公田町,,2022/07/28,2022/07/28,2022/07/28,2029/03/31,,掛川　健三,長野県小諸市御幸町２－１－２０,長野県小諸市御幸町2-1-20,長野県小諸市御幸町２－１－２０,,102154,長野県,小諸市,御幸町２,329,新規,飲食店営業,一般,,,113_群馬県_前橋市保健所_食品衛生(許可)_2022年07月_末日_新規,宿泊業，飲食サービス業,飲食店,,,,,,,,,株式会社ツルヤ,株式会社ツルヤ,,,1,,,,,
飲食店営業（喫茶）,４Ｄ　ｓｔｕｄｉｏ　ｍｅｉｌｉ　ｃａｆｅ,前橋市滝窪町813-201,前橋市滝窪町８１３－２０１,,027-289-0151,メイリークリスタル有限会社,石田　愛,東京都渋谷区幡ヶ谷3-18-7,東京都渋谷区幡ヶ谷３－１８－７,,330,R04/07/28,R04/07/28,R10/12/31,R04/07/28,新規,,前橋市保健所,メイリークリスタル有限会社,027,027-289-0151,,,,前橋市滝窪町８１３－２０１　,群馬県前橋市滝窪町８１３－２０１,,60012,群馬県,前橋市,滝窪町,,2022/07/28,2022/07/28,2022/07/28,2028/12/31,,石田　愛,東京都渋谷区幡ヶ谷３－１８－７,東京都渋谷区幡ヶ谷3-18-7,東京都渋谷区幡が谷３－１８－７,,74525,東京都,渋谷区,幡が谷３,330,新規,飲食店営業,喫茶,,,113_群馬県_前橋市保健所_食品衛生(許可)_2022年07月_末日_新規,宿泊業，飲食サービス業,飲食店,,,,,,,,,メイリークリスタル有限会社,メイリクリスタル有限会社,,,1,,,,,
飲食店営業（給食）,住宅型シニアホームやまと江木内株式会社レパスト,前橋市江木町76,前橋市江木町７６,,027-289-8040,株式会社レパスト,西　剛平,東京都港区東新橋1-9-1,東京都港区東新橋１－９－１,,331,R04/07/28,R04/07/28,R10/12/31,R04/07/28,新規,,前橋市保健所,株式会社レパスト,027,027-289-8040,,,,前橋市江木町７６　,群馬県前橋市江木町７６,,59802,群馬県,前橋市,江木町,,2022/07/28,2022/07/28,2022/07/28,2028/12/31,,西　剛平,東京都港区東新橋１－９－１,東京都港区東新橋1-9-1,東京都港区東新橋１－９－１,,73130,東京都,港区,東新橋１,331,新規,飲食店営業,給食,,,113_群馬県_前橋市保健所_食品衛生(許可)_2022年07月_末日_新規,宿泊業，飲食サービス業,飲食店,,,,,,,,,株式会社レパスト,株式会社レパスト,,,1,,,,,
飲食店営業（焼肉店）,ホルモン　将,前橋市南町2-52-3西村ﾊｲﾂ104,前橋市南町２－５２－３,西村ﾊｲﾂ１０４,027-226-1149,ＳＫＣＹ合同会社,福山　陽一,前橋市南町2-52-3西村ﾊｲﾂ104,前橋市南町２－５２－３,西村ﾊｲﾂ１０４,332,R04/07/28,R04/07/28,R11/03/31,R04/07/28,新規,,前橋市保健所,ＳＫＣＹ合同会社,027,027-226-1149,,,,前橋市南町２－５２－３　西村ﾊｲﾂ１０４,群馬県前橋市南町２－５２－３西村ﾊｲツ１０４,,59968,群馬県,前橋市,南町２,,2022/07/28,2022/07/28,2022/07/28,2029/03/31,,福山　陽一,前橋市南町２－５２－３,前橋市南町2-52-3西村ﾊｲﾂ104,群馬県前橋市南町２－５２－３西村ﾊｲツ１０４,,59968,群馬県,前橋市,南町２,332,新規,飲食店営業,焼肉店,,,113_群馬県_前橋市保健所_食品衛生(許可)_2022年07月_末日_新規,宿泊業，飲食サービス業,飲食店,,,,,,,,,ＳＫＣＹ合同会社,ＳＫＣＹ合同会社,,,1,,,,,
菓子製造業,赤城山ホテル,前橋市日吉町3-15-9,前橋市日吉町３－１５－９,,,鶴淵　麻美,,,,,333,R04/07/28,R04/07/28,R10/12/31,R04/07/28,新規,,前橋市保健所,鶴淵　麻美,027,,,,,前橋市日吉町３－１５－９　,群馬県前橋市日吉町３－１５－９,,59940,群馬県,前橋市,日吉町３,,2022/07/28,2022/07/28,2022/07/28,2028/12/31,,,,,,,,,,,333,新規,菓子製造業,,,,113_群馬県_前橋市保健所_食品衛生(許可)_2022年07月_末日_新規,製造業,食料品製造業,,,,,,,,,鶴淵　麻美,鶴淵麻美,,,1,,,,,
飲食店営業（ｶﾌｪ･ﾊﾞｰ･ｷｬﾊﾞﾚｰ）,Ｂａｒ　酒良,前橋市千代田町5-5-3須藤ﾋﾞﾙ1F,前橋市千代田町５－５－３,須藤ﾋﾞﾙ１F,,株式会社ＢＬＵＥ　ＢＡＵＭ,青木　知絵,前橋市川原町2-29-9,前橋市川原町２－２９－９,,334,R04/07/28,R04/07/28,R10/09/30,R04/07/28,新規,,前橋市保健所,株式会社ＢＬＵＥ　ＢＡＵＭ,027,,,,,前橋市千代田町５－５－３　須藤ﾋﾞﾙ１F,群馬県前橋市千代田町５－５－３須藤ﾋﾞﾙ１F,,59907,群馬県,前橋市,千代田町５,,2022/07/28,2022/07/28,2022/07/28,2028/09/30,,青木　知絵,前橋市川原町２－２９－９,前橋市川原町2-29-9,群馬県前橋市川原町２－２９－９,,59837,群馬県,前橋市,川原町２,334,新規,飲食店営業,カフェ・バー・キャバレー,,,113_群馬県_前橋市保健所_食品衛生(許可)_2022年07月_末日_新規,宿泊業，飲食サービス業,飲食店,,,,,,,,,株式会社ＢＬＵＥ　ＢＡＵＭ,株式会社ＢＬＵＥＢＡＵＭ,,,1,,,,,
飲食店営業（ｺﾝﾋﾞﾆｴﾝｽｽﾄｱ）,ローソン前橋川原店,前橋市川原町1-11-1,前橋市川原町１－１１－１,,027-260-1322,新井　美香,,,,,335,R04/07/28,R04/07/28,R11/06/30,R04/07/28,新規,,前橋市保健所,新井　美香,027,027-260-1322,,,,前橋市川原町１－１１－１　,群馬県前橋市川原町１－１１－１,,59836,群馬県,前橋市,川原町１,,2022/07/28,2022/07/28,2022/07/28,2029/06/30,,,,,,,,,,,335,新規,飲食店営業,（ｺﾝﾋﾞﾆｴﾝｽｽﾄｱ）,,,113_群馬県_前橋市保健所_食品衛生(許可)_2022年07月_末日_新規,宿泊業，飲食サービス業,飲食店,,,,,,,,,新井　美香,新井美香,,,1,,,,,
調理の機能を有する自動販売機により食品を調理し、調理された食品を販売する営業,オレンジ　３５３,前橋市富士見町石井1233,前橋市富士見町石井１２３３,,027-288-2065,有限会社一本松,中島　幸夫,前橋市富士見町石井537,前橋市富士見町石井５３７,,336,R04/07/28,R04/07/28,R09/09/30,R04/07/28,新規,削除,前橋市保健所,有限会社一本松,027,027-288-2065,,,,前橋市富士見町石井１２３３　,群馬県前橋市富士見町石井１２３３,,60023,群馬県,前橋市,富士見町石井,,2022/07/28,2022/07/28,2022/07/28,2027/09/30,,中島　幸夫,前橋市富士見町石井５３７,前橋市富士見町石井537,群馬県前橋市富士見町石井５３７,,60023,群馬県,前橋市,富士見町石井,336,新規,調理機能を有する自動販売機,,,,113_群馬県_前橋市保健所_食品衛生(許可)_2022年07月_末日_新規,卸売業，小売業,無店舗小売業,自動販売機による小売業,,,,,,,,有限会社一本松,有限会社一本松,,,1,,,,,
