https://docs.google.com/spreadsheets/d/1Qy3el1DFIpxtm3-VIAdZlBmEHual1CU39oB_urGxiyI/edit#gid=508940504,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,n処理終了,,,,,,,,d08_import_license_datas,完了,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,施設名,施設-住所1,施設-住所2,施設-マンション名,施設-電話番号1,申請者1,申請-電話番号1,許可年月日,ここまで,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,店舗名（屋号）,,施設の住所（所在地）,,施設の電話番号,申請者名,連絡先,許可年月日,,管轄保健所,名称,市外局番,電話番号,施設の郵便番号,緯度,経度,施設の住所（元住所）,施設の住所（整備）,施設マンション名,施設-住所コード,施設-都道府県,施設-郡・政令市・市区町村名,施設-大字名・字名,申請年月日,開業年月日,許可年月日,許可期間開始日,許可期間終了日,申請法人,申請者氏名(個人名),申請者（開設者）の電話番号,申請者の住所（元住所）,申請者の住所（整備）,申請マンション名,申請-住所コード,申請-都道府県,申請-郡・政令市・市区町村名,申請-大字名・字名,確認番号,申請区分,業種,業態,その他,法人番号,シート名,産業分類大,産業分類中,産業分類小,産業分類詳細,facility_idを識別するための文字列,店舗コード,company_idを識別するための文字列,法人コード,ライセンスコード,検索用日付,整備名称,整備名称2,整備申請法人
28,カフェ　ＵＢＵＮＴＵ,福岡県,飯塚市本町８－３０,１Ｆ,,株式会社ＺＩＫＵＹＡ,,R03.12.13,,407,カフェ　ＵＢＵＮＴＵ,0948,,,,,福岡県　飯塚市本町８－３０,福岡県飯塚市本町８－３０,１Ｆ,201516,40,40205,本町,,,2021/12/13,,,株式会社ＺＩＫＵＹＡ,,,,,,,,,,,,,,,,407_福岡県_嘉穂・鞍手保健福祉環境事務所_食品衛生(許可-届出)_2021年11月-2021年12月_末日_新規、廃止(1),,,,,カフェＵＢＵＮＴＵ20151640205,9eda1452-875c-4777-8e25-7d532487063f,株式会社ＺＩＫＵＹＡ,680497c4-2138-4367-ad65-db96e6da4cea,03e74b04-9035-47c5-b2db-f39945631969,2021/12/13,カフェ　ＵＢＵＮＴＵ,カフェＵＢＵＮＴＵ,株式会社ＺＩＫＵＹＡ
29,真心ダイニング仲々家,福岡県,飯塚市柳橋６６５,,,仲上　祐輔,,R03.12.14,,407,真心ダイニング仲々家,0948,,,,,福岡県　飯塚市柳橋６６５,福岡県飯塚市柳橋６６５,,201520,40,40205,柳橋,,,2021/12/14,,,,仲上　祐輔,,,,,,,,,,,,,,,407_福岡県_嘉穂・鞍手保健福祉環境事務所_食品衛生(許可-届出)_2021年11月-2021年12月_末日_新規、廃止(1),,,,,真心ダイニング仲家20152040205,8e9efc72-e0b1-48be-bc42-4d2c6721eabd,,personal,b7645600-8471-437c-a812-8bbfa056bcfa,2021/12/14,真心ダイニング仲々家,真心ダイニング仲家,
30,pâtisserie nature,福岡県,宮若市山口５４－６,,              ,大森　政人,,R03.12.14,,407,pâtisserie nature,0949,,,,,福岡県　宮若市山口５４－６,福岡県宮若市山口５４－６,,203241,40,40226,山口,,,2021/12/14,,,,大森　政人,,,,,,,,,,,,,,,407_福岡県_嘉穂・鞍手保健福祉環境事務所_食品衛生(許可-届出)_2021年11月-2021年12月_末日_新規、廃止(1),,,,,ｐâｔｉｓｓｅｒｉｅｎａｔｕｒｅ20324140226,036c33cc-7d99-48e3-805b-1466fe81c989,,personal,a199b195-bed7-47f3-b070-79b5360534f8,2021/12/14,ｐâｔｉｓｓｅｒｉｅ　ｎａｔｕｒｅ,ｐâｔｉｓｓｅｒｉｅｎａｔｕｒｅ,
31,Daisy Kitchen,福岡県,飯塚市西町２－８７,センタービルC-1,,小柏　由美,,R03.12.15,,407,Daisy Kitchen,0948,,,,,福岡県　飯塚市西町２－８７,福岡県飯塚市西町２－８７,センタービルC-1,201513,40,40205,西町,,,2021/12/15,,,,小柏　由美,,,,,,,,,,,,,,,407_福岡県_嘉穂・鞍手保健福祉環境事務所_食品衛生(許可-届出)_2021年11月-2021年12月_末日_新規、廃止(1),,,,,ＤａｉｓｙＫｉｔｃｈｅｎ20151340205,845bf63a-1cd0-4d9c-b330-9cefd3483967,,personal,8bdf4c44-0108-450a-9f46-140d71d00172,2021/12/15,Ｄａｉｓｙ　Ｋｉｔｃｈｅｎ,ＤａｉｓｙＫｉｔｃｈｅｎ,
32,club coco,福岡県,飯塚市飯塚１－２８,デンエンビル２０２,,和泉　七海,,R03.12.16,,407,club coco,0948,,,,,福岡県　飯塚市飯塚１－２８,福岡県飯塚市飯塚１－２８,デンエンビル２０２,201481,40,40205,飯塚,,,2021/12/16,,,,和泉　七海,,,,,,,,,,,,,,,407_福岡県_嘉穂・鞍手保健福祉環境事務所_食品衛生(許可-届出)_2021年11月-2021年12月_末日_新規、廃止(1),,,,,ｃｌｕｂｃｏｃｏ20148140205,64da9b34-5f99-4a89-ac85-8b2d20ab5683,,personal,aa27f233-5d7a-40f0-9e7f-a3b38ebadbf8,2021/12/16,ｃｌｕｂ　ｃｏｃｏ,ｃｌｕｂｃｏｃｏ,
33,Ｂｕｆｆｅｔ　ＫＯＨＡＫＵ,福岡県,宮若市乙野６４４－２,,0949-28-7245  ,株式会社明治屋,,R03.12.16,,407,Ｂｕｆｆｅｔ　ＫＯＨＡＫＵ,0949,0949-28-7245,,,,福岡県　宮若市乙野６４４－２,福岡県宮若市乙野６４４－２,,203215,40,40226,乙野,,,2021/12/16,,,株式会社明治屋,,,,,,,,,,,,,,,,407_福岡県_嘉穂・鞍手保健福祉環境事務所_食品衛生(許可-届出)_2021年11月-2021年12月_末日_新規、廃止(1),,,,,ＢｕｆｆｅｔＫＯＨＡＫＵ0949-28-724520321540226,0a113e1e-2a29-4c5c-87d7-cc5659aa567e,株式会社明治屋,3420a55c-a60f-489d-97e2-f5f1a401b8bd,fe01a977-177a-45da-bc07-118cd18ffe79,2021/12/16,Ｂｕｆｆｅｔ　ＫＯＨＡＫＵ,ＢｕｆｆｅｔＫＯＨＡＫＵ,株式会社明治屋
34,La-luna,福岡県,嘉麻市山野１２４５－４３,,,井手　喜美代,,R03.12.20,,407,La-luna,0948,,,,,福岡県　嘉麻市山野１２４５－４３,福岡県嘉麻市山野１２４５－４３,,203282,40,40227,山野,,,2021/12/20,,,,井手　喜美代,,,,,,,,,,,,,,,407_福岡県_嘉穂・鞍手保健福祉環境事務所_食品衛生(許可-届出)_2021年11月-2021年12月_末日_新規、廃止(1),,,,,Ｌａｌｕｎａ20328240227,e415ffcf-73cf-4ff7-a3a2-1c4f442ed86b,,personal,c0a1a62a-1ecc-49f5-98ab-e56979fda0ff,2021/12/20,Ｌａ－ｌｕｎａ,Ｌａｌｕｎａ,
35,フィリピンパブFRIENDS,福岡県,飯塚市飯塚３－２０,松竹ビル５F,              ,福谷　ペルリーウマヤム,,R03.12.21,,407,フィリピンパブFRIENDS,0948,,,,,福岡県　飯塚市飯塚３－２０,福岡県飯塚市飯塚３－２０,松竹ビル５F,201481,40,40205,飯塚,,,2021/12/21,,,,福谷　ペルリーウマヤム,,,,,,,,,,,,,,,407_福岡県_嘉穂・鞍手保健福祉環境事務所_食品衛生(許可-届出)_2021年11月-2021年12月_末日_新規、廃止(1),,,,,フィリピンパブＦＲＩＥＮＤＳ20148140205,2d3432dc-c7ca-4544-809a-ef8ba8c9f5db,,personal,b9b572fa-b1aa-4a44-b3bc-b77d49234efd,2021/12/21,フィリピンパブＦＲＩＥＮＤＳ,フィリピンパブＦＲＩＥＮＤＳ,
36,Snack KAMPAI,福岡県,飯塚市飯塚４－２９,,,OKAMOTO LORRAINE JOVEN,,R03.12.21,,407,Snack KAMPAI,0948,,,,,福岡県　飯塚市飯塚４－２９,福岡県飯塚市飯塚４－２９,,201481,40,40205,飯塚,,,2021/12/21,,,,OKAMOTO LORRAINE JOVEN,,,,,,,,,,,,,,,407_福岡県_嘉穂・鞍手保健福祉環境事務所_食品衛生(許可-届出)_2021年11月-2021年12月_末日_新規、廃止(1),,,,,ＳｎａｃｋＫＡＭＰＡＩ20148140205,90680b63-6d65-44f0-8247-b28a01b2da0f,,personal,d2fee1f2-a86e-4fe5-af3a-79b65eacfc0f,2021/12/21,Ｓｎａｃｋ　ＫＡＭＰＡＩ,ＳｎａｃｋＫＡＭＰＡＩ,
37,BarSnack MAELU,福岡県,鞍手郡鞍手町大字中山２３６８－４,テナントシラカワ　１０２,,下村　弘法,,R03.12.22,,407,BarSnack MAELU,0949,,,,,福岡県　鞍手郡鞍手町大字中山２３６８－４,福岡県鞍手郡鞍手町中山２３６８－４,テナントシラカワ　１０２,204320,40,40402,中山,,,2021/12/22,,,,下村　弘法,,,,,,,,,,,,,,,407_福岡県_嘉穂・鞍手保健福祉環境事務所_食品衛生(許可-届出)_2021年11月-2021年12月_末日_新規、廃止(1),,,,,ＢａｒＳｎａｃｋＭＡＥＬＵ20432040402,2edfb9d5-7696-45a3-9e63-7b4e5d71a8aa,,personal,93439c45-ab14-4f11-abcf-6d88b4a6c0dd,2021/12/22,ＢａｒＳｎａｃｋ　ＭＡＥＬＵ,ＢａｒＳｎａｃｋＭＡＥＬＵ,
38,カレー＆カラオケハウス　団さん,福岡県,鞍手郡鞍手町大字八尋１２４２－２,,,服部　信和,,R03.12.22,,407,カレー＆カラオケハウス　団さん,0949,,,,,福岡県　鞍手郡鞍手町大字八尋１２４２－２,福岡県鞍手郡鞍手町八尋１２４２－２,,204327,40,40402,八尋,,,2021/12/22,,,,服部　信和,,,,,,,,,,,,,,,407_福岡県_嘉穂・鞍手保健福祉環境事務所_食品衛生(許可-届出)_2021年11月-2021年12月_末日_新規、廃止(1),,,,,カレカラオケハウス団さん20432740402,930b68d4-7352-4cc8-a468-68cc7af332f1,,personal,67bce422-e186-4d07-b9b7-fdb9f449bd16,2021/12/22,カレー＆カラオケハウス　団さん,カレカラオケハウス団さん,
39,Bar Cont.d,福岡県,直方市古町１１－２５,陽光会館１０３,,中西　滉,,R03.12.23,,407,Bar Cont.d,0949,,,,,福岡県　直方市古町１１－２５,福岡県直方市古町１１－２５,陽光会館１０３,201471,40,40204,古町,,,2021/12/23,,,,中西　滉,,,,,,,,,,,,,,,407_福岡県_嘉穂・鞍手保健福祉環境事務所_食品衛生(許可-届出)_2021年11月-2021年12月_末日_新規、廃止(1),,,,,ＢａｒＣｏｎｔｄ20147140204,89c1cf87-35cb-4778-9b0b-f81916291c91,,personal,ba848a6c-827a-4120-90f2-8fb889c91a2f,2021/12/23,Ｂａｒ　Ｃｏｎｔ．ｄ,ＢａｒＣｏｎｔｄ,
40,やきとり・き八,福岡県,嘉麻市上山田５０２－５０,,0948-53-3239  ,木原　博昭,,R03.12.23,,407,やきとり・き八,0948,0948-53-3239,,,,福岡県　嘉麻市上山田５０２－５０,福岡県嘉麻市上山田５０２－５０,,203262,40,40227,上山田,,,2021/12/23,,,,木原　博昭,,,,,,,,,,,,,,,407_福岡県_嘉穂・鞍手保健福祉環境事務所_食品衛生(許可-届出)_2021年11月-2021年12月_末日_新規、廃止(1),,,,,やきとりき八0948-53-323920326240227,5aae9877-c466-44f5-bfcc-4e1291949353,,personal,140f3aea-268c-4b08-863a-283dbc0a1668,2021/12/23,やきとり・き八,やきとりき八,
42,美健料理屋　禅,福岡県,飯塚市有井３３４,,,溝口　公平,,R03.12.27,,407,美健料理屋　禅,0948,,,,,福岡県　飯塚市有井３３４,福岡県飯塚市有井３３４,,201529,40,40205,有井,,,2021/12/27,,,,溝口　公平,,,,,,,,,,,,,,,407_福岡県_嘉穂・鞍手保健福祉環境事務所_食品衛生(許可-届出)_2021年11月-2021年12月_末日_新規、廃止(1),,,,,美健料理屋禅20152940205,46f04b7b-5f62-4896-9c59-83d8ae561d6b,,personal,e5d77766-d374-4629-b823-c5a5cd042185,2021/12/27,美健料理屋　禅,美健料理屋禅,
