https://docs.google.com/spreadsheets/d/1Qy3el1DFIpxtm3-VIAdZlBmEHual1CU39oB_urGxiyI/edit#gid=508940504,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
122,n処理終了,,,,,,,,,,,,,,,,,,,d08_import_license_datas,完了,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,施設名,,,,,,,施設-住所0,施設-住所1,施設-マンション名,施設-電話番号1,業種,申請者1,,,申請-住所1,申請-マンション名,申請-電話番号1,申請年月日,ここまで,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,施設＿名称（屋号・商号）,所在地,,,,,,,,,施設＿電話番号（所在地）,種目（営業の種類）,申請者＿申請者名,,,申請者＿住所,,申請者＿電話番号,届出年月日,,管轄保健所,名称,市外局番,電話番号,施設の郵便番号,緯度,経度,施設の住所（元住所）,施設の住所（整備）,施設マンション名,施設-住所コード,施設-都道府県,施設-郡・政令市・市区町村名,施設-大字名・字名,申請年月日,開業年月日,許可年月日,許可期間開始日,許可期間終了日,申請法人,申請者氏名(個人名),申請者（開設者）の電話番号,申請者の住所（元住所）,申請者の住所（整備）,申請マンション名,申請-住所コード,申請-都道府県,申請-郡・政令市・市区町村名,申請-大字名・字名,確認番号,申請区分,業種,業態,その他,法人番号,シート名,産業分類大,産業分類中,産業分類小,産業分類詳細,facility_idを識別するための文字列,店舗コード,company_idを識別するための文字列,法人コード,ライセンスコード,検索用日付,整備名称,整備名称2,整備申請法人
3260,森島菜園,天理市合場町    １８２,,天理市合場町,,１８２,天理市合場町１８２,,天理市合場町１８２,,0743-62-5030,農産保存食料品製造・加工業,,,,,,,R03.08.23,,321,森島菜園,0743,0743-62-5030,,,,天理市合場町１８２,奈良県天理市合場町１８２,,172938,29,29204,合場町,2021/08/23,,,,,,,,,,,,,,,,,農産保存食料品製造・加工業,,,,321-324_奈良県_奈良県一括_食品衛生(届出)_2021年09月まで全件_末日,E,9,93,,森島菜園0743-62-503017293829204,d72b57f2-f1f0-467b-86d7-c1c78ca88e17,,personal,df49ea22-e93c-4e95-8513-8758e37eaeb7,2021/08/23,森島菜園,森島菜園,
3263,ダイソー    生駒駅前店,生駒市元町    １－１３－１,,生駒市元町,,１－１３－１,生駒市元町１－１３－１,,生駒市元町１－１３－１,,,その他の食料・飲料販売業,株式会社大創産業,,,東広島市西条吉行東    １－４－１４,,082-420-0100,R03.08.13,,321,ダイソー    生駒駅前店,0743,,,,,生駒市元町１－１３－１,奈良県生駒市元町１－１３－１,,173533,29,29209,元町１,2021/08/13,,,,,株式会社大創産業,,082-420-0100,東広島市西条吉行東    １－４－１４,広島県東広島市西条吉行東１－４－１４,,186030,広島県,東広島市,西条吉行東１,,,その他の食料品製造・加工業,(包装),,,321-324_奈良県_奈良県一括_食品衛生(届出)_2021年09月まで全件_末日,E,9,99,,ダイソ生駒駅前店17353329209,96b5b42a-a100-4bb4-ba27-37ab0390dfda,株式会社大創産業186030,4b7478b9-e92a-48e2-998f-aaaee569b5a2,b40ae70b-9b07-4a80-8ada-dbd90e63acab,2021/08/13,ダイソー　生駒駅前店,ダイソ生駒駅前店,株式会社大創産業
3267,七海水産株式会社,生駒市小瀬町    ４５,,生駒市小瀬町,,４５,生駒市小瀬町４５,,生駒市小瀬町４５,,,その他の食料・飲料販売業,七海水産株式会社,,,大和郡山市筒井町    ６４２－２,,0743-58-4773,R03.08.23,,321,七海水産株式会社,0743,,,,,生駒市小瀬町４５,奈良県生駒市小瀬町４５,,173479,29,29209,小瀬町,2021/08/23,,,,,七海水産株式会社,,0743-58-4773,大和郡山市筒井町    ６４２－２,奈良県大和郡山市筒井町６４２－２,,172877,奈良県,大和郡山市,筒井町,,,その他の食料品製造・加工業,(包装),,,321-324_奈良県_奈良県一括_食品衛生(届出)_2021年09月まで全件_末日,E,9,99,,七海水産株式会社17347929209,4b458d20-787f-42db-b838-eb222bcd518a,七海水産株式会社172877,7d8651f8-0855-4a61-b434-71cac623fb09,bd97c26f-dbdc-44c5-a4b0-d2450817a11b,2021/08/23,七海水産株式会社,七海水産株式会社,七海水産株式会社
3270,スターバックスコーヒー    イオンモール奈良登美ヶ丘店,生駒市鹿畑町    ３０２７,,生駒市鹿畑町,,３０２７,生駒市鹿畑町３０２７,,生駒市鹿畑町３０２７,,0743-85-6848,その他の食料品製造・加工業,スターバックスコーヒージャパン株式会社,,,品川区上大崎    ２－２５－２,,03-5745-5510,R03.08.25,,321,スターバックスコーヒー    イオンモール奈良登美ヶ丘店,0743,0743-85-6848,,,,生駒市鹿畑町３０２７,奈良県生駒市鹿畑町３０２７,,173501,29,29209,鹿畑町,2021/08/25,,,,,スターバックスコーヒージャパン株式会社,,03-5745-5510,品川区上大崎    ２－２５－２,東京都品川区上大崎２－２５－２,,73782,東京都,品川区,上大崎２,,,その他の食料品製造・加工業,,,,321-324_奈良県_奈良県一括_食品衛生(届出)_2021年09月まで全件_末日,E,9,99,,スタバックスコヒイオンモル奈良登美ヶ丘店0743-85-684817350129209,ed1bab12-90c9-4f66-8e2a-2734508bfccb,スターバックスコーヒージャパン株式会社73782,1a0aab2e-e859-49c0-8d9d-9dca1dab9699,13e84f91-ebf9-4497-8e11-a684b0c294c6,2021/08/25,スターバックスコーヒー　イオンモール奈良登美ヶ丘店,スタバックスコヒイオンモル奈良登美ヶ丘店,スターバックスコーヒージャパン株式会社
3271,餃子の王将    天理荒蒔町店,天理市荒蒔町    ３５９－３,,天理市荒蒔町,,３５９－３,天理市荒蒔町３５９－３,,天理市荒蒔町３５９－３,,0743-64-5650,その他の食料・飲料販売業,株式会社王将フードサービス,,,京都市山科区西野山射庭ノ上町    ２９４－１,,075-592-1411,R03.08.24,,321,餃子の王将    天理荒蒔町店,0743,0743-64-5650,,,,天理市荒蒔町３５９－３,奈良県天理市荒蒔町３５９－３,,172939,29,29204,荒蒔町,2021/08/24,,,,,株式会社王将フードサービス,,075-592-1411,京都市山科区西野山射庭ノ上町    ２９４－１,京都府京都市山科区西野山射庭ノ上町２９４－１,,148066,京都府,京都市山科区,西野山射庭ノ上町,,,その他の食料品製造・加工業,(包装),,,321-324_奈良県_奈良県一括_食品衛生(届出)_2021年09月まで全件_末日,E,9,99,,餃子の王将天理荒蒔町店0743-64-565017293929204,53c1b4bf-574b-4bd4-975f-76eabdab615e,株式会社王将フードサービス148066,107dc9a8-a86b-475a-a058-10f8b2b272b4,9eae6f03-1bbf-410c-955e-8272026acf56,2021/08/24,餃子の王将　天理荒蒔町店,餃子の王将天理荒蒔町店,株式会社王将フードサービス
3275,モスバーガー大和郡山店,大和郡山市横田町    ８５－１,,大和郡山市横田町,,８５－１,大和郡山市横田町８５－１,,大和郡山市横田町８５－１,,57-6677,その他の食料・飲料販売業,株式会社ヤマ一・フード,,,大和郡山市南郡山町    ５３９－１１    ,ＹＫビル５Ｆ,0743-59-3755,R03.08.27,,321,モスバーガー大和郡山店,0743,0743-57-6677,,,,大和郡山市横田町８５－１,奈良県大和郡山市横田町８５－１,,172928,29,29203,横田町,2021/08/27,,,,,株式会社ヤマ一・フード,,0743-59-3755,大和郡山市南郡山町    ５３９－１１    ,奈良県大和郡山市南郡山町５３９－１１,ＹＫビル５Ｆ,172912,奈良県,大和郡山市,南郡山町,,,その他の食料品製造・加工業,(包装),,,321-324_奈良県_奈良県一括_食品衛生(届出)_2021年09月まで全件_末日,E,9,99,,モスバガ大和郡山店0743-57-667717292829203,47058768-1e5c-4343-a8ff-3eb170b1124d,株式会社ヤマ一・フード172912,1e7684e3-059a-4165-9d66-b1eba3f1c469,db72295c-ba5f-4047-b060-2c6512d85c8f,2021/08/27,モスバーガー大和郡山店,モスバガ大和郡山店,株式会社ヤマ一・フード
3277,株式会社ダイエーマルナカ富雄南店,大和郡山市他県内一円（奈良市を除く）,,大和郡山市他県内一円,,,大和郡山市他県内一円,,大和郡山市他県内一円,（奈良市を除く）,0742-52-3737,その他の食料・飲料販売業,株式会社ダイエー,,,神戸市中央区港島中町    ４－１－１,,078-291-0077,R03.08.30,,321,株式会社ダイエーマルナカ富雄南店,0743,0742-52-3737,,,,大和郡山市他県内一円,奈良県大和郡山市他県内一円,（奈良市を除く）,172818,29,29203,,2021/08/30,,,,,株式会社ダイエー,,078-291-0077,神戸市中央区港島中町    ４－１－１,兵庫県神戸市中央区港島中町４－１－１,,165467,兵庫県,神戸市中央区,港島中町４,,,その他の食料品製造・加工業,(包装),,,321-324_奈良県_奈良県一括_食品衛生(届出)_2021年09月まで全件_末日,E,9,99,,株式会社ダイエマルナカ富雄南店0742-52-373717281829203,2e87ae6d-c643-4358-9828-8de62d721bf3,株式会社ダイエー165467,de6ce8bf-721e-43a3-862b-ef908e12a42a,584d19cc-3a97-4a22-bcd7-973f650c5921,2021/08/30,株式会社ダイエーマルナカ富雄南店,株式会社ダイエマルナカ富雄南店,株式会社ダイエー
3280,ｅｂｅｎ    ｃｏｆｆｅｅ    ｒｏａｓｔｅｒｓ,生駒市高山町    １８７－４８,,生駒市高山町,,１８７－４８,生駒市高山町１８７－４８,,生駒市高山町１８７－４８,,,コーヒー製造・加工業（飲料の製造を除く。）,,,,,,,R03.08.30,,321,ｅｂｅｎ    ｃｏｆｆｅｅ    ｒｏａｓｔｅｒｓ,0743,,,,,生駒市高山町１８７－４８,奈良県生駒市高山町１８７－４８,,173504,29,29209,高山町,2021/08/30,,,,,,,,,,,,,,,,,コーヒー製造・加工業,（飲料の製造を除く。）,,,321-324_奈良県_奈良県一括_食品衛生(届出)_2021年09月まで全件_末日,E,10,103,1032,ｅｂｅｎｃｏｆｆｅｅｒｏａｓｔｅｒｓ17350429209,7bd2610f-bd8a-4da9-a91e-7d14fd03fbcf,,personal,22f462fb-e999-4d16-83ff-aaafe5c78435,2021/08/30,ｅｂｅｎ　ｃｏｆｆｅｅ　ｒｏａｓｔｅｒｓ,ｅｂｅｎｃｏｆｆｅｅｒｏａｓｔｅｒｓ,
3283,株式会社エコ・ユートピア,生駒市壱分町    ７６４－２,,生駒市壱分町,,７６４－２,生駒市壱分町７６４－２,,生駒市壱分町７６４－２,,0743-76-0890,その他の食料品製造・加工業,株式会社エコ・ユートピア,,,生駒市壱分町    ７６４－２,,0743-76-0890,R03.09.03,,321,株式会社エコ・ユートピア,0743,0743-76-0890,,,,生駒市壱分町７６４－２,奈良県生駒市壱分町７６４－２,,173477,29,29209,壱分町,2021/09/03,,,,,株式会社エコ・ユートピア,,0743-76-0890,生駒市壱分町    ７６４－２,奈良県生駒市壱分町７６４－２,,173477,奈良県,生駒市,壱分町,,,その他の食料品製造・加工業,,,,321-324_奈良県_奈良県一括_食品衛生(届出)_2021年09月まで全件_末日,E,9,99,,株式会社エコユトピア0743-76-089017347729209,3281326a-6463-4404-8914-93bf929d4e59,株式会社エコ・ユートピア173477,6c8bcdef-eddb-4861-ae42-a03fee4dd06c,bcb32106-ea36-4b6a-b4be-aa3cddcbca93,2021/09/03,株式会社エコ・ユートピア,株式会社エコユトピア,株式会社エコ・ユートピア
3292,ウエルシア大和郡山小泉店,大和郡山市小泉町    ２８４９,,大和郡山市小泉町,,２８４９,大和郡山市小泉町２８４９,,大和郡山市小泉町２８４９,,0743-54-1401,百貨店、総合スーパー,ウエルシア薬局株式会社,,,千代田区外神田    ２－２－１５,,03-5207-5878,R03.09.14,,321,ウエルシア大和郡山小泉店,0743,0743-54-1401,,,,大和郡山市小泉町２８４９,奈良県大和郡山市小泉町２８４９,,172846,29,29203,小泉町,2021/09/14,,,,,ウエルシア薬局株式会社,,03-5207-5878,千代田区外神田    ２－２－１５,東京都千代田区外神田２－２－１５,,72907,東京都,千代田区,外神田２,,,百貨店、総合スーパー,,,,321-324_奈良県_奈良県一括_食品衛生(届出)_2021年09月まで全件_末日,I,56,561,5611,ウエルシア大和郡山小泉店0743-54-140117284629203,a00dd6c8-796f-406a-83e6-0737b64c9fd3,ウエルシア薬局株式会社72907,50237df7-8ad1-4503-bad5-941a11c4af60,7d68e8e4-986c-42ce-9706-6ea0e93355b8,2021/09/14,ウエルシア大和郡山小泉店,ウエルシア大和郡山小泉店,ウエルシア薬局株式会社
