https://docs.google.com/spreadsheets/d/1Qy3el1DFIpxtm3-VIAdZlBmEHual1CU39oB_urGxiyI/edit#gid=508940504,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
331,n処理終了,,,,,,,,,,,,,,d08_import_license_datas,完了,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
施設名,施設-住所1,施設-住所0,施設-住所2,施設-マンション名,施設-電話番号1,申請者1,申請-住所0,申請-住所1,申請-マンション名,申請-電話番号1,申請年月日,確認番号,確認番号2,業種,ここまで,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
施設名称,,施設所在地,,,施設電話番号,申請者名,申請者住所,,,申請者電話番号,届出日,許可番号,,業種,,管轄保健所,名称,市外局番,電話番号,施設の郵便番号,緯度,経度,施設の住所（元住所）,施設の住所（整備）,施設マンション名,施設-住所コード,施設-都道府県,施設-郡・政令市・市区町村名,施設-大字名・字名,申請年月日,開業年月日,許可年月日,許可期間開始日,許可期間終了日,申請法人,申請者氏名(個人名),申請者（開設者）の電話番号,申請者の住所（元住所）,申請者の住所（整備）,申請マンション名,申請-住所コード,申請-都道府県,申請-郡・政令市・市区町村名,申請-大字名・字名,確認番号,申請区分,業種,業態,その他,法人番号,シート名,産業分類大,産業分類中,産業分類小,産業分類詳細,facility_idを識別するための文字列,店舗コード,company_idを識別するための文字列,法人コード,ライセンスコード,検索用日付,整備名称,整備名称2,整備申請法人
ほっこり  ,兵庫県,尼崎市西難波町４－５－３４,尼崎市西難波町４－５－３４,,06-6481-6187  ,,,,,,R03.12.01,尼崎市指令(尼保生）,第1-01960号,喫茶店営業,,305,ほっこり  ,06,06-6481-6187,,,,兵庫県　尼崎市西難波町４－５－３４,兵庫県尼崎市西難波町４－５－３４,,166948,28,28202,西難波町４,2021/12/01,,,,,,,,,,,,,,,尼崎市指令(尼保生）第1-01960号,,喫茶店営業,,,,305_兵庫県_尼崎市保健所_食品衛生(許可)_2021年11月-2021年12月_末日_新規、更新、廃止,M,76,,,ほっこり06-6481-618716694828202,a7817311-2560-4552-8653-7cf3c5afce3b,,personal,ac17a694-eb85-4e48-9729-2f9964afe64a,2021/12/01,ほっこり　,ほっこり,
スナック　Ｎ．Ｋ  ,兵庫県,尼崎市食満７－１０－１,尼崎市食満７－１０－１,,06-6429-0693  ,,,,,,R03.12.01,尼崎市指令(尼保生）,第1-01962号,飲食店営業,,305,スナック　Ｎ．Ｋ  ,06,06-6429-0693,,,,兵庫県　尼崎市食満７－１０－１,兵庫県尼崎市食満７－１０－１,,167139,28,28202,食満７,2021/12/01,,,,,,,,,,,,,,,尼崎市指令(尼保生）第1-01962号,,飲食店営業,,,,305_兵庫県_尼崎市保健所_食品衛生(許可)_2021年11月-2021年12月_末日_新規、更新、廃止,M,76,,,スナックＮＫ06-6429-069316713928202,0f59f191-da68-43c8-ba47-e9bfccf4865e,,personal,2698f119-4d93-4641-ba47-19205fd2bbc0,2021/12/01,スナック　Ｎ．Ｋ　,スナックＮＫ,
久下商店  ,兵庫県,尼崎市猪名寺１－１－２１,尼崎市猪名寺１－１－２１,,06-6491-6385  ,,,,,,R03.12.01,尼崎市指令(尼保生）,第1-01961号,飲食店営業,,305,久下商店  ,06,06-6491-6385,,,,兵庫県　尼崎市猪名寺１－１－２１,兵庫県尼崎市猪名寺１－１－２１,,166705,28,28202,猪名寺１,2021/12/01,,,,,,,,,,,,,,,尼崎市指令(尼保生）第1-01961号,,飲食店営業,,,,305_兵庫県_尼崎市保健所_食品衛生(許可)_2021年11月-2021年12月_末日_新規、更新、廃止,M,76,,,久下商店06-6491-638516670528202,07217a7b-e896-4c8f-bf14-56aa2f5f5958,,personal,704f0fdc-556f-464d-9974-84e84ecef0cc,2021/12/01,久下商店　,久下商店,
コスモス  ,兵庫県,尼崎市口田中２－２－２３,尼崎市口田中２－２－２３,,06-6492-8122  ,,,,,,R03.12.01,尼崎市指令(尼保生）,第1-01983号,飲食店営業,,305,コスモス  ,06,06-6492-8122,,,,兵庫県　尼崎市口田中２－２－２３,兵庫県尼崎市口田中２－２－２３,,166790,28,28202,口田中２,2021/12/01,,,,,,,,,,,,,,,尼崎市指令(尼保生）第1-01983号,,飲食店営業,,,,305_兵庫県_尼崎市保健所_食品衛生(許可)_2021年11月-2021年12月_末日_新規、更新、廃止,M,76,,,コスモス06-6492-812216679028202,867fdd1c-0cab-48c5-85ce-57acd6112999,,personal,56d59bc1-8f81-4102-8954-cad16a499859,2021/12/01,コスモス　,コスモス,
カラオケ美音  ,兵庫県,尼崎市大庄北４－１９－７－３０２,尼崎市大庄北４－１９－７,３０２,              ,,,,,,R03.12.01,尼崎市指令(尼保生）,第1-01992号,飲食店営業,,305,カラオケ美音  ,06,,,,,兵庫県　尼崎市大庄北４－１９－７,兵庫県尼崎市大庄北４－１９－７,３０２,167115,28,28202,大庄北４,2021/12/01,,,,,,,,,,,,,,,尼崎市指令(尼保生）第1-01992号,,飲食店営業,,,,305_兵庫県_尼崎市保健所_食品衛生(許可)_2021年11月-2021年12月_末日_新規、更新、廃止,M,76,,,カラオケ美音16711528202,9f4f970c-b951-4ebd-903f-02b4f6996501,,personal,b226ed76-26de-4b15-993c-8c5dc18d40d0,2021/12/01,カラオケ美音　,カラオケ美音,
サントピア  ,兵庫県,尼崎市昭和通８－２６８－３,尼崎市昭和通８－２６８－３,,06-6413-1008  ,,,,,,R03.12.01,尼崎市指令(尼保生）,第1-01990号,飲食店営業,,305,サントピア  ,06,06-6413-1008,,,,兵庫県　尼崎市昭和通８－２６８－３,兵庫県尼崎市昭和通８－２６８－３,,166823,28,28202,昭和通８,2021/12/01,,,,,,,,,,,,,,,尼崎市指令(尼保生）第1-01990号,,飲食店営業,,,,305_兵庫県_尼崎市保健所_食品衛生(許可)_2021年11月-2021年12月_末日_新規、更新、廃止,M,76,,,サントピア06-6413-100816682328202,ca515248-b0dd-4237-9797-d5adca735885,,personal,52c1db21-1c5e-4acf-9e17-e67c2275dc77,2021/12/01,サントピア　,サントピア,
寿々屋  ,兵庫県,尼崎市神田北通５－１３５－３,尼崎市神田北通５－１３５－３,,06-6413-1415  ,,,,,,R03.12.01,尼崎市指令(尼保生）,第1-01986号,飲食店営業,,305,寿々屋  ,06,06-6413-1415,,,,兵庫県　尼崎市神田北通５－１３５－３,兵庫県尼崎市神田北通５－１３５－３,,166746,28,28202,神田北通５,2021/12/01,,,,,,,,,,,,,,,尼崎市指令(尼保生）第1-01986号,,飲食店営業,,,,305_兵庫県_尼崎市保健所_食品衛生(許可)_2021年11月-2021年12月_末日_新規、更新、廃止,M,76,,,寿屋06-6413-141516674628202,1551dcb3-f287-429d-915e-47e32bee0b06,,personal,29879c0b-db80-49e1-bd9b-7139610cb752,2021/12/01,寿々屋　,寿屋,
細井商店  ,兵庫県,尼崎市長洲東通１－８－９,尼崎市長洲東通１－８－９,,06-6401-5667  ,,,,,,R03.12.01,尼崎市指令(尼保生）,第1-02019号,飲食店営業,,305,細井商店  ,06,06-6401-5667,,,,兵庫県　尼崎市長洲東通１－８－９,兵庫県尼崎市長洲東通１－８－９,,166920,28,28202,長洲東通１,2021/12/01,,,,,,,,,,,,,,,尼崎市指令(尼保生）第1-02019号,,飲食店営業,,,,305_兵庫県_尼崎市保健所_食品衛生(許可)_2021年11月-2021年12月_末日_新規、更新、廃止,M,76,,,細井商店06-6401-566716692028202,acb6aa74-745b-48b4-9aa2-247b82deb655,,personal,5deaaa80-a951-4db4-9874-9835119fbe49,2021/12/01,細井商店　,細井商店,
喫茶　三鈴  ,兵庫県,尼崎市神田南通３－８８,尼崎市神田南通３－８８,,06-6413-9382  ,,,,,,R03.12.01,尼崎市指令(尼保生）,第1-02006号,飲食店営業,,305,喫茶　三鈴  ,06,06-6413-9382,,,,兵庫県　尼崎市神田南通３－８８,兵庫県尼崎市神田南通３－８８,,166762,28,28202,神田南通３,2021/12/01,,,,,,,,,,,,,,,尼崎市指令(尼保生）第1-02006号,,飲食店営業,,,,305_兵庫県_尼崎市保健所_食品衛生(許可)_2021年11月-2021年12月_末日_新規、更新、廃止,M,76,,,喫茶三鈴06-6413-938216676228202,ac168ee6-e1c2-4e22-b720-768c396c8c4a,,personal,2b1d2a29-ce7c-4106-98eb-ce803427c11b,2021/12/01,喫茶　三鈴　,喫茶三鈴,
おたふく  ,兵庫県,尼崎市立花町１－１７－３,尼崎市立花町１－１７－３,,06-6423-0983  ,,,,,,R03.12.01,尼崎市指令(尼保生）,第1-01995号,飲食店営業,,305,おたふく  ,06,06-6423-0983,,,,兵庫県　尼崎市立花町１－１７－３,兵庫県尼崎市立花町１－１７－３,,166847,28,28202,立花町１,2021/12/01,,,,,,,,,,,,,,,尼崎市指令(尼保生）第1-01995号,,飲食店営業,,,,305_兵庫県_尼崎市保健所_食品衛生(許可)_2021年11月-2021年12月_末日_新規、更新、廃止,M,76,,,おたふく06-6423-098316684728202,ff89ec23-f9a0-4c27-90bd-2e44bfc9d7b4,,personal,7a1c1743-0d1f-4b06-9db4-327fd5d1f681,2021/12/01,おたふく　,おたふく,
おたふく  ,兵庫県,尼崎市立花町１－１７－３,尼崎市立花町１－１７－３,,06-6423-0983  ,,,,,,R03.12.01,尼崎市指令(尼保生）,第1-01996号,菓子製造業,,305,おたふく  ,06,06-6423-0983,,,,兵庫県　尼崎市立花町１－１７－３,兵庫県尼崎市立花町１－１７－３,,166847,28,28202,立花町１,2021/12/01,,,,,,,,,,,,,,,尼崎市指令(尼保生）第1-01996号,,菓子製造業,,,,305_兵庫県_尼崎市保健所_食品衛生(許可)_2021年11月-2021年12月_末日_新規、更新、廃止,E,9,,,おたふく06-6423-098316684728202,ff89ec23-f9a0-4c27-90bd-2e44bfc9d7b4,,personal,a44cc1b2-3a4b-44c9-ac43-34b112219c55,2021/12/01,おたふく　,おたふく,
導楽  ,兵庫県,尼崎市南塚口町４－２－１６南塚口ハイツ１０３,尼崎市南塚口町４－２－１６,南塚口ハイツ１０３,06-6423-3006  ,,,,,,R03.12.01,尼崎市指令(尼保生）,第1-02000号,飲食店営業,,305,導楽  ,06,06-6423-3006,,,,兵庫県　尼崎市南塚口町４－２－１６,兵庫県尼崎市南塚口町４－２－１６,南塚口ハイツ１０３,167027,28,28202,南塚口町４,2021/12/01,,,,,,,,,,,,,,,尼崎市指令(尼保生）第1-02000号,,飲食店営業,,,,305_兵庫県_尼崎市保健所_食品衛生(許可)_2021年11月-2021年12月_末日_新規、更新、廃止,M,76,,,導楽06-6423-300616702728202,576ac975-5782-4a4b-9c53-83315b9d645b,,personal,78297ee0-1447-4f37-bb53-aab5c1f3f955,2021/12/01,導楽　,導楽,
一條宝珠庵  ,兵庫県,尼崎市武庫元町２－１８－１９,尼崎市武庫元町２－１８－１９,,06-6431-5671  ,,,,,,R03.12.01,尼崎市指令(尼保生）,第1-01998号,菓子製造業,,305,一條宝珠庵  ,06,06-6431-5671,,,,兵庫県　尼崎市武庫元町２－１８－１９,兵庫県尼崎市武庫元町２－１８－１９,,167072,28,28202,武庫元町２,2021/12/01,,,,,,,,,,,,,,,尼崎市指令(尼保生）第1-01998号,,菓子製造業,,,,305_兵庫県_尼崎市保健所_食品衛生(許可)_2021年11月-2021年12月_末日_新規、更新、廃止,E,9,,,一條宝珠庵06-6431-567116707228202,e9e3dab9-b7d2-4315-8f2c-0236ad78b396,,personal,22934f7c-b41c-4a46-aeaf-6ff2bfbc0954,2021/12/01,一條宝珠庵　,一條宝珠庵,
ＲＯＳＥ  ,兵庫県,尼崎市常光寺２－１０－２,尼崎市常光寺２－１０－２,,06-6488-4049  ,,,,,,R03.12.01,尼崎市指令(尼保生）,第1-02022号,飲食店営業,,305,ＲＯＳＥ  ,06,06-6488-4049,,,,兵庫県　尼崎市常光寺２－１０－２,兵庫県尼崎市常光寺２－１０－２,,166833,28,28202,常光寺２,2021/12/01,,,,,,,,,,,,,,,尼崎市指令(尼保生）第1-02022号,,飲食店営業,,,,305_兵庫県_尼崎市保健所_食品衛生(許可)_2021年11月-2021年12月_末日_新規、更新、廃止,M,76,,,ＲＯＳＥ06-6488-404916683328202,7d1d1ff4-2d7f-416f-be77-b5a62aee52b6,,personal,7274b25f-4fd4-41cd-aeab-b557860f633f,2021/12/01,ＲＯＳＥ　,ＲＯＳＥ,
カメリア  ,兵庫県,尼崎市小中島２－１２－１,尼崎市小中島２－１２－１,,06-6491-1212  ,,,,,,R03.12.01,尼崎市指令(尼保生）,第1-02015号,飲食店営業,,305,カメリア  ,06,06-6491-1212,,,,兵庫県　尼崎市小中島２－１２－１,兵庫県尼崎市小中島２－１２－１,,166796,28,28202,小中島２,2021/12/01,,,,,,,,,,,,,,,尼崎市指令(尼保生）第1-02015号,,飲食店営業,,,,305_兵庫県_尼崎市保健所_食品衛生(許可)_2021年11月-2021年12月_末日_新規、更新、廃止,M,76,,,カメリア06-6491-121216679628202,1029122b-c187-4a5b-9423-55d327b8df3d,,personal,b96d1d5b-375c-4d7b-9de3-f5b28e2b304e,2021/12/01,カメリア　,カメリア,
セブン－イレブン　尼崎若王寺店  ,兵庫県,尼崎市若王寺３－１４－１８,尼崎市若王寺３－１４－１８,,06-6497-0013  ,,,,,,R03.12.01,尼崎市指令(尼保生）,第1-02016号,飲食店営業,,305,セブン－イレブン　尼崎若王寺店  ,06,06-6497-0013,,,,兵庫県　尼崎市若王寺３－１４－１８,兵庫県尼崎市若王寺３－１４－１８,,166930,28,28202,若王寺３,2021/12/01,,,,,,,,,,,,,,,尼崎市指令(尼保生）第1-02016号,,飲食店営業,,,,305_兵庫県_尼崎市保健所_食品衛生(許可)_2021年11月-2021年12月_末日_新規、更新、廃止,M,76,,,セブンイレブン尼崎若王寺店06-6497-001316693028202,f522ca62-6503-448d-ba2e-487465012d1e,,personal,ef6bbe0c-1194-4a01-8b44-9b67e342f468,2021/12/01,セブンイレブン　尼崎若王寺店　,セブンイレブン尼崎若王寺店,
桔梗  ,兵庫県,尼崎市南武庫之荘１－９－１パークビル３Ｆ,尼崎市南武庫之荘１－９－１,パークビル３Ｆ,,,,,,,R03.12.01,尼崎市指令(尼保生）,第1-01994号,飲食店営業,,305,桔梗  ,06,,,,,兵庫県　尼崎市南武庫之荘１－９－１,兵庫県尼崎市南武庫ノ荘１－９－１,パークビル３Ｆ,167035,28,28202,南武庫ノ荘１,2021/12/01,,,,,,,,,,,,,,,尼崎市指令(尼保生）第1-01994号,,飲食店営業,,,,305_兵庫県_尼崎市保健所_食品衛生(許可)_2021年11月-2021年12月_末日_新規、更新、廃止,M,76,,,桔梗16703528202,acbca2a3-8761-430d-8066-b43312d9b800,,personal,83cffbc3-f84a-4692-b6fd-670429739ac6,2021/12/01,桔梗　,桔梗,
ファンキー　ファクトリー  ,兵庫県,尼崎市昭和南通４－６８－３セントラルパークビル４０１,尼崎市昭和南通４－６８－３,セントラルパークビル４０１,,,,,,,R03.12.01,尼崎市指令(尼保生）,第1-02002号,飲食店営業,,305,ファンキー　ファクトリー  ,06,,,,,兵庫県　尼崎市昭和南通４－６８－３,兵庫県尼崎市昭和南通４－６８－３,セントラルパークビル４０１,166826,28,28202,昭和南通４,2021/12/01,,,,,,,,,,,,,,,尼崎市指令(尼保生）第1-02002号,,飲食店営業,,,,305_兵庫県_尼崎市保健所_食品衛生(許可)_2021年11月-2021年12月_末日_新規、更新、廃止,M,76,,,ファンキファクトリ16682628202,db874b1d-c050-4451-a52b-87e88fe16dd2,,personal,5faadf56-cb99-49de-96f8-323ab076061e,2021/12/01,ファンキー　ファクトリー　,ファンキファクトリ,
ミッキー  ,兵庫県,尼崎市下坂部１－２０－２３,尼崎市下坂部１－２０－２３,,,,,,,,R03.12.01,尼崎市指令(尼保生）,第1-02004号,飲食店営業,,305,ミッキー  ,06,,,,,兵庫県　尼崎市下坂部１－２０－２３,兵庫県尼崎市下坂部１－２０－２３,,166812,28,28202,下坂部１,2021/12/01,,,,,,,,,,,,,,,尼崎市指令(尼保生）第1-02004号,,飲食店営業,,,,305_兵庫県_尼崎市保健所_食品衛生(許可)_2021年11月-2021年12月_末日_新規、更新、廃止,M,76,,,ミッキ16681228202,e8f2233e-e0b0-407d-9753-02e74e3ae8d1,,personal,1aac6926-8362-47d2-b566-683cbe4eabff,2021/12/01,ミッキー　,ミッキ,
居酒屋　山ちゃん  ,兵庫県,尼崎市猪名寺３－８－３,尼崎市猪名寺３－８－３,,,,,,,,R03.12.01,尼崎市指令(尼保生）,第1-02013号,飲食店営業,,305,居酒屋　山ちゃん  ,06,,,,,兵庫県　尼崎市猪名寺３－８－３,兵庫県尼崎市猪名寺３－８－３,,166707,28,28202,猪名寺３,2021/12/01,,,,,,,,,,,,,,,尼崎市指令(尼保生）第1-02013号,,飲食店営業,,,,305_兵庫県_尼崎市保健所_食品衛生(許可)_2021年11月-2021年12月_末日_新規、更新、廃止,M,76,,,居酒屋山ちゃん16670728202,4f712dea-096d-4293-b228-76b1e2c6b8bc,,personal,47641ebb-09cd-44c2-9261-79826e4da0d8,2021/12/01,居酒屋　山ちゃん　,居酒屋山ちゃん,
ランナー  ,兵庫県,尼崎市水明町１,尼崎市水明町１,,06-6419-8497  ,,,,,,R03.12.01,尼崎市指令(尼保生）,第1-02044号,飲食店営業,,305,ランナー  ,06,06-6419-8497,,,,兵庫県　尼崎市水明町１,兵庫県尼崎市水明町１,,166836,28,28202,水明町,2021/12/01,,,,,,,,,,,,,,,尼崎市指令(尼保生）第1-02044号,,飲食店営業,,,,305_兵庫県_尼崎市保健所_食品衛生(許可)_2021年11月-2021年12月_末日_新規、更新、廃止,M,76,,,ランナ06-6419-849716683628202,afcb2eb4-95b4-4d59-935f-435af5d65a0e,,personal,5b40b8f5-3545-4a3c-8142-47b4e6717b63,2021/12/01,ランナー　,ランナ,
フレンド  ,兵庫県,尼崎市北大物町８－８,尼崎市北大物町８－８,,06-6401-2626  ,,,,,,R03.12.01,尼崎市指令(尼保生）,第1-02037号,飲食店営業,,305,フレンド  ,06,06-6401-2626,,,,兵庫県　尼崎市北大物町８－８,兵庫県尼崎市北大物町８－８,,166770,28,28202,北大物町,2021/12/01,,,,,,,,,,,,,,,尼崎市指令(尼保生）第1-02037号,,飲食店営業,,,,305_兵庫県_尼崎市保健所_食品衛生(許可)_2021年11月-2021年12月_末日_新規、更新、廃止,M,76,,,フレンド06-6401-262616677028202,162f6c73-bbe7-4167-b7f2-bdae4edafe78,,personal,a7ec10a3-35b9-45ae-8056-df3a2078a19b,2021/12/01,フレンド　,フレンド,
リトルアローム森本  ,兵庫県,尼崎市大庄北４－８－１５,尼崎市大庄北４－８－１５,,06-6416-7015  ,,,,,,R03.12.01,尼崎市指令(尼保生）,第1-02036号,飲食店営業,,305,リトルアローム森本  ,06,06-6416-7015,,,,兵庫県　尼崎市大庄北４－８－１５,兵庫県尼崎市大庄北４－８－１５,,167115,28,28202,大庄北４,2021/12/01,,,,,,,,,,,,,,,尼崎市指令(尼保生）第1-02036号,,飲食店営業,,,,305_兵庫県_尼崎市保健所_食品衛生(許可)_2021年11月-2021年12月_末日_新規、更新、廃止,M,76,,,リトルアロム森本06-6416-701516711528202,18274bf2-3a88-4651-8099-164810438b5e,,personal,579730a4-4d30-4014-9c92-60448c69e3ce,2021/12/01,リトルアローム森本　,リトルアロム森本,
アモーレ  ,兵庫県,尼崎市西立花町５－５－３,尼崎市西立花町５－５－３,,06-6418-0132  ,,,,,,R03.12.01,尼崎市指令(尼保生）,第1-02034号,飲食店営業,,305,アモーレ  ,06,06-6418-0132,,,,兵庫県　尼崎市西立花町５－５－３,兵庫県尼崎市西立花町５－５－３,,167105,28,28202,西立花町５,2021/12/01,,,,,,,,,,,,,,,尼崎市指令(尼保生）第1-02034号,,飲食店営業,,,,305_兵庫県_尼崎市保健所_食品衛生(許可)_2021年11月-2021年12月_末日_新規、更新、廃止,M,76,,,アモレ06-6418-013216710528202,9bb093e9-9a79-45bc-81d3-d2310a446fa3,,personal,e5790501-bd8c-4f9f-a10e-d91c560f7483,2021/12/01,アモーレ　,アモレ,
お好み焼　やっちゃん  ,兵庫県,尼崎市琴浦町１１１,尼崎市琴浦町１１１,,06-6418-8521  ,,,,,,R03.12.01,尼崎市指令(尼保生）,第1-02054号,飲食店営業,,305,お好み焼　やっちゃん  ,06,06-6418-8521,,,,兵庫県　尼崎市琴浦町１１１,兵庫県尼崎市琴浦町１１１,,166793,28,28202,琴浦町,2021/12/01,,,,,,,,,,,,,,,尼崎市指令(尼保生）第1-02054号,,飲食店営業,,,,305_兵庫県_尼崎市保健所_食品衛生(許可)_2021年11月-2021年12月_末日_新規、更新、廃止,M,76,,,お好み焼やっちゃん06-6418-852116679328202,cfedf56c-68e5-4a78-a017-2291ab490770,,personal,6830b88d-0c4a-4154-b7b3-1d33af3403d9,2021/12/01,お好み焼　やっちゃん　,お好み焼やっちゃん,
ぶ～け  ,兵庫県,尼崎市杭瀬南新町４－７－５,尼崎市杭瀬南新町４－７－５,,06-6487-3113  ,,,,,,R03.12.01,尼崎市指令(尼保生）,第1-02052号,飲食店営業,,305,ぶ～け  ,06,06-6487-3113,,,,兵庫県　尼崎市杭瀬南新町４－７－５,兵庫県尼崎市杭瀬南新町４－７－５,,166782,28,28202,杭瀬南新町４,2021/12/01,,,,,,,,,,,,,,,尼崎市指令(尼保生）第1-02052号,,飲食店営業,,,,305_兵庫県_尼崎市保健所_食品衛生(許可)_2021年11月-2021年12月_末日_新規、更新、廃止,M,76,,,ぶけ06-6487-311316678228202,a565721f-78cf-44f4-8102-1f807cced480,,personal,c37f5169-0f38-48d8-9e8d-7d0c4c3e415a,2021/12/01,ぶ～け　,ぶけ,
ホルモン　しんさん  ,兵庫県,尼崎市昭和南通７－１７８,尼崎市昭和南通７－１７８,,,,,,,,R03.12.01,尼崎市指令(尼保生）,第1-02061号,飲食店営業,,305,ホルモン　しんさん  ,06,,,,,兵庫県　尼崎市昭和南通７－１７８,兵庫県尼崎市昭和南通７－１７８,,166829,28,28202,昭和南通７,2021/12/01,,,,,,,,,,,,,,,尼崎市指令(尼保生）第1-02061号,,飲食店営業,,,,305_兵庫県_尼崎市保健所_食品衛生(許可)_2021年11月-2021年12月_末日_新規、更新、廃止,M,76,,,ホルモンしんさん16682928202,16a20bd8-f783-4137-a0f2-d54f73e1f265,,personal,f5d542be-a448-4649-b15d-91a2e647d056,2021/12/01,ホルモン　しんさん　,ホルモンしんさん,
スナック　じゅね  ,兵庫県,尼崎市七松町１－８－１８,尼崎市七松町１－８－１８,,06-6419-7298  ,,,,,,R03.12.01,尼崎市指令(尼保生）,第1-02094号,飲食店営業,,305,スナック　じゅね  ,06,06-6419-7298,,,,兵庫県　尼崎市七松町１－８－１８,兵庫県尼崎市七松町１－８－１８,,166931,28,28202,七松町１,2021/12/01,,,,,,,,,,,,,,,尼崎市指令(尼保生）第1-02094号,,飲食店営業,,,,305_兵庫県_尼崎市保健所_食品衛生(許可)_2021年11月-2021年12月_末日_新規、更新、廃止,M,76,,,スナックじゅね06-6419-729816693128202,792b1144-d345-4334-b69e-0607dc514629,,personal,e2289c22-76c3-4617-9e2a-0a811526cf50,2021/12/01,スナック　じゅね　,スナックじゅね,
ラウンジ　良  ,兵庫県,尼崎市名神町１－１２－１１,尼崎市名神町１－１２－１１,,06-6427-6841  ,,,,,,R03.12.01,尼崎市指令(尼保生）,第1-02100号,飲食店営業,,305,ラウンジ　良  ,06,06-6427-6841,,,,兵庫県　尼崎市名神町１－１２－１１,兵庫県尼崎市名神町１－１２－１１,,167076,28,28202,名神町１,2021/12/01,,,,,,,,,,,,,,,尼崎市指令(尼保生）第1-02100号,,飲食店営業,,,,305_兵庫県_尼崎市保健所_食品衛生(許可)_2021年11月-2021年12月_末日_新規、更新、廃止,M,76,,,ラウンジ良06-6427-684116707628202,bc993433-efe3-4002-8cb1-fc9da37a3a4f,,personal,6066046e-4568-4821-b79a-0184eebfee20,2021/12/01,ラウンジ　良　,ラウンジ良,
ラウンジ　ローゼ  ,兵庫県,尼崎市東園田町５－４６－１４－２Ｆ２０１,尼崎市東園田町５－４６－１４,２Ｆ２０１,06-6493-7536  ,,,,,,R03.12.01,尼崎市指令(尼保生）,第1-02078号,飲食店営業,,305,ラウンジ　ローゼ  ,06,06-6493-7536,,,,兵庫県　尼崎市東園田町５－４６－１４,兵庫県尼崎市東園田町５－４６－１４,２Ｆ２０１,166981,28,28202,東園田町５,2021/12/01,,,,,,,,,,,,,,,尼崎市指令(尼保生）第1-02078号,,飲食店営業,,,,305_兵庫県_尼崎市保健所_食品衛生(許可)_2021年11月-2021年12月_末日_新規、更新、廃止,M,76,,,ラウンジロゼ06-6493-753616698128202,c54ecc25-d4cc-4266-a77d-48da8ec16634,,personal,4f4cd059-52d4-4f42-91a0-b4c4881d4629,2021/12/01,ラウンジ　ローゼ　,ラウンジロゼ,
橘屋  ,兵庫県,尼崎市大西町１－２－２０大塚ビル１－２,尼崎市大西町１－２－２０,大塚ビル１－２,06-6423-0280  ,,,,,,R03.12.01,尼崎市指令(尼保生）,第1-02070号,食肉処理業,,305,橘屋  ,06,06-6423-0280,,,,兵庫県　尼崎市大西町１－２－２０,兵庫県尼崎市大西町１－２－２０,大塚ビル１－２,166723,28,28202,大西町１,2021/12/01,,,,,,,,,,,,,,,尼崎市指令(尼保生）第1-02070号,,食肉販売業,,,,305_兵庫県_尼崎市保健所_食品衛生(許可)_2021年11月-2021年12月_末日_新規、更新、廃止,I,58,583,,橘屋06-6423-028016672328202,047c8f55-fcac-4fe5-82bb-9082f67cd8b4,,personal,9172586c-2f2b-4fc8-9681-3383bea877e5,2021/12/01,橘屋　,橘屋,
ＫＡＰＰŌ　岩もと  ,兵庫県,尼崎市南塚口町６－１０－２５－１０１,尼崎市南塚口町６－１０－２５,１０１,06-6427-3363  ,,,,,,R03.12.01,尼崎市指令(尼保生）,第1-02067号,飲食店営業,,305,ＫＡＰＰŌ　岩もと  ,06,06-6427-3363,,,,兵庫県　尼崎市南塚口町６－１０－２５,兵庫県尼崎市南塚口町６－１０－２５,１０１,167029,28,28202,南塚口町６,2021/12/01,,,,,,,,,,,,,,,尼崎市指令(尼保生）第1-02067号,,飲食店営業,,,,305_兵庫県_尼崎市保健所_食品衛生(許可)_2021年11月-2021年12月_末日_新規、更新、廃止,M,76,,,ＫＡＰＰŌ岩もと06-6427-336316702928202,979d0713-bdc0-4c43-8c28-c96e5a4b2aac,,personal,9d5c97cf-e418-4649-99b1-47403fcafff7,2021/12/01,ＫＡＰＰŌ　岩もと　,ＫＡＰＰŌ岩もと,
Ｂｏｎ　Ｂｏｎ　Ｂａｒ  ,兵庫県,尼崎市塚口町３－２６－１６サンオカダビル２Ｆ,尼崎市塚口町３－２６－１６,サンオカダビル２Ｆ,06-6427-7887  ,,,,,,R03.12.01,尼崎市指令(尼保生）,第1-02122号,飲食店営業,,305,Ｂｏｎ　Ｂｏｎ　Ｂａｒ  ,06,06-6427-7887,,,,兵庫県　尼崎市塚口町３－２６－１６,兵庫県尼崎市塚口町３－２６－１６,サンオカダビル２Ｆ,166864,28,28202,塚口町３,2021/12/01,,,,,,,,,,,,,,,尼崎市指令(尼保生）第1-02122号,,飲食店営業,,,,305_兵庫県_尼崎市保健所_食品衛生(許可)_2021年11月-2021年12月_末日_新規、更新、廃止,M,76,,,ＢｏｎＢｏｎＢａｒ06-6427-788716686428202,9c0fd0cf-d01c-4bef-b0af-a0600b012c3c,,personal,51d26333-14f5-405a-975c-b0bed5d42228,2021/12/01,Ｂｏｎ　Ｂｏｎ　Ｂａｒ　,ＢｏｎＢｏｎＢａｒ,
