https://docs.google.com/spreadsheets/d/1Qy3el1DFIpxtm3-VIAdZlBmEHual1CU39oB_urGxiyI/edit#gid=508940504,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
331,n処理終了,,,,,,,,,,,,,,d08_import_license_datas,完了,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
施設名,施設-住所1,施設-住所0,施設-住所2,施設-マンション名,施設-電話番号1,申請者1,申請-住所0,申請-住所1,申請-マンション名,申請-電話番号1,申請年月日,確認番号,確認番号2,業種,ここまで,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
施設名称,,施設所在地,,,施設電話番号,申請者名,申請者住所,,,申請者電話番号,届出日,許可番号,,業種,,管轄保健所,名称,市外局番,電話番号,施設の郵便番号,緯度,経度,施設の住所（元住所）,施設の住所（整備）,施設マンション名,施設-住所コード,施設-都道府県,施設-郡・政令市・市区町村名,施設-大字名・字名,申請年月日,開業年月日,許可年月日,許可期間開始日,許可期間終了日,申請法人,申請者氏名(個人名),申請者（開設者）の電話番号,申請者の住所（元住所）,申請者の住所（整備）,申請マンション名,申請-住所コード,申請-都道府県,申請-郡・政令市・市区町村名,申請-大字名・字名,確認番号,申請区分,業種,業態,その他,法人番号,シート名,産業分類大,産業分類中,産業分類小,産業分類詳細,facility_idを識別するための文字列,店舗コード,company_idを識別するための文字列,法人コード,ライセンスコード,検索用日付,整備名称,整備名称2,整備申請法人
アスカ  ,兵庫県,尼崎市神田南通３－９０,尼崎市神田南通３－９０,,,,,,,,R03.11.09,尼崎市指令(尼保生）,第1-02513号,飲食店営業,,305,アスカ  ,06,,,,,兵庫県　尼崎市神田南通３－９０,兵庫県尼崎市神田南通３－９０,,166762,28,28202,神田南通３,2021/11/09,,,,,,,,,,,,,,,尼崎市指令(尼保生）第1-02513号,,飲食店営業,,,,305_兵庫県_尼崎市保健所_食品衛生(許可)_2021年11月-2021年12月_末日_新規、更新、廃止,M,76,,,アスカ16676228202,0e4eb45e-b309-4727-99d8-fd9c208ce09b,,personal,bad706c6-6d69-400b-9d0c-4ccce7ccd294,2021/11/09,アスカ　,アスカ,
立ち飲み　ばん  ,兵庫県,尼崎市立花町１－８－５,尼崎市立花町１－８－５,,06-6423-8123  ,,,,,,R03.11.09,尼崎市指令(尼保生）,第1-02193号,飲食店営業,,305,立ち飲み　ばん  ,06,06-6423-8123,,,,兵庫県　尼崎市立花町１－８－５,兵庫県尼崎市立花町１－８－５,,166847,28,28202,立花町１,2021/11/09,,,,,,,,,,,,,,,尼崎市指令(尼保生）第1-02193号,,飲食店営業,,,,305_兵庫県_尼崎市保健所_食品衛生(許可)_2021年11月-2021年12月_末日_新規、更新、廃止,M,76,,,立ち飲みばん06-6423-812316684728202,4aa47fb3-aec1-40cc-a24c-6ae7f9b6e31f,,personal,e2c6cd98-6d98-417f-8f8f-c76f3887a9e9,2021/11/09,立ち飲み　ばん　,立ち飲みばん,
タマキ  ,兵庫県,尼崎市神田南通３－９０（１５）,尼崎市神田南通３－９０,（１５）,              ,,,,,,R03.11.09,尼崎市指令(生）,第1-01504号,飲食店営業,,305,タマキ  ,06,,,,,兵庫県　尼崎市神田南通３－９０,兵庫県尼崎市神田南通３－９０,（１５）,166762,28,28202,神田南通３,2021/11/09,,,,,,,,,,,,,,,尼崎市指令(生）第1-01504号,,飲食店営業,,,,305_兵庫県_尼崎市保健所_食品衛生(許可)_2021年11月-2021年12月_末日_新規、更新、廃止,M,76,,,タマキ16676228202,237170ac-47a5-4a99-8bb3-87e5d2925dec,,personal,874dc724-1e2f-43cd-a8ac-2529d163dca6,2021/11/09,タマキ　,タマキ,
丸徳食品工場  ,兵庫県,尼崎市杭瀬北新町１－１３－１,尼崎市杭瀬北新町１－１３－１,,06-6488-8851  ,株式会社丸徳,尼崎市杭瀬本町１－１８－５,尼崎市杭瀬本町１－１８－５,,06-6488-6661  ,R03.11.09,尼崎市指令(尼保生）,第1-01914号,菓子製造業,,305,丸徳食品工場  ,06,06-6488-8851,,,,兵庫県　尼崎市杭瀬北新町１－１３－１,兵庫県尼崎市杭瀬北新町１－１３－１,,166772,28,28202,杭瀬北新町１,2021/11/09,,,,,株式会社丸徳,,06-6488-6661  ,尼崎市杭瀬本町１－１８－５,兵庫県尼崎市杭瀬本町１－１８－５,,166776,兵庫県,尼崎市,杭瀬本町１,尼崎市指令(尼保生）第1-01914号,,菓子製造業,,,,305_兵庫県_尼崎市保健所_食品衛生(許可)_2021年11月-2021年12月_末日_新規、更新、廃止,E,9,,,丸徳食品工場06-6488-885116677228202,0f164007-095c-4088-b19e-564997237c1e,株式会社丸徳166776,5d6699d0-6992-4a33-ba03-2a7122c48b61,d97d2661-3122-4069-8d43-40f770155b20,2021/11/09,丸徳食品工場　,丸徳食品工場,株式会社丸徳
和食さと　杭瀬店  ,兵庫県,尼崎市杭瀬北新町４－５－６,尼崎市杭瀬北新町４－５－６,,06-6482-1020  ,サトフードサービス株式会社,大阪市中央区安土町２－３－１３大阪国際ビルディング３０階,大阪市中央区安土町２－３－１３,大阪国際ビルディング３０階,06-7222-3104  ,R03.11.10,尼崎市指令(尼保生）,第1-01413号,飲食店営業,,305,和食さと　杭瀬店  ,06,06-6482-1020,,,,兵庫県　尼崎市杭瀬北新町４－５－６,兵庫県尼崎市杭瀬北新町４－５－６,,166775,28,28202,杭瀬北新町４,2021/11/10,,,,,サトフードサービス株式会社,,06-7222-3104  ,大阪市中央区安土町２－３－１３,大阪府大阪市中央区安土町２－３－１３,大阪国際ビルディング３０階,155949,大阪府,大阪市中央区,安土町２,尼崎市指令(尼保生）第1-01413号,,飲食店営業,,,,305_兵庫県_尼崎市保健所_食品衛生(許可)_2021年11月-2021年12月_末日_新規、更新、廃止,M,76,,,和食さと杭瀬店06-6482-102016677528202,cf583b7e-b7c3-477c-9218-e90a78d4c670,サトフードサービス株式会社155949,6cee6a6e-1c56-4637-931f-eadf6acc70f8,fe40361f-83db-4b02-9981-73c267fef33d,2021/11/10,和食さと　杭瀬店　,和食さと杭瀬店,サトフードサービス株式会社
和食さと武庫之荘店  ,兵庫県,尼崎市武庫元町１－２９－１５,尼崎市武庫元町１－２９－１５,,06-6433-0310  ,サトフードサービス株式会社,大阪市中央区安土町２－３－１３大阪国際ビルディング３０階,大阪市中央区安土町２－３－１３,大阪国際ビルディング３０階,06-7222-3104  ,R03.11.11,尼崎市指令(尼保生）,第1-01247号,飲食店営業,,305,和食さと武庫之荘店  ,06,06-6433-0310,,,,兵庫県　尼崎市武庫元町１－２９－１５,兵庫県尼崎市武庫元町１－２９－１５,,167071,28,28202,武庫元町１,2021/11/11,,,,,サトフードサービス株式会社,,06-7222-3104  ,大阪市中央区安土町２－３－１３,大阪府大阪市中央区安土町２－３－１３,大阪国際ビルディング３０階,155949,大阪府,大阪市中央区,安土町２,尼崎市指令(尼保生）第1-01247号,,飲食店営業,,,,305_兵庫県_尼崎市保健所_食品衛生(許可)_2021年11月-2021年12月_末日_新規、更新、廃止,M,76,,,和食さと武庫之荘店06-6433-031016707128202,33aff2b6-8fba-43cf-b54e-57601b6e4c72,サトフードサービス株式会社155949,6cee6a6e-1c56-4637-931f-eadf6acc70f8,75b7d615-e279-4221-9818-52f07ca9a007,2021/11/11,和食さと武庫之荘店　,和食さと武庫之荘店,サトフードサービス株式会社
合同会社ラーメン　虎一番  ,兵庫県,尼崎市大島１－２－３,尼崎市大島１－２－３,,,,,,,,R03.11.12,尼崎市指令(生）,第1-01647号,飲食店営業,,305,合同会社ラーメン　虎一番  ,06,,,,,兵庫県　尼崎市大島１－２－３,兵庫県尼崎市大島１－２－３,,167109,28,28202,大島１,2021/11/12,,,,,,,,,,,,,,,尼崎市指令(生）第1-01647号,,飲食店営業,,,,305_兵庫県_尼崎市保健所_食品衛生(許可)_2021年11月-2021年12月_末日_新規、更新、廃止,M,76,,,合同会社ラメン虎一番16710928202,43d9293a-7dae-4aa5-bc64-b47ccb9c720f,,personal,30355f87-7ab9-423d-a171-fc97731f1897,2021/11/12,合同会社ラーメン　虎一番　,合同会社ラメン虎一番,
木曽路　武庫川店  ,兵庫県,尼崎市大島１－１２－２５,尼崎市大島１－１２－２５,,06-6419-7773  ,株式会社木曽路,名古屋市昭和区白金３－１８－１３,名古屋市昭和区白金３－１８－１３,,052-872-1811  ,R03.11.12,尼崎市指令(尼保生）,第1-02138号,飲食店営業,,305,木曽路　武庫川店  ,06,06-6419-7773,,,,兵庫県　尼崎市大島１－１２－２５,兵庫県尼崎市大島１－１２－２５,,167109,28,28202,大島１,2021/11/12,,,,,株式会社木曽路,,052-872-1811  ,名古屋市昭和区白金３－１８－１３,愛知県名古屋市昭和区白金３－１８－１３,,115023,愛知県,名古屋市昭和区,白金３,尼崎市指令(尼保生）第1-02138号,,飲食店営業,,,,305_兵庫県_尼崎市保健所_食品衛生(許可)_2021年11月-2021年12月_末日_新規、更新、廃止,M,76,,,木曽路武庫川店06-6419-777316710928202,82cf9a87-3a49-41e5-9f60-e04aecab18b8,株式会社木曽路115023,7e42e0d6-20c2-45ab-b039-8d79d49d659e,253ca35c-6e27-469c-b307-6c901731f119,2021/11/12,木曽路　武庫川店　,木曽路武庫川店,株式会社木曽路
アミリ  ,兵庫県,尼崎市神田南通３－９０,尼崎市神田南通３－９０,,,,,,,,R03.11.15,尼崎市指令(尼保生）,第1-02514号,飲食店営業,,305,アミリ  ,06,,,,,兵庫県　尼崎市神田南通３－９０,兵庫県尼崎市神田南通３－９０,,166762,28,28202,神田南通３,2021/11/15,,,,,,,,,,,,,,,尼崎市指令(尼保生）第1-02514号,,飲食店営業,,,,305_兵庫県_尼崎市保健所_食品衛生(許可)_2021年11月-2021年12月_末日_新規、更新、廃止,M,76,,,アミリ16676228202,30deb913-d3d6-4472-b71d-a2aaf6622df3,,personal,16c82991-5b0b-46ef-8f11-0e657c8bbc80,2021/11/15,アミリ　,アミリ,
高級「生」食パン専門店　乃が美  はなれ尼崎市役所前店,兵庫県,尼崎市七松町３－１７－２０エクセルコート２,尼崎市七松町３－１７－２０,エクセルコート２,06-4869-5215  ,株式会社ＳＩプロパティ,尼崎市大庄中通５－７－１２,尼崎市大庄中通５－７－１２,,,R03.11.16,尼崎市指令(尼保生）,第1-02068号,菓子製造業,,305,高級「生」食パン専門店　乃が美  はなれ尼崎市役所前店,06,06-4869-5215,,,,兵庫県　尼崎市七松町３－１７－２０,兵庫県尼崎市七松町３－１７－２０,エクセルコート２,166933,28,28202,七松町３,2021/11/16,,,,,株式会社ＳＩプロパティ,,,尼崎市大庄中通５－７－１２,兵庫県尼崎市大庄中通５－７－１２,,166721,兵庫県,尼崎市,大庄中通５,尼崎市指令(尼保生）第1-02068号,,菓子製造業,,,,305_兵庫県_尼崎市保健所_食品衛生(許可)_2021年11月-2021年12月_末日_新規、更新、廃止,E,9,,,高級生食パン専門店乃が美はなれ尼崎市役所前店06-4869-521516693328202,b8b6b4f1-3036-4cfc-8b6a-7117761cefd1,株式会社ＳＩプロパティ166721,05e97e91-2965-4c17-992c-9a0e81c918fb,e4b21533-d038-46cd-b7d6-e753df81896d,2021/11/16,高級「生」食パン専門店　乃が美　はなれ尼崎市役所前店,高級生食パン専門店乃が美はなれ尼崎市役所前店,株式会社ＳＩプロパティ
