申請年月日,申請者1,申請者2,申請-住所1,申請-住所2,申請-住所3,申請-住所4,申請-マンション名,申請-電話番号1,施設名,施設-住所1,施設-住所2,施設-住所3,施設-住所4,施設-マンション名,施設-電話番号1,業種,確認番号,開業年月日,許可年月日,許可期間開始日,ここまで,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
申請・届出年月日,氏名（法人の場合は法人名）（申請・届出者）,法人の代表者の氏名（申請・届出者）,都道府県（申請・届出者）,市区町村（申請・届出者）,町域（申請・届出者）,番地等（申請・届出者）,マンション名等（申請・届出者）,電話番号（申請・届出者）,営業施設名称、屋号又は商号,都道府県（営業施設）,市区町村（営業施設）,町域（営業施設）,番地等（営業施設）,マンション名等（営業施設）,電話番号（営業施設）,営業の種類,許可番号,初回許可年月日,許可年月日,許可開始日,,管轄保健所,名称,市外局番,電話番号,施設の郵便番号,緯度,経度,施設の住所（元住所）,施設の住所（整備）,施設マンション名,施設-住所コード,施設-都道府県,施設-郡・政令市・市区町村名,施設-大字名・字名,申請年月日,開業年月日,許可年月日,許可期間開始日,許可期間終了日,申請法人,申請者氏名(個人名),申請者（開設者）の電話番号,申請者の住所（元住所）,申請者の住所（整備）,申請マンション名,申請-住所コード,申請-都道府県,申請-郡・政令市・市区町村名,申請-大字名・字名,確認番号,申請区分,業種,業態,その他,法人番号,シート名,産業分類大,産業分類中,産業分類小,産業分類詳細,facility_idを識別するための文字列,店舗コード,company_idを識別するための文字列,法人コード,ライセンスコード,検索用日付,整備名称,整備名称2,整備申請法人
2022/2/3,株式会社アミューズ,中西正樹,山梨県,南都留郡富士河口湖町,西湖,997番地,,0555-20-4501,株式会社アミューズ,山梨県,南都留郡富士河口湖町,西湖,997番地,,,⑪ 菓子製造業,山梨県指令富東福第10184号,2022/2/22,2022/2/22,2022/2/22,,168,株式会社アミューズ,0555,,,,,山梨県　南都留郡富士河口湖町　西湖　997番地,山梨県南都留郡富士河口湖町西湖９９７番地,,100938,19,19430,西湖,2022/02/03,2022/02/22,2022/02/22,2022/02/22,,株式会社アミューズ,中西正樹,0555-20-4501,山梨県　南都留郡富士河口湖町　西湖　997番地,山梨県南都留郡富士河口湖町西湖９９７番地,,100938,山梨県,南都留郡富士河口湖町,西湖,山梨県指令富東福第10184号,,菓子製造業,,,,165-168_山梨県_山梨県一括_食品衛生()_2022年02月_末日,E,9,,,株式会社アミュズ10093819430,d4e7a948-6102-4cca-a426-f25761ecd072,株式会社アミューズ100938,a5264e87-0ce6-44d2-97e2-e6b67a8b53e5,626f78ed-50e9-4b91-8e3f-13958ebb8d90,2022/02/22,株式会社アミューズ,株式会社アミュズ,株式会社アミューズ
2022/2/3,株式会社アミューズ,中西正樹,山梨県,南都留郡富士河口湖町,西湖,997番地,,0555-20-4501,株式会社アミューズ,山梨県,南都留郡富士河口湖町,西湖,997番地,,0555-20-4501,㉖ 集団給食施設,,,,,,168,株式会社アミューズ,0555,0555-20-4501,,,,山梨県　南都留郡富士河口湖町　西湖　997番地,山梨県南都留郡富士河口湖町西湖９９７番地,,100938,19,19430,西湖,2022/02/03,,,,,株式会社アミューズ,中西正樹,0555-20-4501,山梨県　南都留郡富士河口湖町　西湖　997番地,山梨県南都留郡富士河口湖町西湖９９７番地,,100938,山梨県,南都留郡富士河口湖町,西湖,,,給食施設,,,,165-168_山梨県_山梨県一括_食品衛生()_2022年02月_末日,M,77,,,株式会社アミュズ0555-20-450110093819430,a1ed17e2-ce73-4203-b6a7-115215cc6e7d,株式会社アミューズ100938,a5264e87-0ce6-44d2-97e2-e6b67a8b53e5,435af135-f470-4e96-abf4-15bc7df7db4d,2022/02/03,株式会社アミューズ,株式会社アミュズ,株式会社アミューズ
2022/2/14,株式会社アミューズ,中西正樹,山梨県,南都留郡富士河口湖町,西湖,997番地,,0555-20-4501,CALIN  CHOWDER,山梨県,南都留郡富士河口湖町,西湖,1030番地,,,⑬ その他の食料・飲料販売業,,,,,,168,CALIN  CHOWDER,0555,,,,,山梨県　南都留郡富士河口湖町　西湖　1030番地,山梨県南都留郡富士河口湖町西湖１０３０番地,,100938,19,19430,西湖,2022/02/14,,,,,株式会社アミューズ,中西正樹,0555-20-4501,山梨県　南都留郡富士河口湖町　西湖　997番地,山梨県南都留郡富士河口湖町西湖９９７番地,,100938,山梨県,南都留郡富士河口湖町,西湖,,,食料品販売業,,,,165-168_山梨県_山梨県一括_食品衛生()_2022年02月_末日,I,58,581,5811,ＣＡＬＩＮＣＨＯＷＤＥＲ10093819430,4e9fb54c-a7d1-4ded-a656-51309bd89037,株式会社アミューズ100938,a5264e87-0ce6-44d2-97e2-e6b67a8b53e5,b7715784-4e69-48da-913f-80e7340afd28,2022/02/14,ＣＡＬＩＮ　ＣＨＯＷＤＥＲ,ＣＡＬＩＮＣＨＯＷＤＥＲ,株式会社アミューズ
2022/1/25,有限会社    東京屋製菓,中村元,山梨県,富士吉田市,竜ケ丘,1-1-27,,0555-22-1547,有限会社    東京屋製菓,山梨県,富士吉田市,竜ケ丘,1-5-1,,0555-22-1547,㉕ そうざい製造業,山梨県指令富東福第9640号,2022/2/4,2022/2/4,2022/2/4,,168,有限会社    東京屋製菓,0555,0555-22-1547,,,,山梨県　富士吉田市　竜ケ丘　1-5-1,山梨県富士吉田市竜が丘１－５－１,,100091,19,19202,竜が丘１,2022/01/25,2022/02/04,2022/02/04,2022/02/04,,有限会社    東京屋製菓,中村元,0555-22-1547,山梨県　富士吉田市　竜ケ丘　1-1-27,山梨県富士吉田市竜が丘１－１－２７,,100091,山梨県,富士吉田市,竜が丘１,山梨県指令富東福第9640号,,そうざい製造業,,,,165-168_山梨県_山梨県一括_食品衛生()_2022年02月_末日,E,9,,,有限会社東京屋製菓0555-22-154710009119202,e74955e9-03d8-43e3-92ae-5b947bcb9734,有限会社　東京屋製菓100091,b69cf650-0c42-4b76-a5f9-a183f21ba3f8,0614d64a-9fda-456a-943f-e0dfbe059979,2022/02/04,有限会社　東京屋製菓,有限会社東京屋製菓,有限会社　東京屋製菓
2022/1/25,合同会社Red  Paddy,赤田英基,山梨県,南都留郡山中湖村,山中,342番地,,0555-62-9888,岩魚茶舎,山梨県,南都留郡山中湖村,山中,342番地,,0555-62-9888,① 飲食店営業,山梨県指令富東福第9772号,2022/2/15,2022/2/15,2022/2/15,,168,岩魚茶舎,0555,0555-62-9888,,,,山梨県　南都留郡山中湖村　山中　342番地,山梨県南都留郡山中湖村山中３４２番地,,100929,19,19425,山中,2022/01/25,2022/02/15,2022/02/15,2022/02/15,,合同会社Red  Paddy,赤田英基,0555-62-9888,山梨県　南都留郡山中湖村　山中　342番地,山梨県南都留郡山中湖村山中３４２番地,,100929,山梨県,南都留郡山中湖村,山中,山梨県指令富東福第9772号,,飲食店営業,,,,165-168_山梨県_山梨県一括_食品衛生()_2022年02月_末日,M,76,,,岩魚茶舎0555-62-988810092919425,3890f4d0-9277-4323-9a92-23ee9ccfaa25,合同会社Ｒｅｄ　Ｐａｄｄｙ100929,0ee231e7-d3b9-415e-851e-5eedd3401872,1a6932e7-f823-455f-9768-e90aa5860cf1,2022/02/15,岩魚茶舎,岩魚茶舎,合同会社Ｒｅｄ　Ｐａｄｄｙ
2022/1/19,登り坂石油株式会社,渡邉良孝,山梨県,南都留郡富士河口湖町,船津,787,,0555-72-1220,セブンイレブンカーオアシス上野原店,山梨県,上野原市,上野原,3830,,0554-63-3675,① 飲食店営業,山梨県指令富東福第9505号,2022/2/1,2022/2/1,2022/2/1,,168,セブンイレブンカーオアシス上野原店,0554,0554-63-3675,,,,山梨県　上野原市　上野原　3830,山梨県上野原市上野原３８３０,,100644,19,19212,上野原,2022/01/19,2022/02/01,2022/02/01,2022/02/01,,登り坂石油株式会社,渡邉良孝,0555-72-1220,山梨県　南都留郡富士河口湖町　船津　787,山梨県南都留郡富士河口湖町船津７８７,,100935,山梨県,南都留郡富士河口湖町,船津,山梨県指令富東福第9505号,,飲食店営業,,,,165-168_山梨県_山梨県一括_食品衛生()_2022年02月_末日,M,76,,,セブンイレブンカオアシス上野原店0554-63-367510064419212,21cbaa08-4ea2-4e53-84b4-e5a5e69b4c3f,登り坂石油株式会社100935,4a7ae988-1440-4e78-b85b-351f721d95fd,7e368cb2-b217-454a-b6cc-28eb65ca0da0,2022/02/01,セブンイレブンカーオアシス上野原店,セブンイレブンカオアシス上野原店,登り坂石油株式会社
2022/2/21,合同会社１８８９,勝俣宥瑾,山梨県,富士吉田市,上吉田,2-6-3,,0555-73-8199,Hostel1889,山梨県,富士吉田市,上吉田,2-6-3,,0555-73-8199,① 飲食店営業,山梨県指令富東福第10418号,2022/2/28,2022/2/28,2022/2/28,,168,Hostel1889,0555,0555-73-8199,,,,山梨県　富士吉田市　上吉田　2-6-3,山梨県富士吉田市上吉田２－６－３,,100072,19,19202,上吉田２,2022/02/21,2022/02/28,2022/02/28,2022/02/28,,合同会社１８８９,勝俣宥瑾,0555-73-8199,山梨県　富士吉田市　上吉田　2-6-3,山梨県富士吉田市上吉田２－６－３,,100072,山梨県,富士吉田市,上吉田２,山梨県指令富東福第10418号,,飲食店営業,,,,165-168_山梨県_山梨県一括_食品衛生()_2022年02月_末日,M,76,,,Ｈｏｓｔｅｌ１８８９0555-73-819910007219202,367dc00a-7788-4e8c-9ae1-e61a906b38cf,合同会社１８８９100072,a2696ca4-f8be-41c1-8a6f-5b1a30fc7da9,57151438-8dac-46b2-b36d-c6ad96054eb9,2022/02/28,Ｈｏｓｔｅｌ１８８９,Ｈｏｓｔｅｌ１８８９,合同会社１８８９
2022/2/3,ユニー株式会社,関口憲司,愛知県,稲沢市,天池五反田町,1番地,,0587-24-8111,ラザウォーク甲斐双葉    アピタ双葉店,山梨県,甲斐市,志田,字柿木645-1,,0551-30-7111,③ 食肉販売業,山梨県指令中北福第155号-553,2009/4/8,2021/12/23,2022/2/1,,165,ラザウォーク甲斐双葉    アピタ双葉店,0551,0551-30-7111,,,,山梨県　甲斐市　志田　字柿木645-1,山梨県甲斐市志田字柿木６４５－１,,100518,19,19210,志田,2022/02/03,2009/04/08,2021/12/23,2022/02/01,,ユニー株式会社,関口憲司,0587-24-8111,愛知県　稲沢市　天池五反田町　1番地,愛知県稲沢市天池五反田町１番地,,127553,愛知県,稲沢市,天池五反田町,山梨県指令中北福第155号-553,,食肉販売業,,,,165-168_山梨県_山梨県一括_食品衛生()_2022年02月_末日,I,58,583,,ラザウォク甲斐双葉アピタ双葉店0551-30-711110051819210,0e232bac-dbd0-40f9-aad2-a0f29a6f3175,ユニー株式会社127553,6bf0fd4f-f84d-4170-9f03-f0e2ba79a288,b0cc6d82-3388-4436-9cfe-97ca6f922bbe,2021/12/23,ラザウォーク甲斐双葉　アピタ双葉店,ラザウォク甲斐双葉アピタ双葉店,ユニー株式会社
2022/2/3,ユニー株式会社,関口憲司,愛知県,稲沢市,天池五反田町,1番地,,0587-24-8111,ラザウォーク甲斐双葉    アピタ双葉店,山梨県,甲斐市,志田,字柿木645-1,,0551-30-7111,④ 魚介類販売業,山梨県指令中北福第155号-553,2009/4/8,2021/12/23,2022/2/1,,165,ラザウォーク甲斐双葉    アピタ双葉店,0551,0551-30-7111,,,,山梨県　甲斐市　志田　字柿木645-1,山梨県甲斐市志田字柿木６４５－１,,100518,19,19210,志田,2022/02/03,2009/04/08,2021/12/23,2022/02/01,,ユニー株式会社,関口憲司,0587-24-8111,愛知県　稲沢市　天池五反田町　1番地,愛知県稲沢市天池五反田町１番地,,127553,愛知県,稲沢市,天池五反田町,山梨県指令中北福第155号-553,,魚介類販売業,,,,165-168_山梨県_山梨県一括_食品衛生()_2022年02月_末日,I,58,,,ラザウォク甲斐双葉アピタ双葉店0551-30-711110051819210,0e232bac-dbd0-40f9-aad2-a0f29a6f3175,ユニー株式会社127553,6bf0fd4f-f84d-4170-9f03-f0e2ba79a288,4920869c-7d23-4569-8c22-17b46cec15be,2021/12/23,ラザウォーク甲斐双葉　アピタ双葉店,ラザウォク甲斐双葉アピタ双葉店,ユニー株式会社
2022/2/3,ユニー株式会社,関口憲司,愛知県,稲沢市,天池五反田町,1番地,,0587-24-8111,ラザウォーク甲斐双葉    アピタ双葉店,山梨県,甲斐市,志田,字柿木645-1,,0551-30-7111,㉕ そうざい製造業,山梨県指令中北福第155号-553,2009/4/8,2021/12/23,2022/2/1,,165,ラザウォーク甲斐双葉    アピタ双葉店,0551,0551-30-7111,,,,山梨県　甲斐市　志田　字柿木645-1,山梨県甲斐市志田字柿木６４５－１,,100518,19,19210,志田,2022/02/03,2009/04/08,2021/12/23,2022/02/01,,ユニー株式会社,関口憲司,0587-24-8111,愛知県　稲沢市　天池五反田町　1番地,愛知県稲沢市天池五反田町１番地,,127553,愛知県,稲沢市,天池五反田町,山梨県指令中北福第155号-553,,そうざい製造業,,,,165-168_山梨県_山梨県一括_食品衛生()_2022年02月_末日,E,9,,,ラザウォク甲斐双葉アピタ双葉店0551-30-711110051819210,0e232bac-dbd0-40f9-aad2-a0f29a6f3175,ユニー株式会社127553,6bf0fd4f-f84d-4170-9f03-f0e2ba79a288,66b42514-fb12-4246-9762-f4af1adfd5a0,2021/12/23,ラザウォーク甲斐双葉　アピタ双葉店,ラザウォク甲斐双葉アピタ双葉店,ユニー株式会社
2022/2/17,株式会社トライアルカンパニー,石橋亮太,福岡県,福岡市東区,多の津一丁目,12番2号,,092-626-5550,トライアルマート西花輪店,山梨県,中央市,西花輪字古宮,4424-8,,055-278-5577,⑪ 百貨店、総合スーパー,,,,,,165,トライアルマート西花輪店,055,055-278-5577,,,,山梨県　中央市　西花輪字古宮4424-8,山梨県中央市西花輪字古宮４４２４－８,,100728,19,19214,西花輪,2022/02/17,,,,,株式会社トライアルカンパニー,石橋亮太,092-626-5550,福岡県　福岡市東区　多の津一丁目　12番2号,福岡県福岡市東区多ノ津１丁目１２番２号,,199830,福岡県,福岡市東区,多の津１,,,百貨店、総合スーパー,,,,165-168_山梨県_山梨県一括_食品衛生()_2022年02月_末日,I,56,561,5611,トライアルマト西花輪店055-278-557710072819214,303f386c-0f33-4964-b947-a3d534b25283,株式会社トライアルカンパニー199830,f9148862-2cbd-417f-a59d-38f193a7174c,b9d8d6a6-6a25-4f11-b2b1-3abb2be089f1,2022/02/17,トライアルマート西花輪店,トライアルマト西花輪店,株式会社トライアルカンパニー
2022/2/28,渡邊拓実,,山梨県,笛吹市,御坂町二之宮,398-1,,,渡邊    拓実,山梨県,笛吹市,御坂町二之宮,398-1,,0552627680,⑰ 農産保存食料品製造・加工業,,,,,,166,渡邊    拓実,055,055-262-7680,,,,山梨県　笛吹市　御坂町二之宮　398-1,山梨県笛吹市御坂町二ノ宮３９８－１,,100622,19,19211,御坂町二ノ宮,2022/02/28,,,,,,渡邊拓実 ,,山梨県　笛吹市　御坂町二之宮　398-1,山梨県笛吹市御坂町二ノ宮３９８－１,,100622,山梨県,笛吹市,御坂町二ノ宮,,,農産保存食料品製造・加工業,,,,165-168_山梨県_山梨県一括_食品衛生()_2022年02月_末日,E,9,93,,渡邊拓実055-262-768010062219211,4a1dc3e5-7173-4181-a0a3-c31c119b495f,100622,d509a443-34cd-4a12-8480-fbd659c746d7,9daa3897-e87f-4504-b78a-d6cda79118c5,2022/02/28,渡邊　拓実,渡邊拓実,
2022/2/8,渡辺伯,,山梨県,中央市,関原,１２８５,,,ベーストヨトミ,山梨県,中央市,関原,1285,,,⑪ 菓子製造業,山梨県指令中北福第155号-658,2022/2/21,2022/2/21,2022/2/21,,165,ベーストヨトミ,055,,,,,山梨県　中央市　関原　1285,山梨県中央市関原１２８５,,100723,19,19214,関原,2022/02/08,2022/02/21,2022/02/21,2022/02/21,,,渡辺伯 ,,山梨県　中央市　関原　１２８５,山梨県中央市関原１２８５,,100723,山梨県,中央市,関原,山梨県指令中北福第155号-658,,菓子製造業,,,,165-168_山梨県_山梨県一括_食品衛生()_2022年02月_末日,E,9,,,ベストヨトミ10072319214,7a8c4125-78b2-4209-91cb-e08a0086755e,100723,cddaa711-9cb9-4b87-b2e3-ce0be22daa20,dd175d36-d941-48d5-baff-2d21346c14a2,2022/02/21,ベーストヨトミ,ベストヨトミ,
2022/1/25,秋山茂仁,,山梨県,西八代郡市川三郷町,市川大門,425-14 ,新日本ハイツ107,,スロースキッチン,山梨県,西八代郡市川三郷町,大塚,4168-7,,,⑪ 菓子製造業,山梨県指令峡南福第4651号,2022/2/1,2022/2/1,2022/2/1,,167,スロースキッチン,055,,,,,山梨県　西八代郡市川三郷町　大塚　4168-7,山梨県西八代郡市川三郷町大塚４１６８－７,,100743,19,19346,大塚,2022/01/25,2022/02/01,2022/02/01,2022/02/01,,,秋山茂仁 ,,山梨県　西八代郡市川三郷町　市川大門　425-14 ,山梨県西八代郡市川三郷町市川大門４２５－１４,新日本ハイツ107,100738,山梨県,西八代郡市川三郷町,市川大門,山梨県指令峡南福第4651号,,菓子製造業,,,,165-168_山梨県_山梨県一括_食品衛生()_2022年02月_末日,E,9,,,スロスキッチン10074319346,55b32922-e3c3-4f26-bbb5-b3ea7f73ba51,100738,a932f3ea-eaec-4372-bb1b-3c94699f0c76,4ff6fe0f-151d-4422-ac09-88f289a52438,2022/02/01,スロースキッチン,スロスキッチン,
2022/1/25,秋山茂仁,,山梨県,西八代郡市川三郷町,市川大門,425-14 ,新日本ハイツ107,,スロースキッチン,山梨県,西八代郡市川三郷町,大塚,4168-7,,,㉕ そうざい製造業,山梨県指令峡南福第4651号,2022/2/1,2022/2/1,2022/2/1,,167,スロースキッチン,055,,,,,山梨県　西八代郡市川三郷町　大塚　4168-7,山梨県西八代郡市川三郷町大塚４１６８－７,,100743,19,19346,大塚,2022/01/25,2022/02/01,2022/02/01,2022/02/01,,,秋山茂仁 ,,山梨県　西八代郡市川三郷町　市川大門　425-14 ,山梨県西八代郡市川三郷町市川大門４２５－１４,新日本ハイツ107,100738,山梨県,西八代郡市川三郷町,市川大門,山梨県指令峡南福第4651号,,そうざい製造業,,,,165-168_山梨県_山梨県一括_食品衛生()_2022年02月_末日,E,9,,,スロスキッチン10074319346,55b32922-e3c3-4f26-bbb5-b3ea7f73ba51,100738,a932f3ea-eaec-4372-bb1b-3c94699f0c76,a2b86f0e-a023-4e9c-b46c-7c8fe78201a7,2022/02/01,スロースキッチン,スロスキッチン,
2022/2/9,須田一幸,,山梨県,笛吹市,石和町東高橋,306-7,,,須田    一幸,山梨県,笛吹市,石和町東高橋,306-7,,0552629884,⑦ 野菜果物販売業,,,,,,166,須田    一幸,055,055-262-9884,,,,山梨県　笛吹市　石和町東高橋　306-7,山梨県笛吹市石和町東高橋３０６－７,,100554,19,19211,石和町東高橋,2022/02/09,,,,,,須田一幸 ,,山梨県　笛吹市　石和町東高橋　306-7,山梨県笛吹市石和町東高橋３０６－７,,100554,山梨県,笛吹市,石和町東高橋,,,野菜果物販売業,,,,165-168_山梨県_山梨県一括_食品衛生()_2022年02月_末日,I,58,582,,須田一幸055-262-988410055419211,e18a05fc-ae6c-4a6b-8c84-96dfbe8425a0,100554,ac628c1d-c91c-471a-ab59-b772b5417a3d,d0b6a8de-9726-4d2b-86c5-362907b22629,2022/02/09,須田　一幸,須田一幸,
2022/2/14,大久保利三,,山梨県,南都留郡富士河口湖町,河口,1792番地6,,,ファミリーマート都留インター店,山梨県,都留市,つる,一丁目1464-1-3,,0554-46-4006,⑩ コンビニエンスストア,,,,,,168,ファミリーマート都留インター店,0554,0554-46-4006,,,,山梨県　都留市　つる　一丁目1464-1-3,山梨県都留市つる１丁目１４６４－１－３,,100183,19,19204,つる１,2022/02/14,,,,,,大久保利三 ,,山梨県　南都留郡富士河口湖町　河口　1792番地6,山梨県南都留郡富士河口湖町河口１７９２番地６,,100933,山梨県,南都留郡富士河口湖町,河口,,,コンビニエンスストア,,,,165-168_山梨県_山梨県一括_食品衛生()_2022年02月_末日,I,58,589,5891,ファミリマト都留インタ店0554-46-400610018319204,5293c774-a223-4618-889b-c0724fb83c4a,100933,9ae75965-c505-4f61-9eaf-7d9a1acbc383,9cb8a469-8e31-4264-8801-b4d855b9a0bd,2022/02/14,ファミリーマート都留インター店,ファミリマト都留インタ店,
2022/2/14,大久保利三,,山梨県,南都留郡富士河口湖町,河口,1792番地6,,,ファミリーマートおひめ坂通り店,山梨県,富士吉田市,竜ケ丘,2-4-6,,0555-20-1288,⑩ コンビニエンスストア,,,,,,168,ファミリーマートおひめ坂通り店,0555,0555-20-1288,,,,山梨県　富士吉田市　竜ケ丘　2-4-6,山梨県富士吉田市竜が丘２－４－６,,100092,19,19202,竜が丘２,2022/02/14,,,,,,大久保利三 ,,山梨県　南都留郡富士河口湖町　河口　1792番地6,山梨県南都留郡富士河口湖町河口１７９２番地６,,100933,山梨県,南都留郡富士河口湖町,河口,,,コンビニエンスストア,,,,165-168_山梨県_山梨県一括_食品衛生()_2022年02月_末日,I,58,589,5891,ファミリマトおひめ坂通り店0555-20-128810009219202,df5f81af-fd6e-4cb4-9abe-2227c27ba958,100933,9ae75965-c505-4f61-9eaf-7d9a1acbc383,894b17cc-623a-46ff-8a52-1dc8547a928a,2022/02/14,ファミリーマートおひめ坂通り店,ファミリマトおひめ坂通り店,
2022/1/14,松丸沙樹,,山梨県,北杜市,長坂町小荒間,177番１号,,,茶房    迦楼羅,山梨県,北杜市,長坂町小荒間,177番１号,,0551-30-7904,① 飲食店営業,山梨県指令中北福第155号-610,2022/2/7,2022/2/7,2022/2/7,,165,茶房    迦楼羅,0551,0551-30-7904,,,,山梨県　北杜市　長坂町小荒間　177番１号,山梨県北杜市長坂町小荒間１７７番１号,,100469,19,19209,長坂町小荒間,2022/01/14,2022/02/07,2022/02/07,2022/02/07,,,松丸沙樹 ,,山梨県　北杜市　長坂町小荒間　177番１号,山梨県北杜市長坂町小荒間１７７番１号,,100469,山梨県,北杜市,長坂町小荒間,山梨県指令中北福第155号-610,,飲食店営業,,,,165-168_山梨県_山梨県一括_食品衛生()_2022年02月_末日,M,76,,,茶房迦楼羅0551-30-790410046919209,fa52be90-9dcc-4544-9f1e-181eebd87b5a,100469,07025cba-4fe0-4c54-a584-c020643521a4,c063c8e3-38c6-4e5b-9fd8-d4694b092a84,2022/02/07,茶房　迦楼羅,茶房迦楼羅,
2022/1/18,小林一二三,,山梨県,南アルプス市,藤田,1643-1,,,やきとり    大工,山梨県,南アルプス市,藤田,1644-1,,055-283-4014,① 飲食店営業,山梨県指令中北福第155号-615,2022/2/4,2022/2/4,2022/2/4,,165,やきとり    大工,055,055-283-4014,,,,山梨県　南アルプス市　藤田　1644-1,山梨県南アルプス市藤田１６４４－１,,100408,19,19208,藤田,2022/01/18,2022/02/04,2022/02/04,2022/02/04,,,小林一二三 ,,山梨県　南アルプス市　藤田　1643-1,山梨県南アルプス市藤田１６４３－１,,100408,山梨県,南アルプス市,藤田,山梨県指令中北福第155号-615,,飲食店営業,,,,165-168_山梨県_山梨県一括_食品衛生()_2022年02月_末日,M,76,,,やきとり大工055-283-401410040819208,308f7e69-2b01-4b18-9874-3e12bef63f10,100408,1fa4a219-6d2e-4e5e-81f2-b5ef5bd38393,4241ffe2-e0cf-49a3-a138-661490984d22,2022/02/04,やきとり　大工,やきとり大工,
2022/1/19,株式会社    LAMUTARA,前田譲二,山梨県,笛吹市,八代町米倉,8-1,,,熟成豚骨ラーメンそだし甲斐ラザウォーク店,山梨県,甲斐市,志田字柿木,645-1,,,① 飲食店営業,山梨県指令中北福第155号-618,2022/2/4,2022/2/4,2022/2/4,,165,熟成豚骨ラーメンそだし甲斐ラザウォーク店,0551,,,,,山梨県　甲斐市　志田字柿木　645-1,山梨県甲斐市志田字柿木６４５－１,,100518,19,19210,志田,2022/01/19,2022/02/04,2022/02/04,2022/02/04,,株式会社    LAMUTARA,前田譲二,,山梨県　笛吹市　八代町米倉　8-1,山梨県笛吹市八代町米倉８－１,,100633,山梨県,笛吹市,八代町米倉,山梨県指令中北福第155号-618,,飲食店営業,,,,165-168_山梨県_山梨県一括_食品衛生()_2022年02月_末日,M,76,,,熟成豚骨ラメンそだし甲斐ラザウォク店10051819210,58b02348-c61c-46c1-991d-a096845e021e,株式会社　ＬＡＭＵＴＡＲＡ100633,713820fa-5c15-4ec9-a099-6b6ab56aef7e,890d4fca-8d11-498f-875a-6e4583f134ce,2022/02/04,熟成豚骨ラーメンそだし甲斐ラザウォーク店,熟成豚骨ラメンそだし甲斐ラザウォク店,株式会社　ＬＡＭＵＴＡＲＡ
2022/1/21,SRIBUTDEERRUNGNURAK,,山梨県,笛吹市,一宮町南野呂,211,,,台湾料理    台北飯店,山梨県,中央市,西花輪,2725-2,,,① 飲食店営業,山梨県指令中北福第155号-627,2022/2/1,2022/2/1,2022/2/1,,165,台湾料理    台北飯店,055,,,,,山梨県　中央市　西花輪　2725-2,山梨県中央市西花輪２７２５－２,,100728,19,19214,西花輪,2022/01/21,2022/02/01,2022/02/01,2022/02/01,,,SRIBUTDEERRUNGNURAK ,,山梨県　笛吹市　一宮町南野呂　211,山梨県笛吹市一宮町南野呂２１１,,100585,山梨県,笛吹市,一宮町南野呂,山梨県指令中北福第155号-627,,飲食店営業,,,,165-168_山梨県_山梨県一括_食品衛生()_2022年02月_末日,M,76,,,台湾料理台北飯店10072819214,d8bf72a0-bafd-4594-a492-0c63fa20c288,100585,fb98d6d3-e35b-4038-8288-de925673416d,02ea376a-8ddf-459e-9574-a248cafe86b5,2022/02/01,台湾料理　台北飯店,台湾料理台北飯店,
2022/2/22,岩波みづほ,,山梨県,甲州市,塩山上萩原,629,,,岩波    みづほ,山梨県,甲州市,塩山上萩原,629,,0553324199,⑰ 農産保存食料品製造・加工業,,,,,,166,岩波    みづほ,0553,0553-32-4199,,,,山梨県　甲州市　塩山上萩原　629,山梨県甲州市塩山上萩原６２９,,100674,19,19213,塩山上萩原,2022/02/22,,,,,,岩波みづほ ,,山梨県　甲州市　塩山上萩原　629,山梨県甲州市塩山上萩原６２９,,100674,山梨県,甲州市,塩山上萩原,,,農産保存食料品製造・加工業,,,,165-168_山梨県_山梨県一括_食品衛生()_2022年02月_末日,E,9,93,,岩波みづほ0553-32-419910067419213,3ff7cc38-d42b-4912-bac5-4f50b73bbd1a,100674,314eddc4-35c1-48f3-bd9e-1f02a60eecc8,e7ff7550-ce5c-4971-beff-1aafd289c92b,2022/02/22,岩波　みづほ,岩波みづほ,
2022/1/26,髙橋勇太,,山梨県,大月市,大月,2-13-16,吉村アパート2F,,古民家～むらたや～,山梨県,大月市,富浜町鳥沢,642,,0554-21-9669,① 飲食店営業,山梨県指令富東福第9507号,2022/2/1,2022/2/1,2022/2/1,,168,古民家～むらたや～,0554,0554-21-9669,,,,山梨県　大月市　富浜町鳥沢　642,山梨県大月市富浜町鳥沢６４２,,100273,19,19206,富浜町鳥沢,2022/01/26,2022/02/01,2022/02/01,2022/02/01,,,髙橋勇太 ,,山梨県　大月市　大月　2-13-16,山梨県大月市大月２－１３－１６,吉村アパート2F,100255,山梨県,大月市,大月２,山梨県指令富東福第9507号,,飲食店営業,,,,165-168_山梨県_山梨県一括_食品衛生()_2022年02月_末日,M,76,,,古民家むらたや0554-21-966910027319206,b8cc5ec4-4316-4acd-a6ff-615693be6a9a,100255,f2956d14-c94d-404a-af38-1fa8633d0ee2,593f7db8-a850-4902-9e9c-b62b62c3cffc,2022/02/01,古民家～むらたや～,古民家むらたや,
