申請年月日,申請者1,申請者2,申請-住所1,申請-住所2,申請-住所3,申請-住所4,申請-マンション名,申請-電話番号1,施設名,施設-住所1,施設-住所2,施設-住所3,施設-住所4,施設-マンション名,施設-電話番号1,業種,確認番号,開業年月日,許可年月日,許可期間開始日,ここまで,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
申請・届出年月日,氏名（法人の場合は法人名）（申請・届出者）,法人の代表者の氏名（申請・届出者）,都道府県（申請・届出者）,市区町村（申請・届出者）,町域（申請・届出者）,番地等（申請・届出者）,マンション名等（申請・届出者）,電話番号（申請・届出者）,営業施設名称、屋号又は商号,都道府県（営業施設）,市区町村（営業施設）,町域（営業施設）,番地等（営業施設）,マンション名等（営業施設）,電話番号（営業施設）,営業の種類,許可番号,初回許可年月日,許可年月日,許可開始日,,管轄保健所,名称,市外局番,電話番号,施設の郵便番号,緯度,経度,施設の住所（元住所）,施設の住所（整備）,施設マンション名,施設-住所コード,施設-都道府県,施設-郡・政令市・市区町村名,施設-大字名・字名,申請年月日,開業年月日,許可年月日,許可期間開始日,許可期間終了日,申請法人,申請者氏名(個人名),申請者（開設者）の電話番号,申請者の住所（元住所）,申請者の住所（整備）,申請マンション名,申請-住所コード,申請-都道府県,申請-郡・政令市・市区町村名,申請-大字名・字名,確認番号,申請区分,業種,業態,その他,法人番号,シート名,産業分類大,産業分類中,産業分類小,産業分類詳細,facility_idを識別するための文字列,店舗コード,company_idを識別するための文字列,法人コード,ライセンスコード,検索用日付,整備名称,整備名称2,整備申請法人
2022/2/1,合同会社S．M．Fインターナショナル,菊島ルース,山梨県,中巨摩郡昭和町,河東中島,1287-2,,055-225-3929,肉匠    雪月花    昭和店,山梨県,中巨摩郡昭和町,河東中島,1287-2,,055-225-3929,① 飲食店営業,山梨県指令中北福第155号-649,2022/2/21,2022/2/21,2022/2/21,,165,肉匠    雪月花    昭和店,055,055-225-3929,,,,山梨県　中巨摩郡昭和町　河東中島　1287-2,山梨県中巨摩郡昭和町河東中島１２８７－２,,100909,19,19384,河東中島,2022/02/01,2022/02/21,2022/02/21,2022/02/21,,合同会社S．M．Fインターナショナル,菊島ルース,055-225-3929,山梨県　中巨摩郡昭和町　河東中島　1287-2,山梨県中巨摩郡昭和町河東中島１２８７－２,,100909,山梨県,中巨摩郡昭和町,河東中島,山梨県指令中北福第155号-649,,飲食店営業,,,,165-168_山梨県_山梨県一括_食品衛生()_2022年02月_末日,M,76,,,肉匠雪月花昭和店055-225-392910090919384,04abe5c5-ef0f-447c-aef7-ba243e6317cf,合同会社Ｓ．Ｍ．Ｆインターナショナル100909,8a1561f5-efff-4dac-b9fd-343c8565bc55,11496f6e-73ac-4a18-8b3a-04644ea5f4aa,2022/02/21,肉匠　雪月花　昭和店,肉匠雪月花昭和店,合同会社Ｓ．Ｍ．Ｆインターナショナル
2022/1/21,株式会社    渡辺畜産,渡辺重也,山梨県,甲府市,上石田,4－17－17,,055-228-0267,肉の渡辺    ラザウｵーク甲斐双葉アピタ双葉店,山梨県,甲斐市,志田,字柿木645- 1,ラザウｵーク甲斐双葉店内,0551-28-7293,③ 食肉販売業,山梨県指令中北福第155号-625,2009/4/9,2022/1/31,2022/2/1,,165,肉の渡辺    ラザウｵーク甲斐双葉アピタ双葉店,0551,0551-28-7293,,,,山梨県　甲斐市　志田　字柿木645- 1,山梨県甲斐市志田字柿木６４５－１,ラザウｵーク甲斐双葉店内,100518,19,19210,志田,2022/01/21,2009/04/09,2022/01/31,2022/02/01,,株式会社    渡辺畜産,渡辺重也,055-228-0267,山梨県　甲府市　上石田　4－17－17,山梨県甲府市上石田４－１７－１７,,99880,山梨県,甲府市,上石田４,山梨県指令中北福第155号-625,,食肉販売業,,,,165-168_山梨県_山梨県一括_食品衛生()_2022年02月_末日,I,58,583,,肉の渡辺ラザウオク甲斐双葉アピタ双葉店0551-28-729310051819210,16eca892-5408-4378-b3ad-446a20815f30,株式会社　渡辺畜産99880,2602cf05-4329-46a1-9477-2bffb459371f,a654c78e-ddf0-40f0-9d20-11be7e79bc91,2022/01/31,肉の渡辺　ラザウオーク甲斐双葉アピタ双葉店,肉の渡辺ラザウオク甲斐双葉アピタ双葉店,株式会社　渡辺畜産
2022/1/24,合同会社    かいかい屋,海瀬信夫,山梨県,甲斐市,西八幡,1825-1,,055-230-6070,ほっともっと甲斐西八幡店,山梨県,甲斐市,西八幡,1825-1,,055-230-6070,① 飲食店営業,山梨県指令中北福第155号-628,2022/2/22,2022/2/22,2022/2/22,,165,ほっともっと甲斐西八幡店,055,055-230-6070,,,,山梨県　甲斐市　西八幡　1825-1,山梨県甲斐市西八幡１８２５－１,,100534,19,19210,西八幡,2022/01/24,2022/02/22,2022/02/22,2022/02/22,,合同会社    かいかい屋,海瀬信夫,055-230-6070,山梨県　甲斐市　西八幡　1825-1,山梨県甲斐市西八幡１８２５－１,,100534,山梨県,甲斐市,西八幡,山梨県指令中北福第155号-628,,飲食店営業,,,,165-168_山梨県_山梨県一括_食品衛生()_2022年02月_末日,M,76,,,ほっともっと甲斐西八幡店055-230-607010053419210,c9391b54-41bc-44ce-9da2-1b585c422991,合同会社　かいかい屋100534,6074895c-6215-4ada-8f2d-2813d36591f3,ffb72037-29d7-40c0-853a-cb3d3d866cb0,2022/02/22,ほっともっと甲斐西八幡店,ほっともっと甲斐西八幡店,合同会社　かいかい屋
2022/1/28,株式会社    古柏園,古屋公士,山梨県,笛吹市,石和町市部,８２２,,055-262-5890,ホテル古柏園    ラウンジ,山梨県,笛吹市,石和町市部,８２２,,055-262-5890,① 飲食店営業,山梨県指令峡東福第5494号,2016/10/14,2022/1/31,2022/2/1,,166,ホテル古柏園    ラウンジ,055,055-262-5890,,,,山梨県　笛吹市　石和町市部　８２２,山梨県笛吹市石和町市部８２２,,100540,19,19211,石和町市部,2022/01/28,2016/10/14,2022/01/31,2022/02/01,,株式会社    古柏園,古屋公士,055-262-5890,山梨県　笛吹市　石和町市部　８２２,山梨県笛吹市石和町市部８２２,,100540,山梨県,笛吹市,石和町市部,山梨県指令峡東福第5494号,,飲食店営業,,,,165-168_山梨県_山梨県一括_食品衛生()_2022年02月_末日,M,76,,,ホテル古柏園ラウンジ055-262-589010054019211,4b592d90-a758-49bb-8644-76cd18647ad9,株式会社　古柏園100540,d94b86ca-1ff7-4875-8628-21d94910fcee,aa6d70ed-1871-4b77-9237-68fa9edf07ce,2022/01/31,ホテル古柏園　ラウンジ,ホテル古柏園ラウンジ,株式会社　古柏園
2022/2/2,株式会社シャトレーゼ,古屋勇治,山梨県,甲府市,下曽根町,3440-1,,055-266-5151,シャトレーゼ都留田原店,山梨県,都留市,田原,2-659,,0554-45-5458,⑪ 菓子製造業,山梨県指令富東福第9896号,2022/2/15,2022/2/15,2022/2/15,,168,シャトレーゼ都留田原店,0554,0554-45-5458,,,,山梨県　都留市　田原　2-659,山梨県都留市田原２－６５９,,100175,19,19204,田原２,2022/02/02,2022/02/15,2022/02/15,2022/02/15,,株式会社シャトレーゼ,古屋勇治,055-266-5151,山梨県　甲府市　下曽根町　3440-1,山梨県甲府市下曽根町３４４０－１,,100045,山梨県,甲府市,下曽根町,山梨県指令富東福第9896号,,菓子製造業,,,,165-168_山梨県_山梨県一括_食品衛生()_2022年02月_末日,E,9,,,シャトレゼ都留田原店0554-45-545810017519204,850c363d-6e8c-4195-9281-d31edc00ea34,株式会社シャトレーゼ100045,631a11ed-4a77-4721-9769-3b2696211eb1,eb2d1951-ca69-44da-b4ce-ea7782a9daff,2022/02/15,シャトレーゼ都留田原店,シャトレゼ都留田原店,株式会社シャトレーゼ
2022/1/18,合同会社    鈴川,鈴川秦敬,山梨県,甲斐市,中下条,657-5,,055-277-8429,もう家,山梨県,甲斐市,中下条,657-5,,055-277-8429,① 飲食店営業,山梨県指令中北福第155号-614,2022/2/7,2022/2/7,2022/2/7,,165,もう家,055,055-277-8429,,,,山梨県　甲斐市　中下条　657-5,山梨県甲斐市中下条６５７－５,,100531,19,19210,中下条,2022/01/18,2022/02/07,2022/02/07,2022/02/07,,合同会社    鈴川,鈴川秦敬,055-277-8429,山梨県　甲斐市　中下条　657-5,山梨県甲斐市中下条６５７－５,,100531,山梨県,甲斐市,中下条,山梨県指令中北福第155号-614,,飲食店営業,,,,165-168_山梨県_山梨県一括_食品衛生()_2022年02月_末日,M,76,,,もう家055-277-842910053119210,878d6976-e1a7-4873-9ac3-b448309b534c,合同会社　鈴川100531,4bd2693d-a0b6-4485-8ee3-63ceb516b304,70de837b-d306-4988-a320-57f96c5acdfa,2022/02/07,もう家,もう家,合同会社　鈴川
2022/2/2,株式会社リバーサイドコーポレーション,片江秀行,山梨県,韮崎市,藤井町南下條,２７９,,0551-30-6266,マクドナルドラザ ウォーク甲斐双葉店,山梨県,甲斐市,志田,字柿木645-1,LAZAWALK ２階 フードコート,0551-45-8424,① 飲食店営業,山梨県指令中北福第155号-651,2022/2/24,2022/2/24,2022/2/24,,165,マクドナルドラザ ウォーク甲斐双葉店,0551,0551-45-8424,,,,山梨県　甲斐市　志田　字柿木645-1,山梨県甲斐市志田字柿木６４５－１,LAZAWALK ２階 フードコート,100518,19,19210,志田,2022/02/02,2022/02/24,2022/02/24,2022/02/24,,株式会社リバーサイドコーポレーション,片江秀行,0551-30-6266,山梨県　韮崎市　藤井町南下條　２７９,山梨県韮崎市藤井町南下条２７９,,100325,山梨県,韮崎市,藤井町南下条,山梨県指令中北福第155号-651,,飲食店営業,,,,165-168_山梨県_山梨県一括_食品衛生()_2022年02月_末日,M,76,,,マクドナルドラザウォク甲斐双葉店0551-45-842410051819210,eecdf43a-f08f-4456-a379-33c5eaeed407,株式会社リバーサイドコーポレーション100325,bd87a0f1-af26-47ed-bc97-25ed0c84dda1,cfeaa077-2dd7-40ac-8dc1-69c06e6bd346,2022/02/24,マクドナルドラザ　ウォーク甲斐双葉店,マクドナルドラザウォク甲斐双葉店,株式会社リバーサイドコーポレーション
2022/2/8,有限会社マルケイ桜井,櫻井喜美子,山梨県,北杜市,須玉町藤田,411番地,,0551-42-2425,有限会社マルケイ桜井,山梨県,北杜市,須玉町藤田,411番地,,0551-42-2425,③ 乳類販売業,,,,,,165,有限会社マルケイ桜井,0551,0551-42-2425,,,,山梨県　北杜市　須玉町藤田　411番地,山梨県北杜市須玉町藤田４１１番地,,100445,19,19209,須玉町藤田,2022/02/08,,,,,有限会社マルケイ桜井,櫻井喜美子,0551-42-2425,山梨県　北杜市　須玉町藤田　411番地,山梨県北杜市須玉町藤田４１１番地,,100445,山梨県,北杜市,須玉町藤田,,,乳類販売業,,,,165-168_山梨県_山梨県一括_食品衛生()_2022年02月_末日,I,58,,,有限会社マルケイ桜井0551-42-242510044519209,2b0bb5b3-3b39-432d-86c5-1cf95d59ec84,有限会社マルケイ桜井100445,cb1f75fe-7644-49d4-a54c-0a3bd6cde41a,038ac2e3-e564-4e7a-9723-243c5088326a,2022/02/08,有限会社マルケイ桜井,有限会社マルケイ桜井,有限会社マルケイ桜井
2022/1/12,株式会社山梨フードサービス,窪田勲,山梨県,笛吹市,石和町川中島,28-1,,0552-63-3129,サパークラブ朱里,山梨県,笛吹市,石和町川中島,28-1,,055-263-0992,① 飲食店営業,山梨県指令峡東福第5168号,2022/1/25,2022/1/25,2022/2/1,,166,サパークラブ朱里,055,055-263-0992,,,,山梨県　笛吹市　石和町川中島　28-1,山梨県笛吹市石和町川中島２８－１,,100545,19,19211,石和町川中島,2022/01/12,2022/01/25,2022/01/25,2022/02/01,,株式会社山梨フードサービス,窪田勲,055-263-3129,山梨県　笛吹市　石和町川中島　28-1,山梨県笛吹市石和町川中島２８－１,,100545,山梨県,笛吹市,石和町川中島,山梨県指令峡東福第5168号,,飲食店営業,,,,165-168_山梨県_山梨県一括_食品衛生()_2022年02月_末日,M,76,,,サパクラブ朱里055-263-099210054519211,f597b8c2-ce76-41a8-afb1-8522f540df26,株式会社山梨フードサービス100545,8034e1c4-9e8d-4d8f-a7c6-da6106548203,4315bd8e-70ac-41a7-af6f-35661d0d083a,2022/01/25,サパークラブ朱里,サパクラブ朱里,株式会社山梨フードサービス
2022/2/7,(有)小宮商事,小宮千紀,山梨県,都留市,田原,2-14-8,,0554-56-8355,ドレッシング工房freckle,山梨県,都留市,田原,2-14-8,,,⑱ 調味料製造・加工業,,,,,,168,ドレッシング工房freckle,0554,,,,,山梨県　都留市　田原　2-14-8,山梨県都留市田原２－１４－８,,100175,19,19204,田原２,2022/02/07,,,,,(有)小宮商事,小宮千紀,0554-56-8355,山梨県　都留市　田原　2-14-8,山梨県都留市田原２－１４－８,,100175,山梨県,都留市,田原２,,,調味料製造・加工業,,,,165-168_山梨県_山梨県一括_食品衛生()_2022年02月_末日,E,9,94,,ドレッシング工房ｆｒｅｃｋｌｅ10017519204,972b721e-ab0d-4d2c-9724-fa9847ea53ef,有限会社小宮商事100175,4e896e9b-c261-4bee-9aa0-6da9fcd732b1,6c8ed243-8aae-4c0a-85e2-d5947b80a253,2022/02/07,ドレッシング工房ｆｒｅｃｋｌｅ,ドレッシング工房ｆｒｅｃｋｌｅ,有限会社小宮商事
