https://docs.google.com/spreadsheets/d/1Qy3el1DFIpxtm3-VIAdZlBmEHual1CU39oB_urGxiyI/edit#gid=508940504,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
104,n処理終了,,,,,,,,,,,,,,,,,,,,,,,,,,,d08_import_license_datas,完了,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,施設名,施設名2,,業種,業態,施設-住所0,施設-住所1,施設-マンション名,緯度,経度,施設-電話番号1,申請者2,申請者1,法人番号,申請者2,確認番号,開業年月日,許可年月日,許可期間開始日,許可期間終了日,,,,,ここまで,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
都道府県コード又は市区町村コード,No,都道府県名,市区町村名,営業所名称１,営業所名称２,営業所名称＿ｶﾅ,営業の種類,業態,営業所所在地,,営業所方書,緯度,経度,営業所電話番号,申請者個人名,法人名,法人番号,法人代表者氏名,許可番号,初回許可年月日,許可年月日,許可開始日,許可満了日,廃業年月日,申請区分,許可条件,備考,,管轄保健所,名称,市外局番,電話番号,施設の郵便番号,緯度,経度,施設の住所（元住所）,施設の住所（整備）,施設マンション名,施設-住所コード,施設-都道府県,施設-郡・政令市・市区町村名,施設-大字名・字名,申請年月日,開業年月日,許可年月日,許可期間開始日,許可期間終了日,申請法人,申請者氏名(個人名),申請者（開設者）の電話番号,申請者の住所（元住所）,申請者の住所（整備）,申請マンション名,申請-住所コード,申請-都道府県,申請-郡・政令市・市区町村名,申請-大字名・字名,確認番号,申請区分,業種,業態,その他,法人番号,シート名,産業分類大,産業分類中,産業分類小,産業分類詳細,facility_idを識別するための文字列,店舗コード,company_idを識別するための文字列,法人コード,ライセンスコード,検索用日付,整備名称,整備名称2,整備申請法人
382019,10,愛媛県,松山市,いよてつ髙島屋 7階催会場,,イヨテツタカシマヤ ナナカイモヨオシカイジョウ,飲食店営業,,松山市湊町5丁目1-1株式会社伊予鉄髙島屋 7階,松山市湊町５丁目１－１,株式会社伊予鉄髙島屋 ７階,,,089-948-2111,,株式会社伊予鉄髙島屋,,林巧,第1020号,2021/10/5,2021/10/5,,2026/12/31,,,,,,377,いよてつ髙島屋 7階催会場,089,089-948-2111,,,,松山市湊町５丁目１－１,愛媛県松山市湊町５丁目１－１,株式会社伊予鉄髙島屋 ７階,194093,38,38201,湊町５,,2021/10/05,2021/10/05,,2026/12/31,株式会社伊予鉄髙島屋,林巧,,,,,,,,,第1020号,,飲食店営業,,,,377_愛媛県_松山市保健所_食品衛生()_2021年10月_末日,M,76,,,いよてつ髙島屋７階催会場089-948-211119409338201,cd6bd42d-d153-4479-8d27-e7090138d525,株式会社伊予鉄髙島屋,40ca9b35-bfd4-4332-bf3e-be7f3526471e,ed7750dd-965b-4981-bf96-e8c270afbfdf,2021/10/05,いよてつ髙島屋　７階催会場,いよてつ髙島屋７階催会場,株式会社伊予鉄髙島屋
382019,11,愛媛県,松山市,森とスパイス,,モリトスパイス,飲食店営業,,松山市一番町3丁目1-1松山三越Ｂ１階,松山市一番町３丁目１－１,松山三越Ｂ１階,,,084-927-0996,,森とカンパニー株式会社,,細羽雅之,第1022号,2021/10/6,2021/10/6,,2026/12/31,,,,,,377,森とスパイス,089,084-927-0996,,,,松山市一番町３丁目１－１,愛媛県松山市一番町３丁目１－１,松山三越Ｂ１階,193746,38,38201,一番町３,,2021/10/06,2021/10/06,,2026/12/31,森とカンパニー株式会社,細羽雅之,,,,,,,,,第1022号,,飲食店営業,,,,377_愛媛県_松山市保健所_食品衛生()_2021年10月_末日,M,76,,,森とスパイス084-927-099619374638201,955f8fee-e9b8-4883-8085-98823d6a78d8,森とカンパニー株式会社,803fe846-5ab1-4aa7-b645-140ca62dc448,ba7c8e59-57bc-447f-9c02-f15401b88884,2021/10/06,森とスパイス,森とスパイス,森とカンパニー株式会社
382019,12,愛媛県,松山市,和食 美川村,,ワショク ミカワムラ,飲食店営業,,松山市森松町１０３４,松山市森松町１０３４,,,,,金子哲男,,,,第1024号,2021/10/6,2021/10/6,,2026/12/31,,,,,,377,和食 美川村,089,,,,,松山市森松町１０３４,愛媛県松山市森松町１０３４,,194131,38,38201,森松町,,2021/10/06,2021/10/06,,2026/12/31,,金子哲男  ,,,,,,,,,第1024号,,飲食店営業,,,,377_愛媛県_松山市保健所_食品衛生()_2021年10月_末日,M,76,,,和食美川村19413138201,932ed5ac-53c9-440f-beab-afccc99f312d,,personal,25303982-1f37-4249-9f50-e5f90275315e,2021/10/06,和食　美川村,和食美川村,
382019,13,愛媛県,松山市,ラウンジ Adagio,,ラウンジ アダージョ,飲食店営業,,松山市三番町2丁目8-19スリービル5階,松山市三番町２丁目８－１９,スリービル５階,,,,石丸千秋,,,,第1025号,2021/10/7,2021/10/7,,2026/12/31,,,,,,377,ラウンジ Adagio,089,,,,,松山市三番町２丁目８－１９,愛媛県松山市三番町２丁目８－１９,スリービル５階,193878,38,38201,三番町２,,2021/10/07,2021/10/07,,2026/12/31,,石丸千秋  ,,,,,,,,,第1025号,,飲食店営業,,,,377_愛媛県_松山市保健所_食品衛生()_2021年10月_末日,M,76,,,ラウンジＡｄａｇｉｏ19387838201,797d466f-344d-4e3e-a7bb-54f26888cc8b,,personal,304ee751-0c82-47f9-ab97-eae2906c2f0b,2021/10/07,ラウンジ　Ａｄａｇｉｏ,ラウンジＡｄａｇｉｏ,
382019,14,愛媛県,松山市,夢ステージ歌丸,,ユメステージウタマル,飲食店営業,,松山市立花3-2-38第一熊野ビル3階 307,松山市立花３－２－３８,第一熊野ビル３階 ３０７,,,,松本直之,,,,第1027号,2021/10/7,2021/10/7,,2026/12/31,,,,,,377,夢ステージ歌丸,089,,,,,松山市立花３－２－３８,愛媛県松山市立花３－２－３８,第一熊野ビル３階 ３０７,193938,38,38201,立花３,,2021/10/07,2021/10/07,,2026/12/31,,松本直之  ,,,,,,,,,第1027号,,飲食店営業,,,,377_愛媛県_松山市保健所_食品衛生()_2021年10月_末日,M,76,,,夢ステジ歌丸19393838201,1edc4ec4-4397-4ea0-a3af-ba894fd4678d,,personal,c294fc48-8c4c-426f-8c62-fa6897ab91bb,2021/10/07,夢ステージ歌丸,夢ステジ歌丸,
382019,15,愛媛県,松山市,蕎麦 はつ澤,,ソバ ハツサワ,飲食店営業,,松山市中央１－９－４コーポヤマウチ１F,松山市中央１－９－４,コーポヤマウチ１F,,,,柳澤徹,,,,第1028号,2021/10/7,2021/10/7,,2026/12/31,,,,,,377,蕎麦 はつ澤,089,,,,,松山市中央１－９－４,愛媛県松山市中央１－９－４,コーポヤマウチ１F,193957,38,38201,中央１,,2021/10/07,2021/10/07,,2026/12/31,,柳澤徹  ,,,,,,,,,第1028号,,飲食店営業,,,,377_愛媛県_松山市保健所_食品衛生()_2021年10月_末日,M,76,,,蕎麦はつ澤19395738201,273d8d8e-4329-47c4-bb8d-a06dca81229c,,personal,fe6841af-fe74-4afd-ab50-1a782eb77c6a,2021/10/07,蕎麦　はつ澤,蕎麦はつ澤,
382019,16,愛媛県,松山市,THE CENTRAL MARKET 地樂,,ザ セントラル マーケット チラク,飲食店営業,,松山市一番町3丁目1-1松山三越地下１階,松山市一番町３丁目１－１,松山三越地下１階,,,089-968-1555,,株式会社THE CENTRAL MARKET,,二宮敏,第1032号,2021/10/8,2021/10/8,,2026/12/31,,,,,,377,THE CENTRAL MARKET 地樂,089,089-968-1555,,,,松山市一番町３丁目１－１,愛媛県松山市一番町３丁目１－１,松山三越地下１階,193746,38,38201,一番町３,,2021/10/08,2021/10/08,,2026/12/31,株式会社THE CENTRAL MARKET,二宮敏,,,,,,,,,第1032号,,飲食店営業,,,,377_愛媛県_松山市保健所_食品衛生()_2021年10月_末日,M,76,,,ＴＨＥＣＥＮＴＲＡＬＭＡＲＫＥＴ地樂089-968-155519374638201,1da335e6-d9dd-4ca3-9d51-de31df4dd08c,株式会社ＴＨＥ　ＣＥＮＴＲＡＬ　ＭＡＲＫＥＴ,d30dc7db-0c6b-45fe-aa7d-9582024fb374,8068de2e-e199-4121-9cf7-6dab93769a2d,2021/10/08,ＴＨＥ　ＣＥＮＴＲＡＬ　ＭＡＲＫＥＴ　地樂,ＴＨＥＣＥＮＴＲＡＬＭＡＲＫＥＴ地樂,株式会社ＴＨＥ　ＣＥＮＴＲＡＬ　ＭＡＲＫＥＴ
382019,17,愛媛県,松山市,THE CENTRAL MARKET POP UP,,ザ セントラルマーケット ポップ アップ,飲食店営業,,松山市一番町3丁目1-1松山三越地下１階,松山市一番町３丁目１－１,松山三越地下１階,,,089-968-1555,,株式会社THE CENTRAL MARKET,,二宮敏,第1034号,2021/10/8,2021/10/8,,2026/12/31,,,,,,377,THE CENTRAL MARKET POP UP,089,089-968-1555,,,,松山市一番町３丁目１－１,愛媛県松山市一番町３丁目１－１,松山三越地下１階,193746,38,38201,一番町３,,2021/10/08,2021/10/08,,2026/12/31,株式会社THE CENTRAL MARKET,二宮敏,,,,,,,,,第1034号,,飲食店営業,,,,377_愛媛県_松山市保健所_食品衛生()_2021年10月_末日,M,76,,,ＴＨＥＣＥＮＴＲＡＬＭＡＲＫＥＴＰＯＰＵＰ089-968-155519374638201,063414d9-fcc5-4c36-82d3-e2d9e91ae92f,株式会社ＴＨＥ　ＣＥＮＴＲＡＬ　ＭＡＲＫＥＴ,d30dc7db-0c6b-45fe-aa7d-9582024fb374,013f1fef-9173-4b20-a00c-84b84efbcfa2,2021/10/08,ＴＨＥ　ＣＥＮＴＲＡＬ　ＭＡＲＫＥＴ　ＰＯＰ　ＵＰ,ＴＨＥＣＥＮＴＲＡＬＭＡＲＫＥＴＰＯＰＵＰ,株式会社ＴＨＥ　ＣＥＮＴＲＡＬ　ＭＡＲＫＥＴ
382019,18,愛媛県,松山市,セブンイレブン松山大街道2丁目店,,マツヤマオオカイドウニチョウメテン,飲食店営業,,松山市大街道２丁目６－１０,松山市大街道２丁目６－１０,,,,089-932-5507,,KNR株式会社,,平島和弘,第1035号,2021/10/8,2021/10/8,,2026/12/31,,,,,,377,セブンイレブン松山大街道2丁目店,089,089-932-5507,,,,松山市大街道２丁目６－１０,愛媛県松山市大街道２丁目６－１０,,193775,38,38201,大街道２,,2021/10/08,2021/10/08,,2026/12/31,KNR株式会社,平島和弘,,,,,,,,,第1035号,,飲食店営業,,,,377_愛媛県_松山市保健所_食品衛生()_2021年10月_末日,M,76,,,セブンイレブン松山大街道２丁目店089-932-550719377538201,40b1c63f-fa83-40f2-8fea-6e6e27d7a9aa,ＫＮＲ株式会社,630567f4-a86a-4b7b-830d-ce7efd2d2143,d22ee549-f82f-479e-9a76-35b6b4ac0d82,2021/10/08,セブンイレブン松山大街道２丁目店,セブンイレブン松山大街道２丁目店,ＫＮＲ株式会社
382019,19,愛媛県,松山市,お食事処 つどい,,オショクジドコロ ツドイ,飲食店営業,,松山市東野５丁目乙２２１－１７,松山市東野５丁目乙２２１－１７,,,,,岡崎豊子,,,,第1036号,2021/10/8,2021/10/8,,2026/12/31,,,,,,377,お食事処 つどい,089,,,,,松山市東野５丁目乙２２１－１７,愛媛県松山市東野５丁目乙２２１－１７,,194025,38,38201,東野５,,2021/10/08,2021/10/08,,2026/12/31,,岡崎豊子  ,,,,,,,,,第1036号,,飲食店営業,,,,377_愛媛県_松山市保健所_食品衛生()_2021年10月_末日,M,76,,,お食事処つどい19402538201,a6f0c1c7-0f06-47e7-aa54-0fa73f762cf4,,personal,223d10f2-6fd4-4940-8b45-b041e266927a,2021/10/08,お食事処　つどい,お食事処つどい,
382019,20,愛媛県,松山市,とろり天使のわらびもち 松山店,,トロリテンシノワラビモチ マツヤマテン,飲食店営業,,松山市大街道３丁目８－２大街道東雲ビル１F,松山市大街道３丁目８－２,大街道東雲ビル１F,,,,,株式会社TIAM,,勝田温子,第1037号,2021/10/8,2021/10/8,,2026/12/31,,,,,,377,とろり天使のわらびもち 松山店,089,,,,,松山市大街道３丁目８－２,愛媛県松山市大街道３丁目８－２,大街道東雲ビル１F,193776,38,38201,大街道３,,2021/10/08,2021/10/08,,2026/12/31,株式会社TIAM,勝田温子,,,,,,,,,第1037号,,飲食店営業,,,,377_愛媛県_松山市保健所_食品衛生()_2021年10月_末日,M,76,,,とろり天使のわらびもち松山店19377638201,8cbe90c6-2cd5-439b-8049-f291075da27d,株式会社ＴＩＡＭ,3d42c1d5-f0a2-4444-a83c-54a0ae2db87a,ec492542-77b7-4dfd-99ea-76b83d4c9c44,2021/10/08,とろり天使のわらびもち　松山店,とろり天使のわらびもち松山店,株式会社ＴＩＡＭ
382019,21,愛媛県,松山市,彼とコーヒー,,カレトコーヒー,飲食店営業,,松山市安城寺町２１８ー１,松山市安城寺町２１８ー１,,,,,柳田憲亮,,,,第1042号,2021/10/13,2021/10/13,,2026/12/31,,,,,,377,彼とコーヒー,089,,,,,松山市安城寺町２１８ー１,愛媛県松山市安城寺町２１８－１,,193733,38,38201,安城寺町,,2021/10/13,2021/10/13,,2026/12/31,,柳田憲亮  ,,,,,,,,,第1042号,,飲食店営業,,,,377_愛媛県_松山市保健所_食品衛生()_2021年10月_末日,M,76,,,彼とコヒ19373338201,ec028ec1-74d7-40e0-8040-35d33cbdf737,,personal,87f1ae59-de47-4cfb-ab7c-c5a9abb6aeb4,2021/10/13,彼とコーヒー,彼とコヒ,
382019,22,愛媛県,松山市,カラオケ一番館,,カラオケイチバンカン,飲食店営業,,松山市歩行町１丁目１０－５１F,松山市歩行町１丁目１０－５,１F,,,,近藤年博,,,,第1043号,2021/10/13,2021/10/13,,2026/12/31,,,,,,377,カラオケ一番館,089,,,,,松山市歩行町１丁目１０－５,愛媛県松山市歩行町１丁目１０－５,１F,193797,38,38201,歩行町１,,2021/10/13,2021/10/13,,2026/12/31,,近藤年博  ,,,,,,,,,第1043号,,飲食店営業,,,,377_愛媛県_松山市保健所_食品衛生()_2021年10月_末日,M,76,,,カラオケ一番館19379738201,c9573874-2b52-4258-99c6-81eaae710c53,,personal,f27c712e-c7f7-4db6-af41-1bc149da9d73,2021/10/13,カラオケ一番館,カラオケ一番館,
