https://docs.google.com/spreadsheets/d/1Qy3el1DFIpxtm3-VIAdZlBmEHual1CU39oB_urGxiyI/edit#gid=508940504,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
61,n処理終了,,,,,,,,,,,,,,,d08_import_license_datas,完了,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
施設名,施設-住所1,施設-住所0,施設-住所2,施設-マンション名,施設-電話番号1,業種,,申請者1,申請者2,申請-住所1,申請-電話番号1,開業年月日,許可年月日,申請区分,確認番号,ここまで,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
屋　　号,,営業所所在地,,,"営業所
電話番号",業　　種,,"営業者名
(申請者氏名)","営業者名
(法人の代表者氏名)","営業者
住所(所在地)","営業者
電話番号","初回の
許可年月日","最新の
許可年月日","新規か
継続か",許可番号,,管轄保健所,名称,市外局番,電話番号,施設の郵便番号,緯度,経度,施設の住所（元住所）,施設の住所（整備）,施設マンション名,施設-住所コード,施設-都道府県,施設-郡・政令市・市区町村名,施設-大字名・字名,申請年月日,開業年月日,許可年月日,許可期間開始日,許可期間終了日,申請法人,申請者氏名(個人名),申請者（開設者）の電話番号,申請者の住所（元住所）,申請者の住所（整備）,申請マンション名,申請-住所コード,申請-都道府県,申請-郡・政令市・市区町村名,申請-大字名・字名,確認番号,申請区分,業種,業態,その他,法人番号,シート名,産業分類大,産業分類中,産業分類小,産業分類詳細,facility_idを識別するための文字列,店舗コード,company_idを識別するための文字列,法人コード,ライセンスコード,検索用日付,整備名称,整備名称2,整備申請法人
い志ま,石川県,七尾市中島町中島３－８,七尾市中島町中島３－８,,0767-66-0190,飲食店営業,,山方定雄,,,,2021.11.1,2021.11.1,新規,第64210150号,,219,い志ま,0767,0767-66-0190,,,,石川県　七尾市中島町中島３－８,石川県七尾市中島町中島３－８,,95139,17,17202,中島町中島,,2021/11/01,2021/11/01,,,,山方定雄 ,,,,,,,,,第64210150号,新規,飲食店営業,,,,217-220_石川県_石川県一括_食品衛生(許可)_2021年09月-2022年01月_末日_新規、廃止(6)‗能登中部,M,76,,,い志ま0767-66-01909513917202,62691e58-503d-47cc-ad4f-23746663d697,,personal,96fec7d2-1ad7-4c0d-8ea3-b188d01a65e9,2021/11/01,い志ま,い志ま,
カウイン牛勝,石川県,鹿島郡中能登町井田と部１－１,鹿島郡中能登町井田と部１－１,,,飲食店営業,,有限会社　牛勝,番匠久雄,羽咋市川原町テ２７－３,0767-22-0029,2021.11.1,2021.11.1,新規,第64210151号,,219,カウイン牛勝,0767,,,,,石川県　鹿島郡中能登町井田と部１－１,石川県鹿島郡中能登町井田と部１－１,,96967,17,17407,井田,,2021/11/01,2021/11/01,,,有限会社　牛勝,番匠久雄,0767-22-0029,羽咋市川原町テ２７－３,石川県羽咋市川原町テ２７－３,,96068,石川県,羽咋市,川原町,第64210151号,新規,飲食店営業,,,,217-220_石川県_石川県一括_食品衛生(許可)_2021年09月-2022年01月_末日_新規、廃止(6)‗能登中部,M,76,,,カウイン牛勝9696717407,8a406e95-2176-4799-8f8e-905ea6252391,有限会社牛勝96068,7fa87fc7-8002-4fda-b823-22c848d5ccb3,621e1635-8221-4bdb-9aeb-a6e39e2743ad,2021/11/01,カウイン牛勝,カウイン牛勝,有限会社牛勝
カウイン牛勝,石川県,鹿島郡中能登町井田と部１－１,鹿島郡中能登町井田と部１－１,,,食肉販売業,,有限会社　牛勝,番匠久雄,羽咋市川原町テ２７－３,0767-22-0029,2021.11.1,2021.11.1,新規,第64210152号,,219,カウイン牛勝,0767,,,,,石川県　鹿島郡中能登町井田と部１－１,石川県鹿島郡中能登町井田と部１－１,,96967,17,17407,井田,,2021/11/01,2021/11/01,,,有限会社　牛勝,番匠久雄,0767-22-0029,羽咋市川原町テ２７－３,石川県羽咋市川原町テ２７－３,,96068,石川県,羽咋市,川原町,第64210152号,新規,食肉販売業,,,,217-220_石川県_石川県一括_食品衛生(許可)_2021年09月-2022年01月_末日_新規、廃止(6)‗能登中部,I,58,583,,カウイン牛勝9696717407,8a406e95-2176-4799-8f8e-905ea6252391,有限会社牛勝96068,7fa87fc7-8002-4fda-b823-22c848d5ccb3,6b6fbf77-6ee6-46e0-a5dd-06afb69c2499,2021/11/01,カウイン牛勝,カウイン牛勝,有限会社牛勝
冨田菓子舗,石川県,七尾市大和町チ部１２番地の５,七尾市大和町チ部１２番地の５,,0767-52-3010,菓子製造業,,冨田進,,,,2021.11.1,2021.11.1,新規,第64210153号,,219,冨田菓子舗,0767,0767-52-3010,,,,石川県　七尾市大和町チ部１２番地の５,石川県七尾市大和町チ部１２番地ノ５,,95087,17,17202,大和町,,2021/11/01,2021/11/01,,,,冨田進 ,,,,,,,,,第64210153号,新規,菓子製造業,,,,217-220_石川県_石川県一括_食品衛生(許可)_2021年09月-2022年01月_末日_新規、廃止(6)‗能登中部,E,9,,,冨田菓子舗0767-52-30109508717202,fdbb272d-8213-4f37-b57a-79720621bccf,,personal,c32822a6-f678-4e7f-95f6-64111946f5a7,2021/11/01,冨田菓子舗,冨田菓子舗,
中華料理　北京,石川県,七尾市和倉町ひばり２丁目９８の１,七尾市和倉町ひばり２丁目９８ー１,,0767-62-3406,飲食店営業,,板垣道久,,,,2021.11.1,2021.11.1,新規,第64210154号,,219,中華料理　北京,0767,0767-62-3406,,,,石川県　七尾市和倉町ひばり２丁目９８ー１,石川県七尾市和倉町ひばり２丁目９８－１,,95102,17,17202,和倉町ひばり２,,2021/11/01,2021/11/01,,,,板垣道久 ,,,,,,,,,第64210154号,新規,飲食店営業,,,,217-220_石川県_石川県一括_食品衛生(許可)_2021年09月-2022年01月_末日_新規、廃止(6)‗能登中部,M,76,,,中華料理北京0767-62-34069510217202,8672d053-0f66-4620-8aa9-4949995a174b,,personal,803c31c6-86ac-4abf-b5ea-7409b59c74db,2021/11/01,中華料理　北京,中華料理北京,
よもぎ万頭　のと屋,石川県,鹿島郡中能登町井田５３,鹿島郡中能登町井田５３,,0767-76-1479,菓子製造業,,鍋岡洋,,,,2021.11.1,2021.11.1,新規,第64210155号,,219,よもぎ万頭　のと屋,0767,0767-76-1479,,,,石川県　鹿島郡中能登町井田５３,石川県鹿島郡中能登町井田５３,,96967,17,17407,井田,,2021/11/01,2021/11/01,,,,鍋岡洋 ,,,,,,,,,第64210155号,新規,菓子製造業,,,,217-220_石川県_石川県一括_食品衛生(許可)_2021年09月-2022年01月_末日_新規、廃止(6)‗能登中部,E,9,,,よもぎ万頭のと屋0767-76-14799696717407,e1e85896-d970-42c8-97d2-5980d94dcb2e,,personal,fd4676b7-f664-4893-b6d9-0cf14f0ee22e,2021/11/01,よもぎ万頭　のと屋,よもぎ万頭のと屋,
白山鮮魚店,石川県,七尾市川原町３３番地,七尾市川原町３３番地,,,魚介類販売業,,白山武和,,,,2021.11.1,2021.11.1,新規,第64210156号,,219,白山鮮魚店,0767,,,,,石川県　七尾市川原町３３番地,石川県七尾市川原町３３番地,,95010,17,17202,川原町,,2021/11/01,2021/11/01,,,,白山武和 ,,,,,,,,,第64210156号,新規,魚介類販売業,,,,217-220_石川県_石川県一括_食品衛生(許可)_2021年09月-2022年01月_末日_新規、廃止(6)‗能登中部,I,58,,,白山鮮魚店9501017202,14988c3f-76bb-4199-8f01-894b76bb1d02,,personal,826d608a-f812-4c0f-b086-ff51a7c26302,2021/11/01,白山鮮魚店,白山鮮魚店,
待夢,石川県,七尾市神明町ロ部２２番地１,七尾市神明町ロ部２２番地１,,0767-52-6570,飲食店営業,,岩城ヨウ子,,,,2021.11.1,2021.11.1,新規,第64210157号,,219,待夢,0767,0767-52-6570,,,,石川県　七尾市神明町ロ部２２番地１,石川県七尾市神明町ロ部２２番地１,,95037,17,17202,神明町,,2021/11/01,2021/11/01,,,,岩城ヨウ子 ,,,,,,,,,第64210157号,新規,飲食店営業,,,,217-220_石川県_石川県一括_食品衛生(許可)_2021年09月-2022年01月_末日_新規、廃止(6)‗能登中部,M,76,,,待夢0767-52-65709503717202,3524913c-62a7-4d3b-a5b3-b173dfabbecb,,personal,36938edc-152a-461b-97ac-ff9e3c815fea,2021/11/01,待夢,待夢,
アンリス,石川県,七尾市和倉町ワ部５－４,七尾市和倉町ワ部５－４,,0767-62-2310,菓子製造業,,松田真吾,,,,2021.11.1,2021.11.1,新規,第64210158号,,219,アンリス,0767,0767-62-2310,,,,石川県　七尾市和倉町ワ部５－４,石川県七尾市和倉町ワ部５－４,,95091,17,17202,和倉町,,2021/11/01,2021/11/01,,,,松田真吾 ,,,,,,,,,第64210158号,新規,菓子製造業,,,,217-220_石川県_石川県一括_食品衛生(許可)_2021年09月-2022年01月_末日_新規、廃止(6)‗能登中部,E,9,,,アンリス0767-62-23109509117202,29c867f9-f96c-487c-9ef8-80575e29b788,,personal,ccbff1ab-3364-4a7a-a022-5bbd8c7c6c93,2021/11/01,アンリス,アンリス,
みうら屋,石川県,鹿島郡中能登町良川ろ部５９番地１,鹿島郡中能登町良川ろ部５９番地１,,0767-74-1117,菓子製造業,,三浦貴志,,,,2021.11.1,2021.11.1,新規,第64210159号,,219,みうら屋,0767,0767-74-1117,,,,石川県　鹿島郡中能登町良川ろ部５９番地１,石川県鹿島郡中能登町良川ろ部５９番地１,,97012,17,17407,良川,,2021/11/01,2021/11/01,,,,三浦貴志 ,,,,,,,,,第64210159号,新規,菓子製造業,,,,217-220_石川県_石川県一括_食品衛生(許可)_2021年09月-2022年01月_末日_新規、廃止(6)‗能登中部,E,9,,,みうら屋0767-74-11179701217407,1992128b-9852-48d3-b243-b47f0c21f637,,personal,56d55283-28a8-448b-b95a-4e51c1464535,2021/11/01,みうら屋,みうら屋,
丸政菓子舗,石川県,七尾市桜町２３,七尾市桜町２３,,0767-52-5308,菓子製造業,,為本政太郎,,,,2021.11.1,2021.11.1,新規,第64210160号,,219,丸政菓子舗,0767,0767-52-5308,,,,石川県　七尾市桜町２３,石川県七尾市桜町２３,,95025,17,17202,桜町,,2021/11/01,2021/11/01,,,,為本政太郎 ,,,,,,,,,第64210160号,新規,菓子製造業,,,,217-220_石川県_石川県一括_食品衛生(許可)_2021年09月-2022年01月_末日_新規、廃止(6)‗能登中部,E,9,,,丸政菓子舗0767-52-53089502517202,672f231f-6827-4b8c-aad0-85f9a8353c4f,,personal,be0263b6-4970-4414-a01f-d0e673761adc,2021/11/01,丸政菓子舗,丸政菓子舗,
スナック珊瑚,石川県,七尾市常盤町１０,七尾市常盤町１０,,0767-52-4210,飲食店営業,,畠山敦子,,,,2021.11.1,2021.11.1,新規,第64210161号,,219,スナック珊瑚,0767,0767-52-4210,,,,石川県　七尾市常盤町１０,石川県七尾市常盤町１０,,95093,17,17202,常盤町,,2021/11/01,2021/11/01,,,,畠山敦子 ,,,,,,,,,第64210161号,新規,飲食店営業,,,,217-220_石川県_石川県一括_食品衛生(許可)_2021年09月-2022年01月_末日_新規、廃止(6)‗能登中部,M,76,,,スナック珊瑚0767-52-42109509317202,baa4bcdc-bd0d-42fe-9484-e2a673320b00,,personal,407eb222-0154-4700-9b15-55611e33caaf,2021/11/01,スナック珊瑚,スナック珊瑚,
大将寿司,石川県,七尾市大手町１１２番地,七尾市大手町１１２番地,,0767-52-1356,飲食店営業,,有限会社　大将,竹中勉,七尾市大手町１１２番地,0767-52-1356,2021.11.1,2021.11.1,新規,第64210162号,,219,大将寿司,0767,0767-52-1356,,,,石川県　七尾市大手町１１２番地,石川県七尾市大手町１１２番地,,95001,17,17202,大手町,,2021/11/01,2021/11/01,,,有限会社　大将,竹中勉,0767-52-1356,七尾市大手町１１２番地,石川県七尾市大手町１１２番地,,95001,石川県,七尾市,大手町,第64210162号,新規,飲食店営業,,,,217-220_石川県_石川県一括_食品衛生(許可)_2021年09月-2022年01月_末日_新規、廃止(6)‗能登中部,M,76,,,大将寿司0767-52-13569500117202,ca82efd9-5803-42bc-bf39-912f5be88bcd,有限会社大将95001,8f3e3277-c7a7-4d5b-98ef-9397e140d78d,931386c7-477b-4f65-944f-9d8089b54a88,2021/11/01,大将寿司,大将寿司,有限会社大将
柴田菓子店,石川県,七尾市田鶴浜町ワ部４６の甲,七尾市田鶴浜町ワ部４６の甲,,0767-68-3090,菓子製造業,,柴田勇,,,,2021.11.1,2021.11.1,新規,第64210163号,,219,柴田菓子店,0767,0767-68-3090,,,,石川県　七尾市田鶴浜町ワ部４６の甲,石川県七尾市田鶴浜町ワ部４６ノ甲,,95114,17,17202,田鶴浜町,,2021/11/01,2021/11/01,,,,柴田勇 ,,,,,,,,,第64210163号,新規,菓子製造業,,,,217-220_石川県_石川県一括_食品衛生(許可)_2021年09月-2022年01月_末日_新規、廃止(6)‗能登中部,E,9,,,柴田菓子店0767-68-30909511417202,aae5a9d8-d6ac-4878-916b-45107ad85473,,personal,a91a5c31-9da3-43f3-bae2-3d80a09aed03,2021/11/01,柴田菓子店,柴田菓子店,
民宿　関取,石川県,七尾市馬出町ハ部５１番地６,七尾市馬出町ハ部５１番地６,,0767-53-5878,飲食店営業,,木元治栄,,,,2021.11.1,2021.11.1,新規,第64210164号,,219,民宿　関取,0767,0767-53-5878,,,,石川県　七尾市馬出町ハ部５１番地６,石川県七尾市馬出町ハ部５１番地６,,94996,17,17202,馬出町,,2021/11/01,2021/11/01,,,,木元治栄 ,,,,,,,,,第64210164号,新規,飲食店営業,,,,217-220_石川県_石川県一括_食品衛生(許可)_2021年09月-2022年01月_末日_新規、廃止(6)‗能登中部,M,76,,,民宿関取0767-53-58789499617202,ea1d712f-4b96-4194-b7df-8e83a009d46e,,personal,26eee167-4ba5-4009-b275-f3cc93aadb49,2021/11/01,民宿　関取,民宿関取,
ＢＡＲ　蜂の巣,石川県,七尾市御祓町イ部６－１１,七尾市御祓町イ部６－１１,,0767-53-3493,飲食店営業,,加藤清,,,,2021.11.1,2021.11.1,新規,第64210165号,,219,ＢＡＲ　蜂の巣,0767,0767-53-3493,,,,石川県　七尾市御祓町イ部６－１１,石川県七尾市御祓町イ部６－１１,,95078,17,17202,御祓町,,2021/11/01,2021/11/01,,,,加藤清 ,,,,,,,,,第64210165号,新規,飲食店営業,,,,217-220_石川県_石川県一括_食品衛生(許可)_2021年09月-2022年01月_末日_新規、廃止(6)‗能登中部,M,76,,,ＢＡＲ蜂の巣0767-53-34939507817202,4b1eed91-45bc-40e3-81b3-8ad46c915dbe,,personal,d1b682cf-ab50-4b5b-9e64-35394af0b80b,2021/11/01,ＢＡＲ　蜂の巣,ＢＡＲ蜂の巣,
ココス鹿島バイパス店,石川県,鹿島郡中能登町井田と１－１,鹿島郡中能登町井田と１－１,,0767-76-8011,飲食店営業,,株式会社　ファイブスター,西川好人,滋賀県彦根市松原１８８０－５,0749-22-5095,2021.11.1,2021.11.1,新規,第64210166号,,219,ココス鹿島バイパス店,0767,0767-76-8011,,,,石川県　鹿島郡中能登町井田と１－１,石川県鹿島郡中能登町井田と１－１,,96967,17,17407,井田,,2021/11/01,2021/11/01,,,株式会社　ファイブスター,西川好人,0749-22-5095,滋賀県彦根市松原１８８０－５,滋賀県彦根市松原１８８０－５,,138646,滋賀県,彦根市,松原１,第64210166号,新規,飲食店営業,,,,217-220_石川県_石川県一括_食品衛生(許可)_2021年09月-2022年01月_末日_新規、廃止(6)‗能登中部,M,76,,,ココス鹿島バイパス店0767-76-80119696717407,4057eb27-1b41-4e0e-b15a-5b3556824ee3,株式会社ファイブスター138646,06c0fa16-97e9-4553-9cd0-e2b3630c9e63,b1623fde-3b63-41a5-90ab-293211cd12a5,2021/11/01,ココス鹿島バイパス店,ココス鹿島バイパス店,株式会社ファイブスター
池田農園,石川県,七尾市多根町ハ部２５番地,七尾市多根町ハ部２５番地,,0767-57-1476,漬物製造業,,池田昭廣,,,,2021.11.1,2021.11.1,新規,第64210167号,,219,池田農園,0767,0767-57-1476,,,,石川県　七尾市多根町ハ部２５番地,石川県七尾市多根町ハ部２５番地,,95046,17,17202,多根町,,2021/11/01,2021/11/01,,,,池田昭廣 ,,,,,,,,,第64210167号,新規,漬物製造業,,,,217-220_石川県_石川県一括_食品衛生(許可)_2021年09月-2022年01月_末日_新規、廃止(6)‗能登中部,E,9,,,池田農園0767-57-14769504617202,1a5116dc-2b5b-43af-9b06-9f4528b2cc4f,,personal,245453e4-cdab-4422-aad5-132aa65ac041,2021/11/01,池田農園,池田農園,
ファミリーマート鹿島能登部店,石川県,鹿島郡中能登町能登部上ヲ９４番地,鹿島郡中能登町能登部上ヲ９４番地,,0767-72-7440,飲食店営業,,有限会社　ブリエ,福島暢浩,七尾市中島町中島丙部２９番地１,0767-66-1657,2021.11.1,2021.11.1,新規,第64210168号,,219,ファミリーマート鹿島能登部店,0767,0767-72-7440,,,,石川県　鹿島郡中能登町能登部上ヲ９４番地,石川県鹿島郡中能登町能登部上ヲ９４番地,,97000,17,17407,能登部上,,2021/11/01,2021/11/01,,,有限会社　ブリエ,福島暢浩,0767-66-1657,七尾市中島町中島丙部２９番地１,石川県七尾市中島町中島丙部２９番地１,,95139,石川県,七尾市,中島町中島,第64210168号,新規,飲食店営業,,,,217-220_石川県_石川県一括_食品衛生(許可)_2021年09月-2022年01月_末日_新規、廃止(6)‗能登中部,M,76,,,ファミリマト鹿島能登部店0767-72-74409700017407,bf7d413d-737f-4ad7-8e4d-a70f3012a7f4,有限会社ブリエ95139,e102dc85-dece-4e40-a3d1-fac8fa79623f,7b509b16-742e-496e-b011-70f0c599b53d,2021/11/01,ファミリーマート鹿島能登部店,ファミリマト鹿島能登部店,有限会社ブリエ
ファミリーマート鹿島能登部店,石川県,鹿島郡中能登町能登部上ヲ９４番地,鹿島郡中能登町能登部上ヲ９４番地,,0767-72-7440,菓子製造業,,有限会社　ブリエ,福島暢浩,七尾市中島町中島丙部２９番地１,0767-66-1657,2021.11.1,2021.11.1,新規,第64210169号,,219,ファミリーマート鹿島能登部店,0767,0767-72-7440,,,,石川県　鹿島郡中能登町能登部上ヲ９４番地,石川県鹿島郡中能登町能登部上ヲ９４番地,,97000,17,17407,能登部上,,2021/11/01,2021/11/01,,,有限会社　ブリエ,福島暢浩,0767-66-1657,七尾市中島町中島丙部２９番地１,石川県七尾市中島町中島丙部２９番地１,,95139,石川県,七尾市,中島町中島,第64210169号,新規,菓子製造業,,,,217-220_石川県_石川県一括_食品衛生(許可)_2021年09月-2022年01月_末日_新規、廃止(6)‗能登中部,E,9,,,ファミリマト鹿島能登部店0767-72-74409700017407,bf7d413d-737f-4ad7-8e4d-a70f3012a7f4,有限会社ブリエ95139,e102dc85-dece-4e40-a3d1-fac8fa79623f,0189e7b8-1993-4fee-af2d-a0cd0c642604,2021/11/01,ファミリーマート鹿島能登部店,ファミリマト鹿島能登部店,有限会社ブリエ
民宿　堀井,石川県,七尾市能登島祖母ケ浦町５－１４,七尾市能登島祖母ケ浦町５－１４,,0767-84-1324,飲食店営業,,堀井孝裕,,,,2021.11.1,2021.11.1,新規,第64210170号,,219,民宿　堀井,0767,0767-84-1324,,,,石川県　七尾市能登島祖母ケ浦町５－１４,石川県七尾市能登島祖母が浦町５－１４,,95170,17,17202,能登島祖母が浦町,,2021/11/01,2021/11/01,,,,堀井孝裕 ,,,,,,,,,第64210170号,新規,飲食店営業,,,,217-220_石川県_石川県一括_食品衛生(許可)_2021年09月-2022年01月_末日_新規、廃止(6)‗能登中部,M,76,,,民宿堀井0767-84-13249517017202,99dbfe40-a90a-4d69-bd60-a22a1deb4b05,,personal,e3bbbb35-44e6-475b-8c6d-3606a8c84ee4,2021/11/01,民宿　堀井,民宿堀井,
多嶋　義和,石川県,七尾市青山町い４１,七尾市青山町い４１,,0767-57-0039,みそ又はしょうゆ製造業,,多嶋義和,,,,2021.11.1,2021.11.1,新規,第64210171号,,219,多嶋　義和,0767,0767-57-0039,,,,石川県　七尾市青山町い４１,石川県七尾市青山町い４１,,94980,17,17202,青山町,,2021/11/01,2021/11/01,,,,多嶋義和 ,,,,,,,,,第64210171号,新規,みそ製造業,,,,217-220_石川県_石川県一括_食品衛生(許可)_2021年09月-2022年01月_末日_新規、廃止(6)‗能登中部,E,9,,,多嶋義和0767-57-00399498017202,cef40f77-f5d4-488b-b49b-64cf4eed67e6,,personal,e9685e2d-e1c6-4419-a0a4-7641449c9927,2021/11/01,多嶋　義和,多嶋義和,
花ごよみ,石川県,七尾市和倉町カ部１３番地,七尾市和倉町カ部１３番地,,0767-62-2083,飲食店営業,,有限会社　花ごよみ,北村金次,七尾市和倉町カ部１３番地,0767-62-2083,2021.11.1,2021.11.1,新規,第64210172号,,219,花ごよみ,0767,0767-62-2083,,,,石川県　七尾市和倉町カ部１３番地,石川県七尾市和倉町カ部１３番地,,95091,17,17202,和倉町,,2021/11/01,2021/11/01,,,有限会社　花ごよみ,北村金次,0767-62-2083,七尾市和倉町カ部１３番地,石川県七尾市和倉町カ部１３番地,,95091,石川県,七尾市,和倉町,第64210172号,新規,飲食店営業,,,,217-220_石川県_石川県一括_食品衛生(許可)_2021年09月-2022年01月_末日_新規、廃止(6)‗能登中部,M,76,,,花ごよみ0767-62-20839509117202,e08fc5b7-d377-4a90-821f-7eb89c808f43,有限会社花ごよみ95091,b9c0b774-cb6e-41da-94fc-6a87fe1957cf,18be2fe7-6fd0-4e56-8046-9cbe9bde1151,2021/11/01,花ごよみ,花ごよみ,有限会社花ごよみ
花ごよみ　スナックエリーゼ,石川県,七尾市和倉町カ部１３番地,七尾市和倉町カ部１３番地,,0767-62-2083,飲食店営業,,有限会社　花ごよみ,北村金次,七尾市和倉町カ部１３番地,0767-62-2083,2021.11.1,2021.11.1,新規,第64210173号,,219,花ごよみ　スナックエリーゼ,0767,0767-62-2083,,,,石川県　七尾市和倉町カ部１３番地,石川県七尾市和倉町カ部１３番地,,95091,17,17202,和倉町,,2021/11/01,2021/11/01,,,有限会社　花ごよみ,北村金次,0767-62-2083,七尾市和倉町カ部１３番地,石川県七尾市和倉町カ部１３番地,,95091,石川県,七尾市,和倉町,第64210173号,新規,飲食店営業,,,,217-220_石川県_石川県一括_食品衛生(許可)_2021年09月-2022年01月_末日_新規、廃止(6)‗能登中部,M,76,,,花ごよみスナックエリゼ0767-62-20839509117202,8b8109a3-d9df-4c77-a574-e6f5c62afe59,有限会社花ごよみ95091,b9c0b774-cb6e-41da-94fc-6a87fe1957cf,d8821cc9-9101-4a49-abeb-6e1be1110f36,2021/11/01,花ごよみ　スナックエリーゼ,花ごよみスナックエリゼ,有限会社花ごよみ
株式会社中島ストアー,石川県,七尾市矢田新町ホ部４９番地,七尾市矢田新町ホ部４９番地,,0767-53-0988,飲食店営業,,株式会社中島ストアー,中島忠重,七尾市矢田新町ホ部４９番地,0767-53-0988,2021.11.1,2021.11.1,新規,第64210174号,,219,株式会社中島ストアー,0767,0767-53-0988,,,,石川県　七尾市矢田新町ホ部４９番地,石川県七尾市矢田新町ホ部４９番地,,95084,17,17202,矢田新町,,2021/11/01,2021/11/01,,,株式会社中島ストアー,中島忠重,0767-53-0988,七尾市矢田新町ホ部４９番地,石川県七尾市矢田新町ホ部４９番地,,95084,石川県,七尾市,矢田新町,第64210174号,新規,飲食店営業,,,,217-220_石川県_石川県一括_食品衛生(許可)_2021年09月-2022年01月_末日_新規、廃止(6)‗能登中部,M,76,,,株式会社中島ストア0767-53-09889508417202,82bb39eb-78cb-40c9-9723-b08bc438ff9f,株式会社中島ストアー95084,56a9471d-781f-4af4-bd7b-19b506d09741,9cb9107b-9457-4841-b9f6-60bbf5be6366,2021/11/01,株式会社中島ストアー,株式会社中島ストア,株式会社中島ストアー
株式会社中島ストアー,石川県,七尾市矢田新町ホ部４９番地,七尾市矢田新町ホ部４９番地,,0767-53-0988,魚介類販売業,,株式会社中島ストアー,中島忠重,七尾市矢田新町ホ部４９番地,0767-53-0988,2021.11.1,2021.11.1,新規,第64210175号,,219,株式会社中島ストアー,0767,0767-53-0988,,,,石川県　七尾市矢田新町ホ部４９番地,石川県七尾市矢田新町ホ部４９番地,,95084,17,17202,矢田新町,,2021/11/01,2021/11/01,,,株式会社中島ストアー,中島忠重,0767-53-0988,七尾市矢田新町ホ部４９番地,石川県七尾市矢田新町ホ部４９番地,,95084,石川県,七尾市,矢田新町,第64210175号,新規,魚介類販売業,,,,217-220_石川県_石川県一括_食品衛生(許可)_2021年09月-2022年01月_末日_新規、廃止(6)‗能登中部,I,58,,,株式会社中島ストア0767-53-09889508417202,82bb39eb-78cb-40c9-9723-b08bc438ff9f,株式会社中島ストアー95084,56a9471d-781f-4af4-bd7b-19b506d09741,320a7b2a-cebc-4727-8712-fdfe81bd9706,2021/11/01,株式会社中島ストアー,株式会社中島ストア,株式会社中島ストアー
SUN　DOG　うらべ,石川県,鹿島郡中能登町井田と１－１アル・プラザ鹿島内,鹿島郡中能登町井田と１－１,アル・プラザ鹿島内,0767-76-2308,菓子製造業,,卜部製パン株式会社,卜部由剛,鹿島郡中能登町黒氏１１部５－１,0767-74-0316,2021.11.1,2021.11.1,新規,第64210176号,,219,SUN　DOG　うらべ,0767,0767-76-2308,,,,石川県　鹿島郡中能登町井田と１－１,石川県鹿島郡中能登町井田と１－１,アル・プラザ鹿島内,96967,17,17407,井田,,2021/11/01,2021/11/01,,,卜部製パン株式会社,卜部由剛,0767-74-0316,鹿島郡中能登町黒氏１１部５－１,石川県鹿島郡中能登町黒氏１１部５－１,,96978,石川県,鹿島郡中能登町,黒氏,第64210176号,新規,菓子製造業,,,,217-220_石川県_石川県一括_食品衛生(許可)_2021年09月-2022年01月_末日_新規、廃止(6)‗能登中部,E,9,,,ＳＵＮＤＯＧうらべ0767-76-23089696717407,152f738f-30fd-4451-9af9-5e3a80b33547,卜部製パン株式会社96978,80fd9565-348f-47e7-bb37-380ece8cd390,b12d83b1-b9cf-4031-93da-972cf4b0ac2b,2021/11/01,ＳＵＮ　ＤＯＧ　うらべ,ＳＵＮＤＯＧうらべ,卜部製パン株式会社
株式会社　平和堂　アル・プラザ鹿島　精肉作業室,石川県,鹿島郡中能登町井田と１－１,鹿島郡中能登町井田と１－１,,0767-76-2211,食肉販売業,,株式会社　平和堂,平松正嗣,滋賀県彦根市西今町1番地,0749-23-3111,2021.11.1,2021.11.1,新規,第64210177号,,219,株式会社　平和堂　アル・プラザ鹿島　精肉作業室,0767,0767-76-2211,,,,石川県　鹿島郡中能登町井田と１－１,石川県鹿島郡中能登町井田と１－１,,96967,17,17407,井田,,2021/11/01,2021/11/01,,,株式会社　平和堂,平松正嗣,0749-23-3111,滋賀県彦根市西今町1番地,滋賀県彦根市西今町１番地,,138613,滋賀県,彦根市,西今町,第64210177号,新規,食肉販売業,,,,217-220_石川県_石川県一括_食品衛生(許可)_2021年09月-2022年01月_末日_新規、廃止(6)‗能登中部,I,58,583,,株式会社平和堂アルプラザ鹿島精肉作業室0767-76-22119696717407,762f6bb8-0aab-466e-a868-c4107648eaa8,株式会社平和堂138613,e7584165-f580-4abc-be41-a6e9f3d5c916,f72fc209-65ff-4dc7-83c6-446c6f2a0cf1,2021/11/01,株式会社平和堂　アル・プラザ鹿島　精肉作業室,株式会社平和堂アルプラザ鹿島精肉作業室,株式会社平和堂
