https://docs.google.com/spreadsheets/d/1Qy3el1DFIpxtm3-VIAdZlBmEHual1CU39oB_urGxiyI/edit#gid=508940504,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
181,n処理終了,,,,,,,,,,d08_import_license_datas,完了,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
施設名,施設-住所0,施設-住所1,施設-マンション名,申請者1,業種,施設-電話番号1,申請-電話番号1,確認番号,許可年月日,開業年月日,ここまで,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
施設の名称,施設所在地,,,営業者氏名,営業の種類,施設電話番号,営業者電話番号,許可番号,許可年月日,初回許可日,,管轄保健所,名称,市外局番,電話番号,施設の郵便番号,緯度,経度,施設の住所（元住所）,施設の住所（整備）,施設マンション名,施設-住所コード,施設-都道府県,施設-郡・政令市・市区町村名,施設-大字名・字名,申請年月日,開業年月日,許可年月日,許可期間開始日,許可期間終了日,申請法人,申請者氏名(個人名),申請者（開設者）の電話番号,申請者の住所（元住所）,申請者の住所（整備）,申請マンション名,申請-住所コード,申請-都道府県,申請-郡・政令市・市区町村名,申請-大字名・字名,確認番号,申請区分,業種,業態,その他,法人番号,シート名,産業分類大,産業分類中,産業分類小,産業分類詳細,facility_idを識別するための文字列,店舗コード,company_idを識別するための文字列,法人コード,ライセンスコード,検索用日付,整備名称,整備名称2,整備申請法人
Ｏｓｔｅｒｉａ　Ｏｒｔｉｇｉａ,中央区京橋３丁目４番１号  ＴＭ銀座ビル地下１階,中央区京橋３丁目４番１号, ＴＭ銀座ビル地下１階,有限会社Ｆｏｎｔａｎａ　Ａｒｅｔｕｓａ,飲食店営業,3516-6842,3516-6842,3中保生食ほ第1459号,2021/12/1,2021/12/1,,181,Ｏｓｔｅｒｉａ　Ｏｒｔｉｇｉａ,03,03-3516-6842,,,,中央区京橋３丁目４番１号,東京都中央区京橋３丁目４番１号, ＴＭ銀座ビル地下１階,72952,13,13102,京橋３,,2021/12/01,2021/12/01,,,有限会社Ｆｏｎｔａｎａ　Ａｒｅｔｕｓａ,,03-3516-6842,,,,,,,,3中保生食ほ第1459号,,飲食店営業,,,,181_東京都_中央区保健所_食品衛生(許可-届出)_2021年11月-2021年12月_末日_新規、廃止(1),M,76,,,ＯｓｔｅｒｉａＯｒｔｉｇｉａ03-3516-68427295213102,88469fe0-bf20-48df-8837-c827521e16c5,有限会社Ｆｏｎｔａｎａ　Ａｒｅｔｕｓａ,b8b2b99b-6715-4a1f-a869-d60a330001da,743d89ca-8807-4b46-a7d8-46e180a1ddaf,2021/12/01,Ｏｓｔｅｒｉａ　Ｏｒｔｉｇｉａ,ＯｓｔｅｒｉａＯｒｔｉｇｉａ,有限会社Ｆｏｎｔａｎａ　Ａｒｅｔｕｓａ
Ｇｉｎｚａ－ｎｏｚａｋｉ,中央区銀座１丁目１４番１４号  吉電ビル７階,中央区銀座１丁目１４番１４号, 吉電ビル７階,野崎　宣嘉,飲食店営業,3562-1213,,3中保生食ほ第1854号,2021/12/7,2021/12/7,,181,Ｇｉｎｚａ－ｎｏｚａｋｉ,03,03-3562-1213,,,,中央区銀座１丁目１４番１４号,東京都中央区銀座１丁目１４番１４号, 吉電ビル７階,72953,13,13102,銀座１,,2021/12/07,2021/12/07,,,,野崎　宣嘉,,,,,,,,,3中保生食ほ第1854号,,飲食店営業,,,,181_東京都_中央区保健所_食品衛生(許可-届出)_2021年11月-2021年12月_末日_新規、廃止(1),M,76,,,Ｇｉｎｚａｎｏｚａｋｉ03-3562-12137295313102,f971891c-fe1b-4b50-9d52-ec7c748cb3b9,,personal,753dddc2-ef2b-4b08-b27a-32bb77083f19,2021/12/07,Ｇｉｎｚａ－ｎｏｚａｋｉ,Ｇｉｎｚａｎｏｚａｋｉ,
カフェ・ベローチェ銀座一丁目店,中央区銀座１丁目１９番１４号  ホーメスト木箱銀座ビル１階,中央区銀座１丁目１９番１４号, ホーメスト木箱銀座ビル１階,Ｃ－Ｕｎｉｔｅｄ株式会社,飲食店営業,3562-0220,6432-0084,3中保生食ほ第2003号,2021/12/20,2021/12/20,,181,カフェ・ベローチェ銀座一丁目店,03,03-3562-0220,,,,中央区銀座１丁目１９番１４号,東京都中央区銀座１丁目１９番１４号, ホーメスト木箱銀座ビル１階,72953,13,13102,銀座１,,2021/12/20,2021/12/20,,,Ｃ－Ｕｎｉｔｅｄ株式会社,,03-6432-0084,,,,,,,,3中保生食ほ第2003号,,飲食店営業,,,,181_東京都_中央区保健所_食品衛生(許可-届出)_2021年11月-2021年12月_末日_新規、廃止(1),M,76,,,カフェベロチェ銀座一丁目店03-3562-02207295313102,694e4913-3609-4fe9-9cea-194b7eef21f0,Ｃ－Ｕｎｉｔｅｄ株式会社,5dd1b877-7bab-45cf-87e0-c3ed3bea7841,f8a9796b-cd78-4da7-8a97-75222ac3445d,2021/12/20,カフェ・ベローチェ銀座一丁目店,カフェベロチェ銀座一丁目店,Ｃ－Ｕｎｉｔｅｄ株式会社
株式会社松屋Ｂ１　聘珍樓,中央区銀座３丁目６番１号  （株）松屋地下１階,中央区銀座３丁目６番１号 ,（株）松屋地下１階,株式会社松屋,飲食店営業,3566-2248,3566-2248,3中保生食ほ第1959号,2021/12/8,2021/12/8,,181,株式会社松屋Ｂ１　聘珍樓,03,03-3566-2248,,,,中央区銀座３丁目６番１号 ,東京都中央区銀座３丁目６番１号,（株）松屋地下１階,72955,13,13102,銀座３,,2021/12/08,2021/12/08,,,株式会社松屋,,03-3566-2248,,,,,,,,3中保生食ほ第1959号,,飲食店営業,,,,181_東京都_中央区保健所_食品衛生(許可-届出)_2021年11月-2021年12月_末日_新規、廃止(1),M,76,,,株式会社松屋Ｂ１聘珍樓03-3566-22487295513102,d2b42db1-b150-4cbf-b8e3-c65ad45733dc,株式会社松屋,6ee0849d-c16d-498f-88f9-3af990c64fc3,8f64c4c4-b20d-4475-b40b-1dbfc16621e4,2021/12/08,株式会社松屋Ｂ１　聘珍樓,株式会社松屋Ｂ１聘珍樓,株式会社松屋
鮨　めぐり,中央区銀座３丁目１２番６号  銀座三丁目店舗　２階,中央区銀座３丁目１２番６号,銀座３丁目店舗 ２階,芦原　淳二,飲食店営業,4362-9224,,3中保生食ほ第1997号,2021/12/20,2021/12/20,,181,鮨　めぐり,03,03-4362-9224,,,,中央区銀座３丁目１２番６号,東京都中央区銀座３丁目１２番６号,銀座３丁目店舗 ２階,72955,13,13102,銀座３,,2021/12/20,2021/12/20,,,,芦原　淳二,,,,,,,,,3中保生食ほ第1997号,,飲食店営業,,,,181_東京都_中央区保健所_食品衛生(許可-届出)_2021年11月-2021年12月_末日_新規、廃止(1),M,76,,,鮨めぐり03-4362-92247295513102,b216877e-eb5e-4d82-a544-3fa5126a8747,,personal,36d6880f-e37a-4c5d-871a-a6cba6e1280f,2021/12/20,鮨　めぐり,鮨めぐり,
炭火焙煎珈琲・凛,中央区銀座４丁目４番５号  銀座ハタビル２Ｆ,中央区銀座４丁目４番５号, 銀座ハタビル２Ｆ,有限会社日東計装,飲食店営業,5250-4677,043-287-3077,3中保生食ほ第1831号,2021/12/8,2021/12/8,,181,炭火焙煎珈琲・凛,03,03-5250-4677,,,,中央区銀座４丁目４番５号,東京都中央区銀座４丁目４番５号, 銀座ハタビル２Ｆ,72956,13,13102,銀座４,,2021/12/08,2021/12/08,,,有限会社日東計装,,043-287-3077,,,,,,,,3中保生食ほ第1831号,,飲食店営業,,,,181_東京都_中央区保健所_食品衛生(許可-届出)_2021年11月-2021年12月_末日_新規、廃止(1),M,76,,,炭火焙煎珈琲凛03-5250-46777295613102,498852e5-8f77-483d-93bb-041739b19ce5,有限会社日東計装,b5b8caff-e926-4c90-a268-e4d44610162d,9a19815e-a892-4205-addc-d97b1801468d,2021/12/08,炭火焙煎珈琲・凛,炭火焙煎珈琲凛,有限会社日東計装
和光アトリエⅠ,中央区銀座４丁目４番８号  浜一和光ビル３階,中央区銀座４丁目４番８号, 浜一和光ビル３階,株式会社和光,菓子製造業,3535-3088,3562-2111,3中保生食ほ第1971号,2021/12/13,2021/12/13,,181,和光アトリエⅠ,03,03-3535-3088,,,,中央区銀座４丁目４番８号,東京都中央区銀座４丁目４番８号, 浜一和光ビル３階,72956,13,13102,銀座４,,2021/12/13,2021/12/13,,,株式会社和光,,03-3562-2111,,,,,,,,3中保生食ほ第1971号,,菓子製造業,,,,181_東京都_中央区保健所_食品衛生(許可-届出)_2021年11月-2021年12月_末日_新規、廃止(1),E,9,,,和光アトリエⅠ03-3535-30887295613102,684ec990-ad6c-450f-b593-0610eb0f78ed,株式会社和光,74cef786-6595-4e4b-a9e3-6ef6f3555023,57183b5a-0c12-4cb9-b8f9-698a19969642,2021/12/13,和光アトリエⅠ,和光アトリエⅠ,株式会社和光
和光アトリエⅠ,中央区銀座４丁目４番８号  浜一和光ビル３階,中央区銀座４丁目４番８号, 浜一和光ビル３階,株式会社和光,アイスクリーム類製造業,3535-3088,3562-2111,3中保生食ほ第1972号,2021/12/13,2021/12/13,,181,和光アトリエⅠ,03,03-3535-3088,,,,中央区銀座４丁目４番８号,東京都中央区銀座４丁目４番８号, 浜一和光ビル３階,72956,13,13102,銀座４,,2021/12/13,2021/12/13,,,株式会社和光,,03-3562-2111,,,,,,,,3中保生食ほ第1972号,,アイスクリーム類製造業,,,,181_東京都_中央区保健所_食品衛生(許可-届出)_2021年11月-2021年12月_末日_新規、廃止(1),E,9,,,和光アトリエⅠ03-3535-30887295613102,684ec990-ad6c-450f-b593-0610eb0f78ed,株式会社和光,74cef786-6595-4e4b-a9e3-6ef6f3555023,1bea3663-92cb-4bae-9f38-0b5f6bded3b2,2021/12/13,和光アトリエⅠ,和光アトリエⅠ,株式会社和光
叙々苑　銀座三越店,中央区銀座４丁目６番１６号  銀座三越　１１階,中央区銀座４丁目６番１６号,銀座三越 １１階,株式会社叙々苑,飲食店営業,3538-1289,3423-2646,3中保生食ほ第1729号,2021/12/3,2021/12/3,,181,叙々苑　銀座三越店,03,03-3538-1289,,,,中央区銀座４丁目６番１６号,東京都中央区銀座４丁目６番１６号,銀座三越 １１階,72956,13,13102,銀座４,,2021/12/03,2021/12/03,,,株式会社叙々苑,,03-3423-2646,,,,,,,,3中保生食ほ第1729号,,飲食店営業,,,,181_東京都_中央区保健所_食品衛生(許可-届出)_2021年11月-2021年12月_末日_新規、廃止(1),M,76,,,叙苑銀座三越店03-3538-12897295613102,0134e841-1bc4-46c3-a28c-3756b5b9226d,株式会社叙々苑,a4a77f9b-bc52-41b4-a0b9-328de3ee2b0c,f81d685f-9c6e-482d-9e28-e1a1b2d69f1b,2021/12/03,叙々苑　銀座三越店,叙苑銀座三越店,株式会社叙々苑
ｕｌｕ,中央区銀座４丁目１２番１号  ＶＯＲＴ銀座イーストⅡ１２階,中央区銀座４丁目１２番１号, ＶＯＲＴ銀座イーストⅡ１２階,株式会社マツオカ,飲食店営業,,,3中保生食ほ第1909号,2021/12/2,2021/12/2,,181,ｕｌｕ,03,,,,,中央区銀座４丁目１２番１号,東京都中央区銀座４丁目１２番１号, ＶＯＲＴ銀座イーストⅡ１２階,72956,13,13102,銀座４,,2021/12/02,2021/12/02,,,株式会社マツオカ,,,,,,,,,,3中保生食ほ第1909号,,飲食店営業,,,,181_東京都_中央区保健所_食品衛生(許可-届出)_2021年11月-2021年12月_末日_新規、廃止(1),M,76,,,ｕｌｕ7295613102,045b6be8-4960-4608-8435-32195e631b92,株式会社マツオカ,4fd6d927-bf08-47b6-b25e-1058279850bd,91f832e0-2bb4-4aa3-a791-458ce298bba0,2021/12/02,ｕｌｕ,ｕｌｕ,株式会社マツオカ
