（営業施設）","町域
（営業施設）","番地等
（営業施設）",,"マンション名等
（営業施設）","電話番号
（営業施設）",営業の種類,許可番号,初回許可年月日,許可年月日,許可開始日,,管轄保健所,名称,市外局番,電話番号,施設の郵便番号,緯度,経度,施設の住所（元住所）,施設の住所（整備）,施設マンション名,施設-住所コード,施設-都道府県,施設-郡・政令市・市区町村名,施設-大字名・字名,申請年月日,開業年月日,許可年月日,許可期間開始日,許可期間終了日,申請法人,申請者氏名(個人名),申請者（開設者）の電話番号,申請者の住所（元住所）,申請者の住所（整備）,申請マンション名,申請-住所コード,申請-都道府県,申請-郡・政令市・市区町村名,申請-大字名・字名,確認番号,申請区分,業種,業態,その他,法人番号,シート名,産業分類大,産業分類中,産業分類小,産業分類詳細,facility_idを識別するための文字列,店舗コード,company_idを識別するための文字列,法人コード,ライセンスコード,検索用日付,整備名称,整備名称2,整備申請法人
2021/11/12,江崎グリコ株式会社,,江崎勝久,大阪府,大阪市西淀川区,歌島,4丁目6-5,４丁目６－５,,06-6477-8352,オートバックス一宮御坂店    休憩コーナー,,山梨県,笛吹市,一宮町竹原田,１４１７,１４１７,,0553-47-7755,⑫ 自動販売機による販売業（コップ式自動販売機（自動洗浄・屋内設置）及び営業許可の対象となる自動販売機を除く）,,,,,,166,オートバックス一宮御坂店    休憩コーナー,0553,0553-47-7755,,,,山梨県　笛吹市　一宮町竹原田　１４１７,山梨県笛吹市一宮町竹原田１４１７,,100577,19,19211,一宮町竹原田,2021/11/12,,,,,江崎グリコ株式会社, 江崎勝久,06-6477-8352,大阪府　大阪市西淀川区　歌島　４丁目６－５,大阪府大阪市西淀川区歌島４丁目６－５,,154669,大阪府,大阪市西淀川区,歌島４,,,コップ式自動販売機,,,,165-168_山梨県_山梨県一括_食品衛生(許可)_2022年01月まで全件_2022年02月05日現在 ,I,61,612,,オトバックス一宮御坂店休憩コナ0553-47-775510057719211,360586fe-beb9-418f-b2db-7d2bf13ab586,江崎グリコ株式会社154669,9e2b6f06-c99b-443e-9a47-4e504afb4d13,a67bfec1-f23c-4293-84f8-6592de1cbe80,2021/11/12,オートバックス一宮御坂店　休憩コーナー,オトバックス一宮御坂店休憩コナ,江崎グリコ株式会社
2021/11/12,江崎グリコ株式会社,,江崎勝久,大阪府,大阪市西淀川区,歌島,4丁目6-5,４丁目６－５,,06-6477-8352,ＪＲ石和温泉駅待合室外,,山梨県,笛吹市,石和町松本,１７７－１,１７７－１,,,⑫ 自動販売機による販売業（コップ式自動販売機（自動洗浄・屋内設置）及び営業許可の対象となる自動販売機を除く）,,,,,,166,ＪＲ石和温泉駅待合室外,055,,,,,山梨県　笛吹市　石和町松本　１７７－１,山梨県笛吹市石和町松本１７７－１,,100556,19,19211,石和町松本,2021/11/12,,,,,江崎グリコ株式会社, 江崎勝久,06-6477-8352,大阪府　大阪市西淀川区　歌島　４丁目６－５,大阪府大阪市西淀川区歌島４丁目６－５,,154669,大阪府,大阪市西淀川区,歌島４,,,コップ式自動販売機,,,,165-168_山梨県_山梨県一括_食品衛生(許可)_2022年01月まで全件_2022年02月05日現在 ,I,61,612,,ＪＲ石和温泉駅待合室外10055619211,3acb029c-4304-4b17-b78a-40c1f8e7716d,江崎グリコ株式会社154669,9e2b6f06-c99b-443e-9a47-4e504afb4d13,3f43a385-a46f-44f4-9d47-f80c1a189a2a,2021/11/12,ＪＲ石和温泉駅待合室外,ＪＲ石和温泉駅待合室外,江崎グリコ株式会社
2021/11/12,江崎グリコ株式会社,,江崎勝久,大阪府,大阪市西淀川区,歌島,4丁目6-5,４丁目６－５,,06-6477-8352,ＡＢＣ笛吹石和店,,山梨県,笛吹市,石和町松本,６３７番地の１,６３７番地の１,,055-261-2533,⑫ 自動販売機による販売業（コップ式自動販売機（自動洗浄・屋内設置）及び営業許可の対象となる自動販売機を除く）,,,,,,166,ＡＢＣ笛吹石和店,055,055-261-2533,,,,山梨県　笛吹市　石和町松本　６３７番地の１,山梨県笛吹市石和町松本６３７番地ノ１,,100556,19,19211,石和町松本,2021/11/12,,,,,江崎グリコ株式会社, 江崎勝久,06-6477-8352,大阪府　大阪市西淀川区　歌島　４丁目６－５,大阪府大阪市西淀川区歌島４丁目６－５,,154669,大阪府,大阪市西淀川区,歌島４,,,コップ式自動販売機,,,,165-168_山梨県_山梨県一括_食品衛生(許可)_2022年01月まで全件_2022年02月05日現在 ,I,61,612,,ＡＢＣ笛吹石和店055-261-253310055619211,0fe248f1-b156-40a3-a95d-b4e7ce50c36e,江崎グリコ株式会社154669,9e2b6f06-c99b-443e-9a47-4e504afb4d13,c1ecd0d6-72dd-497e-9492-3d11b93bf92b,2021/11/12,ＡＢＣ笛吹石和店,ＡＢＣ笛吹石和店,江崎グリコ株式会社
2021/11/12,江崎グリコ株式会社,,江崎勝久,大阪府,大阪市西淀川区,歌島,4丁目6-5,４丁目６－５,,06-6477-8352,ほったらかし温泉キャンプ場,,山梨県,山梨市,矢坪,１６６９－ １８,１６６９－１８,,0553-23-1526,⑫ 自動販売機による販売業（コップ式自動販売機（自動洗浄・屋内設置）及び営業許可の対象となる自動販売機を除く）,,,,,,166,ほったらかし温泉キャンプ場,0553,0553-23-1526,,,,山梨県　山梨市　矢坪　１６６９－１８,山梨県山梨市矢坪１６６９－１８,,100232,19,19205,矢坪,2021/11/12,,,,,江崎グリコ株式会社, 江崎勝久,06-6477-8352,大阪府　大阪市西淀川区　歌島　４丁目６－５,大阪府大阪市西淀川区歌島４丁目６－５,,154669,大阪府,大阪市西淀川区,歌島４,,,コップ式自動販売機,,,,165-168_山梨県_山梨県一括_食品衛生(許可)_2022年01月まで全件_2022年02月05日現在 ,I,61,612,,ほったらかし温泉キャンプ場0553-23-152610023219205,d52954f8-7806-4092-9d25-62efff150c0a,江崎グリコ株式会社154669,9e2b6f06-c99b-443e-9a47-4e504afb4d13,801e88eb-b80b-4c9c-b561-f56fa3793e36,2021/11/12,ほったらかし温泉キャンプ場,ほったらかし温泉キャンプ場,江崎グリコ株式会社
2021/11/12,江崎グリコ株式会社,,江崎勝久,大阪府,大阪市西淀川区,歌島,4丁目6-5,４丁目６－５,,06-6477-8352,石和健康ランド２Ｆ,,山梨県,笛吹市,石和町松本,８６８,８６８,,0552-63-7111,⑫ 自動販売機による販売業（コップ式自動販売機（自動洗浄・屋内設置）及び営業許可の対象となる自動販売機を除く）,,,,,,166,石和健康ランド２Ｆ,055,0552-63-7111,,,,山梨県　笛吹市　石和町松本　８６８,山梨県笛吹市石和町松本８６８,,100556,19,19211,石和町松本,2021/11/12,,,,,江崎グリコ株式会社, 江崎勝久,06-6477-8352,大阪府　大阪市西淀川区　歌島　４丁目６－５,大阪府大阪市西淀川区歌島４丁目６－５,,154669,大阪府,大阪市西淀川区,歌島４,,,コップ式自動販売機,,,,165-168_山梨県_山梨県一括_食品衛生(許可)_2022年01月まで全件_2022年02月05日現在 ,I,61,612,,石和健康ランド２Ｆ0552-63-711110055619211,d8c3eb7c-eeb4-443c-b3e7-cc2566a94b10,江崎グリコ株式会社154669,9e2b6f06-c99b-443e-9a47-4e504afb4d13,5d8c8229-f0f1-4d6c-a105-31d28f8b8dc2,2021/11/12,石和健康ランド２Ｆ,石和健康ランド２Ｆ,江崎グリコ株式会社
2021/11/12,江崎グリコ株式会社,,江崎勝久,大阪府,大阪市西淀川区,歌島,4丁目6-5,４丁目６－５,,06-6477-8352,金川の森公園,,山梨県,笛吹市,一宮町国分,１１６２－ １,１１６２－１,,0553-47-2805,⑫ 自動販売機による販売業（コップ式自動販売機（自動洗浄・屋内設置）及び営業許可の対象となる自動販売機を除く）,,,,,,166,金川の森公園,0553,0553-47-2805,,,,山梨県　笛吹市　一宮町国分　１１６２－１,山梨県笛吹市一宮町国分１１６２－１,,100570,19,19211,一宮町国分,2021/11/12,,,,,江崎グリコ株式会社, 江崎勝久,06-6477-8352,大阪府　大阪市西淀川区　歌島　４丁目６－５,大阪府大阪市西淀川区歌島４丁目６－５,,154669,大阪府,大阪市西淀川区,歌島４,,,コップ式自動販売機,,,,165-168_山梨県_山梨県一括_食品衛生(許可)_2022年01月まで全件_2022年02月05日現在 ,I,61,612,,金川の森公園0553-47-280510057019211,207c5ba7-1071-4f7a-b1d6-b66df346ab8a,江崎グリコ株式会社154669,9e2b6f06-c99b-443e-9a47-4e504afb4d13,f6c774b6-094c-4cc9-99c4-b572e1e0cd8f,2021/11/12,金川の森公園,金川の森公園,江崎グリコ株式会社
2021/11/12,株式会社丸八青果,,西村誠二,埼玉県,川越市,大字大袋,650,６５０,,049-292-1400,丸八青果富士川店,,山梨県,南巨摩郡富士川町,天神中條,1040,１０４０,サンマル シェふじかわ店内,0556-42-7205,⑦ 野菜果物販売業,,,,,,167,丸八青果富士川店,0556,0556-42-7205,,,,山梨県　南巨摩郡富士川町　天神中條　１０４０,山梨県南巨摩郡富士川町天神中条１０４０,サンマル シェふじかわ店内,100898,19,19368,天神中条,2021/11/12,,,,,株式会社丸八青果, 西村誠二,049-292-1400,埼玉県　川越市　大字大袋　６５０,埼玉県川越市大袋６５０,,62223,埼玉県,川越市,大袋,,,野菜果物販売業,,,,165-168_山梨県_山梨県一括_食品衛生(許可)_2022年01月まで全件_2022年02月05日現在 ,I,58,582,,丸八青果富士川店0556-42-720510089819368,01a520c8-c886-439b-a78f-0376e2ebf480,株式会社丸八青果62223,918ca277-baa6-4ea9-8344-23a1fbb274b1,9a146b6d-cd66-485c-869f-4b2d400a388b,2021/11/12,丸八青果富士川店,丸八青果富士川店,株式会社丸八青果
2021/11/12,株式会社丸八青果,,西村誠二,埼玉県,川越市,大字大袋,650,６５０,,049-292-1400,丸八青果富士川店,,山梨県,南巨摩郡富士川町,天神中條,1040,１０４０,サンマル シェふじかわ店内,0556-42-7205,⑬ その他の食料・飲料販売業,,,,,,167,丸八青果富士川店,0556,0556-42-7205,,,,山梨県　南巨摩郡富士川町　天神中條　１０４０,山梨県南巨摩郡富士川町天神中条１０４０,サンマル シェふじかわ店内,100898,19,19368,天神中条,2021/11/12,,,,,株式会社丸八青果, 西村誠二,049-292-1400,埼玉県　川越市　大字大袋　６５０,埼玉県川越市大袋６５０,,62223,埼玉県,川越市,大袋,,,食料品販売業,,,,165-168_山梨県_山梨県一括_食品衛生(許可)_2022年01月まで全件_2022年02月05日現在 ,A,58,581,5811,丸八青果富士川店0556-42-720510089819368,01a520c8-c886-439b-a78f-0376e2ebf480,株式会社丸八青果62223,918ca277-baa6-4ea9-8344-23a1fbb274b1,32278423-fb80-4fc2-b9af-31613705fe6f,2021/11/12,丸八青果富士川店,丸八青果富士川店,株式会社丸八青果
2021/11/12,江崎グリコ株式会社,,江崎勝久,大阪府,大阪市西淀川区,歌島,4丁目6-5,４丁目６－５,,06-6477-8352,はんのき食堂,,山梨県,南都留郡忍野村,忍草,２６５,２６５,,0555-84-2587,⑫ 自動販売機による販売業（コップ式自動販売機（自動洗浄・屋内設置）及び営業許可の対象となる自動販売機を除く）,,,,,,168,はんのき食堂,0555,0555-84-2587,,,,山梨県　南都留郡忍野村　忍草　２６５,山梨県南都留郡忍野村忍草２６５,,100920,19,19424,忍草,2021/11/12,,,,,江崎グリコ株式会社, 江崎勝久,06-6477-8352,大阪府　大阪市西淀川区　歌島　４丁目６－５,大阪府大阪市西淀川区歌島４丁目６－５,,154669,大阪府,大阪市西淀川区,歌島４,,,コップ式自動販売機,,,,165-168_山梨県_山梨県一括_食品衛生(許可)_2022年01月まで全件_2022年02月05日現在 ,I,61,612,,はんのき食堂0555-84-258710092019424,661a58fb-f947-4e2b-a0db-f43d0dfdba10,江崎グリコ株式会社154669,9e2b6f06-c99b-443e-9a47-4e504afb4d13,afe3dab5-321a-4738-982b-849fd4a8bd2a,2021/11/12,はんのき食堂,はんのき食堂,江崎グリコ株式会社
2021/11/12,江崎グリコ株式会社,,江崎勝久,大阪府,大阪市西淀川区,歌島,4丁目6-5,４丁目６－５,,06-6477-8352,新湯治場    秋山温泉外自販機コーナー（シダック）,,山梨県,上野原市,秋山,２２１０,２２１０,,0554-56-2611,⑫ 自動販売機による販売業（コップ式自動販売機（自動洗浄・屋内設置）及び営業許可の対象となる自動販売機を除く）,,,,,,168,新湯治場    秋山温泉外自販機コーナー（シダック）,0554,0554-56-2611,,,,山梨県　上野原市　秋山　２２１０,山梨県上野原市秋山２２１０,,100640,19,19212,秋山,2021/11/12,,,,,江崎グリコ株式会社, 江崎勝久,06-6477-8352,大阪府　大阪市西淀川区　歌島　４丁目６－５,大阪府大阪市西淀川区歌島４丁目６－５,,154669,大阪府,大阪市西淀川区,歌島４,,,コップ式自動販売機,,,,165-168_山梨県_山梨県一括_食品衛生(許可)_2022年01月まで全件_2022年02月05日現在 ,I,61,612,,新湯治場秋山温泉外自販機コナシダック0554-56-261110064019212,132b590f-5ae4-4cd8-a554-ec555437c90d,江崎グリコ株式会社154669,9e2b6f06-c99b-443e-9a47-4e504afb4d13,d0d5c666-9c2d-48ab-b8a9-f1f3a5364a1f,2021/11/12,新湯治場　秋山温泉外自販機コーナー（シダック）,新湯治場秋山温泉外自販機コナシダック,江崎グリコ株式会社
2021/11/12,江崎グリコ株式会社,,江崎勝久,大阪府,大阪市西淀川区,歌島,4丁目6-5,４丁目６－５,,06-6477-8352,道の駅かつやま,,山梨県,南都留郡富士河口湖町,勝山,３７５８－ １,３７５８－１,,0555-72-5633,⑫ 自動販売機による販売業（コップ式自動販売機（自動洗浄・屋内設置）及び営業許可の対象となる自動販売機を除く）,,,,,,168,道の駅かつやま,0555,0555-72-5633,,,,山梨県　南都留郡富士河口湖町　勝山　３７５８－１,山梨県南都留郡富士河口湖町勝山３７５８－１,,100937,19,19430,勝山,2021/11/12,,,,,江崎グリコ株式会社, 江崎勝久,06-6477-8352,大阪府　大阪市西淀川区　歌島　４丁目６－５,大阪府大阪市西淀川区歌島４丁目６－５,,154669,大阪府,大阪市西淀川区,歌島４,,,コップ式自動販売機,,,,165-168_山梨県_山梨県一括_食品衛生(許可)_2022年01月まで全件_2022年02月05日現在 ,I,61,612,,道の駅かつやま0555-72-563310093719430,31bc3978-13c3-49c5-aef9-0ef3e47e0c4e,江崎グリコ株式会社154669,9e2b6f06-c99b-443e-9a47-4e504afb4d13,9dce9ca1-a597-46a4-8e14-2abe64a99b22,2021/11/12,道の駅かつやま,道の駅かつやま,江崎グリコ株式会社
2021/11/12,江崎グリコ株式会社,,江崎勝久,大阪府,大阪市西淀川区,歌島,4丁目6-5,４丁目６－５,,06-6477-8352,西湖いやしの里根場駐車場自販機コー ナー,,山梨県,南都留郡富士河口湖町,西湖根場,２７１０,２７１０,,0555-82-2050,⑫ 自動販売機による販売業（コップ式自動販売機（自動洗浄・屋内設置）及び営業許可の対象となる自動販売機を除く）,,,,,,168,西湖いやしの里根場駐車場自販機コー ナー,0555,0555-82-2050,,,,山梨県　南都留郡富士河口湖町　西湖根場　２７１０,山梨県南都留郡富士河口湖町西湖根場２７１０,,100938,19,19430,西湖,2021/11/12,,,,,江崎グリコ株式会社, 江崎勝久,06-6477-8352,大阪府　大阪市西淀川区　歌島　４丁目６－５,大阪府大阪市西淀川区歌島４丁目６－５,,154669,大阪府,大阪市西淀川区,歌島４,,,コップ式自動販売機,,,,165-168_山梨県_山梨県一括_食品衛生(許可)_2022年01月まで全件_2022年02月05日現在 ,I,61,612,,西湖いやしの里根場駐車場自販機コナ0555-82-205010093819430,22f45b26-467e-478a-a639-28559eafe813,江崎グリコ株式会社154669,9e2b6f06-c99b-443e-9a47-4e504afb4d13,eb3c7216-8110-4c9d-8250-969ce7ee3a00,2021/11/12,西湖いやしの里根場駐車場自販機コー　ナー,西湖いやしの里根場駐車場自販機コナ,江崎グリコ株式会社
2021/11/12,江崎グリコ株式会社,,江崎勝久,大阪府,大阪市西淀川区,歌島,4丁目6-5,４丁目６－５,,06-6477-8352,富士急ハイランドレッドタワー横,,山梨県,富士吉田市,新西原,５－６－１,５－６－１,,0555-23-2111,⑫ 自動販売機による販売業（コップ式自動販売機（自動洗浄・屋内設置）及び営業許可の対象となる自動販売機を除く）,,,,,,168,富士急ハイランドレッドタワー横,0555,0555-23-2111,,,,山梨県　富士吉田市　新西原　５－６－１,山梨県富士吉田市新西原５－６－１,,100102,19,19202,新西原５,2021/11/12,,,,,江崎グリコ株式会社, 江崎勝久,06-6477-8352,大阪府　大阪市西淀川区　歌島　４丁目６－５,大阪府大阪市西淀川区歌島４丁目６－５,,154669,大阪府,大阪市西淀川区,歌島４,,,コップ式自動販売機,,,,165-168_山梨県_山梨県一括_食品衛生(許可)_2022年01月まで全件_2022年02月05日現在 ,I,61,612,,富士急ハイランドレッドタワ横0555-23-211110010219202,ae624b77-3bc2-440e-8b36-de252690b139,江崎グリコ株式会社154669,9e2b6f06-c99b-443e-9a47-4e504afb4d13,f80a810a-94ac-4115-8d85-a5544d3fdae7,2021/11/12,富士急ハイランドレッドタワー横,富士急ハイランドレッドタワ横,江崎グリコ株式会社
2021/11/12,江崎グリコ株式会社,,江崎勝久,大阪府,大阪市西淀川区,歌島,4丁目6-5,４丁目６－５,,06-6477-8352,ダイマル富士吉田店（Ｐ店）,,山梨県,富士吉田市,下吉田,４６００,４６００,,0555-20-1507,⑫ 自動販売機による販売業（コップ式自動販売機（自動洗浄・屋内設置）及び営業許可の対象となる自動販売機を除く）,,,,,,168,ダイマル富士吉田店（Ｐ店）,0555,0555-20-1507,,,,山梨県　富士吉田市　下吉田　４６００,山梨県富士吉田市下吉田４６００,,100115,19,19202,下吉田４,2021/11/12,,,,,江崎グリコ株式会社, 江崎勝久,06-6477-8352,大阪府　大阪市西淀川区　歌島　４丁目６－５,大阪府大阪市西淀川区歌島４丁目６－５,,154669,大阪府,大阪市西淀川区,歌島４,,,コップ式自動販売機,,,,165-168_山梨県_山梨県一括_食品衛生(許可)_2022年01月まで全件_2022年02月05日現在 ,I,61,612,,ダイマル富士吉田店Ｐ店0555-20-150710011519202,7b91f03d-628a-49a9-b5b9-05d3fd118b09,江崎グリコ株式会社154669,9e2b6f06-c99b-443e-9a47-4e504afb4d13,31d59e47-8bc1-45af-a0d9-ac8239ba23f0,2021/11/12,ダイマル富士吉田店（Ｐ店）,ダイマル富士吉田店Ｐ店,江崎グリコ株式会社
2021/11/12,江崎グリコ株式会社,,江崎勝久,大阪府,大阪市西淀川区,歌島,4丁目6-5,４丁目６－５,,06-6477-8352,スポーツデポ    フォレストモール富士河口湖店,,山梨県,南都留郡富士河口湖町,小立,４２９１,４２９１,,0555-83-2265,⑫ 自動販売機による販売業（コップ式自動販売機（自動洗浄・屋内設置）及び営業許可の対象となる自動販売機を除く）,,,,,,168,スポーツデポ    フォレストモール富士河口湖店,0555,0555-83-2265,,,,山梨県　南都留郡富士河口湖町　小立　４２９１,山梨県南都留郡富士河口湖町小立４２９１,,100934,19,19430,小立,2021/11/12,,,,,江崎グリコ株式会社, 江崎勝久,06-6477-8352,大阪府　大阪市西淀川区　歌島　４丁目６－５,大阪府大阪市西淀川区歌島４丁目６－５,,154669,大阪府,大阪市西淀川区,歌島４,,,コップ式自動販売機,,,,165-168_山梨県_山梨県一括_食品衛生(許可)_2022年01月まで全件_2022年02月05日現在 ,I,61,612,,スポツデポフォレストモル富士河口湖店0555-83-226510093419430,f2f514e2-38df-49a2-bf77-be89a815c17a,江崎グリコ株式会社154669,9e2b6f06-c99b-443e-9a47-4e504afb4d13,37db9282-4616-48ff-9121-c2cf75c4cf70,2021/11/12,スポーツデポ　フォレストモール富士河口湖店,スポツデポフォレストモル富士河口湖店,江崎グリコ株式会社
2021/11/12,江崎グリコ株式会社,,江崎勝久,大阪府,大阪市西淀川区,歌島,4丁目6-5,４丁目６－５,,06-6477-8352,溶岩温泉（富士山河口湖温泉）,,山梨県,南都留郡富士河口湖町,船津,５２１９,５２１９,,0555-72-2260,⑫ 自動販売機による販売業（コップ式自動販売機（自動洗浄・屋内設置）及び営業許可の対象となる自動販売機を除く）,,,,,,168,溶岩温泉（富士山河口湖温泉）,0555,0555-72-2260,,,,山梨県　南都留郡富士河口湖町　船津　５２１９,山梨県南都留郡富士河口湖町船津５２１９,,100935,19,19430,船津,2021/11/12,,,,,江崎グリコ株式会社, 江崎勝久,06-6477-8352,大阪府　大阪市西淀川区　歌島　４丁目６－５,大阪府大阪市西淀川区歌島４丁目６－５,,154669,大阪府,大阪市西淀川区,歌島４,,,コップ式自動販売機,,,,165-168_山梨県_山梨県一括_食品衛生(許可)_2022年01月まで全件_2022年02月05日現在 ,I,61,612,,溶岩温泉富士山河口湖温泉0555-72-226010093519430,1e308079-fb8d-4a01-b77d-268dda8bb601,江崎グリコ株式会社154669,9e2b6f06-c99b-443e-9a47-4e504afb4d13,16f878e8-b0e2-4060-ab0c-9096a64c8cd2,2021/11/12,溶岩温泉（富士山河口湖温泉）,溶岩温泉富士山河口湖温泉,江崎グリコ株式会社
2021/11/12,江崎グリコ株式会社,,江崎勝久,大阪府,大阪市西淀川区,歌島,4丁目6-5,４丁目６－５,,06-6477-8352,中央道談合坂ＳＡ（上り）自販機コーナー,,山梨県,上野原市,大野,４９４３,４９４３,,0554-66-2111,⑫ 自動販売機による販売業（コップ式自動販売機（自動洗浄・屋内設置）及び営業許可の対象となる自動販売機を除く）,,,,,,168,中央道談合坂ＳＡ（上り）自販機コーナー,0554,0554-66-2111,,,,山梨県　上野原市　大野　４９４３,山梨県上野原市大野４９４３,,100648,19,19212,大野,2021/11/12,,,,,江崎グリコ株式会社, 江崎勝久,06-6477-8352,大阪府　大阪市西淀川区　歌島　４丁目６－５,大阪府大阪市西淀川区歌島４丁目６－５,,154669,大阪府,大阪市西淀川区,歌島４,,,コップ式自動販売機,,,,165-168_山梨県_山梨県一括_食品衛生(許可)_2022年01月まで全件_2022年02月05日現在 ,I,61,612,,中央道談合坂ＳＡ上り自販機コナ0554-66-211110064819212,cb46dc1a-1009-47fd-90e3-fa67c70435ed,江崎グリコ株式会社154669,9e2b6f06-c99b-443e-9a47-4e504afb4d13,a2b08146-230a-40bf-b35c-46473566613a,2021/11/12,中央道談合坂ＳＡ（上り）自販機コーナー,中央道談合坂ＳＡ上り自販機コナ,江崎グリコ株式会社
2021/11/12,江崎グリコ株式会社,,江崎勝久,大阪府,大阪市西淀川区,歌島,4丁目6-5,４丁目６－５,,06-6477-8352,山梨県リニア見学センター,,山梨県,都留市,小形山,２３８１,２３８１,,0554-45-8121,⑫ 自動販売機による販売業（コップ式自動販売機（自動洗浄・屋内設置）及び営業許可の対象となる自動販売機を除く）,,,,,,168,山梨県リニア見学センター,0554,0554-45-8121,,,,山梨県　都留市　小形山　２３８１,山梨県都留市小形山２３８１,,100153,19,19204,小形山,2021/11/12,,,,,江崎グリコ株式会社, 江崎勝久,06-6477-8352,大阪府　大阪市西淀川区　歌島　４丁目６－５,大阪府大阪市西淀川区歌島４丁目６－５,,154669,大阪府,大阪市西淀川区,歌島４,,,コップ式自動販売機,,,,165-168_山梨県_山梨県一括_食品衛生(許可)_2022年01月まで全件_2022年02月05日現在 ,I,61,612,,山梨県リニア見学センタ0554-45-812110015319204,a04a1d8a-26a6-496c-b4d9-fbd8406a0dab,江崎グリコ株式会社154669,9e2b6f06-c99b-443e-9a47-4e504afb4d13,e2e1807c-c142-4f6e-b4c6-441a841a8da3,2021/11/12,山梨県リニア見学センター,山梨県リニア見学センタ,江崎グリコ株式会社
2021/11/12,江崎グリコ株式会社,,江崎勝久,大阪府,大阪市西淀川区,歌島,4丁目6-5,４丁目６－５,,06-6477-8352,カインズホーム都留店,,山梨県,都留市,井倉,４９４－１,４９４－１,,,⑫ 自動販売機による販売業（コップ式自動販売機（自動洗浄・屋内設置）及び営業許可の対象となる自動販売機を除く）,,,,,,168,カインズホーム都留店,0554,,,,,山梨県　都留市　井倉　４９４－１,山梨県都留市井倉４９４－１,,100149,19,19204,井倉,2021/11/12,,,,,江崎グリコ株式会社, 江崎勝久,06-6477-8352,大阪府　大阪市西淀川区　歌島　４丁目６－５,大阪府大阪市西淀川区歌島４丁目６－５,,154669,大阪府,大阪市西淀川区,歌島４,,,コップ式自動販売機,,,,165-168_山梨県_山梨県一括_食品衛生(許可)_2022年01月まで全件_2022年02月05日現在 ,I,61,612,,カインズホム都留店10014919204,d5f3717e-aeaa-40a8-8ce5-16f933643a10,江崎グリコ株式会社154669,9e2b6f06-c99b-443e-9a47-4e504afb4d13,a75886df-c67b-4347-b871-bf953e1188e9,2021/11/12,カインズホーム都留店,カインズホム都留店,江崎グリコ株式会社
2021/11/12,江崎グリコ株式会社,,江崎勝久,大阪府,大阪市西淀川区,歌島,4丁目6-5,４丁目６－５,,06-6477-8352,昭和大学富士吉田 キャンパス新百合寮,,山梨県,富士吉田市,上吉田,４５６２,４５６２,,0555-22-4403,⑫ 自動販売機による販売業（コップ式自動販売機（自動洗浄・屋内設置）及び営業許可の対象となる自動販売機を除く）,,,,,,168,昭和大学富士吉田 キャンパス新百合寮,0555,0555-22-4403,,,,山梨県　富士吉田市　上吉田　４５６２,山梨県富士吉田市上吉田４５６２,,100074,19,19202,上吉田４,2021/11/12,,,,,江崎グリコ株式会社, 江崎勝久,06-6477-8352,大阪府　大阪市西淀川区　歌島　４丁目６－５,大阪府大阪市西淀川区歌島４丁目６－５,,154669,大阪府,大阪市西淀川区,歌島４,,,コップ式自動販売機,,,,165-168_山梨県_山梨県一括_食品衛生(許可)_2022年01月まで全件_2022年02月05日現在 ,I,61,612,,昭和大学富士吉田キャンパス新百合寮0555-22-440310007419202,c7a573ef-d653-421f-bb87-f5c608eba39e,江崎グリコ株式会社154669,9e2b6f06-c99b-443e-9a47-4e504afb4d13,c1f2f545-7062-43e3-bfec-2b0f20fdb389,2021/11/12,昭和大学富士吉田　キャンパス新百合寮,昭和大学富士吉田キャンパス新百合寮,江崎グリコ株式会社
2021/11/12,江崎グリコ株式会社,,江崎勝久,大阪府,大阪市西淀川区,歌島,4丁目6-5,４丁目６－５,,06-6477-8352,昭和大学富士吉田キャンパス白樺寮,,山梨県,富士吉田市,上吉田,４５６２,４５６２,,0555-22-4403,⑫ 自動販売機による販売業（コップ式自動販売機（自動洗浄・屋内設置）及び営業許可の対象となる自動販売機を除く）,,,,,,168,昭和大学富士吉田キャンパス白樺寮,0555,0555-22-4403,,,,山梨県　富士吉田市　上吉田　４５６２,山梨県富士吉田市上吉田４５６２,,100074,19,19202,上吉田４,2021/11/12,,,,,江崎グリコ株式会社, 江崎勝久,06-6477-8352,大阪府　大阪市西淀川区　歌島　４丁目６－５,大阪府大阪市西淀川区歌島４丁目６－５,,154669,大阪府,大阪市西淀川区,歌島４,,,コップ式自動販売機,,,,165-168_山梨県_山梨県一括_食品衛生(許可)_2022年01月まで全件_2022年02月05日現在 ,I,61,612,,昭和大学富士吉田キャンパス白樺寮0555-22-440310007419202,57c6f2f1-a19e-4da8-a014-5e85acc197d7,江崎グリコ株式会社154669,9e2b6f06-c99b-443e-9a47-4e504afb4d13,9676df9c-828b-49b9-802d-31998e6c7a6b,2021/11/12,昭和大学富士吉田キャンパス白樺寮,昭和大学富士吉田キャンパス白樺寮,江崎グリコ株式会社
