（営業施設）","町域
（営業施設）","番地等
（営業施設）",,"マンション名等
（営業施設）","電話番号
（営業施設）",営業の種類,許可番号,初回許可年月日,許可年月日,許可開始日,,管轄保健所,名称,市外局番,電話番号,施設の郵便番号,緯度,経度,施設の住所（元住所）,施設の住所（整備）,施設マンション名,施設-住所コード,施設-都道府県,施設-郡・政令市・市区町村名,施設-大字名・字名,申請年月日,開業年月日,許可年月日,許可期間開始日,許可期間終了日,申請法人,申請者氏名(個人名),申請者（開設者）の電話番号,申請者の住所（元住所）,申請者の住所（整備）,申請マンション名,申請-住所コード,申請-都道府県,申請-郡・政令市・市区町村名,申請-大字名・字名,確認番号,申請区分,業種,業態,その他,法人番号,シート名,産業分類大,産業分類中,産業分類小,産業分類詳細,facility_idを識別するための文字列,店舗コード,company_idを識別するための文字列,法人コード,ライセンスコード,検索用日付,整備名称,整備名称2,整備申請法人
2021/10/10,久保田美穂,,,山梨県,南巨摩郡南部町,万沢,４２４９,４２４９,,,ますや,,山梨県,南巨摩郡南部町,万沢,4249,４２４９,,055-667-3910,㉔ その他の食料品製造・加工業,,,,,,167,ますや,0556,055-667-3910,,,,山梨県　南巨摩郡南部町　万沢　４２４９,山梨県南巨摩郡南部町万沢４２４９,,100778,19,19366,万沢,2021/10/10,,,,,,久保田美穂  ,,山梨県　南巨摩郡南部町　万沢　４２４９,山梨県南巨摩郡南部町万沢４２４９,,100778,山梨県,南巨摩郡南部町,万沢,,,その他の食料品製造・加工業,,,,165-168_山梨県_山梨県一括_食品衛生(許可)_2022年01月まで全件_2022年02月05日現在 ,E,9,99,,ますや055-667-391010077819366,84c25bbc-1e95-4d64-bd58-ce37adfdf537,100778,personal,5f58e117-cb4a-42ee-8499-58f8e87c8258,2021/10/10,ますや,ますや,
2021/10/11,株式会社アペックス,,森吉平,愛知県,大府市,柊山町,2-418,２－４１８,,0562-47-1218,株式会社キッツ    システム管理棟,,山梨県,北杜市,長坂町長坂上条,2040,２０４０,,0551-20-4100,⑤ コップ式自動販売機（自動洗浄・屋内設置）,,,,,,165,株式会社キッツ    システム管理棟,0551,0551-20-4100,,,,山梨県　北杜市　長坂町長坂上条　２０４０,山梨県北杜市長坂町長坂上条２０４０,,100476,19,19209,長坂町長坂上条,2021/10/11,,,,,株式会社アペックス, 森吉平,0562-47-1218,愛知県　大府市　柊山町　２－４１８,愛知県大府市柊山町２－４１８,,129047,愛知県,大府市,柊山町２,,,コップ式自動販売機,,,,165-168_山梨県_山梨県一括_食品衛生(許可)_2022年01月まで全件_2022年02月05日現在 ,I,61,612,,株式会社キッツシステム管理棟0551-20-410010047619209,17f8f6b8-b3ba-43ea-b500-00a66f000129,株式会社アペックス129047,86bc290e-37b7-4729-bde3-95d625559d2c,cb5b958b-a6a4-461c-9211-94e65cf264c7,2021/10/11,株式会社キッツ　システム管理棟,株式会社キッツシステム管理棟,株式会社アペックス
2021/10/11,株式会社アペックス,,森吉平,愛知県,大府市,柊山町,2-418,２－４１８,,0562-47-1218,株式会社キッツ    食堂,,山梨県,北杜市,長坂町長坂上条,2040,２０４０,,0551-20-4100,⑤ コップ式自動販売機（自動洗浄・屋内設置）,,,,,,165,株式会社キッツ    食堂,0551,0551-20-4100,,,,山梨県　北杜市　長坂町長坂上条　２０４０,山梨県北杜市長坂町長坂上条２０４０,,100476,19,19209,長坂町長坂上条,2021/10/11,,,,,株式会社アペックス, 森吉平,0562-47-1218,愛知県　大府市　柊山町　２－４１８,愛知県大府市柊山町２－４１８,,129047,愛知県,大府市,柊山町２,,,コップ式自動販売機,,,,165-168_山梨県_山梨県一括_食品衛生(許可)_2022年01月まで全件_2022年02月05日現在 ,I,61,612,,株式会社キッツ食堂0551-20-410010047619209,776d497a-459f-4dbb-877e-bbb6ad2436d6,株式会社アペックス129047,86bc290e-37b7-4729-bde3-95d625559d2c,eea6b5a0-5dfd-49b4-b5dd-57da3bcce0af,2021/10/11,株式会社キッツ　食堂,株式会社キッツ食堂,株式会社アペックス
2021/10/11,株式会社アペックス,,森吉平,愛知県,大府市,柊山町,2-418,２－４１８,,0562-47-1218,株式会社キッツ    ２F会議室前,,山梨県,北杜市,長坂町長坂上条,2040,２０４０,,0551-20-4100,⑤ コップ式自動販売機（自動洗浄・屋内設置）,,,,,,165,株式会社キッツ    ２F会議室前,0551,0551-20-4100,,,,山梨県　北杜市　長坂町長坂上条　２０４０,山梨県北杜市長坂町長坂上条２０４０,,100476,19,19209,長坂町長坂上条,2021/10/11,,,,,株式会社アペックス, 森吉平,0562-47-1218,愛知県　大府市　柊山町　２－４１８,愛知県大府市柊山町２－４１８,,129047,愛知県,大府市,柊山町２,,,コップ式自動販売機,,,,165-168_山梨県_山梨県一括_食品衛生(許可)_2022年01月まで全件_2022年02月05日現在 ,I,61,612,,株式会社キッツ２Ｆ会議室前0551-20-410010047619209,f76da3be-0f6c-44fc-95c5-d3f369b95902,株式会社アペックス129047,86bc290e-37b7-4729-bde3-95d625559d2c,d9855329-58c2-4a8f-8a4f-97ac3a4f6de1,2021/10/11,株式会社キッツ　２Ｆ会議室前,株式会社キッツ２Ｆ会議室前,株式会社アペックス
2021/10/11,株式会社アペックス,,森吉平,愛知県,大府市,柊山町,2-418,２－４１８,,0562-47-1218,中央自動車道八ヶ岳 PA下り    自販機コーナー,,山梨県,北杜市,長坂町大八田,6811,６８１１,,0551-32-3741,⑤ コップ式自動販売機（自動洗浄・屋内設置）,,,,,,165,中央自動車道八ヶ岳 PA下り    自販機コーナー,0551,0551-32-3741,,,,山梨県　北杜市　長坂町大八田　６８１１,山梨県北杜市長坂町大八田６８１１,,100468,19,19209,長坂町大八田,2021/10/11,,,,,株式会社アペックス, 森吉平,0562-47-1218,愛知県　大府市　柊山町　２－４１８,愛知県大府市柊山町２－４１８,,129047,愛知県,大府市,柊山町２,,,コップ式自動販売機,,,,165-168_山梨県_山梨県一括_食品衛生(許可)_2022年01月まで全件_2022年02月05日現在 ,I,61,612,,中央自動車道八ヶ岳ＰＡ下り自販機コナ0551-32-374110046819209,9d7ffc6d-692b-4a1d-9522-77bda9c144f5,株式会社アペックス129047,86bc290e-37b7-4729-bde3-95d625559d2c,15f6c685-b7f8-4b17-9fb3-47274ab85a7d,2021/10/11,中央自動車道八ヶ岳　ＰＡ下り　自販機コーナー,中央自動車道八ヶ岳ＰＡ下り自販機コナ,株式会社アペックス
2021/10/11,田中改昇,,,山梨県,甲斐市,篠原,2841,２８４１,,,セブンイレブン山梨竜王店,,山梨県,甲斐市,篠原,2841,２８４１,,055-276-2985,③ 乳類販売業,,,,,,165,セブンイレブン山梨竜王店,055,055-276-2985,,,,山梨県　甲斐市　篠原　２８４１,山梨県甲斐市篠原２８４１,,100519,19,19210,篠原,2021/10/11,,,,,,田中改昇  ,,山梨県　甲斐市　篠原　２８４１,山梨県甲斐市篠原２８４１,,100519,山梨県,甲斐市,篠原,,,乳類販売業,,,,165-168_山梨県_山梨県一括_食品衛生(許可)_2022年01月まで全件_2022年02月05日現在 ,I,58,,,セブンイレブン山梨竜王店055-276-298510051919210,ab473776-3f8e-4295-bf80-c9a346b9a59f,100519,personal,8bc441be-09f0-4e2b-b02c-2168c8e333b3,2021/10/11,セブンイレブン山梨竜王店,セブンイレブン山梨竜王店,
2021/10/11,田中改昇,,,山梨県,甲斐市,篠原,2841,２８４１,,,セブンイレブン山梨竜王店,,山梨県,甲斐市,篠原,2841,２８４１,,055-276-2985,⑩ コンビニエンスストア,,,,,,165,セブンイレブン山梨竜王店,055,055-276-2985,,,,山梨県　甲斐市　篠原　２８４１,山梨県甲斐市篠原２８４１,,100519,19,19210,篠原,2021/10/11,,,,,,田中改昇  ,,山梨県　甲斐市　篠原　２８４１,山梨県甲斐市篠原２８４１,,100519,山梨県,甲斐市,篠原,,,コンビニエンスストア,,,,165-168_山梨県_山梨県一括_食品衛生(許可)_2022年01月まで全件_2022年02月05日現在 ,I,58,589,5891,セブンイレブン山梨竜王店055-276-298510051919210,ab473776-3f8e-4295-bf80-c9a346b9a59f,100519,personal,18c5bd99-91d1-4506-8ef5-62905162320d,2021/10/11,セブンイレブン山梨竜王店,セブンイレブン山梨竜王店,
2021/10/11,降矢美幸,,,山梨県,甲府市,山宮町,941-9,９４１－９,,,ＫＵＲＵＭＩハーバルワークス,,山梨県,甲斐市,団子新居,1476,１４７６,,,㉑ 製茶業,,,,,,165,ＫＵＲＵＭＩハーバルワークス,0551,,,,,山梨県　甲斐市　団子新居　１４７６,山梨県甲斐市団子新居１４７６,,100528,19,19210,団子新居,2021/10/11,,,,,,降矢美幸  ,,山梨県　甲府市　山宮町　９４１－９,山梨県甲府市山宮町９４１－９,,100012,山梨県,甲府市,山宮町,,,製茶業,,,,165-168_山梨県_山梨県一括_食品衛生(許可)_2022年01月まで全件_2022年02月05日現在 ,E,10,103,1031,ＫＵＲＵＭＩハバルワクス10052819210,67b45492-8a60-4ba6-9371-f50f0e1a5dde,100012,personal,1a94c08d-e57c-4c76-9358-be49062254ad,2021/10/11,ＫＵＲＵＭＩハーバルワークス,ＫＵＲＵＭＩハバルワクス,
2021/10/11,加藤優,,,山梨県,北杜市,長坂町長坂上条,2575-77102,２５７５－７７１０２,,,ＢＵＮＡＮＯＫＩ,,山梨県,北杜市,長坂町大井ケ森,18-4,１８－４,,0551-32-2198,⑯ コーヒー製造・加工業（飲料の製造を除く。）,,,,,,165,ＢＵＮＡＮＯＫＩ,0551,0551-32-2198,,,,山梨県　北杜市　長坂町大井ケ森　１８－４,山梨県北杜市長坂町大井が森１８－４,,100467,19,19209,長坂町大井が森,2021/10/11,,,,,,加藤優  ,,山梨県　北杜市　長坂町長坂上条　２５７５－７７１０２,山梨県北杜市長坂町長坂上条２５７５－７７１０２,,100476,山梨県,北杜市,長坂町長坂上条,,,コーヒー製造・加工業,（飲料の製造を除く。）,,,165-168_山梨県_山梨県一括_食品衛生(許可)_2022年01月まで全件_2022年02月05日現在 ,E,10,103,1032,ＢＵＮＡＮＯＫＩ0551-32-219810046719209,98fe5517-d2a4-4429-8fae-39de3dd5cdc8,100476,personal,6678e94a-cd90-42ff-aa71-782a0b5e1bf1,2021/10/11,ＢＵＮＡＮＯＫＩ,ＢＵＮＡＮＯＫＩ,
2021/10/11,株式会社ＪＲ東日本クロスステーション,,西野史尚,東京都,渋谷区,千駄ヶ谷５丁目３３番８号,,,,,ニューデイズキオスク山梨市駅,,山梨県,山梨市,上神内川,1561,１５６１,ＪＲ山梨市駅構内,042-521-6863,⑩ コンビニエンスストア,,,,,,166,ニューデイズキオスク山梨市駅,0553,042-521-6863,,,,山梨県　山梨市　上神内川　１５６１,山梨県山梨市上神内川１５６１,ＪＲ山梨市駅構内,100208,19,19205,上神内川,2021/10/11,,,,,株式会社ＪＲ東日本クロスステーション, 西野史尚,,東京都　渋谷区　千駄ヶ谷５丁目３３番８号　,東京都渋谷区千駄が谷５丁目３３番８号,,74512,東京都,渋谷区,千駄が谷５,,,コンビニエンスストア,,,,165-168_山梨県_山梨県一括_食品衛生(許可)_2022年01月まで全件_2022年02月05日現在 ,I,58,589,5891,ニュデイズキオスク山梨市駅042-521-686310020819205,447eca43-8763-4154-8e48-d2b7706fdf26,株式会社ＪＲ東日本クロスステーション74512,d9d8cb92-a4f3-4eb6-94e2-a636c63fcc91,b0a18cf1-5fc7-4dce-982e-745ade58bcb2,2021/10/11,ニューデイズキオスク山梨市駅,ニュデイズキオスク山梨市駅,株式会社ＪＲ東日本クロスステーション
