https://docs.google.com/spreadsheets/d/1Qy3el1DFIpxtm3-VIAdZlBmEHual1CU39oB_urGxiyI/edit#gid=508940504,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
111,n処理終了,,,,,,,,,,,,,,,d08_import_license_datas,完了,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
施設名,施設-住所1,施設-住所0,施設-住所2,施設-マンション名,施設-電話番号1,申請者1,申請-住所0,申請-住所1,申請-マンション名,申請-電話番号1,許可年月日,開業年月日,確認番号,確認番号2,業種,ここまで,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
施設名称,,施設所在地,,,施設電話番号,申請者名,申請者住所,,,申請者電話番号,許可年月日,初回許可年月日,許可番号,,業種,,管轄保健所,名称,市外局番,電話番号,施設の郵便番号,緯度,経度,施設の住所（元住所）,施設の住所（整備）,施設マンション名,施設-住所コード,施設-都道府県,施設-郡・政令市・市区町村名,施設-大字名・字名,申請年月日,開業年月日,許可年月日,許可期間開始日,許可期間終了日,申請法人,申請者氏名(個人名),申請者（開設者）の電話番号,申請者の住所（元住所）,申請者の住所（整備）,申請マンション名,申請-住所コード,申請-都道府県,申請-郡・政令市・市区町村名,申請-大字名・字名,確認番号,申請区分,業種,業態,その他,法人番号,シート名,産業分類大,産業分類中,産業分類小,産業分類詳細,facility_idを識別するための文字列,店舗コード,company_idを識別するための文字列,法人コード,ライセンスコード,検索用日付,整備名称,整備名称2,整備申請法人
ファミリーマート　田能四丁目店  ,兵庫県,尼崎市田能４－３－２,尼崎市田能４－３－２,,06-4960-8408  ,株式会社和栄,尼崎市大庄西町１－２－１５,尼崎市大庄西町１－２－１５,,06-6419-0906  ,R03.11.24,R03.11.24,尼崎市指令(生）,第1-01945号,飲食店営業,,305,ファミリーマート　田能四丁目店  ,06,06-4960-8408,,,,兵庫県　尼崎市田能４－３－２,兵庫県尼崎市田能４－３－２,,166856,28,28202,田能４,,2021/11/24,2021/11/24,,,株式会社和栄,,06-6419-0906  ,尼崎市大庄西町１－２－１５,兵庫県尼崎市大庄西町１－２－１５,,167117,兵庫県,尼崎市,大庄西町１,尼崎市指令(生）第1-01945号,,飲食店営業,,,,305_兵庫県_尼崎市保健所_食品衛生(許可)_2021年11月-2021年12月_末日_新規、更新、廃止(1),M,76,,,ファミリマト田能四丁目店06-4960-840816685628202,6b6f9413-c663-4d12-b2a1-0367cbbd9bf3,株式会社和栄167117,7e232daf-53cc-455a-9f5f-5fd1aa94935d,d84074fe-b68d-41ea-9721-7964f5e8f0da,2021/11/24,ファミリーマート　田能四丁目店　,ファミリマト田能四丁目店,株式会社和栄
有限会社タカミネ  ,兵庫県,尼崎市潮江４－４－１,尼崎市潮江４－４－１,,06-6420-2302  ,有限会社タカミネ,尼崎市潮江４－４－１,尼崎市潮江４－４－１,,06-6420-2302  ,R03.11.30,R03.11.30,尼崎市指令(生）,第1-02040号,魚介類販売業,,305,有限会社タカミネ  ,06,06-6420-2302,,,,兵庫県　尼崎市潮江４－４－１,兵庫県尼崎市潮江４－４－１,,166805,28,28202,潮江４,,2021/11/30,2021/11/30,,,有限会社タカミネ,,06-6420-2302  ,尼崎市潮江４－４－１,兵庫県尼崎市潮江４－４－１,,166805,兵庫県,尼崎市,潮江４,尼崎市指令(生）第1-02040号,,魚介類販売業,,,,305_兵庫県_尼崎市保健所_食品衛生(許可)_2021年11月-2021年12月_末日_新規、更新、廃止(1),I,58,,,有限会社タカミネ06-6420-230216680528202,b271e652-de71-431c-b554-2e64c0bdb63b,有限会社タカミネ166805,66bad490-9bc2-46f4-8012-e6f07ef87d27,06a8ac04-3353-471f-83da-d658becb95bd,2021/11/30,有限会社タカミネ　,有限会社タカミネ,有限会社タカミネ
アマの焼肉　ニューじゅん亭  尼崎駅前パーク,兵庫県,尼崎市潮江１－１１－１ラ・ヴェール尼崎１Ｆ１０３,尼崎市潮江１－１１－１,ラ・ヴェール尼崎１Ｆ１０３,06-6491-1129  ,株式会社ＷＧＳ　ｃｏｍｐａｎｙ,尼崎市塚口町２－３３－１８,尼崎市塚口町２－３３－１８,,06-6426-5777  ,R03.12.15,R03.12.15,尼崎市指令(生）,第1-02058号,飲食店営業,,305,アマの焼肉　ニューじゅん亭  尼崎駅前パーク,06,06-6491-1129,,,,兵庫県　尼崎市潮江１－１１－１,兵庫県尼崎市潮江１－１１－１,ラ・ヴェール尼崎１Ｆ１０３,166802,28,28202,潮江１,,2021/12/15,2021/12/15,,,株式会社ＷＧＳ　ｃｏｍｐａｎｙ,,06-6426-5777  ,尼崎市塚口町２－３３－１８,兵庫県尼崎市塚口町２－３３－１８,,166863,兵庫県,尼崎市,塚口町２,尼崎市指令(生）第1-02058号,,飲食店営業,,,,305_兵庫県_尼崎市保健所_食品衛生(許可)_2021年11月-2021年12月_末日_新規、更新、廃止(1),M,76,,,アマの焼肉ニュじゅん亭尼崎駅前パク06-6491-112916680228202,84a6c731-2086-4a80-82ce-734891501e2d,株式会社ＷＧＳ　ｃｏｍｐａｎｙ166863,aa3c4efb-10fa-41d5-9a2f-2bf440f0c9eb,24f34a8e-2744-419d-afa1-f8f381e58c09,2021/12/15,アマの焼肉　ニューじゅん亭　尼崎駅前パーク,アマの焼肉ニュじゅん亭尼崎駅前パク,株式会社ＷＧＳ　ｃｏｍｐａｎｙ
アマの焼肉　ニューじゅん亭  尼崎駅前パーク,兵庫県,尼崎市潮江１－１１－１ラ・ヴェール尼崎１Ｆ１０３,尼崎市潮江１－１１－１,ラ・ヴェール尼崎１Ｆ１０３,06-6491-1129  ,株式会社ＷＧＳ　ｃｏｍｐａｎｙ,尼崎市塚口町２－３３－１８,尼崎市塚口町２－３３－１８,,06-6426-5777  ,R03.12.15,R03.12.15,尼崎市指令(生）,第1-02059号,食肉販売業,,305,アマの焼肉　ニューじゅん亭  尼崎駅前パーク,06,06-6491-1129,,,,兵庫県　尼崎市潮江１－１１－１,兵庫県尼崎市潮江１－１１－１,ラ・ヴェール尼崎１Ｆ１０３,166802,28,28202,潮江１,,2021/12/15,2021/12/15,,,株式会社ＷＧＳ　ｃｏｍｐａｎｙ,,06-6426-5777  ,尼崎市塚口町２－３３－１８,兵庫県尼崎市塚口町２－３３－１８,,166863,兵庫県,尼崎市,塚口町２,尼崎市指令(生）第1-02059号,,食肉販売業,,,,305_兵庫県_尼崎市保健所_食品衛生(許可)_2021年11月-2021年12月_末日_新規、更新、廃止(1),I,58,583,,アマの焼肉ニュじゅん亭尼崎駅前パク06-6491-112916680228202,84a6c731-2086-4a80-82ce-734891501e2d,株式会社ＷＧＳ　ｃｏｍｐａｎｙ166863,aa3c4efb-10fa-41d5-9a2f-2bf440f0c9eb,0c592030-e606-49dc-b9a7-2f3be159aabc,2021/12/15,アマの焼肉　ニューじゅん亭　尼崎駅前パーク,アマの焼肉ニュじゅん亭尼崎駅前パク,株式会社ＷＧＳ　ｃｏｍｐａｎｙ
にこママこのは保育園  ,兵庫県,尼崎市上ノ島町３－２８－１４北村ハイツ１階,尼崎市上ノ島町３－２８－１４,北村ハイツ１階,06-6427-1333  ,にこママクラブ合同会社,尼崎市上ノ島町３－２８－１４北村ハイツ２０１,尼崎市上ノ島町３－２８－１４,北村ハイツ２０１,06-6427-1333  ,R03.12.28,R03.12.28,尼崎市指令(生）,第1-02084号,飲食店営業,,305,にこママこのは保育園  ,06,06-6427-1333,,,,兵庫県　尼崎市上ノ島町３－２８－１４,兵庫県尼崎市上ノ島町３－２８－１４,北村ハイツ１階,167130,28,28202,上ノ島町３,,2021/12/28,2021/12/28,,,にこママクラブ合同会社,,06-6427-1333  ,尼崎市上ノ島町３－２８－１４,兵庫県尼崎市上ノ島町３－２８－１４,北村ハイツ２０１,167130,兵庫県,尼崎市,上ノ島町３,尼崎市指令(生）第1-02084号,,飲食店営業,,,,305_兵庫県_尼崎市保健所_食品衛生(許可)_2021年11月-2021年12月_末日_新規、更新、廃止(1),M,76,,,にこママこのは保育園06-6427-133316713028202,9b0edf3d-07a9-49aa-b7b2-2321b00dbe31,にこママクラブ合同会社167130,5b298f41-1119-4788-9458-4bed7d303856,4b6e7032-e6cd-4bdd-b386-5abc2025beb4,2021/12/28,にこママこのは保育園　,にこママこのは保育園,にこママクラブ合同会社
喫茶二番館Ⅱ  ,兵庫県,尼崎市南塚口町２－１－２さんさんタウン２番館１階,尼崎市南塚口町２－１－２,さんさんタウン２番館１階,06-6480-7310  ,株式会社レストランバンク,尼崎市塚口本町３－１３－３８,尼崎市塚口本町３－１３－３８,,06-6427-2710  ,R03.11.11,R03.11.11,尼崎市指令(生）,第1-01890号,飲食店営業,,305,喫茶二番館Ⅱ  ,06,06-6480-7310,,,,兵庫県　尼崎市南塚口町２－１－２,兵庫県尼崎市南塚口町２－１－２,さんさんタウン２番館１階,167025,28,28202,南塚口町２,,2021/11/11,2021/11/11,,,株式会社レストランバンク,,06-6427-2710  ,尼崎市塚口本町３－１３－３８,兵庫県尼崎市塚口本町３－１３－３８,,167095,兵庫県,尼崎市,塚口本町３,尼崎市指令(生）第1-01890号,,飲食店営業,,,,305_兵庫県_尼崎市保健所_食品衛生(許可)_2021年11月-2021年12月_末日_新規、更新、廃止(1),M,76,,,喫茶二番館Ⅱ06-6480-731016702528202,5fc6f071-7a8d-4977-8e5d-f512ef5dcb63,株式会社レストランバンク167095,27fd788f-d05e-4173-a452-ce8477d2d559,a7a2674d-d1c6-4e4a-9d87-815b79d48258,2021/11/11,喫茶二番館Ⅱ　,喫茶二番館Ⅱ,株式会社レストランバンク
焼鳥ダイニング　悠  ,兵庫県,尼崎市武庫之荘１－５－１４,尼崎市武庫之荘１－５－１４,,06-6433-8700  ,ＮＥＸＴ　ＤＯＯＲ株式会社,神戸市西区神出町池田３３６－２,神戸市西区神出町池田３３６－２,,06-6433-8700  ,R03.11.24,R03.11.24,尼崎市指令(生）,第1-01958号,飲食店営業,,305,焼鳥ダイニング　悠  ,06,06-6433-8700,,,,兵庫県　尼崎市武庫之荘１－５－１４,兵庫県尼崎市武庫ノ荘１－５－１４,,167058,28,28202,武庫ノ荘１,,2021/11/24,2021/11/24,,,ＮＥＸＴ　ＤＯＯＲ株式会社,,06-6433-8700  ,神戸市西区神出町池田３３６－２,兵庫県神戸市西区神出町池田３３６－２,,165582,兵庫県,神戸市西区,神出町池田,尼崎市指令(生）第1-01958号,,飲食店営業,,,,305_兵庫県_尼崎市保健所_食品衛生(許可)_2021年11月-2021年12月_末日_新規、更新、廃止(1),M,76,,,焼鳥ダイニング悠06-6433-870016705828202,c6e3b149-33b1-4d84-b8a6-77e06cb091ba,ＮＥＸＴ　ＤＯＯＲ株式会社165582,65961069-d0d0-4ca0-bb84-c487917c9a27,f15b9c99-729c-4eab-ab02-0122d632480f,2021/11/24,焼鳥ダイニング　悠　,焼鳥ダイニング悠,ＮＥＸＴ　ＤＯＯＲ株式会社
ル・ミトロン食パン武庫之荘店  ,兵庫県,尼崎市武庫元町２－１６－１５,尼崎市武庫元町２－１６－１５,,06-6437-4001  ,株式会社江川工業,尼崎市南武庫之荘２－４－１２,尼崎市南武庫之荘２－４－１２,,06-6437-4001  ,R03.11.30,R03.11.30,尼崎市指令(生）,第1-01984号,菓子製造業,,305,ル・ミトロン食パン武庫之荘店  ,06,06-6437-4001,,,,兵庫県　尼崎市武庫元町２－１６－１５,兵庫県尼崎市武庫元町２－１６－１５,,167072,28,28202,武庫元町２,,2021/11/30,2021/11/30,,,株式会社江川工業,,06-6437-4001  ,尼崎市南武庫之荘２－４－１２,兵庫県尼崎市南武庫ノ荘２－４－１２,,167036,兵庫県,尼崎市,南武庫ノ荘２,尼崎市指令(生）第1-01984号,,菓子製造業,,,,305_兵庫県_尼崎市保健所_食品衛生(許可)_2021年11月-2021年12月_末日_新規、更新、廃止(1),E,9,,,ルミトロン食パン武庫之荘店06-6437-400116707228202,50964598-84eb-469c-abc6-23361bfcc255,株式会社江川工業167036,b4a76e4c-a2a3-4142-b34b-4e9793604fc5,84ac89f3-4f74-48c7-8688-d6324f0321f4,2021/11/30,ル・ミトロン食パン武庫之荘店　,ルミトロン食パン武庫之荘店,株式会社江川工業
ニューヤマザキデイリーストア　尼崎水堂店  ,兵庫県,尼崎市水堂町１－３－１３,尼崎市水堂町１－３－１３,,06-6438-6462  ,丸山酒販株式会社,尼崎市水堂町１－３－１３,尼崎市水堂町１－３－１３,,06-6438-6084  ,R03.11.19,R03.11.19,尼崎市指令(生）,第1-01928号,飲食店営業,,305,ニューヤマザキデイリーストア　尼崎水堂店  ,06,06-6438-6462,,,,兵庫県　尼崎市水堂町１－３－１３,兵庫県尼崎市水堂町１－３－１３,,167010,28,28202,水堂町１,,2021/11/19,2021/11/19,,,丸山酒販株式会社,,06-6438-6084  ,尼崎市水堂町１－３－１３,兵庫県尼崎市水堂町１－３－１３,,167010,兵庫県,尼崎市,水堂町１,尼崎市指令(生）第1-01928号,,飲食店営業,,,,305_兵庫県_尼崎市保健所_食品衛生(許可)_2021年11月-2021年12月_末日_新規、更新、廃止(1),M,76,,,ニュヤマザキデイリストア尼崎水堂店06-6438-646216701028202,cb550f67-a3ea-4948-859c-51af675f66fd,丸山酒販株式会社167010,530f06a1-a5ec-4ae1-8ef4-97cb7e97ce32,1b0c2a88-a5ee-40a2-b88a-edbd3d4faebf,2021/11/19,ニューヤマザキデイリーストア　尼崎水堂店　,ニュヤマザキデイリストア尼崎水堂店,丸山酒販株式会社
和彩旬彩　うおまん　尼崎店  ,兵庫県,尼崎市潮江１－３－１あまがさきキューズモール本館４０２,尼崎市潮江１－３－１,あまがさきキューズモール本館４０２,06-4960-1000  ,中央フードサービス株式会社,大阪市福島区野田２－１４－１０,大阪市福島区野田２－１４－１０,,06-6462-1782  ,R03.11.08,R03.11.08,尼崎市指令(生）,第1-01872号,飲食店営業,,305,和彩旬彩　うおまん　尼崎店  ,06,06-4960-1000,,,,兵庫県　尼崎市潮江１－３－１,兵庫県尼崎市潮江１－３－１,あまがさきキューズモール本館４０２,166802,28,28202,潮江１,,2021/11/08,2021/11/08,,,中央フードサービス株式会社,,06-6462-1782  ,大阪市福島区野田２－１４－１０,大阪府大阪市福島区野田２－１４－１０,,154287,大阪府,大阪市福島区,野田２,尼崎市指令(生）第1-01872号,,飲食店営業,,,,305_兵庫県_尼崎市保健所_食品衛生(許可)_2021年11月-2021年12月_末日_新規、更新、廃止(1),M,76,,,和彩旬彩うおまん尼崎店06-4960-100016680228202,cd99e3cb-e91d-41f2-a633-4e56c9681e46,中央フードサービス株式会社154287,42e3a0ae-8c5d-46ed-ae7f-b1076f15647a,bc5d2929-c44f-40dc-96f3-4e364a1214b8,2021/11/08,和彩旬彩　うおまん　尼崎店　,和彩旬彩うおまん尼崎店,中央フードサービス株式会社
