,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,n処理終了,空欄,空欄,,,,,,マンション,なんだこいつ,,,,,,,,,,,,,,,n10_company_name_maintenance,完了,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,施設名,施設名のフリガナ,業種,業態,施設-住所1,施設-マンション名,,,施設-電話番号1,申請者1,法人番号,申請-住所1,確認番号,許可年月日,許可年月日,許可期間開始日,許可期間終了日,廃業年月日,申請区分,,,ここまで,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
自治体コード,行番号,都道府県名,市区町村名,営業施設名称、屋号又は商号,営業施設名称、屋号又は商号（フリガナ）,営業の種類,業態,営業施設所在地,営業施設方書,緯度,経度,営業施設電話番号,法人名,法人番号,法人住所,許可番号,初回許可年月日,許可年月日,許可開始日,許可満了日,廃業年月日,申請区分,許可条件,備考,,管轄保健所,名称,市外局番,電話番号,施設の郵便番号,緯度,経度,施設の住所（元住所）,施設の住所（整備）,施設マンション名,施設-住所コード,施設-都道府県,施設-郡・政令市・市区町村名,施設-大字名・字名,申請年月日,開業年月日,許可年月日,許可期間開始日,許可期間終了日,申請法人,申請者氏名(個人名),申請者（開設者）の電話番号,申請者の住所（元住所）,申請者の住所（整備）,申請マンション名,申請-住所コード,申請-都道府県,申請-郡・政令市・市区町村名,申請-大字名・字名,確認番号,申請区分,業種,業態,その他,法人番号,シート名,産業分類大,産業分類中,産業分類小,産業分類詳細,facility_idを識別するための文字列,店舗コード,company_idを識別するための文字列,法人コード,ライセンスコード,検索用日付,整備名称,整備名称2,整備申請法人,チェーン店名,重複確認,店舗業種(大),店舗業種(中),店舗業種(小),店舗業種(詳細),施設名のフリガナ
10202,fBiz00000126830000000024,群馬県,高崎市,アミング高崎上中居店,アミングタカサキカミナカイテン,⑬ その他の食料・飲料販売業,,群馬県高崎市上中居町1762,,2/4/1900,5/18/1900,273509292,株式会社アミング,4220001001533 ,石川県金沢市無量寺５丁目５４番地３,,,,,,,届出,,,,高崎市保健所,アミング高崎上中居店,027,027-350-9292,,,,群馬県高崎市上中居町1762,群馬県高崎市上中居町１７６２,,60070,群馬県,高崎市,上中居町,,,,,,株式会社アミング,,,石川県金沢市無量寺５丁目５４番地３,石川県金沢市無量寺５丁目５４番地３,,94822,石川県,金沢市,無量寺５,,届出,食料品販売業,,,4220001001533,114_群馬県_高崎市保健所_食品衛生(届出)_2022年07月まで全件_末日,卸売業，小売業,飲食料品小売業,各種食料品小売業,各種食料品小売業,,,,,,,アミング高崎上中居店,アミング高崎上中居店,株式会社アミング,,1,,,,,アミングタカサキカミナカイテン
10202,fBiz00000129180000001227,群馬県,高崎市,ダイソー　フレッセイ新保店,ダイソー　フレッセイシンボテン,⑬ その他の食料・飲料販売業,,群馬県高崎市新保町３０８－１,,2/4/1900,5/18/1900,,株式会社大創産業,7240001022681 ,広島県東広島市西条吉行東一丁目４番１４号,,,,,,,届出,,,,高崎市保健所,ダイソー　フレッセイ新保店,027,,,,,群馬県高崎市新保町３０８－１,群馬県高崎市新保町３０８－１,,60116,群馬県,高崎市,新保町,,,,,,株式会社大創産業,,,広島県東広島市西条吉行東一丁目４番１４号,広島県東広島市西条吉行東１丁目４番１４号,,186030,広島県,東広島市,西条吉行東１,,届出,食料品販売業,,,7240001022681,114_群馬県_高崎市保健所_食品衛生(届出)_2022年07月まで全件_末日,卸売業，小売業,飲食料品小売業,各種食料品小売業,各種食料品小売業,,,,,,,ダイソー　フレッセイ新保店,ダイソフレッセイ新保店,株式会社大創産業,,1,,,,,ダイソー　フレッセイシンボテン
10202,fBiz00000129180000001232,群馬県,高崎市,ダイソー　高崎引間町店,ダイソー　タカサキヒキママチテン,⑬ その他の食料・飲料販売業,,群馬県高崎市引間町１０７８－１,,2/4/1900,5/18/1900,,株式会社大創産業,7240001022681 ,広島県東広島市西条吉行東一丁目４番１４号,,,,,,,届出,,,,高崎市保健所,ダイソー　高崎引間町店,027,,,,,群馬県高崎市引間町１０７８－１,群馬県高崎市引間町１０７８－１,,60230,群馬県,高崎市,引間町,,,,,,株式会社大創産業,,,広島県東広島市西条吉行東一丁目４番１４号,広島県東広島市西条吉行東１丁目４番１４号,,186030,広島県,東広島市,西条吉行東１,,届出,食料品販売業,,,7240001022681,114_群馬県_高崎市保健所_食品衛生(届出)_2022年07月まで全件_末日,卸売業，小売業,飲食料品小売業,各種食料品小売業,各種食料品小売業,,,,,,,ダイソー　高崎引間町店,ダイソ高崎引間町店,株式会社大創産業,,1,,,,,ダイソー　タカサキヒキママチテン
10202,fBiz00000129180000001236,群馬県,高崎市,ダイソー　ウニクス高崎店,ダイソー　ウニクスタカサキテン,⑬ その他の食料・飲料販売業,,群馬県高崎市飯塚町１１５０－５,ウニクス高崎内２階,2/4/1900,5/18/1900,,株式会社大創産業,7240001022681 ,広島県東広島市西条吉行東一丁目４番１４号,,,,,,,届出,,,,高崎市保健所,ダイソー　ウニクス高崎店,027,,,,,群馬県高崎市飯塚町１１５０－５,群馬県高崎市飯塚町１１５０－５,ウニクス高崎内２階,60044,群馬県,高崎市,飯塚町,,,,,,株式会社大創産業,,,広島県東広島市西条吉行東一丁目４番１４号,広島県東広島市西条吉行東１丁目４番１４号,,186030,広島県,東広島市,西条吉行東１,,届出,食料品販売業,,,7240001022681,114_群馬県_高崎市保健所_食品衛生(届出)_2022年07月まで全件_末日,卸売業，小売業,飲食料品小売業,各種食料品小売業,各種食料品小売業,,,,,,,ダイソー　ウニクス高崎店,ダイソウニクス高崎店,株式会社大創産業,,1,,,,,ダイソー　ウニクスタカサキテン
10202,fBiz00000129180000001240,群馬県,高崎市,ダイソー　ミスターマックス倉賀野ＳＣ店,ダイソー　ミスターマックスクラガノショッピングセンターテン,⑬ その他の食料・飲料販売業,,群馬県高崎市倉賀野町４６９１－１,,2/4/1900,5/18/1900,,株式会社大創産業,7240001022681 ,広島県東広島市西条吉行東一丁目４番１４号,,,,,,,届出,,,,高崎市保健所,ダイソー　ミスターマックス倉賀野ＳＣ店,027,,,,,群馬県高崎市倉賀野町４６９１－１,群馬県高崎市倉賀野町４６９１－１,,60081,群馬県,高崎市,倉賀野町,,,,,,株式会社大創産業,,,広島県東広島市西条吉行東一丁目４番１４号,広島県東広島市西条吉行東１丁目４番１４号,,186030,広島県,東広島市,西条吉行東１,,届出,食料品販売業,,,7240001022681,114_群馬県_高崎市保健所_食品衛生(届出)_2022年07月まで全件_末日,卸売業，小売業,飲食料品小売業,各種食料品小売業,各種食料品小売業,,,,,,,ダイソー　ミスターマックス倉賀野ＳＣ店,ダイソミスタマックス倉賀野ＳＣ店,株式会社大創産業,,1,,,,,ダイソー　ミスターマックスクラガノショッピングセンターテン
10202,fBiz00000129180000001241,群馬県,高崎市,ダイソー　フォルテ高崎下豊岡店,ダイソー　フォルテタカサキシモトヨオカテン,⑬ その他の食料・飲料販売業,,群馬県高崎市下豊岡町８９３番地,,2/4/1900,5/17/1900,,株式会社大創産業,7240001022681 ,広島県東広島市西条吉行東一丁目４番１４号,,,,,,,届出,,,,高崎市保健所,ダイソー　フォルテ高崎下豊岡店,027,,,,,群馬県高崎市下豊岡町８９３番地,群馬県高崎市下豊岡町８９３番地,,60098,群馬県,高崎市,下豊岡町,,,,,,株式会社大創産業,,,広島県東広島市西条吉行東一丁目４番１４号,広島県東広島市西条吉行東１丁目４番１４号,,186030,広島県,東広島市,西条吉行東１,,届出,食料品販売業,,,7240001022681,114_群馬県_高崎市保健所_食品衛生(届出)_2022年07月まで全件_末日,卸売業，小売業,飲食料品小売業,各種食料品小売業,各種食料品小売業,,,,,,,ダイソー　フォルテ高崎下豊岡店,ダイソフォルテ高崎下豊岡店,株式会社大創産業,,1,,,,,ダイソー　フォルテタカサキシモトヨオカテン
10202,fBiz00000129180000001242,群馬県,高崎市,ダイソー　パワーセンター吉井店,ダイソー　パワーセンターヨシイテン,⑬ その他の食料・飲料販売業,,群馬県高崎市吉井町池５２－１,パワーセンターうおかつ吉井店内,2/4/1900,5/17/1900,,株式会社大創産業,7240001022681 ,広島県東広島市西条吉行東一丁目４番１４号,,,,,,,届出,,,,高崎市保健所,ダイソー　パワーセンター吉井店,027,,,,,群馬県高崎市吉井町池５２－１,群馬県高崎市吉井町池５２－１,パワーセンターうおかつ吉井店内,60266,群馬県,高崎市,吉井町池,,,,,,株式会社大創産業,,,広島県東広島市西条吉行東一丁目４番１４号,広島県東広島市西条吉行東１丁目４番１４号,,186030,広島県,東広島市,西条吉行東１,,届出,食料品販売業,,,7240001022681,114_群馬県_高崎市保健所_食品衛生(届出)_2022年07月まで全件_末日,卸売業，小売業,飲食料品小売業,各種食料品小売業,各種食料品小売業,,,,,,,ダイソー　パワーセンター吉井店,ダイソパワセンタ吉井店,株式会社大創産業,,1,,,,,ダイソー　パワーセンターヨシイテン
10202,fBiz00000129180000001243,群馬県,高崎市,ダイソー　高崎高関店,ダイソー　タカサキタカゼキテン,⑬ その他の食料・飲料販売業,,群馬県高崎市高関町４０４,,2/4/1900,5/18/1900,,株式会社大創産業,7240001022681 ,広島県東広島市西条吉行東一丁目４番１４号,,,,,,,届出,,,,高崎市保健所,ダイソー　高崎高関店,027,,,,,群馬県高崎市高関町４０４,群馬県高崎市高関町４０４,,60122,群馬県,高崎市,高関町,,,,,,株式会社大創産業,,,広島県東広島市西条吉行東一丁目４番１４号,広島県東広島市西条吉行東１丁目４番１４号,,186030,広島県,東広島市,西条吉行東１,,届出,食料品販売業,,,7240001022681,114_群馬県_高崎市保健所_食品衛生(届出)_2022年07月まで全件_末日,卸売業，小売業,飲食料品小売業,各種食料品小売業,各種食料品小売業,,,,,,,ダイソー　高崎高関店,ダイソ高崎高関店,株式会社大創産業,,1,,,,,ダイソー　タカサキタカゼキテン
10202,fBiz00000129180000001248,群馬県,高崎市,ダイソー　とりせん群馬町店,ダイソー　トリセングンママチテン,⑬ その他の食料・飲料販売業,,群馬県高崎市中泉町６０５－２６,,2/4/1900,5/18/1900,,株式会社大創産業,7240001022681 ,広島県東広島市西条吉行東一丁目４番１４号,,,,,,,届出,,,,高崎市保健所,ダイソー　とりせん群馬町店,027,,,,,群馬県高崎市中泉町６０５－２６,群馬県高崎市中泉町６０５－２６,,60226,群馬県,高崎市,中泉町,,,,,,株式会社大創産業,,,広島県東広島市西条吉行東一丁目４番１４号,広島県東広島市西条吉行東１丁目４番１４号,,186030,広島県,東広島市,西条吉行東１,,届出,食料品販売業,,,7240001022681,114_群馬県_高崎市保健所_食品衛生(届出)_2022年07月まで全件_末日,卸売業，小売業,飲食料品小売業,各種食料品小売業,各種食料品小売業,,,,,,,ダイソー　とりせん群馬町店,ダイソとりせん群馬町店,株式会社大創産業,,2,,,,,ダイソー　トリセングンママチテン
10202,fBiz00000129180000001250,群馬県,高崎市,ダイソー　イオンモール高崎店,ダイソー　イオンモールタカサキテン,⑬ その他の食料・飲料販売業,,群馬県高崎市棟高町１４００　,イオンモール高崎２階,2/4/1900,5/18/1900,,株式会社大創産業,7240001022681 ,広島県東広島市西条吉行東一丁目４番１４号,,,,,,,届出,,,,高崎市保健所,ダイソー　イオンモール高崎店,027,,,,,群馬県高崎市棟高町１４００　,群馬県高崎市棟高町１４００,イオンモール高崎２階,60249,群馬県,高崎市,棟高町,,,,,,株式会社大創産業,,,広島県東広島市西条吉行東一丁目４番１４号,広島県東広島市西条吉行東１丁目４番１４号,,186030,広島県,東広島市,西条吉行東１,,届出,食料品販売業,,,7240001022681,114_群馬県_高崎市保健所_食品衛生(届出)_2022年07月まで全件_末日,卸売業，小売業,飲食料品小売業,各種食料品小売業,各種食料品小売業,,,,,,,ダイソー　イオンモール高崎店,ダイソイオンモル高崎店,株式会社大創産業,,1,,,,,ダイソー　イオンモールタカサキテン
