https://docs.google.com/spreadsheets/d/1Qy3el1DFIpxtm3-VIAdZlBmEHual1CU39oB_urGxiyI/edit#gid=508940504,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
315,n処理終了,,,,,,,,,,,d08_import_license_datas,完了,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
施設名,施設-住所1,施設-住所2,施設-マンション名,施設-電話番号1,業種,申請者1,申請-電話番号1,開業年月日,許可年月日,申請区分,確認番号,ここまで,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
屋号,,営業所所在地,営業所方書,営業所ＴＥＬ１,業種印刷名称,営業者名,営業者ＴＥＬ１情報公開用,初回許可日,許可決定日,申請区分,許可番号印刷用,,管轄保健所,名称,市外局番,電話番号,施設の郵便番号,緯度,経度,施設の住所（元住所）,施設の住所（整備）,施設マンション名,施設-住所コード,施設-都道府県,施設-郡・政令市・市区町村名,施設-大字名・字名,申請年月日,開業年月日,許可年月日,許可期間開始日,許可期間終了日,申請法人,申請者氏名(個人名),申請者（開設者）の電話番号,申請者の住所（元住所）,申請者の住所（整備）,申請マンション名,申請-住所コード,申請-都道府県,申請-郡・政令市・市区町村名,申請-大字名・字名,確認番号,申請区分,業種,業態,その他,法人番号,シート名,産業分類大,産業分類中,産業分類小,産業分類詳細,facility_idを識別するための文字列,店舗コード,company_idを識別するための文字列,法人コード,ライセンスコード,検索用日付,整備名称,整備名称2,整備申請法人
ハナレ,港区,赤坂六丁目４番１１号,ドミエメロード２階,03-6884-5102,飲食店営業,井原　修,,2021年12月23日,2021年12月23日,新規,3港み生食営第2803号,,182,ハナレ,03,03-6884-5102,,,,港区　赤坂六丁目４番１１号,東京都港区赤坂６丁目４番１１号,ドミエメロード２階,73051,13,13103,赤坂６,,2021/12/23,2021/12/23,,,,井原　修,,,,,,,,,3港み生食営第2803号,新規,飲食店営業,,,,182_東京都_みなと保健所_食品衛生()_2021年11月-2021年12月_末日_新規、廃止、変更,M,76,,,ハナレ03-6884-51027305113103,9dbba61e-fa9a-47c4-90e4-e4d999288193,,personal,d0683a4e-b154-4946-9323-4aca4da42b45,2021/12/23,ハナレ,ハナレ,
ふらここ,港区,赤坂六丁目４番２１号,ニュー赤坂マンション２０３,03-3583-3039,飲食店営業,篠崎　勝利,,2021年12月8日,2021年12月8日,新規,3港み生食営第2748号,,182,ふらここ,03,03-3583-3039,,,,港区　赤坂六丁目４番２１号,東京都港区赤坂６丁目４番２１号,ニュー赤坂マンション２０３,73051,13,13103,赤坂６,,2021/12/08,2021/12/08,,,,篠崎　勝利,,,,,,,,,3港み生食営第2748号,新規,飲食店営業,,,,182_東京都_みなと保健所_食品衛生()_2021年11月-2021年12月_末日_新規、廃止、変更,M,76,,,ふらここ03-3583-30397305113103,cab39565-a63e-464c-8a1e-e5c707702ac8,,personal,a5d3ab0a-9d41-4d8b-9ed4-cb4679dfbd6d,2021/12/08,ふらここ,ふらここ,
小松,港区,赤坂六丁目４番２１号,ニュー赤坂マンション２階２０１,,飲食店営業,篠崎　勝利,,2021年12月8日,2021年12月8日,新規,3港み生食営第2749号,,182,小松,03,,,,,港区　赤坂六丁目４番２１号,東京都港区赤坂６丁目４番２１号,ニュー赤坂マンション２階２０１,73051,13,13103,赤坂６,,2021/12/08,2021/12/08,,,,篠崎　勝利,,,,,,,,,3港み生食営第2749号,新規,飲食店営業,,,,182_東京都_みなと保健所_食品衛生()_2021年11月-2021年12月_末日_新規、廃止、変更,M,76,,,小松7305113103,5f7e323c-1ca1-4b81-b1fa-abc4544179fb,,personal,3e66c6aa-2152-41ef-bd0b-776c68aec5b5,2021/12/08,小松,小松,
赤坂七丁目カフェ,港区,赤坂七丁目５番３３号,ベルバン赤坂地下１階,03-3585-6031,飲食店営業,久保田　俊宏,,2021年12月10日,2021年12月10日,新規,3港み生食営第2808号,,182,赤坂七丁目カフェ,03,03-3585-6031,,,,港区　赤坂七丁目５番３３号,東京都港区赤坂７丁目５番３３号,ベルバン赤坂地下１階,73052,13,13103,赤坂７,,2021/12/10,2021/12/10,,,,久保田　俊宏,,,,,,,,,3港み生食営第2808号,新規,飲食店営業,,,,182_東京都_みなと保健所_食品衛生()_2021年11月-2021年12月_末日_新規、廃止、変更,M,76,,,赤坂七丁目カフェ03-3585-60317305213103,fc4bb3ac-fb04-4607-9d32-7fdf9893faad,,personal,9fcf0ec8-68b2-40e3-afa4-0f81fb623fd5,2021/12/10,赤坂七丁目カフェ,赤坂七丁目カフェ,
パズルオーケストララウンジ,港区,麻布十番一丁目８番５号,パステル麻布２階,03-6441-2072,飲食店営業,中村　映子,,2021年12月1日,2021年12月1日,新規,3港み生食営第2402号,,182,パズルオーケストララウンジ,03,03-6441-2072,,,,港区　麻布十番一丁目８番５号,東京都港区麻布十番１丁目８番５号,パステル麻布２階,73055,13,13103,麻布十番１,,2021/12/01,2021/12/01,,,,中村　映子,,,,,,,,,3港み生食営第2402号,新規,飲食店営業,,,,182_東京都_みなと保健所_食品衛生()_2021年11月-2021年12月_末日_新規、廃止、変更,M,76,,,パズルオケストララウンジ03-6441-20727305513103,06200a64-1036-401b-b9bd-4e6e7b4c3999,,personal,aa1db06d-b884-4647-9406-e4c34379b8cd,2021/12/01,パズルオーケストララウンジ,パズルオケストララウンジ,
パズルダイニングバー,港区,麻布十番二丁目１番１号,あべちゃんビル６階,03-6809-6278,飲食店営業,中村　映子,,2021年12月1日,2021年12月1日,新規,3港み生食営第2403号,,182,パズルダイニングバー,03,03-6809-6278,,,,港区　麻布十番二丁目１番１号,東京都港区麻布十番２丁目１番１号,あべちゃんビル６階,73056,13,13103,麻布十番２,,2021/12/01,2021/12/01,,,,中村　映子,,,,,,,,,3港み生食営第2403号,新規,飲食店営業,,,,182_東京都_みなと保健所_食品衛生()_2021年11月-2021年12月_末日_新規、廃止、変更,M,76,,,パズルダイニングバ03-6809-62787305613103,21d96142-d98f-47b8-bd41-55d5037da78c,,personal,88ba5d84-2dbb-4887-b73f-a18f46b157b3,2021/12/01,パズルダイニングバー,パズルダイニングバ,
パズルダイニングバー,港区,麻布十番二丁目１番１号,あべちゃんビル６階,03-6809-6278,菓子製造業,中村　映子,,2021年12月1日,2021年12月1日,新規,3港み生食営第2404号,,182,パズルダイニングバー,03,03-6809-6278,,,,港区　麻布十番二丁目１番１号,東京都港区麻布十番２丁目１番１号,あべちゃんビル６階,73056,13,13103,麻布十番２,,2021/12/01,2021/12/01,,,,中村　映子,,,,,,,,,3港み生食営第2404号,新規,菓子製造業,,,,182_東京都_みなと保健所_食品衛生()_2021年11月-2021年12月_末日_新規、廃止、変更,E,9,,,パズルダイニングバ03-6809-62787305613103,21d96142-d98f-47b8-bd41-55d5037da78c,,personal,fb23eeda-ca5c-4b11-9e43-3e3c70073b0a,2021/12/01,パズルダイニングバー,パズルダイニングバ,
パズルダイニングバー,港区,麻布十番二丁目１番１号,あべちゃんビル６階,03-6809-6278,そうざい製造業,中村　映子,,2021年12月1日,2021年12月1日,新規,3港み生食営第2405号,,182,パズルダイニングバー,03,03-6809-6278,,,,港区　麻布十番二丁目１番１号,東京都港区麻布十番２丁目１番１号,あべちゃんビル６階,73056,13,13103,麻布十番２,,2021/12/01,2021/12/01,,,,中村　映子,,,,,,,,,3港み生食営第2405号,新規,そうざい製造業,,,,182_東京都_みなと保健所_食品衛生()_2021年11月-2021年12月_末日_新規、廃止、変更,E,9,,,パズルダイニングバ03-6809-62787305613103,21d96142-d98f-47b8-bd41-55d5037da78c,,personal,6ac5adf3-2c45-4ba8-ae6a-de97230c08ff,2021/12/01,パズルダイニングバー,パズルダイニングバ,
ワインと懐石　なか田,港区,麻布十番二丁目１番１３号,,,飲食店営業,安田　明未,,2021年12月16日,2021年12月16日,新規,3港み生食営第2794号,,182,ワインと懐石　なか田,03,,,,,港区　麻布十番二丁目１番１３号,東京都港区麻布十番２丁目１番１３号,,73056,13,13103,麻布十番２,,2021/12/16,2021/12/16,,,,安田　明未,,,,,,,,,3港み生食営第2794号,新規,飲食店営業,,,,182_東京都_みなと保健所_食品衛生()_2021年11月-2021年12月_末日_新規、廃止、変更,M,76,,,ワインと懐石なか田7305613103,4eaaa3c2-1ff0-493e-a94e-57acdde7e019,,personal,81e1b5be-0c7d-4a4e-9bbb-a746f1eab87d,2021/12/16,ワインと懐石　なか田,ワインと懐石なか田,
和たま,港区,麻布十番二丁目３番１２号,１階、２階,03-3456-1661,飲食店営業,水野　和雄,,2021年12月14日,2021年12月14日,新規,3港み生食営第2807号,,182,和たま,03,03-3456-1661,,,,港区　麻布十番二丁目３番１２号,東京都港区麻布十番２丁目３番１２号,１階、２階,73056,13,13103,麻布十番２,,2021/12/14,2021/12/14,,,,水野　和雄,,,,,,,,,3港み生食営第2807号,新規,飲食店営業,,,,182_東京都_みなと保健所_食品衛生()_2021年11月-2021年12月_末日_新規、廃止、変更,M,76,,,和たま03-3456-16617305613103,717eac6e-71ff-43e2-ac38-5bfc45123e9c,,personal,624be10c-bd3e-4b51-96f6-5b3273d095b6,2021/12/14,和たま,和たま,
