https://docs.google.com/spreadsheets/d/1Qy3el1DFIpxtm3-VIAdZlBmEHual1CU39oB_urGxiyI/edit#gid=508940504,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
315,n処理終了,,,,,,,,,,,d08_import_license_datas,完了,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
施設名,施設-住所1,施設-住所2,施設-マンション名,施設-電話番号1,業種,申請者1,申請-電話番号1,開業年月日,許可年月日,申請区分,確認番号,ここまで,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
屋号,,営業所所在地,営業所方書,営業所ＴＥＬ１,業種印刷名称,営業者名,営業者ＴＥＬ１情報公開用,初回許可日,許可決定日,申請区分,許可番号印刷用,,管轄保健所,名称,市外局番,電話番号,施設の郵便番号,緯度,経度,施設の住所（元住所）,施設の住所（整備）,施設マンション名,施設-住所コード,施設-都道府県,施設-郡・政令市・市区町村名,施設-大字名・字名,申請年月日,開業年月日,許可年月日,許可期間開始日,許可期間終了日,申請法人,申請者氏名(個人名),申請者（開設者）の電話番号,申請者の住所（元住所）,申請者の住所（整備）,申請マンション名,申請-住所コード,申請-都道府県,申請-郡・政令市・市区町村名,申請-大字名・字名,確認番号,申請区分,業種,業態,その他,法人番号,シート名,産業分類大,産業分類中,産業分類小,産業分類詳細,facility_idを識別するための文字列,店舗コード,company_idを識別するための文字列,法人コード,ライセンスコード,検索用日付,整備名称,整備名称2,整備申請法人
ＯＷＬ,港区,六本木三丁目１４番９号,ユア六本木５階,,飲食店営業,大坪　誼士,,2021年12月9日,2021年12月9日,新規,3港み生食営第2729号,,182,ＯＷＬ,03,,,,,港区　六本木三丁目１４番９号,東京都港区六本木３丁目１４番９号,ユア六本木５階,73156,13,13103,六本木３,,2021/12/09,2021/12/09,,,,大坪　誼士,,,,,,,,,3港み生食営第2729号,新規,飲食店営業,,,,182_東京都_みなと保健所_食品衛生()_2021年11月-2021年12月_末日_新規、廃止、変更,M,76,,,ＯＷＬ7315613103,f6c3ddae-7ad5-4e14-82cc-79b870d4260a,,personal,3cf7f286-b10c-40c5-8b0d-2d6c4307cfc7,2021/12/09,ＯＷＬ,ＯＷＬ,
レストラン　プチポア,港区,六本木三丁目１５番２４号,ベル六本木４階,03-3404-0906,飲食店営業,＊原　記一,,2021年12月20日,2021年12月20日,新規,3港み生食営第2881号,,182,レストラン　プチポア,03,03-3404-0906,,,,港区　六本木三丁目１５番２４号,東京都港区六本木３丁目１５番２４号,ベル六本木４階,73156,13,13103,六本木３,,2021/12/20,2021/12/20,,,,＊原　記一,,,,,,,,,3港み生食営第2881号,新規,飲食店営業,,,,182_東京都_みなと保健所_食品衛生()_2021年11月-2021年12月_末日_新規、廃止、変更,M,76,,,レストランプチポア03-3404-09067315613103,173e6e5f-dab4-4278-881f-5ef3f460f219,,personal,f6afdb88-a88b-42f0-b5f1-d8831fe730d9,2021/12/20,レストラン　プチポア,レストランプチポア,
Ｂａｒ　ＬＥＧＡＬＩＳＳ,港区,六本木四丁目８番３号,日栄ビル３階,,飲食店営業,神足　勇樹也,,2021年12月21日,2021年12月21日,新規,3港み生食営第2916号,,182,Ｂａｒ　ＬＥＧＡＬＩＳＳ,03,,,,,港区　六本木四丁目８番３号,東京都港区六本木４丁目８番３号,日栄ビル３階,73157,13,13103,六本木４,,2021/12/21,2021/12/21,,,,神足　勇樹也,,,,,,,,,3港み生食営第2916号,新規,飲食店営業,,,,182_東京都_みなと保健所_食品衛生()_2021年11月-2021年12月_末日_新規、廃止、変更,M,76,,,ＢａｒＬＥＧＡＬＩＳＳ7315713103,d60c806a-80af-4596-9934-21572e8381f5,,personal,8e8c78a9-3206-42d2-ad10-6c33ee28f990,2021/12/21,Ｂａｒ　ＬＥＧＡＬＩＳＳ,ＢａｒＬＥＧＡＬＩＳＳ,
ＢＡＲ　空知,港区,六本木四丁目９番１１号,薫ビル１Ｆ,,飲食店営業,宮澤　修,,2021年12月23日,2021年12月23日,新規,3港み生食営第2874号,,182,ＢＡＲ　空知,03,,,,,港区　六本木四丁目９番１１号,東京都港区六本木４丁目９番１１号,薫ビル１Ｆ,73157,13,13103,六本木４,,2021/12/23,2021/12/23,,,,宮澤　修,,,,,,,,,3港み生食営第2874号,新規,飲食店営業,,,,182_東京都_みなと保健所_食品衛生()_2021年11月-2021年12月_末日_新規、廃止、変更,M,76,,,ＢＡＲ空知7315713103,cb596a7b-1d9f-46d8-a623-575aff64d878,,personal,7fe90cb6-248b-49c0-84fe-f4a24c0b21d7,2021/12/23,ＢＡＲ　空知,ＢＡＲ空知,
夕子の部屋,港区,六本木四丁目１２番６号,内田ビル２階２０１号,03-3408-6062,飲食店営業,安倍　澄,,2021年12月17日,2021年12月17日,新規,3港み生食営第2900号,,182,夕子の部屋,03,03-3408-6062,,,,港区　六本木四丁目１２番６号,東京都港区六本木４丁目１２番６号,内田ビル２階２０１号,73157,13,13103,六本木４,,2021/12/17,2021/12/17,,,,安倍　澄,,,,,,,,,3港み生食営第2900号,新規,飲食店営業,,,,182_東京都_みなと保健所_食品衛生()_2021年11月-2021年12月_末日_新規、廃止、変更,M,76,,,夕子の部屋03-3408-60627315713103,15ead576-bada-422f-a4da-38931aa4ed98,,personal,bc71b060-40ab-4a4a-8b84-c77294cc2b2c,2021/12/17,夕子の部屋,夕子の部屋,
可可屋,港区,六本木七丁目３番１４号,六本木東海ホワイトビル地下１階,03-5474-1896,飲食店営業,董　一蓉,,2021年12月2日,2021年12月2日,新規,3港み生食営第2644号,,182,可可屋,03,03-5474-1896,,,,港区　六本木七丁目３番１４号,東京都港区六本木７丁目３番１４号,六本木東海ホワイトビル地下１階,73160,13,13103,六本木７,,2021/12/02,2021/12/02,,,,董　一蓉,,,,,,,,,3港み生食営第2644号,新規,飲食店営業,,,,182_東京都_みなと保健所_食品衛生()_2021年11月-2021年12月_末日_新規、廃止、変更,M,76,,,可可屋03-5474-18967316013103,12d8d083-7c4c-4049-aaf3-3976ad9b05a9,,personal,42e00117-e321-456f-8c30-8b3e597c57ce,2021/12/02,可可屋,可可屋,
ＭＡＭＯ　Ｒｅｓｔａｕｒａｎｔ　＆　Ｂａｒ,港区,赤坂二丁目８番１３号,赤坂こうゆうビル１階,03-6230-2239,飲食店営業,ＭＡＭＯ株式会社,03-6416-3084,2021年12月14日,2021年12月14日,新規,3港み生食営第2840号,,182,ＭＡＭＯ　Ｒｅｓｔａｕｒａｎｔ　＆　Ｂａｒ,03,03-6230-2239,,,,港区　赤坂二丁目８番１３号,東京都港区赤坂２丁目８番１３号,赤坂こうゆうビル１階,73047,13,13103,赤坂２,,2021/12/14,2021/12/14,,,ＭＡＭＯ株式会社,,03-6416-3084,,,,,,,,3港み生食営第2840号,新規,飲食店営業,,,,182_東京都_みなと保健所_食品衛生()_2021年11月-2021年12月_末日_新規、廃止、変更,M,76,,,ＭＡＭＯＲｅｓｔａｕｒａｎｔＢａｒ03-6230-22397304713103,dc637698-630b-4d36-b5bf-4bf8eca46dfc,ＭＡＭＯ株式会社,ce857eb8-6c3e-4a26-948a-b1838293e0bb,569f4e46-ce42-4e3f-a065-7e024fda9c53,2021/12/14,ＭＡＭＯ　Ｒｅｓｔａｕｒａｎｔ　＆　Ｂａｒ,ＭＡＭＯＲｅｓｔａｕｒａｎｔＢａｒ,ＭＡＭＯ株式会社
〇,港区,赤坂二丁目１３番１８号,コリンズ３３ビル４階Ｋ,,飲食店営業,株式会社西大條,,2021年12月27日,2021年12月27日,新規,3港み生食営第2952号,,182,〇,03,,,,,港区　赤坂二丁目１３番１８号,東京都港区赤坂２丁目１３番１８号,コリンズ３３ビル４階Ｋ,73047,13,13103,赤坂２,,2021/12/27,2021/12/27,,,株式会社西大條,,,,,,,,,,3港み生食営第2952号,新規,飲食店営業,,,,182_東京都_みなと保健所_食品衛生()_2021年11月-2021年12月_末日_新規、廃止、変更,M,76,,,7304713103,a9e8a8cf-b8bf-4b25-ab40-d1c0b3873f22,株式会社西大條,4d00a4de-6503-4444-b6a1-586ea07c7f6c,4c14ee39-bd98-4b70-9af8-f487af203e92,2021/12/27,〇,,株式会社西大條
アネラカフェ,港区,赤坂二丁目１３番２０号,ツムギビル１階Ａ室,,飲食店営業,株式会社ＴＳＵＭＵＧＩ　ＣＲＥＡＴＩＶＥＪＡＰＡＮ,03-4405-9620,2021年12月27日,2021年12月27日,新規,3港み生食営第2960号,,182,アネラカフェ,03,,,,,港区　赤坂二丁目１３番２０号,東京都港区赤坂２丁目１３番２０号,ツムギビル１階Ａ室,73047,13,13103,赤坂２,,2021/12/27,2021/12/27,,,株式会社ＴＳＵＭＵＧＩ　ＣＲＥＡＴＩＶＥＪＡＰＡＮ,,03-4405-9620,,,,,,,,3港み生食営第2960号,新規,飲食店営業,,,,182_東京都_みなと保健所_食品衛生()_2021年11月-2021年12月_末日_新規、廃止、変更,M,76,,,アネラカフェ7304713103,2a4cf99e-f64f-465f-8af8-408431396281,株式会社ＴＳＵＭＵＧＩ　ＣＲＥＡＴＩＶＥＪＡＰＡＮ,44793b7c-d03c-42ac-99f1-988329099687,56e0efb6-72b2-425b-9150-97de5dc46c49,2021/12/27,アネラカフェ,アネラカフェ,株式会社ＴＳＵＭＵＧＩ　ＣＲＥＡＴＩＶＥＪＡＰＡＮ
ぱぱいあ,港区,赤坂二丁目１３番２０号,ツムギビル１階Ｂ室,,飲食店営業,株式会社ＬＩＮＫＩＮＧ,03-6447-2002,2021年12月27日,2021年12月27日,新規,3港み生食営第2961号,,182,ぱぱいあ,03,,,,,港区　赤坂二丁目１３番２０号,東京都港区赤坂２丁目１３番２０号,ツムギビル１階Ｂ室,73047,13,13103,赤坂２,,2021/12/27,2021/12/27,,,株式会社ＬＩＮＫＩＮＧ,,03-6447-2002,,,,,,,,3港み生食営第2961号,新規,飲食店営業,,,,182_東京都_みなと保健所_食品衛生()_2021年11月-2021年12月_末日_新規、廃止、変更,M,76,,,ぱぱいあ7304713103,d894460a-049f-441b-997f-c4911c0c7b4e,株式会社ＬＩＮＫＩＮＧ,c4af547c-17aa-430b-8b52-d425f7a467a3,a33172ec-47d1-4a86-be4e-7feb50e04bfe,2021/12/27,ぱぱいあ,ぱぱいあ,株式会社ＬＩＮＫＩＮＧ
ＪＡＣＫ赤坂店,港区,赤坂二丁目１４番４号,森崎ビル地下１階,03-5544-8876,飲食店営業,株式会社ギルドー,045-530-4357,2021年12月23日,2021年12月23日,新規,3港み生食営第2904号,,182,ＪＡＣＫ赤坂店,03,03-5544-8876,,,,港区　赤坂二丁目１４番４号,東京都港区赤坂２丁目１４番４号,森崎ビル地下１階,73047,13,13103,赤坂２,,2021/12/23,2021/12/23,,,株式会社ギルドー,,045-530-4357,,,,,,,,3港み生食営第2904号,新規,飲食店営業,,,,182_東京都_みなと保健所_食品衛生()_2021年11月-2021年12月_末日_新規、廃止、変更,M,76,,,ＪＡＣＫ赤坂店03-5544-88767304713103,e4db7dc8-1b5a-4711-86da-dc0305775d88,株式会社ギルドー,55846ea6-9cb2-4171-87e2-54515c4fd181,596e80b1-06a3-4b2a-b071-bb315924505c,2021/12/23,ＪＡＣＫ赤坂店,ＪＡＣＫ赤坂店,株式会社ギルドー
有限会社帰燕,港区,赤坂二丁目１８番８号,長野ビル１階,03-3589-2538,飲食店営業,有限会社帰燕,03-3374-4535,2021年12月15日,2021年12月15日,新規,3港み生食営第2770号,,182,有限会社帰燕,03,03-3589-2538,,,,港区　赤坂二丁目１８番８号,東京都港区赤坂２丁目１８番８号,長野ビル１階,73047,13,13103,赤坂２,,2021/12/15,2021/12/15,,,有限会社帰燕,,03-3374-4535,,,,,,,,3港み生食営第2770号,新規,飲食店営業,,,,182_東京都_みなと保健所_食品衛生()_2021年11月-2021年12月_末日_新規、廃止、変更,M,76,,,有限会社帰燕03-3589-25387304713103,dcff4ee1-f003-4485-88e8-d54ac49fd111,有限会社帰燕,3f110e21-371a-4b7b-99b9-be28103854ed,0a2b6030-0770-4f39-a70e-c48bd145045f,2021/12/15,有限会社帰燕,有限会社帰燕,有限会社帰燕
ジョイフル　赤坂南部坂店,港区,赤坂二丁目２２番２１号,クラスアクトビル３階,03-5114-5515,飲食店営業,株式会社ジョイフル北日本,097-551-7131,2021年12月2日,2021年12月2日,新規,3港み生食営第2646号,,182,ジョイフル　赤坂南部坂店,03,03-5114-5515,,,,港区　赤坂二丁目２２番２１号,東京都港区赤坂２丁目２２番２１号,クラスアクトビル３階,73047,13,13103,赤坂２,,2021/12/02,2021/12/02,,,株式会社ジョイフル北日本,,097-551-7131,,,,,,,,3港み生食営第2646号,新規,飲食店営業,,,,182_東京都_みなと保健所_食品衛生()_2021年11月-2021年12月_末日_新規、廃止、変更,M,76,,,ジョイフル赤坂南部坂店03-5114-55157304713103,0e9d9fc3-5992-424d-9b93-b4dfdb684ece,株式会社ジョイフル北日本,f1ffd961-936b-4c6f-89ec-75eaf72bab9b,fae98032-9e64-46a7-9f3a-f64011724737,2021/12/02,ジョイフル　赤坂南部坂店,ジョイフル赤坂南部坂店,株式会社ジョイフル北日本
８８　ＴＷＯ　ＥＩＧＨＴ　ＴＯＫＹＯ,港区,赤坂三丁目７番１２号,ベストウエスタンフィーノ東京赤坂地下１階,,飲食店営業,株式会社ＲＡＬＬＹ,03-6380-0209,2021年12月28日,2021年12月28日,新規,3港み生食営第2915号,,182,８８　ＴＷＯ　ＥＩＧＨＴ　ＴＯＫＹＯ,03,,,,,港区　赤坂三丁目７番１２号,東京都港区赤坂３丁目７番１２号,ベストウエスタンフィーノ東京赤坂地下１階,73048,13,13103,赤坂３,,2021/12/28,2021/12/28,,,株式会社ＲＡＬＬＹ,,03-6380-0209,,,,,,,,3港み生食営第2915号,新規,飲食店営業,,,,182_東京都_みなと保健所_食品衛生()_2021年11月-2021年12月_末日_新規、廃止、変更,M,76,,,８８ＴＷＯＥＩＧＨＴＴＯＫＹＯ7304813103,554dff37-a28e-4363-9ec3-7e08e0ae2e7c,株式会社ＲＡＬＬＹ,a9548744-cb7d-45de-ba93-7ff0d28e77af,753b3360-89be-4155-b521-878272b6c016,2021/12/28,８８　ＴＷＯ　ＥＩＧＨＴ　ＴＯＫＹＯ,８８ＴＷＯＥＩＧＨＴＴＯＫＹＯ,株式会社ＲＡＬＬＹ
ブルチャンポン東京,港区,赤坂三丁目７番１５号,パラダイスビル１階,03-6426-5356,飲食店営業,日本環境システム株式会社,03-6435-1841,2021年12月10日,2021年12月10日,新規,3港み生食営第2801号,,182,ブルチャンポン東京,03,03-6426-5356,,,,港区　赤坂三丁目７番１５号,東京都港区赤坂３丁目７番１５号,パラダイスビル１階,73048,13,13103,赤坂３,,2021/12/10,2021/12/10,,,日本環境システム株式会社,,03-6435-1841,,,,,,,,3港み生食営第2801号,新規,飲食店営業,,,,182_東京都_みなと保健所_食品衛生()_2021年11月-2021年12月_末日_新規、廃止、変更,M,76,,,ブルチャンポン東京03-6426-53567304813103,6f765508-7538-4b9a-9b25-a8e8e7ed0bfb,日本環境システム株式会社,6837b7c0-5147-4f2f-bee2-ac447be99198,6fa6aad8-b81c-463f-bf11-e073157a0e71,2021/12/10,ブルチャンポン東京,ブルチャンポン東京,日本環境システム株式会社
Ｉｎｖｉｔａｔｉｏｎ,港区,赤坂三丁目７番１７号,ＵＦビル２　５階,03-3505-5281,飲食店営業,合同会社Ｓｏｌｉｄ　ｗｏｒｋｓ　ｌｔｄ．,,2021年12月14日,2021年12月14日,新規,3港み生食営第2806号,,182,Ｉｎｖｉｔａｔｉｏｎ,03,03-3505-5281,,,,港区　赤坂三丁目７番１７号,東京都港区赤坂３丁目７番１７号,ＵＦビル２　５階,73048,13,13103,赤坂３,,2021/12/14,2021/12/14,,,合同会社Ｓｏｌｉｄ　ｗｏｒｋｓ　ｌｔｄ．,,,,,,,,,,3港み生食営第2806号,新規,飲食店営業,,,,182_東京都_みなと保健所_食品衛生()_2021年11月-2021年12月_末日_新規、廃止、変更,M,76,,,Ｉｎｖｉｔａｔｉｏｎ03-3505-52817304813103,810a161a-6ef9-4df0-ad1d-7357f2e47c5c,合同会社Ｓｏｌｉｄ　ｗｏｒｋｓ　ｌｔｄ．,908c2e96-4a5d-4331-9666-521c82ed3040,a2a6c39c-c65d-46ee-8613-c3124be4d719,2021/12/14,Ｉｎｖｉｔａｔｉｏｎ,Ｉｎｖｉｔａｔｉｏｎ,合同会社Ｓｏｌｉｄ　ｗｏｒｋｓ　ｌｔｄ．
板前寿司　赤坂店,港区,赤坂三丁目８番１７号,パンジャパンビル１階、２階,03-6659-7288,飲食店営業,株式会社板前寿司ジャパン,03-6222-5805,2021年12月15日,2021年12月15日,新規,3港み生食営第2866号,,182,板前寿司　赤坂店,03,03-6659-7288,,,,港区　赤坂三丁目８番１７号,東京都港区赤坂３丁目８番１７号,パンジャパンビル１階、２階,73048,13,13103,赤坂３,,2021/12/15,2021/12/15,,,株式会社板前寿司ジャパン,,03-6222-5805,,,,,,,,3港み生食営第2866号,新規,飲食店営業,,,,182_東京都_みなと保健所_食品衛生()_2021年11月-2021年12月_末日_新規、廃止、変更,M,76,,,板前寿司赤坂店03-6659-72887304813103,095df4b9-e6ce-4615-83ae-e6fc7f03e0f2,株式会社板前寿司ジャパン,d78c3531-73e6-4f0f-8b77-79dceb369fca,1ecdcb12-cc6b-4554-a1d0-6386fad3b87a,2021/12/15,板前寿司　赤坂店,板前寿司赤坂店,株式会社板前寿司ジャパン
匠,港区,赤坂三丁目１０番１７号,マーカスビル２階,03-6426-5658,飲食店営業,東際株式会社,03-5927-8383,2021年12月23日,2021年12月23日,新規,3港み生食営第2873号,,182,匠,03,03-6426-5658,,,,港区　赤坂三丁目１０番１７号,東京都港区赤坂３丁目１０番１７号,マーカスビル２階,73048,13,13103,赤坂３,,2021/12/23,2021/12/23,,,東際株式会社,,03-5927-8383,,,,,,,,3港み生食営第2873号,新規,飲食店営業,,,,182_東京都_みなと保健所_食品衛生()_2021年11月-2021年12月_末日_新規、廃止、変更,M,76,,,匠03-6426-56587304813103,79807fba-24ca-43c7-9f86-09e443dbd724,東際株式会社,bb222251-7f2a-4b54-86ea-8ea20d2d68ed,354e3980-7e51-4d59-bff7-f813e163efa7,2021/12/23,匠,匠,東際株式会社
東京油組総本店,港区,赤坂三丁目１０番２０号,第三対翠館ビル１階,03-5571-6011,飲食店営業,株式会社サッポロ実業,03-3982-3852,2021年12月23日,2021年12月23日,新規,3港み生食営第2949号,,182,東京油組総本店,03,03-5571-6011,,,,港区　赤坂三丁目１０番２０号,東京都港区赤坂３丁目１０番２０号,第三対翠館ビル１階,73048,13,13103,赤坂３,,2021/12/23,2021/12/23,,,株式会社サッポロ実業,,03-3982-3852,,,,,,,,3港み生食営第2949号,新規,飲食店営業,,,,182_東京都_みなと保健所_食品衛生()_2021年11月-2021年12月_末日_新規、廃止、変更,M,76,,,東京油組総本店03-5571-60117304813103,bd363537-deab-4785-b3b2-29a5505a56a6,株式会社サッポロ実業,47b1ebdf-cc42-4661-90dd-8bb83e8119f2,b177af06-5b00-46ae-b87c-86b168a1ce8a,2021/12/23,東京油組総本店,東京油組総本店,株式会社サッポロ実業
焼肉割烹ふみや,港区,赤坂三丁目１２番５号,ホテルヒラリーズ１階,03-6441-2978,飲食店営業,株式会社ＯＩＣＹ,06-6534-0141,2021年12月15日,2021年12月15日,新規,3港み生食営第2210号,,182,焼肉割烹ふみや,03,03-6441-2978,,,,港区　赤坂三丁目１２番５号,東京都港区赤坂３丁目１２番５号,ホテルヒラリーズ１階,73048,13,13103,赤坂３,,2021/12/15,2021/12/15,,,株式会社ＯＩＣＹ,,06-6534-0141,,,,,,,,3港み生食営第2210号,新規,飲食店営業,,,,182_東京都_みなと保健所_食品衛生()_2021年11月-2021年12月_末日_新規、廃止、変更,M,76,,,焼肉割烹ふみや03-6441-29787304813103,ddf6e960-3098-4fe5-a64a-99c733ccd3e3,株式会社ＯＩＣＹ,990434c4-04e9-45e7-813f-9ddac3e67bac,3975191c-63c5-4339-abd8-f4ee9f3c9e3f,2021/12/15,焼肉割烹ふみや,焼肉割烹ふみや,株式会社ＯＩＣＹ
韓国家庭料理チョンギワ新館,港区,赤坂三丁目１２番７号,赤坂ソシアルビル１階,03-3586-2896,飲食店営業,有限会社青瓦,03-3587-1089,2021年12月13日,2021年12月13日,新規,3港み生食営第2802号,,182,韓国家庭料理チョンギワ新館,03,03-3586-2896,,,,港区　赤坂三丁目１２番７号,東京都港区赤坂３丁目１２番７号,赤坂ソシアルビル１階,73048,13,13103,赤坂３,,2021/12/13,2021/12/13,,,有限会社青瓦,,03-3587-1089,,,,,,,,3港み生食営第2802号,新規,飲食店営業,,,,182_東京都_みなと保健所_食品衛生()_2021年11月-2021年12月_末日_新規、廃止、変更,M,76,,,韓国家庭料理チョンギワ新館03-3586-28967304813103,368782d6-3311-4c70-ae7d-27bb4a9065b6,有限会社青瓦,54088208-ef6d-40cd-9425-ee0bfcbe5f38,8042746b-61f4-42cb-b73c-5e1fe3374a27,2021/12/13,韓国家庭料理チョンギワ新館,韓国家庭料理チョンギワ新館,有限会社青瓦
赤から　ＴＢＳ通り店（金沢カレー研究所赤坂店）,港区,赤坂三丁目１２番１０号,赤坂サンビル２階,03-6277-8771,飲食店営業,株式会社ＲＣＰ,03-3568-1182,2021年12月6日,2021年12月6日,新規,3港み生食営第2710号,,182,赤から　ＴＢＳ通り店（金沢カレー研究所赤坂店）,03,03-6277-8771,,,,港区　赤坂三丁目１２番１０号,東京都港区赤坂３丁目１２番１０号,赤坂サンビル２階,73048,13,13103,赤坂３,,2021/12/06,2021/12/06,,,株式会社ＲＣＰ,,03-3568-1182,,,,,,,,3港み生食営第2710号,新規,飲食店営業,,,,182_東京都_みなと保健所_食品衛生()_2021年11月-2021年12月_末日_新規、廃止、変更,M,76,,,赤からＴＢＳ通り店金沢カレ研究所赤坂店03-6277-87717304813103,23c87806-28f2-4537-9b6c-aa972787ad8d,株式会社ＲＣＰ,3b8265c2-611d-4ba0-8e64-54ea5374f0cd,0293a981-5e97-4a41-8a56-c7db59a0ab70,2021/12/06,赤から　ＴＢＳ通り店（金沢カレー研究所赤坂店）,赤からＴＢＳ通り店金沢カレ研究所赤坂店,株式会社ＲＣＰ
エクセルシオールカフェ赤坂一ツ木通り店,港区,赤坂三丁目１３番１３号,中村ビル１・２階,03-3568-6558,飲食店営業,株式会社ドトールコーヒー,03-5459-9032,2021年12月7日,2021年12月7日,新規,3港み生食営第2728号,,182,エクセルシオールカフェ赤坂一ツ木通り店,03,03-3568-6558,,,,港区　赤坂三丁目１３番１３号,東京都港区赤坂３丁目１３番１３号,中村ビル１・２階,73048,13,13103,赤坂３,,2021/12/07,2021/12/07,,,株式会社ドトールコーヒー,,03-5459-9032,,,,,,,,3港み生食営第2728号,新規,飲食店営業,,,,182_東京都_みなと保健所_食品衛生()_2021年11月-2021年12月_末日_新規、廃止、変更,M,76,,,エクセルシオルカフェ赤坂一ツ木通り店03-3568-65587304813103,03aab17e-c2a5-4b1d-a589-01abcc2f8a46,株式会社ドトールコーヒー,f47edf9d-2899-4438-bd21-02a582e3d0eb,93756e8a-5e88-4554-9398-6ddb3410282a,2021/12/07,エクセルシオールカフェ赤坂一ツ木通り店,エクセルシオルカフェ赤坂一ツ木通り店,株式会社ドトールコーヒー
ＪＪ,港区,赤坂三丁目１４番１号,コンチネンタル赤坂Ⅳ４階,03-6459-1763,飲食店営業,株式会社ＰＫ,03-6459-1763,2021年12月20日,2021年12月20日,新規,3港み生食営第2899号,,182,ＪＪ,03,03-6459-1763,,,,港区　赤坂三丁目１４番１号,東京都港区赤坂３丁目１４番１号,コンチネンタル赤坂Ⅳ４階,73048,13,13103,赤坂３,,2021/12/20,2021/12/20,,,株式会社ＰＫ,,03-6459-1763,,,,,,,,3港み生食営第2899号,新規,飲食店営業,,,,182_東京都_みなと保健所_食品衛生()_2021年11月-2021年12月_末日_新規、廃止、変更,M,76,,,ＪＪ03-6459-17637304813103,9e93a2d2-4ab1-43c4-bacc-a8ec494fb7a7,株式会社ＰＫ,0a7bb42c-a3fe-4350-9f9e-abac925d3c79,4d167328-1b8d-4da6-be67-473f9234bd93,2021/12/20,ＪＪ,ＪＪ,株式会社ＰＫ
ＰＥＡＲＬ　ＢＡＲ,港区,赤坂三丁目１５番１号,ＳＩＯＮビル３階Ａ号室,,飲食店営業,ＳＥＶＥＮ　ＳＴＡＲＳ株式会社,,2021年12月7日,2021年12月7日,新規,3港み生食営第2787号,,182,ＰＥＡＲＬ　ＢＡＲ,03,,,,,港区　赤坂三丁目１５番１号,東京都港区赤坂３丁目１５番１号,ＳＩＯＮビル３階Ａ号室,73048,13,13103,赤坂３,,2021/12/07,2021/12/07,,,ＳＥＶＥＮ　ＳＴＡＲＳ株式会社,,,,,,,,,,3港み生食営第2787号,新規,飲食店営業,,,,182_東京都_みなと保健所_食品衛生()_2021年11月-2021年12月_末日_新規、廃止、変更,M,76,,,ＰＥＡＲＬＢＡＲ7304813103,8f103c58-092b-4dee-8469-0b015046d7a2,ＳＥＶＥＮ　ＳＴＡＲＳ株式会社,0fffce1c-ea8f-49e3-b7c6-1ca8dca87831,ffc5b3b0-aeff-4e8a-8643-ab47e5f59c60,2021/12/07,ＰＥＡＲＬ　ＢＡＲ,ＰＥＡＲＬＢＡＲ,ＳＥＶＥＮ　ＳＴＡＲＳ株式会社
北海道ラーメン　みそ熊　赤坂店,港区,赤坂三丁目１５番４号,レアルタ赤坂ビル１階,03-6435-5724,飲食店営業,株式会社テクノ開発,086-263-0204,2021年12月7日,2021年12月7日,新規,3港み生食営第2730号,,182,北海道ラーメン　みそ熊　赤坂店,03,03-6435-5724,,,,港区　赤坂三丁目１５番４号,東京都港区赤坂３丁目１５番４号,レアルタ赤坂ビル１階,73048,13,13103,赤坂３,,2021/12/07,2021/12/07,,,株式会社テクノ開発,,086-263-0204,,,,,,,,3港み生食営第2730号,新規,飲食店営業,,,,182_東京都_みなと保健所_食品衛生()_2021年11月-2021年12月_末日_新規、廃止、変更,M,76,,,北海道ラメンみそ熊赤坂店03-6435-57247304813103,34c935b0-d204-47cd-b379-c9488d57d234,株式会社テクノ開発,58735b79-b524-4dd1-9409-b5a207e27ec8,60804e3f-7f6b-4516-9078-0731cc469b27,2021/12/07,北海道ラーメン　みそ熊　赤坂店,北海道ラメンみそ熊赤坂店,株式会社テクノ開発
初穂,港区,赤坂三丁目１５番１２号,フォーラム赤坂ビル３階北室,03-5544-8699,飲食店営業,株式会社ＳＩＺＥＮ,03-5544-8699,2021年12月27日,2021年12月27日,新規,3港み生食営第2937号,,182,初穂,03,03-5544-8699,,,,港区　赤坂三丁目１５番１２号,東京都港区赤坂３丁目１５番１２号,フォーラム赤坂ビル３階北室,73048,13,13103,赤坂３,,2021/12/27,2021/12/27,,,株式会社ＳＩＺＥＮ,,03-5544-8699,,,,,,,,3港み生食営第2937号,新規,飲食店営業,,,,182_東京都_みなと保健所_食品衛生()_2021年11月-2021年12月_末日_新規、廃止、変更,M,76,,,初穂03-5544-86997304813103,902b2e6c-932b-44c3-a81d-453cb21438c0,株式会社ＳＩＺＥＮ,d0249f5b-e89c-4a15-adae-2daf050a5675,bc0c952d-7899-461d-bf45-39973452aeb6,2021/12/27,初穂,初穂,株式会社ＳＩＺＥＮ
