https://docs.google.com/spreadsheets/d/1Qy3el1DFIpxtm3-VIAdZlBmEHual1CU39oB_urGxiyI/edit#gid=508940504,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
56,n処理終了,,,,,,,,,,,,,,,d08_import_license_datas,完了,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,施設名,郵便番号,施設-住所1,施設-住所2,施設-住所3,施設-住所4,施設-マンション名,施設-電話番号1,業種,申請者1,申請-電話番号1,開業年月日,許可年月日,許可期間開始日,確認番号,ここまで,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
No,屋号,施設郵便番号,,"施設所在地
（市区町村）","施設所在地
（町域）","施設所在地
（番地等）","施設所在地
（マンション名等）",施設電話番号,業種,営業者氏名（個人又は法人名）,"営業者電話番号
（法人のみ）",初回許可年月日,許可年月日,許可開始日,許可番号,,管轄保健所,名称,市外局番,電話番号,施設の郵便番号,緯度,経度,施設の住所（元住所）,施設の住所（整備）,施設マンション名,施設-住所コード,施設-都道府県,施設-郡・政令市・市区町村名,施設-大字名・字名,申請年月日,開業年月日,許可年月日,許可期間開始日,許可期間終了日,申請法人,申請者氏名(個人名),申請者（開設者）の電話番号,申請者の住所（元住所）,申請者の住所（整備）,申請マンション名,申請-住所コード,申請-都道府県,申請-郡・政令市・市区町村名,申請-大字名・字名,確認番号,申請区分,業種,業態,その他,法人番号,シート名,産業分類大,産業分類中,産業分類小,産業分類詳細,facility_idを識別するための文字列,店舗コード,company_idを識別するための文字列,法人コード,ライセンスコード,検索用日付,整備名称,整備名称2,整備申請法人
10,ピエトロ次郎丸店,8140165,福岡県,福岡市早良区,次郎丸4-3-21,,,092-874-0900,① 飲食店営業,株式会社ピエトロ　,092-724-4929,"月曜日, 11月 29, 2021","月曜日, 11月 29, 2021","土曜日, 1月 01, 2022",福早保衛第2021015106号,,394,ピエトロ次郎丸店,092,092-874-0900,,,,福岡県　福岡市早良区　次郎丸4-3-21　,福岡県福岡市早良区次郎丸４－３－２１,,200864,40,40137,次郎丸４,,2021/11/29,2021/11/29,2022/01/01,,株式会社ピエトロ　,,092-724-4929,,,,,,,,福早保衛第2021015106号,,飲食店営業,,,,394_福岡県_早良保健所_食品衛生(許可)_2021年11月-2021年12月_末日_新規、廃止(1),M,76,,,ピエトロ次郎丸店092-874-090020086440137,6b7b3856-e287-4bcf-be5a-24975cdf03a6,株式会社ピエトロ　,637da551-1bad-4d3a-8727-b90b28912c3b,452c856f-435b-4cb9-8c12-0625f666940f,2021/11/29,ピエトロ次郎丸店,ピエトロ次郎丸店,株式会社ピエトロ　
11,丸ふじ　ハイマートかどた　室見本店,8140015,福岡県,福岡市早良区,室見,4-1-23,,092-821-0848,① 飲食店営業,株式会社丸ふじ,093-541-1948,"月曜日, 11月 01, 2021","月曜日, 11月 01, 2021","月曜日, 11月 01, 2021",福早保衛第2021010078号,,394,丸ふじ　ハイマートかどた　室見本店,092,092-821-0848,,,,福岡県　福岡市早良区　室見　4-1-23,福岡県福岡市早良区室見４－１－２３,,200933,40,40137,室見４,,2021/11/01,2021/11/01,2021/11/01,,株式会社丸ふじ,,093-541-1948,,,,,,,,福早保衛第2021010078号,,飲食店営業,,,,394_福岡県_早良保健所_食品衛生(許可)_2021年11月-2021年12月_末日_新規、廃止(1),M,76,,,丸ふじハイマトかどた室見本店092-821-084820093340137,7bdc4c43-dbe2-4853-92bf-f44492464771,株式会社丸ふじ,96d207cc-b524-450b-836e-d54c59cee059,ea827282-128c-4b93-8807-4cbc22c3f425,2021/11/01,丸ふじ　ハイマートかどた　室見本店,丸ふじハイマトかどた室見本店,株式会社丸ふじ
12,蕎麦処　草八,8140002,福岡県,福岡市早良区,西新五丁目,１５番２８号,Ｎｅｗ８西新,092-843-8711,① 飲食店営業,三栄ビルサービス株式会社,092-451-5628,"金曜日, 11月 05, 2021","金曜日, 11月 05, 2021","土曜日, 1月 01, 2022",福早保衛第2021015082号,,394,蕎麦処　草八,092,092-843-8711,,,,福岡県　福岡市早良区　西新五丁目　１５番２８号,福岡県福岡市早良区西新５丁目１５番２８号,Ｎｅｗ８西新,200883,40,40137,西新５,,2021/11/05,2021/11/05,2022/01/01,,三栄ビルサービス株式会社,,092-451-5628,,,,,,,,福早保衛第2021015082号,,飲食店営業,,,,394_福岡県_早良保健所_食品衛生(許可)_2021年11月-2021年12月_末日_新規、廃止(1),M,76,,,蕎麦処草八092-843-871120088340137,cc18930a-b662-4107-b0a9-b0c66eae0a1b,三栄ビルサービス株式会社,785ea0a3-c0a9-4b71-9821-1e59f168d7df,3eb535d1-0b2f-4a4e-91b5-83b3b4299aba,2021/11/05,蕎麦処　草八,蕎麦処草八,三栄ビルサービス株式会社
13,ほっともっと室住団地東口店,8140033,福岡県,福岡市早良区,有田一丁目,３３番８号,,092-847-0100,① 飲食店営業,有限会社タサカ,092-847-0100,"木曜日, 11月 11, 2021","木曜日, 11月 11, 2021","土曜日, 1月 01, 2022",福早保衛第2021010090号,,394,ほっともっと室住団地東口店,092,092-847-0100,,,,福岡県　福岡市早良区　有田一丁目　３３番８号,福岡県福岡市早良区有田１丁目３３番８号,,200798,40,40137,有田１,,2021/11/11,2021/11/11,2022/01/01,,有限会社タサカ,,092-847-0100,,,,,,,,福早保衛第2021010090号,,飲食店営業,,,,394_福岡県_早良保健所_食品衛生(許可)_2021年11月-2021年12月_末日_新規、廃止(1),M,76,,,ほっともっと室住団地東口店092-847-010020079840137,94a466c3-9423-4b22-8be0-c543e196c455,有限会社タサカ,b8a38631-1a5a-45a9-8da3-8b278063fe3b,f660fac1-090d-4618-8b38-0d5d245752cd,2021/11/11,ほっともっと室住団地東口店,ほっともっと室住団地東口店,有限会社タサカ
14,星乃珈琲店　福岡早良店,8140161,福岡県,福岡市早良区,飯倉三丁目,２０番３３号　,１Ｆ,092-832-6833,① 飲食店営業,日本レストランシステム株式会社,03-5456-0123,"木曜日, 11月 11, 2021","木曜日, 11月 11, 2021","土曜日, 1月 01, 2022",福早保衛第2021015088号,,394,星乃珈琲店　福岡早良店,092,092-832-6833,,,,福岡県　福岡市早良区　飯倉三丁目　２０番３３号　,福岡県福岡市早良区飯倉３丁目２０番３３号,１Ｆ,200808,40,40137,飯倉３,,2021/11/11,2021/11/11,2022/01/01,,日本レストランシステム株式会社,,03-5456-0123,,,,,,,,福早保衛第2021015088号,,飲食店営業,,,,394_福岡県_早良保健所_食品衛生(許可)_2021年11月-2021年12月_末日_新規、廃止(1),M,76,,,星乃珈琲店福岡早良店092-832-683320080840137,c84f91d7-d04e-4e5d-a367-b6c671ca5d19,日本レストランシステム株式会社,efbc1699-df47-49ba-8fc9-053132eec58e,1a3129a9-83da-4e91-8585-4e7df2d918fb,2021/11/11,星乃珈琲店　福岡早良店,星乃珈琲店福岡早良店,日本レストランシステム株式会社
15,洋麺屋五右衛門　福岡早良店,8140161,福岡県,福岡市早良区,飯倉三丁目,２０番３３号　,2Ｆ,092-832-7022,① 飲食店営業,日本レストランシステム株式会社,03-5456-0123,"木曜日, 11月 11, 2021","木曜日, 11月 11, 2021","土曜日, 1月 01, 2022",福早保衛第2021015089号,,394,洋麺屋五右衛門　福岡早良店,092,092-832-7022,,,,福岡県　福岡市早良区　飯倉三丁目　２０番３３号　,福岡県福岡市早良区飯倉３丁目２０番３３号,2Ｆ,200808,40,40137,飯倉３,,2021/11/11,2021/11/11,2022/01/01,,日本レストランシステム株式会社,,03-5456-0123,,,,,,,,福早保衛第2021015089号,,飲食店営業,,,,394_福岡県_早良保健所_食品衛生(許可)_2021年11月-2021年12月_末日_新規、廃止(1),M,76,,,洋麺屋五右衛門福岡早良店092-832-702220080840137,6c5b13d0-c840-4598-b80d-dabf6d363540,日本レストランシステム株式会社,efbc1699-df47-49ba-8fc9-053132eec58e,7ebc00b5-64c3-4e27-af8a-ae831e0079fa,2021/11/11,洋麺屋五右衛門　福岡早良店,洋麺屋五右衛門福岡早良店,日本レストランシステム株式会社
16,玄海ざんまい　西福岡店,8140165,福岡県,福岡市早良区,次郎丸四丁目,９番３８号,,092-874-5030,① 飲食店営業,株式会社ハマサキ・ホールディング,093-642-1716,"金曜日, 11月 19, 2021","金曜日, 11月 19, 2021","土曜日, 1月 01, 2022",福早保衛第2021015097号,,394,玄海ざんまい　西福岡店,092,092-874-5030,,,,福岡県　福岡市早良区　次郎丸四丁目　９番３８号,福岡県福岡市早良区次郎丸４丁目９番３８号,,200864,40,40137,次郎丸４,,2021/11/19,2021/11/19,2022/01/01,,株式会社ハマサキ・ホールディング,,093-642-1716,,,,,,,,福早保衛第2021015097号,,飲食店営業,,,,394_福岡県_早良保健所_食品衛生(許可)_2021年11月-2021年12月_末日_新規、廃止(1),M,76,,,玄海ざんまい西福岡店092-874-503020086440137,0fe2a08c-4a05-4df3-9b24-f3b76522557e,株式会社ハマサキ・ホールディング,721e41fb-4f0a-4c81-b7df-019b40a46a18,335892df-0bed-43b4-a6e4-0ff2b728c619,2021/11/19,玄海ざんまい　西福岡店,玄海ざんまい西福岡店,株式会社ハマサキ・ホールディング
17,キッチン　ポルコ,,福岡県,福岡市早良区,小田部,2丁目12-6,,092-847-8250,① 飲食店営業,林田和也,,"木曜日, 11月 11, 2021","木曜日, 11月 11, 2021","木曜日, 11月 11, 2021",福早保衛第2021010077号,,394,キッチン　ポルコ,092,092-847-8250,,,,福岡県　福岡市早良区　小田部　2丁目12-6,福岡県福岡市早良区小田部２丁目１２－６,,200832,40,40137,小田部２,,2021/11/11,2021/11/11,2021/11/11,,,林田和也,,,,,,,,,福早保衛第2021010077号,,飲食店営業,,,,394_福岡県_早良保健所_食品衛生(許可)_2021年11月-2021年12月_末日_新規、廃止(1),M,76,,,キッチンポルコ092-847-825020083240137,15f03fff-2d5d-4242-8af1-b263923d666c,,personal,2f0b6ea6-59e6-483a-80da-c2a8c06cb0b7,2021/11/11,キッチン　ポルコ,キッチンポルコ,
18,もぐもぐ,8140015,福岡県,福岡市早良区,室見,五丁目１番２号,,092-821-0101,① 飲食店営業,遠藤祐成,,"金曜日, 11月 05, 2021","金曜日, 11月 05, 2021","金曜日, 11月 05, 2021",福早保衛第2021010074号,,394,もぐもぐ,092,092-821-0101,,,,福岡県　福岡市早良区　室見　五丁目１番２号,福岡県福岡市早良区室見５丁目１番２号,,200934,40,40137,室見５,,2021/11/05,2021/11/05,2021/11/05,,,遠藤祐成,,,,,,,,,福早保衛第2021010074号,,飲食店営業,,,,394_福岡県_早良保健所_食品衛生(許可)_2021年11月-2021年12月_末日_新規、廃止(1),M,76,,,もぐもぐ092-821-010120093440137,9702dbaa-1dc7-4e0a-a8b3-10574f5be9bf,,personal,c84867c6-2476-42ba-ad9b-f2b5926988d8,2021/11/05,もぐもぐ,もぐもぐ,
19,もぐもぐ,8140015,福岡県,福岡市早良区,室見,五丁目１番２号,,092-821-0101,⑪ 菓子製造業,遠藤祐成,,"金曜日, 11月 05, 2021","金曜日, 11月 05, 2021","金曜日, 11月 05, 2021",福早保衛第2021210015号,,394,もぐもぐ,092,092-821-0101,,,,福岡県　福岡市早良区　室見　五丁目１番２号,福岡県福岡市早良区室見５丁目１番２号,,200934,40,40137,室見５,,2021/11/05,2021/11/05,2021/11/05,,,遠藤祐成,,,,,,,,,福早保衛第2021210015号,,菓子製造業,,,,394_福岡県_早良保健所_食品衛生(許可)_2021年11月-2021年12月_末日_新規、廃止(1),E,9,,,もぐもぐ092-821-010120093440137,9702dbaa-1dc7-4e0a-a8b3-10574f5be9bf,,personal,9c852820-f12c-41d7-b94e-da5f7a6794ad,2021/11/05,もぐもぐ,もぐもぐ,
20,もぐもぐ,8140015,福岡県,福岡市早良区,室見,五丁目１番２号,,092-821-0101,㉕ そうざい製造業,遠藤祐成,,"金曜日, 11月 05, 2021","金曜日, 11月 05, 2021","金曜日, 11月 05, 2021",福早保衛第2021490012号,,394,もぐもぐ,092,092-821-0101,,,,福岡県　福岡市早良区　室見　五丁目１番２号,福岡県福岡市早良区室見５丁目１番２号,,200934,40,40137,室見５,,2021/11/05,2021/11/05,2021/11/05,,,遠藤祐成,,,,,,,,,福早保衛第2021490012号,,そうざい製造業,,,,394_福岡県_早良保健所_食品衛生(許可)_2021年11月-2021年12月_末日_新規、廃止(1),E,9,,,もぐもぐ092-821-010120093440137,9702dbaa-1dc7-4e0a-a8b3-10574f5be9bf,,personal,c817d7b6-64fb-4c3e-969d-25eb0f1d019f,2021/11/05,もぐもぐ,もぐもぐ,
21,cocon ,8140174,福岡県,福岡市早良区,田隈,3-21-11,毎進ハイツ,,⑪ 菓子製造業,安丸麻友子,,"月曜日, 11月 15, 2021","月曜日, 11月 15, 2021","土曜日, 1月 01, 2022",福早保衛第2021215007号,,394,cocon ,092,,,,,福岡県　福岡市早良区　田隈　3-21-11,福岡県福岡市早良区田隈３－２１－１１,毎進ハイツ,200949,40,40137,田隈３,,2021/11/15,2021/11/15,2022/01/01,,,安丸麻友子,,,,,,,,,福早保衛第2021215007号,,菓子製造業,,,,394_福岡県_早良保健所_食品衛生(許可)_2021年11月-2021年12月_末日_新規、廃止(1),E,9,,,ｃｏｃｏｎ20094940137,dc334af0-fbf3-48c9-abf6-cd1cd86de812,,personal,c3374f31-8f1a-425d-8abc-6f97722a3073,2021/11/15,ｃｏｃｏｎ　,ｃｏｃｏｎ,
22,マラン　カラン,8140174,福岡県,福岡市早良区,田隈三丁目,３０番９号,,,① 飲食店営業,多田久美子,,"木曜日, 11月 25, 2021","木曜日, 11月 25, 2021","土曜日, 1月 01, 2022",福早保衛第2021015102号,,394,マラン　カラン,092,,,,,福岡県　福岡市早良区　田隈三丁目　３０番９号,福岡県福岡市早良区田隈３丁目３０番９号,,200949,40,40137,田隈３,,2021/11/25,2021/11/25,2022/01/01,,,多田久美子,,,,,,,,,福早保衛第2021015102号,,飲食店営業,,,,394_福岡県_早良保健所_食品衛生(許可)_2021年11月-2021年12月_末日_新規、廃止(1),M,76,,,マランカラン20094940137,a0f381f6-281b-4fc7-8ba9-0fe103a1c1c6,,personal,e49c4323-35f3-4f70-8738-8a297c582845,2021/11/25,マラン　カラン,マランカラン,
23,魚河岸味処いわ浜,8111103,福岡県,福岡市早良区,四箇六丁目,９番２３号,,092-834-6888,① 飲食店営業,岩崎進,,"月曜日, 11月 29, 2021","月曜日, 11月 29, 2021","土曜日, 1月 01, 2022",福早保衛第2021015105号,,394,魚河岸味処いわ浜,092,092-834-6888,,,,福岡県　福岡市早良区　四箇六丁目　９番２３号,福岡県福岡市早良区四箇６丁目９番２３号,,200844,40,40137,四箇６,,2021/11/29,2021/11/29,2022/01/01,,,岩崎進,,,,,,,,,福早保衛第2021015105号,,飲食店営業,,,,394_福岡県_早良保健所_食品衛生(許可)_2021年11月-2021年12月_末日_新規、廃止(1),M,76,,,魚河岸味処いわ浜092-834-688820084440137,b5b62734-6abf-4232-a928-81527cc32355,,personal,ff6d1ef8-6983-476f-af02-623552cb415f,2021/11/29,魚河岸味処いわ浜,魚河岸味処いわ浜,
24,パズル,8140002,福岡県,福岡市早良区,西新一丁目,１２番２０号,,092-822-3467,① 飲食店営業,辻本光一郎,,"木曜日, 11月 18, 2021","木曜日, 11月 18, 2021","土曜日, 1月 01, 2022",福早保衛第2021015096号,,394,パズル,092,092-822-3467,,,,福岡県　福岡市早良区　西新一丁目　１２番２０号,福岡県福岡市早良区西新１丁目１２番２０号,,200879,40,40137,西新１,,2021/11/18,2021/11/18,2022/01/01,,,辻本光一郎,,,,,,,,,福早保衛第2021015096号,,飲食店営業,,,,394_福岡県_早良保健所_食品衛生(許可)_2021年11月-2021年12月_末日_新規、廃止(1),M,76,,,パズル092-822-346720087940137,bc7159ef-a64a-4579-b1d6-68f89cb69957,,personal,7f584e2e-d655-421f-a84f-a6c49fd9454b,2021/11/18,パズル,パズル,
25,カクウチトコロ・グータラ,8140022,福岡県,福岡市早良区,原四丁目,１６番２６号,,,① 飲食店営業,宮本信行,,"金曜日, 11月 26, 2021","金曜日, 11月 26, 2021","土曜日, 1月 01, 2022",福早保衛第2021015104号,,394,カクウチトコロ・グータラ,092,,,,,福岡県　福岡市早良区　原四丁目　１６番２６号,福岡県福岡市早良区原４丁目１６番２６号,,200899,40,40137,原４,,2021/11/26,2021/11/26,2022/01/01,,,宮本信行,,,,,,,,,福早保衛第2021015104号,,飲食店営業,,,,394_福岡県_早良保健所_食品衛生(許可)_2021年11月-2021年12月_末日_新規、廃止(1),M,76,,,カクウチトコログタラ20089940137,c71b12b1-61e3-4821-953f-ccf79b116c48,,personal,0580cd57-012c-42ab-b658-8c9660fdf4ca,2021/11/26,カクウチトコロ・グータラ,カクウチトコログタラ,
