https://docs.google.com/spreadsheets/d/1Qy3el1DFIpxtm3-VIAdZlBmEHual1CU39oB_urGxiyI/edit#gid=508940504,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,n処理終了,,,,,,,,,,,,,,d08_import_license_datas,完了,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
確認番号,施設名,施設-住所0,施設-住所1,施設-住所2,施設-電話番号1,業種,申請者1,申請者2,申請-住所0,施設-住所1,施設-住所2,許可期間開始日,許可期間終了日,開業年月日,ここまで,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
許可番号,施設名,営業所在地_方書,,,営業所電話番号,営業種別,営業者氏名,代表者氏名,営業者住所_方書,,,許可開始日,許可満了日,初回許可開始年月日,,管轄保健所,名称,市外局番,電話番号,施設の郵便番号,緯度,経度,施設の住所（元住所）,施設の住所（整備）,施設マンション名,施設-住所コード,施設-都道府県,施設-郡・政令市・市区町村名,施設-大字名・字名,申請年月日,開業年月日,許可年月日,許可期間開始日,許可期間終了日,申請法人,申請者氏名(個人名),申請者（開設者）の電話番号,申請者の住所（元住所）,申請者の住所（整備）,申請マンション名,申請-住所コード,申請-都道府県,申請-郡・政令市・市区町村名,申請-大字名・字名,確認番号,申請区分,業種,業態,その他,法人番号,シート名,産業分類大,産業分類中,産業分類小,産業分類詳細,facility_idを識別するための文字列,店舗コード,company_idを識別するための文字列,法人コード,ライセンスコード,検索用日付,整備名称,整備名称2,整備申請法人
5088035,時々,岐阜県岐阜市弥八町７－３　レインボービル　１Ｆ北,岐阜県岐阜市弥八町７－３,レインボービル １Ｆ北,,飲食店営業,佐々木　麻衣子,,,,,20211119,20271130,20211119,,228,時々,058,,,,,岐阜県岐阜市弥八町７－３　レインボービル １Ｆ北　　,岐阜県岐阜市弥八町７－３レインボ－ビル１Ｆ北,,104723,21,21201,弥八町,,2021/11/19,,2021/11/19,2027/11/30,,佐々木　麻衣子 ,,,,,,,,,5088035,,飲食店営業,,,,228_岐阜県_岐阜市保健所_食品衛生(許可)_2021年11月_末日_新規,M,76,,,時10472321201,10a2517e-b6bc-4ad4-a151-f44648355701,,personal,85e7d6fe-3a38-4a94-8e1d-4a8eda26fb12,2021/11/19,時々,時,
5087545,四季の料理と釜めし　はなむら,岐阜県岐阜市柳ケ瀬通６丁目１４　グランヴェール岐山　２Ｆ,岐阜県岐阜市柳ケ瀬通６丁目１４,グランヴェール岐山 ２Ｆ,058-262-7750,飲食店営業,合同会社おがわ企画,小川　光明,岐阜県羽島郡笠松町田代５１１,岐阜県羽島郡笠松町田代５１１,,20211106,20271130,20211106,,228,四季の料理と釜めし　はなむら,058,058-262-7750,,,,岐阜県岐阜市柳ケ瀬通６丁目１４　グランヴェール岐山 ２Ｆ　岐阜県羽島郡笠松町田代５１１　,岐阜県岐阜市柳が瀬通６丁目１４グランヴェ－ル岐山２Ｆ岐阜県羽島郡笠松町田代５１１,,104716,21,21201,柳が瀬通６,,2021/11/06,,2021/11/06,2027/11/30,合同会社おがわ企画,小川　光明,,,,,,,,,5087545,,飲食店営業,,,,228_岐阜県_岐阜市保健所_食品衛生(許可)_2021年11月_末日_新規,M,76,,,四季の料理と釜めしはなむら058-262-775010471621201,0b101d4f-fa9a-4459-95a8-79698891b4a7,合同会社おがわ企画,262d0f28-6f16-4f94-aa68-8ae1a768d78f,46cae2de-0f17-4444-94cc-1967cd39a015,2021/11/06,四季の料理と釜めし　はなむら,四季の料理と釜めしはなむら,合同会社おがわ企画
5087875,ワイン佐藤,岐阜県岐阜市玉宮町１丁目９－１,岐阜県岐阜市玉宮町１丁目９－１,,058-267-1320,飲食店営業,佐藤　祐弥,,,,,20211113,20271130,20211113,,228,ワイン佐藤,058,058-267-1320,,,,岐阜県岐阜市玉宮町１丁目９－１　　　,岐阜県岐阜市玉宮町１丁目９－１,,103985,21,21201,玉宮町１,,2021/11/13,,2021/11/13,2027/11/30,,佐藤　祐弥 ,,,,,,,,,5087875,,飲食店営業,,,,228_岐阜県_岐阜市保健所_食品衛生(許可)_2021年11月_末日_新規,M,76,,,ワイン佐藤058-267-132010398521201,66392c20-b87c-4b3c-ac2c-d7637e33cfea,,personal,dbb04840-c3c2-448c-a009-b953c0a983d7,2021/11/13,ワイン佐藤,ワイン佐藤,
5087595,Ｎｏｕｎｏｕｓ,岐阜県岐阜市高野町３丁目１４－９　シエスタビル　４Ｆ,岐阜県岐阜市高野町３丁目１４－９,シエスタビル ４Ｆ,,飲食店営業,熊谷　隆生,,,,,20211109,20261130,20211109,,228,Ｎｏｕｎｏｕｓ,058,,,,,岐阜県岐阜市高野町３丁目１４－９　シエスタビル ４Ｆ　　,岐阜県岐阜市高野町３丁目１４－９シエスタビル４Ｆ,,103956,21,21201,高野町３,,2021/11/09,,2021/11/09,2026/11/30,,熊谷　隆生 ,,,,,,,,,5087595,,飲食店営業,,,,228_岐阜県_岐阜市保健所_食品衛生(許可)_2021年11月_末日_新規,M,76,,,Ｎｏｕｎｏｕｓ10395621201,d2ed348f-e11c-426c-a1cc-b811f1efda38,,personal,7a8260d3-d789-42cc-8956-7827deedc390,2021/11/09,Ｎｏｕｎｏｕｓ,Ｎｏｕｎｏｕｓ,
5087915,ロレアル,岐阜県岐阜市長住町３丁目１３－４　日の丸ビル　２Ｆ,岐阜県岐阜市長住町３丁目１３－４,日の丸ビル ２Ｆ,,飲食店営業,松原　亜季,,,,,20211120,20271130,20211120,,228,ロレアル,058,,,,,岐阜県岐阜市長住町３丁目１３－４　日の丸ビル ２Ｆ　　,岐阜県岐阜市長住町３丁目１３－４日ノ丸ビル２Ｆ,,104157,21,21201,長住町３,,2021/11/20,,2021/11/20,2027/11/30,,松原　亜季 ,,,,,,,,,5087915,,飲食店営業,,,,228_岐阜県_岐阜市保健所_食品衛生(許可)_2021年11月_末日_新規,M,76,,,ロレアル10415721201,08fec396-d6aa-443e-b3c6-d84b6fa27961,,personal,45a5f934-a2dc-4893-829f-5fffb89df4e3,2021/11/20,ロレアル,ロレアル,
5087075,日本料理　ゆうたん,岐阜県岐阜市長住町７丁目３,岐阜県岐阜市長住町７丁目３,,,飲食店営業,丹羽　哲也,,,,,20211112,20271130,20211112,,228,日本料理　ゆうたん,058,,,,,岐阜県岐阜市長住町７丁目３　　　,岐阜県岐阜市長住町７丁目３,,104161,21,21201,長住町７,,2021/11/12,,2021/11/12,2027/11/30,,丹羽　哲也 ,,,,,,,,,5087075,,飲食店営業,,,,228_岐阜県_岐阜市保健所_食品衛生(許可)_2021年11月_末日_新規,M,76,,,日本料理ゆうたん10416121201,693fdd17-f1be-4fe3-a19d-9618a82b2af6,,personal,31980403-7b6d-4314-a643-2e33e927a939,2021/11/12,日本料理　ゆうたん,日本料理ゆうたん,
5088215,うどん平家,岐阜県岐阜市県町１丁目７－１,岐阜県岐阜市県町１丁目７－１,,,飲食店営業,丹下　寿継,,,,,20211127,20261130,20211127,,228,うどん平家,058,,,,,岐阜県岐阜市県町１丁目７－１　　　,岐阜県岐阜市県町１丁目７－１,,102936,21,21201,県町１,,2021/11/27,,2021/11/27,2026/11/30,,丹下　寿継 ,,,,,,,,,5088215,,飲食店営業,,,,228_岐阜県_岐阜市保健所_食品衛生(許可)_2021年11月_末日_新規,M,76,,,うどん平家10293621201,3ac7f551-147a-432b-b9ea-67a121eecc35,,personal,3890146d-ab4f-4623-af59-ea6df9b974d3,2021/11/27,うどん平家,うどん平家,
5087705,壁のカボ　パンプキンクリーム専門店,岐阜県岐阜市清住町２丁目２０,岐阜県岐阜市清住町２丁目２０,,058-263-7313,菓子製造業,牧野　愛,,,,,20211120,20280531,20211120,,228,壁のカボ　パンプキンクリーム専門店,058,058-263-7313,,,,岐阜県岐阜市清住町２丁目２０　　　,岐阜県岐阜市清住町２丁目２０,,103605,21,21201,清住町２,,2021/11/20,,2021/11/20,2028/05/31,,牧野　愛 ,,,,,,,,,5087705,,菓子製造業,,,,228_岐阜県_岐阜市保健所_食品衛生(許可)_2021年11月_末日_新規,E,9,,,壁のカボパンプキンクリム専門店058-263-731310360521201,47b29fe7-7ecd-49d1-a9cc-cd8ddf68b4bb,,personal,fb088782-acbf-4cad-8676-346dec3be4df,2021/11/20,壁のカボ　パンプキンクリーム専門店,壁のカボパンプキンクリム専門店,
5087605,発酵料理のお店　麹,岐阜県岐阜市本郷町２丁目１６－２,岐阜県岐阜市本郷町２丁目１６－２,,,菓子製造業,鈴木　弥智,,,,,20211106,20271130,20211106,,228,発酵料理のお店　麹,058,,,,,岐阜県岐阜市本郷町２丁目１６－２　　　,岐阜県岐阜市本郷町２丁目１６－２,,104514,21,21201,本郷町２,,2021/11/06,,2021/11/06,2027/11/30,,鈴木　弥智 ,,,,,,,,,5087605,,菓子製造業,,,,228_岐阜県_岐阜市保健所_食品衛生(許可)_2021年11月_末日_新規,E,9,,,発酵料理のお店麹10451421201,f7188177-fbcb-4e1d-813d-579a6a3e2673,,personal,e6520c65-7e90-4b61-8123-5aa241debf58,2021/11/06,発酵料理のお店　麹,発酵料理のお店麹,
5087615,発酵料理のお店　麹,岐阜県岐阜市本郷町２丁目１６－２,岐阜県岐阜市本郷町２丁目１６－２,,,みそ又はしょうゆ製造業,鈴木　弥智,,,,,20211106,20271130,20211106,,228,発酵料理のお店　麹,058,,,,,岐阜県岐阜市本郷町２丁目１６－２　　　,岐阜県岐阜市本郷町２丁目１６－２,,104514,21,21201,本郷町２,,2021/11/06,,2021/11/06,2027/11/30,,鈴木　弥智 ,,,,,,,,,5087615,,みそ製造業,,,,228_岐阜県_岐阜市保健所_食品衛生(許可)_2021年11月_末日_新規,E,9,,,発酵料理のお店麹10451421201,f7188177-fbcb-4e1d-813d-579a6a3e2673,,personal,00500fa0-41d6-4600-83ef-518b8a4e067e,2021/11/06,発酵料理のお店　麹,発酵料理のお店麹,
