https://docs.google.com/spreadsheets/d/1Qy3el1DFIpxtm3-VIAdZlBmEHual1CU39oB_urGxiyI/edit#gid=508940504,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48,n処理終了,,,,,,,,,,,,,,,,,,,,,d08_import_license_datas,完了,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,施設名,,業種,業態,施設-住所1,施設-マンション名,,,施設-電話番号1,申請者1,,確認番号,開業年月日,許可年月日,許可期間開始日,許可期間終了日,,,その他,,ここまで,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
都道府県名,市区町村名,施設名称,施設名称_カナ,営業の種類,業態,施設所在地,施設方書,緯度,経度,施設電話番号,法人名,法人番号,許可番号,初回許可年月日,許可年月日,許可開始日,許可満了日,廃業年月日,申請区分,許可条件,備考,,管轄保健所,名称,市外局番,電話番号,施設の郵便番号,緯度,経度,施設の住所（元住所）,施設の住所（整備）,施設マンション名,施設-住所コード,施設-都道府県,施設-郡・政令市・市区町村名,施設-大字名・字名,申請年月日,開業年月日,許可年月日,許可期間開始日,許可期間終了日,申請法人,申請者氏名(個人名),申請者（開設者）の電話番号,申請者の住所（元住所）,申請者の住所（整備）,申請マンション名,申請-住所コード,申請-都道府県,申請-郡・政令市・市区町村名,申請-大字名・字名,確認番号,申請区分,業種,業態,その他,法人番号,シート名,産業分類大,産業分類中,産業分類小,産業分類詳細,facility_idを識別するための文字列,店舗コード,company_idを識別するための文字列,法人コード,ライセンスコード,検索用日付,整備名称,整備名称2,整備申請法人
愛知県,岡崎市,ブロンコ・ビリー岡崎六名店,ブロンコビリ－オカザキムツナテン,飲食店営業,,愛知県岡崎市六名1-3-6,,,,(0564)58-4541,株式会社　ブロンコビリー,,503-01-401-0128,2021/12/16,2021/12/16,2022/1/1,2027/12/31,,,,,,247,ブロンコ・ビリー岡崎六名店,0564,0564-58-4541,,,,愛知県岡崎市六名1-3-6,愛知県岡崎市六名１－３－６,,118423,23,23202,六名１,,2021/12/16,2021/12/16,2022/01/01,2027/12/31,株式会社　ブロンコビリー,,,,,,,,,,503-01-401-0128,,飲食店営業,,,,247_愛知県_岡崎市保健所_食品衛生()_2021年12月_末日,M,76,,,ブロンコビリ岡崎六名店0564-58-454111842323202,00247_98e2e76e-7ecd-43c8-859c-15db761af2c6,株式会社ブロンコビリー,08804fdd-eec5-42d2-9f39-6dbd475a19fe,da676d61-e5d1-4d2c-96a7-8c0c7b8c2873,2021/12/16,ブロンコ・ビリー岡崎六名店,ブロンコビリ岡崎六名店,株式会社ブロンコビリー
愛知県,岡崎市,スバカマナ　岡崎南店,スバカマナ　オカザキミナミテン,菓子製造業,,愛知県岡崎市上和田町字南天白25,,,,(0564)57-1919,,,503-01-414-0032,2021/12/16,2021/12/16,2022/1/1,2027/12/31,,,,,,247,スバカマナ　岡崎南店,0564,0564-57-1919,,,,愛知県岡崎市上和田町字南天白25,愛知県岡崎市上和田町字南天白２５,,118121,23,23202,上和田町,,2021/12/16,2021/12/16,2022/01/01,2027/12/31,,,,,,,,,,,503-01-414-0032,,菓子製造業,,,,247_愛知県_岡崎市保健所_食品衛生()_2021年12月_末日,E,9,,,スバカマナ岡崎南店0564-57-191911812123202,48dc3a9d-5ee6-45ca-8230-a0d693692ea0,,personal,ea1ce37e-e04c-460f-baae-4a1148844f65,2021/12/16,スバカマナ　岡崎南店,スバカマナ岡崎南店,
愛知県,岡崎市,むつみ,ムツミ,飲食店営業,,愛知県岡崎市中島町字新町31,,,,(0564)43-3322,,,503-01-401-0121,2021/12/14,2021/12/14,2022/1/1,2027/12/31,,,,,,247,むつみ,0564,0564-43-3322,,,,愛知県岡崎市中島町字新町31,愛知県岡崎市中島町字新町３１,,118204,23,23202,中島町,,2021/12/14,2021/12/14,2022/01/01,2027/12/31,,,,,,,,,,,503-01-401-0121,,飲食店営業,,,,247_愛知県_岡崎市保健所_食品衛生()_2021年12月_末日,M,76,,,むつみ0564-43-332211820423202,f8ee0a08-5f90-45aa-9aad-f11227420c8b,,personal,7a1619c1-fdf3-4b2f-97ff-b94b9542a7a4,2021/12/14,むつみ,むつみ,
愛知県,岡崎市,ＢＡＲ＆ＤＩＮＩＮＧ　Ｌａｚｏ,バー　アンド　ダイニング　ラソ,飲食店営業,,愛知県岡崎市上地5-1-9,,,,(0564)58-6064,,,503-01-404-0143,2021/12/13,2021/12/13,2022/1/1,2027/12/31,,,,,,247,ＢＡＲ＆ＤＩＮＩＮＧ　Ｌａｚｏ,0564,0564-58-6064,,,,愛知県岡崎市上地5-1-9,愛知県岡崎市上地５－１－９,,118465,23,23202,上地５,,2021/12/13,2021/12/13,2022/01/01,2027/12/31,,,,,,,,,,,503-01-404-0143,,飲食店営業,,,,247_愛知県_岡崎市保健所_食品衛生()_2021年12月_末日,M,76,,,ＢＡＲＤＩＮＩＮＧＬａｚｏ0564-58-606411846523202,1cb4d7c7-3264-46da-b0a4-9264d886f4a2,,personal,c84f362e-5805-4ac6-893f-8da7b395dab0,2021/12/13,ＢＡＲ＆ＤＩＮＩＮＧ　Ｌａｚｏ,ＢＡＲＤＩＮＩＮＧＬａｚｏ,
愛知県,岡崎市,コカ・コーラボトラーズジャパン株式会社,コカ・コーラボトラーズジャパンカブシキガイシャ,調理の機能を有する自動販売機により食品を調理し、調理された食品を販売する営業,,愛知県岡崎市江口1-2-22,六名クラブ,,,,コカ・コーラボトラーズジャパン株式会社,,503-01-405-0006,2021/12/10,2021/12/10,2022/1/1,2026/12/31,,,,,,247,コカ・コーラボトラーズジャパン株式会社,0564,,,,,愛知県岡崎市江口1-2-22,愛知県岡崎市江口１－２－２２,六名クラブ,118352,23,23202,江口１,,2021/12/10,2021/12/10,2022/01/01,2026/12/31,コカ・コーラボトラーズジャパン株式会社,,,,,,,,,,503-01-405-0006,,調理機能を有する自動販売機,,,,247_愛知県_岡崎市保健所_食品衛生()_2021年12月_末日,I,61,612,,コカコラボトラズジャパン株式会社11835223202,00247_909e3790-d20b-4b71-88f9-ada9fbe82daf,コカ・コーラボトラーズジャパン株式会社,5a22ba3a-c2f1-40a6-bdac-b27718f89f96,99c83e88-92ba-41ef-947c-5f71acffa1f3,2021/12/10,コカ・コーラボトラーズジャパン株式会社,コカコラボトラズジャパン株式会社,コカ・コーラボトラーズジャパン株式会社
愛知県,岡崎市,ファミリーマート　岡崎大門駅前店,ファミリーマート　オカザキダイモンエキマエテン,飲食店営業,,愛知県岡崎市大門5-1-16,,,,(0564)65-5156,有限会社　仁満,,503-01-404-0147,2021/12/10,2021/12/10,2022/1/1,2027/12/31,,,,,,247,ファミリーマート　岡崎大門駅前店,0564,0564-65-5156,,,,愛知県岡崎市大門5-1-16,愛知県岡崎市大門５－１－１６,,118378,23,23202,大門５,,2021/12/10,2021/12/10,2022/01/01,2027/12/31,有限会社　仁満,,,,,,,,,,503-01-404-0147,,飲食店営業,,,,247_愛知県_岡崎市保健所_食品衛生()_2021年12月_末日,M,76,,,ファミリマト岡崎大門駅前店0564-65-515611837823202,00247_cffb9656-bde8-4814-a714-a51b0a706a77,有限会社仁満,e1db6076-3ac7-4701-8f1f-7a5ff984c344,d24a99b6-1288-4faa-b77a-902fc75f4ae3,2021/12/10,ファミリーマート　岡崎大門駅前店,ファミリマト岡崎大門駅前店,有限会社仁満
愛知県,岡崎市,岡崎市役所東庁舎内レストラン,オカザキシヤクショヒガシチョウシャナイレストラン,飲食店営業,,愛知県岡崎市朝日町3-1,,,,(0564)25-1570,一般社団法人　岡崎パブリックサービス,,503-01-401-0119,2021/12/10,2021/12/10,2022/1/1,2027/12/31,,,,,,247,岡崎市役所東庁舎内レストラン,0564,0564-25-1570,,,,愛知県岡崎市朝日町3-1,愛知県岡崎市朝日町３－１,,118042,23,23202,朝日町３,,2021/12/10,2021/12/10,2022/01/01,2027/12/31,一般社団法人　岡崎パブリックサービス,,,,,,,,,,503-01-401-0119,,飲食店営業,,,,247_愛知県_岡崎市保健所_食品衛生()_2021年12月_末日,M,76,,,岡崎市役所東庁舎内レストラン0564-25-157011804223202,00247_18bca325-9070-475f-adbb-10e5fe7adc0b,一般社団法人岡崎パブリックサービス,ba39dba4-ef1c-4e7e-8b45-9477116489aa,8cedd7c7-d3eb-48ac-90b6-06ac2dc619ea,2021/12/10,岡崎市役所東庁舎内レストラン,岡崎市役所東庁舎内レストラン,一般社団法人岡崎パブリックサービス
愛知県,岡崎市,ファミリーマート　岡崎葵町店,ファミリーマート　オカザキアオイチョウテン,飲食店営業,,愛知県岡崎市葵町15-1,,,,(0564)66-0781,有限会社　鈴木,,503-01-404-0140,2021/12/10,2021/12/10,2022/1/1,2027/12/31,,,,,,247,ファミリーマート　岡崎葵町店,0564,0564-66-0781,,,,愛知県岡崎市葵町15-1,愛知県岡崎市葵町１５－１,,118035,23,23202,葵町,,2021/12/10,2021/12/10,2022/01/01,2027/12/31,有限会社　鈴木,,,,,,,,,,503-01-404-0140,,飲食店営業,,,,247_愛知県_岡崎市保健所_食品衛生()_2021年12月_末日,M,76,,,ファミリマト岡崎葵町店0564-66-078111803523202,00247_6739e9ca-89f1-468a-9fb4-01bae9e877c5,有限会社鈴木,6de270fd-d0c4-42d6-b48f-86a7a529cbe4,7f476472-49c0-46c8-9c60-f4519489ae40,2021/12/10,ファミリーマート　岡崎葵町店,ファミリマト岡崎葵町店,有限会社鈴木
愛知県,岡崎市,スガキヤ,スガキヤ,飲食店営業,,愛知県岡崎市日名北町4-46,,,,(0564)27-0380,スガキコシステムズ株式会社,,503-01-401-0120,2021/12/10,2021/12/10,2022/1/1,2027/12/31,,,,,,247,スガキヤ,0564,0564-27-0380,,,,愛知県岡崎市日名北町4-46,愛知県岡崎市日名北町４－４６,,118260,23,23202,日名北町,,2021/12/10,2021/12/10,2022/01/01,2027/12/31,スガキコシステムズ株式会社,,,,,,,,,,503-01-401-0120,,飲食店営業,,,,247_愛知県_岡崎市保健所_食品衛生()_2021年12月_末日,M,76,,,スガキヤ0564-27-038011826023202,00247_273b441c-e163-4b7c-b156-71394b22cca4,スガキコシステムズ株式会社,ccf1eb33-f7aa-4014-9285-46240b2ec8a0,a1d35374-bd5f-48f1-a5e6-3c50b3606190,2021/12/10,スガキヤ,スガキヤ,スガキコシステムズ株式会社
愛知県,岡崎市,中国料理　香来,チュウゴクリョウリ　コウライ,飲食店営業,,愛知県岡崎市欠町字地蔵前20-4,,,,(0564)24-6412,有限会社　ケイ・アンド・ケイ,,503-01-401-0122,2021/12/10,2021/12/10,2022/1/1,2027/12/31,,,,,,247,中国料理　香来,0564,0564-24-6412,,,,愛知県岡崎市欠町字地蔵前20-4,愛知県岡崎市欠町字地蔵前２０－４,,118110,23,23202,欠町,,2021/12/10,2021/12/10,2022/01/01,2027/12/31,有限会社　ケイ・アンド・ケイ,,,,,,,,,,503-01-401-0122,,飲食店営業,,,,247_愛知県_岡崎市保健所_食品衛生()_2021年12月_末日,M,76,,,中国料理香来0564-24-641211811023202,00247_923388dd-cefc-4d25-9597-6a0fa7d820f7,有限会社ケイ・アンド・ケイ,3eade52b-d970-4906-89e1-fb2a23a68f21,e07f0350-5674-407a-9574-0d5f0ded7be6,2021/12/10,中国料理　香来,中国料理香来,有限会社ケイ・アンド・ケイ
