https://docs.google.com/spreadsheets/d/1Qy3el1DFIpxtm3-VIAdZlBmEHual1CU39oB_urGxiyI/edit#gid=508940504,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
58,n処理終了,,,,,,,,,,,,,,,,,d08_import_license_datas,完了,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
施設名,施設-住所1,施設-住所0,施設-住所2,施設-マンション名,施設-電話番号1,業種,,申請者1,申請者2,申請-住所0,申請-住所1,申請-マンション名,申請-電話番号1,開業年月日,許可年月日,申請区分,確認番号,ここまで,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
屋　　号,,営業所所在地,,,"営業所
電話番号",業　　種,,"営業者名
(申請者氏名)","営業者名
(法人の代表者氏名)","営業者
住所(所在地)",,,"営業者
電話番号","初回の
許可年月日","最新の
許可年月日","新規か
継続か",許可番号,,管轄保健所,名称,市外局番,電話番号,施設の郵便番号,緯度,経度,施設の住所（元住所）,施設の住所（整備）,施設マンション名,施設-住所コード,施設-都道府県,施設-郡・政令市・市区町村名,施設-大字名・字名,申請年月日,開業年月日,許可年月日,許可期間開始日,許可期間終了日,申請法人,申請者氏名(個人名),申請者（開設者）の電話番号,申請者の住所（元住所）,申請者の住所（整備）,申請マンション名,申請-住所コード,申請-都道府県,申請-郡・政令市・市区町村名,申請-大字名・字名,確認番号,申請区分,業種,業態,その他,法人番号,シート名,産業分類大,産業分類中,産業分類小,産業分類詳細,facility_idを識別するための文字列,店舗コード,company_idを識別するための文字列,法人コード,ライセンスコード,検索用日付,整備名称,整備名称2,整備申請法人
テキサスハンズ加賀店,石川県,加賀市山代温泉29戊64-1,加賀市山代温泉２９戊６４－１,,,飲食店営業,,株式会社テキサスハンズ,加藤樹生,福井県福井市田原1丁目9-20,福井県福井市田原１丁目９－２０,,0776-26-8006,2021.9.13,2021.9.13,新規,第62215069号,,217,テキサスハンズ加賀店,0761,,,,,石川県　加賀市山代温泉２９戊６４－１,石川県加賀市山代温泉２９戊６４－１,,95949,17,17206,山代温泉,,2021/09/13,2021/09/13,,,株式会社テキサスハンズ,加藤樹生,0776-26-8006,福井県福井市田原１丁目９－２０,福井県福井市田原１丁目９－２０,,97305,福井県,福井市,田原１,第62215069号,新規,飲食店営業,,,,217-220_石川県_石川県一括_食品衛生(許可)_2021年09月-2022年01月_末日_新規、廃止‗南加賀,M,76,,,テキサスハンズ加賀店9594917206,b7662157-0022-4539-91da-5c6bd21d32b3,株式会社テキサスハンズ97305,fdb1aef4-f2ee-43f3-bba2-99780d2536b1,cfb1e074-711f-45f9-b7f4-6f927b6bbfda,2021/09/13,テキサスハンズ加賀店,テキサスハンズ加賀店,株式会社テキサスハンズ
NO5　paris,石川県,加賀市弓波町ヨ66番地,加賀市弓波町ヨ６６番地,,,菓子製造業,,小池篤志,,,,,,2021.9.30,2021.9.30,新規,第62215070号,,217,NO5　paris,0761,,,,,石川県　加賀市弓波町ヨ６６番地,石川県加賀市弓波町ヨ６６番地,,95953,17,17206,弓波町,,2021/09/30,2021/09/30,,,,小池篤志 ,,,,,,,,,第62215070号,新規,菓子製造業,,,,217-220_石川県_石川県一括_食品衛生(許可)_2021年09月-2022年01月_末日_新規、廃止‗南加賀,E,9,,,ＮＯ５ｐａｒｉｓ9595317206,2302a5d3-9050-4e0e-b718-fec9be2e5ad2,,personal,7e51b0c7-7067-4055-9feb-6b61f7323f51,2021/09/30,ＮＯ５　ｐａｒｉｓ,ＮＯ５ｐａｒｉｓ,
穂の宮農産株式会社,石川県,加賀市弓波町8,加賀市弓波町８,,,菓子製造業,,穂の宮農産株式会社,西出大進,加賀市弓波町8,加賀市弓波町８,,0761-75-8835,2021.9.30,2021.9.30,新規,第62215071号,,217,穂の宮農産株式会社,0761,,,,,石川県　加賀市弓波町８,石川県加賀市弓波町８,,95953,17,17206,弓波町,,2021/09/30,2021/09/30,,,穂の宮農産株式会社,西出大進,0761-75-8835,加賀市弓波町８,石川県加賀市弓波町８,,95953,石川県,加賀市,弓波町,第62215071号,新規,菓子製造業,,,,217-220_石川県_石川県一括_食品衛生(許可)_2021年09月-2022年01月_末日_新規、廃止‗南加賀,E,9,,,穂の宮農産株式会社9595317206,a87db88f-4443-4a9a-9489-aef4694e8209,穂の宮農産株式会社95953,cfc86a2f-e3ee-404c-b9ee-1bb45a3ca783,826cdd41-3449-47c3-ac78-2fd51c93b0c8,2021/09/30,穂の宮農産株式会社,穂の宮農産株式会社,穂の宮農産株式会社
かどや,石川県,加賀市梶井町ケ17-1,加賀市梶井町ケ１７－１,,0761-74-2415,魚介類販売業,,角谷恵子,,,,,,2021.10.1,2021.10.1,新規,第62215072号,,217,かどや,0761,0761-74-2415,,,,石川県　加賀市梶井町ケ１７－１,石川県加賀市梶井町が１７－１,,95810,17,17206,梶井町,,2021/10/01,2021/10/01,,,,角谷恵子 ,,,,,,,,,第62215072号,新規,魚介類販売業,,,,217-220_石川県_石川県一括_食品衛生(許可)_2021年09月-2022年01月_末日_新規、廃止‗南加賀,I,58,,,かどや0761-74-24159581017206,f38a5939-a0ff-42ff-9a7b-da4e788bab0c,,personal,4f00e3b2-0fc1-4953-b05b-35109e97892d,2021/10/01,かどや,かどや,
モーニングファーム,石川県,加賀市熊坂町イ226-4アパホテル加賀大聖寺駅前1F,加賀市熊坂町イ２２６－４,アパホテル加賀大聖寺駅前１F,,飲食店営業,,モーニングエース株式会社,飯田真一郎,東京都中央区日本橋3丁目7番9号　古山ビル3階,東京都中央区日本橋３丁目７番９号, 古山ビル３階,03-5290-3600,2021.10.1,2021.10.1,新規,第62215073号,,217,モーニングファーム,0761,,,,,石川県　加賀市熊坂町イ２２６－４,石川県加賀市熊坂町イ２２６－４,アパホテル加賀大聖寺駅前１F,95820,17,17206,熊坂町,,2021/10/01,2021/10/01,,,モーニングエース株式会社,飯田真一郎,03-5290-3600,東京都中央区日本橋３丁目７番９号,東京都中央区日本橋３丁目７番９号, 古山ビル３階,72982,東京都,中央区,日本橋３,第62215073号,新規,飲食店営業,,,,217-220_石川県_石川県一括_食品衛生(許可)_2021年09月-2022年01月_末日_新規、廃止‗南加賀,M,76,,,モニングファム9582017206,846a6a71-3841-42ff-947c-d7ad01d81f4d,モーニングエース株式会社72982,c2dcacd1-3f50-47fa-8de4-ec4b3ecab602,53e8f3eb-1872-4cbf-99d4-eb928748fc6f,2021/10/01,モーニングファーム,モニングファム,モーニングエース株式会社
居酒屋　たまる,石川県,加賀市作見町ニ-4-1,加賀市作見町ニ－４－１,,,飲食店営業,,田丸修久,,,,,,2021.10.1,2021.10.1,新規,第62215074号,,217,居酒屋　たまる,0761,,,,,石川県　加賀市作見町ニ－４－１,石川県加賀市作見町ニ－４－１,,95829,17,17206,作見町,,2021/10/01,2021/10/01,,,,田丸修久 ,,,,,,,,,第62215074号,新規,飲食店営業,,,,217-220_石川県_石川県一括_食品衛生(許可)_2021年09月-2022年01月_末日_新規、廃止‗南加賀,M,76,,,居酒屋たまる9582917206,3ccb069b-55db-4a5d-ba11-25b8584a23a0,,personal,1fc47803-efbe-4d28-9474-07d49c784e42,2021/10/01,居酒屋　たまる,居酒屋たまる,
長楽,石川県,加賀市山代温泉17-24,加賀市山代温泉１７－２４,,0761-76-1463,飲食店営業,,二木淳子,,,,,,2021.10.1,2021.10.1,新規,第62215075号,,217,長楽,0761,0761-76-1463,,,,石川県　加賀市山代温泉１７－２４,石川県加賀市山代温泉１７－２４,,95949,17,17206,山代温泉,,2021/10/01,2021/10/01,,,,二木淳子 ,,,,,,,,,第62215075号,新規,飲食店営業,,,,217-220_石川県_石川県一括_食品衛生(許可)_2021年09月-2022年01月_末日_新規、廃止‗南加賀,M,76,,,長楽0761-76-14639594917206,59d27ae9-fb2e-4181-bfbb-f31c6db8b295,,personal,b2d97aaa-1a14-4357-a19f-80dbe6ad17a2,2021/10/01,長楽,長楽,
すし処　平八,石川県,加賀市山代温泉18-55-1,加賀市山代温泉１８－５５－１,,0761-76-1014,飲食店営業,,山下純一,,,,,,2021.10.1,2021.10.1,新規,第62215076号,,217,すし処　平八,0761,0761-76-1014,,,,石川県　加賀市山代温泉１８－５５－１,石川県加賀市山代温泉１８－５５－１,,95949,17,17206,山代温泉,,2021/10/01,2021/10/01,,,,山下純一 ,,,,,,,,,第62215076号,新規,飲食店営業,,,,217-220_石川県_石川県一括_食品衛生(許可)_2021年09月-2022年01月_末日_新規、廃止‗南加賀,M,76,,,すし処平八0761-76-10149594917206,7f7d8f62-902a-44fc-9154-5570bc299fa2,,personal,7c4bacd0-358c-4fab-a290-98d59e45a3b9,2021/10/01,すし処　平八,すし処平八,
カフェ　レイシィー　ハート,石川県,加賀市山代温泉上宮86番地,加賀市山代温泉上宮８６番地,,0761-77-6602,飲食店営業,,寺前眞二,,,,,,2021.10.1,2021.10.1,新規,第62215077号,,217,カフェ　レイシィー　ハート,0761,0761-77-6602,,,,石川県　加賀市山代温泉上宮８６番地,石川県加賀市山代温泉上宮８６番地,,96040,17,17206,山代温泉上宮,,2021/10/01,2021/10/01,,,,寺前眞二 ,,,,,,,,,第62215077号,新規,飲食店営業,,,,217-220_石川県_石川県一括_食品衛生(許可)_2021年09月-2022年01月_末日_新規、廃止‗南加賀,M,76,,,カフェレイシィハト0761-77-66029604017206,790c0c06-0c20-4a62-96d8-be9c66a80956,,personal,82abc503-e74b-43be-9ad2-a93e95efccae,2021/10/01,カフェ　レイシィー　ハート,カフェレイシィハト,
お祝いの宿　６F,石川県,加賀市山中温泉菅谷町イ10,加賀市山中温泉菅谷町イ１０,,0761-78-4126,飲食店営業,,株式会社ジャパンリゾート＆スパ,川上和美,加賀市山中温泉菅谷町イ233番地,加賀市山中温泉菅谷町イ２３３番地,,0761-78-4126,2021.10.1,2021.10.1,新規,第62215078号,,217,お祝いの宿　６F,0761,0761-78-4126,,,,石川県　加賀市山中温泉菅谷町イ１０,石川県加賀市山中温泉菅谷町イ１０,,96010,17,17206,山中温泉菅谷町,,2021/10/01,2021/10/01,,,株式会社ジャパンリゾート＆スパ,川上和美,0761-78-4126,加賀市山中温泉菅谷町イ２３３番地,石川県加賀市山中温泉菅谷町イ２３３番地,,96010,石川県,加賀市,山中温泉菅谷町,第62215078号,新規,飲食店営業,,,,217-220_石川県_石川県一括_食品衛生(許可)_2021年09月-2022年01月_末日_新規、廃止‗南加賀,M,76,,,お祝いの宿６Ｆ0761-78-41269601017206,af51cdfe-f766-4528-9ed9-ad56c0d09f53,株式会社ジャパンリゾート＆スパ96010,57574e62-5693-45a8-a2c1-8c715032f88a,209d3e23-375d-4099-8a39-86d4bcbe3b61,2021/10/01,お祝いの宿　６Ｆ,お祝いの宿６Ｆ,株式会社ジャパンリゾート＆スパ
