https://docs.google.com/spreadsheets/d/1Qy3el1DFIpxtm3-VIAdZlBmEHual1CU39oB_urGxiyI/edit#gid=508940504,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
69,n処理終了,,,,,,,,,,,d08_import_license_datas,完了,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
施設名,施設-住所0,施設-住所1,施設-マンション名,施設-電話番号1,業種,申請者1,申請-電話番号1,開業年月日,許可年月日,申請区分,確認番号,ここまで,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
屋号,所在地1,,,施設TEL,業種2,営業者,法人住所TEL,初登録日,許可年月日,新更,指令番号,,管轄保健所,名称,市外局番,電話番号,施設の郵便番号,緯度,経度,施設の住所（元住所）,施設の住所（整備）,施設マンション名,施設-住所コード,施設-都道府県,施設-郡・政令市・市区町村名,施設-大字名・字名,申請年月日,開業年月日,許可年月日,許可期間開始日,許可期間終了日,申請法人,申請者氏名(個人名),申請者（開設者）の電話番号,申請者の住所（元住所）,申請者の住所（整備）,申請マンション名,申請-住所コード,申請-都道府県,申請-郡・政令市・市区町村名,申請-大字名・字名,確認番号,申請区分,業種,業態,その他,法人番号,シート名,産業分類大,産業分類中,産業分類小,産業分類詳細,facility_idを識別するための文字列,店舗コード,company_idを識別するための文字列,法人コード,ライセンスコード,検索用日付,整備名称,整備名称2,整備申請法人
プリモラボ,旭川市3条通6丁目519-3石黒ビル3F,旭川市３条通６丁目５１９－３,石黒ビル３F,22-5666,食肉販売業,有限会社プリモグループ,22-5666,2021.12.3,2021.12.3,新規,843,,3,プリモラボ,0166,0166-22-5666,,,,旭川市３条通６丁目５１９－３,北海道旭川市三条通６丁目５１９－３,石黒ビル３F,8365,1,1204,三条通６,,2021/12/03,2021/12/03,,,有限会社プリモグループ,,0166-22-5666,,,,,,,,843,新規,食肉販売業,,,,003_北海道_旭川市保健所_食品衛生()_2021年12月_末日_新規,I,58,583,,プリモラボ0166-22-566683651204,31cea82b-03f6-4925-86df-583655dc4e08,有限会社プリモグループ,5a6ad969-64c7-4575-8bfe-510840dd657b,2f5e49fd-27a3-4946-96ee-f3b9f3dadc70,2021/12/03,プリモラボ,プリモラボ,有限会社プリモグループ
プリモラボ,旭川市3条通6丁目519-3石黒ビル3F,旭川市３条通６丁目５１９－３,石黒ビル３F,22-5666,そうざい製造業,有限会社プリモグループ,22-5666,2021.12.3,2021.12.3,新規,844,,3,プリモラボ,0166,0166-22-5666,,,,旭川市３条通６丁目５１９－３,北海道旭川市三条通６丁目５１９－３,石黒ビル３F,8365,1,1204,三条通６,,2021/12/03,2021/12/03,,,有限会社プリモグループ,,0166-22-5666,,,,,,,,844,新規,そうざい製造業,,,,003_北海道_旭川市保健所_食品衛生()_2021年12月_末日_新規,E,9,,,プリモラボ0166-22-566683651204,31cea82b-03f6-4925-86df-583655dc4e08,有限会社プリモグループ,5a6ad969-64c7-4575-8bfe-510840dd657b,479c08ed-5e37-4a47-baa9-66c66e8963cb,2021/12/03,プリモラボ,プリモラボ,有限会社プリモグループ
珈琲の店ライフ,旭川市東光19条7丁目126-112,旭川市東光１９条７丁目１２６－１１２,,32-8623,飲食店営業,有限会社カフェ·ド·ライフ,32-8623,2021.12.6,2021.12.6,新規,845,,3,珈琲の店ライフ,0166,0166-32-8623,,,,旭川市東光１９条７丁目１２６－１１２,北海道旭川市東光十九条７丁目１２６－１１２,,7409,1,1204,東光十九条７,,2021/12/06,2021/12/06,,,有限会社カフェ·ド·ライフ,,0166-32-8623,,,,,,,,845,新規,飲食店営業,,,,003_北海道_旭川市保健所_食品衛生()_2021年12月_末日_新規,M,76,,,珈琲の店ライフ0166-32-862374091204,1d52c97b-5fd4-40ac-bdc1-a4e93194b302,有限会社カフェ・ド·ライフ,fd40cf98-6771-4426-b29c-77583a845502,dd2a125b-d01d-4e51-9ade-580f842461ac,2021/12/06,珈琲の店ライフ,珈琲の店ライフ,有限会社カフェ・ド·ライフ
株式会社かとうや,旭川市南6条通24丁目1975-314,旭川市南６条通２４丁目１９７５－３１４,,34-8800,菓子製造業,株式会社かとうや,34-8800,2021.12.6,2021.12.6,新規,846,,3,株式会社かとうや,0166,0166-34-8800,,,,旭川市南６条通２４丁目１９７５－３１４,北海道旭川市南六条通２４丁目１９７５－３１４,,8243,1,1204,南六条通２４,,2021/12/06,2021/12/06,,,株式会社かとうや,,0166-34-8800,,,,,,,,846,新規,菓子製造業,,,,003_北海道_旭川市保健所_食品衛生()_2021年12月_末日_新規,E,9,,,株式会社かとうや0166-34-880082431204,d535fa08-c01a-4c62-9fe2-cb90f1e4ac85,株式会社かとうや,81355f6d-6ced-4aaa-9b7b-93793b40eea3,7270c2b7-74a3-4cb0-9252-4d0b30fc08db,2021/12/06,株式会社かとうや,株式会社かとうや,株式会社かとうや
ハワイアンカフェ　ココロコ,旭川市東光3条7丁目1-17,旭川市東光３条７丁目１－１７,,39-3566,飲食店営業,株式会社オフィスプライム,46-8000,2021.12.6,2021.12.6,新規,847,,3,ハワイアンカフェ　ココロコ,0166,0166-39-3566,,,,旭川市東光３条７丁目１－１７,北海道旭川市東光三条７丁目１－１７,,7271,1,1204,東光三条７,,2021/12/06,2021/12/06,,,株式会社オフィスプライム,,0166-46-8000,,,,,,,,847,新規,飲食店営業,,,,003_北海道_旭川市保健所_食品衛生()_2021年12月_末日_新規,M,76,,,ハワイアンカフェココロコ0166-39-356672711204,a00f29ab-2a09-4da4-8abd-9d265f0e194e,株式会社オフィスプライム,128c5e19-b390-4e00-b959-66eb8b1e0cd8,a86ce798-77d3-4c20-978f-1e92360061b4,2021/12/06,ハワイアンカフェ　ココロコ,ハワイアンカフェココロコ,株式会社オフィスプライム
10ミニッツサラダ,旭川市宮下通7丁目2-5イオンモール旭川駅前フードコート,旭川市宮下通７丁目２－５,イオンモール旭川駅前フードコート,,飲食店営業,株式会社ATK,,2021.12.6,2021.12.6,新規,848,,3,10ミニッツサラダ,0166,,,,,旭川市宮下通７丁目２－５,北海道旭川市宮下通７丁目２－５,イオンモール旭川駅前フードコート,8271,1,1204,宮下通７,,2021/12/06,2021/12/06,,,株式会社ATK,,,,,,,,,,848,新規,飲食店営業,,,,003_北海道_旭川市保健所_食品衛生()_2021年12月_末日_新規,M,76,,,１０ミニッツサラダ82711204,f5b4b474-3e31-4fb3-8cd3-436880224637,株式会社ＡＴＫ,e71b5804-4ddc-4264-a747-4d4ac995b020,788ae9d1-0262-4825-b2b7-0e675cee1fa1,2021/12/06,１０ミニッツサラダ,１０ミニッツサラダ,株式会社ＡＴＫ
焼鳥酒場トリキング,旭川市3条通8丁目左6サンライズビル2F,旭川市３条通８丁目左６,サンライズビル２F,26-6828,飲食店営業,下田悠司,,2021.12.6,2021.12.6,新規,849,,3,焼鳥酒場トリキング,0166,0166-26-6828,,,,旭川市３条通８丁目左６,北海道旭川市三条通８丁目左６,サンライズビル２F,8367,1,1204,三条通８,,2021/12/06,2021/12/06,,,,下田悠司,,,,,,,,,849,新規,飲食店営業,,,,003_北海道_旭川市保健所_食品衛生()_2021年12月_末日_新規,M,76,,,焼鳥酒場トリキング0166-26-682883671204,c41a6e80-f54c-4f9e-8b65-63e11444a438,,personal,24027b38-80bf-43b5-bccf-8f8b760b2b40,2021/12/06,焼鳥酒場トリキング,焼鳥酒場トリキング,
 Mjuk(ミューク),旭川市緑が丘3条3丁目1-12,旭川市緑が丘３条３丁目１－１２,,65-8605,飲食店営業,高島光代,,2021.12.6,2021.12.6,新規,850,,3, Mjuk(ミューク),0166,0166-65-8605,,,,旭川市緑が丘３条３丁目１－１２,北海道旭川市緑が丘三条３丁目１－１２,,8176,1,1204,緑が丘三条３,,2021/12/06,2021/12/06,,,,高島光代,,,,,,,,,850,新規,飲食店営業,,,,003_北海道_旭川市保健所_食品衛生()_2021年12月_末日_新規,M,76,,,Ｍｊｕｋミュク0166-65-860581761204,c0389334-90d6-403c-b2d4-7d31c629d9ca,,personal,d33417ff-5a12-46a7-a227-b3c0f802ca8d,2021/12/06,　Ｍｊｕｋ（ミューク）,Ｍｊｕｋミュク,
ベルクラシック旭川,旭川市本町2丁目437-260,旭川市本町２丁目４３７－２６０,,51-1111,冷凍食品製造業,株式会社キッチン·香,51-8606,2021.12.6,2021.12.6,新規,851,,3,ベルクラシック旭川,0166,0166-51-1111,,,,旭川市本町２丁目４３７－２６０,北海道旭川市本町２丁目４３７－２６０,,8292,1,1204,本町２,,2021/12/06,2021/12/06,,,株式会社キッチン·香,,0166-51-8606,,,,,,,,851,新規,冷凍食品製造業,,,,003_北海道_旭川市保健所_食品衛生()_2021年12月_末日_新規,E,9,,,ベルクラシック旭川0166-51-111182921204,17b21e32-5831-438f-9852-e91c4fa0bbce,株式会社キッチン・香,283a82aa-0960-4ad1-b4ed-9f5756bdbc2a,03870305-37c9-457f-aaff-fa6e031cbfba,2021/12/06,ベルクラシック旭川,ベルクラシック旭川,株式会社キッチン・香
 大昌園,旭川市3条通14丁目右5神楽坂ビル1F,旭川市３条通１,４丁目右５神楽坂ビル,22-5006,飲食店営業,金山早知子,,2021.12.7,2021.12.7,新規,852,,3, 大昌園,0166,0166-22-5006,,,,旭川市３条通１,北海道旭川市三条通１,４丁目右５神楽坂ビル,8360,1,1204,三条通１,,2021/12/07,2021/12/07,,,,金山早知子,,,,,,,,,852,新規,飲食店営業,,,,003_北海道_旭川市保健所_食品衛生()_2021年12月_末日_新規,M,76,,,大昌園0166-22-500683601204,7443bfd2-66c3-4c99-adc8-3793676bc46a,,personal,3f93f942-1e6e-4d78-965a-6a1ca0f3ab33,2021/12/07,　大昌園,大昌園,
