https://docs.google.com/spreadsheets/d/1Qy3el1DFIpxtm3-VIAdZlBmEHual1CU39oB_urGxiyI/edit#gid=508940504,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
69,n処理終了,,,,,,,,,,,d08_import_license_datas,完了,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
施設名,施設-住所0,施設-住所1,施設-マンション名,施設-電話番号1,業種,申請者1,申請-電話番号1,開業年月日,許可年月日,申請区分,確認番号,ここまで,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
屋号,所在地1,,,施設TEL,業種2,営業者,法人住所TEL,初登録日,許可年月日,新更,指令番号,,管轄保健所,名称,市外局番,電話番号,施設の郵便番号,緯度,経度,施設の住所（元住所）,施設の住所（整備）,施設マンション名,施設-住所コード,施設-都道府県,施設-郡・政令市・市区町村名,施設-大字名・字名,申請年月日,開業年月日,許可年月日,許可期間開始日,許可期間終了日,申請法人,申請者氏名(個人名),申請者（開設者）の電話番号,申請者の住所（元住所）,申請者の住所（整備）,申請マンション名,申請-住所コード,申請-都道府県,申請-郡・政令市・市区町村名,申請-大字名・字名,確認番号,申請区分,業種,業態,その他,法人番号,シート名,産業分類大,産業分類中,産業分類小,産業分類詳細,facility_idを識別するための文字列,店舗コード,company_idを識別するための文字列,法人コード,ライセンスコード,検索用日付,整備名称,整備名称2,整備申請法人
有限会社ワールド·フーズ,旭川市豊岡8条7丁目7-16,旭川市豊岡８条７丁目７－１６,,34-6488,飲食店営業,有限会社ワールド·フーズ,34-6488,2021.12.7,2021.12.7,新規,853,,3,有限会社ワールド·フーズ,0166,0166-34-6488,,,,旭川市豊岡８条７丁目７－１６,北海道旭川市豊岡八条７丁目７－１６,,7528,1,1204,豊岡八条７,,2021/12/07,2021/12/07,,,有限会社ワールド·フーズ,,0166-34-6488,,,,,,,,853,新規,飲食店営業,,,,003_北海道_旭川市保健所_食品衛生()_2021年12月_末日_新規,M,76,,,有限会社ワルドフズ0166-34-648875281204,df6b5b14-eb1f-4bab-8dba-0760cacab871,有限会社ワールド・フーズ,0d928dd8-167a-4834-a9a4-07fd1efc1a26,24077176-0cba-4bec-b23c-35592f20e130,2021/12/07,有限会社ワールド・フーズ,有限会社ワルドフズ,有限会社ワールド・フーズ
特一番,旭川市工業団地1条2丁目4-18,旭川市工業団地１条２丁目４－１８,,36-3381,飲食店営業,中川明則,,2021.12.7,2021.12.7,新規,854,,3,特一番,0166,0166-36-3381,,,,旭川市工業団地１条２丁目４－１８,北海道旭川市工業団地一条２丁目４－１８,,8714,1,1204,工業団地一条２,,2021/12/07,2021/12/07,,,,中川明則,,,,,,,,,854,新規,飲食店営業,,,,003_北海道_旭川市保健所_食品衛生()_2021年12月_末日_新規,M,76,,,特一番0166-36-338187141204,b874950f-7e71-4937-a8bd-a9d183256b7d,,personal,140d5164-b375-4de0-84fe-f02d52078b54,2021/12/07,特一番,特一番,
 個室居酒屋わが家,旭川市永山10条5丁目2-16,旭川市永山１０条５丁目２－１６,,40-0753,飲食店営業,髙山昌弥,,2021.12.7,2021.12.7,新規,855,,3, 個室居酒屋わが家,0166,0166-40-0753,,,,旭川市永山１０条５丁目２－１６,北海道旭川市永山十条５丁目２－１６,,7825,1,1204,永山十条５,,2021/12/07,2021/12/07,,,,髙山昌弥,,,,,,,,,855,新規,飲食店営業,,,,003_北海道_旭川市保健所_食品衛生()_2021年12月_末日_新規,M,76,,,個室居酒屋わが家0166-40-075378251204,27abca25-b673-4a61-8773-7d0e8b31be77,,personal,b1c2f54f-6bf9-44df-ad31-850c0faa487a,2021/12/07,　個室居酒屋わが家,個室居酒屋わが家,
ケアハウス フォルテ,旭川市東旭川町上兵村557-32,旭川市東旭川町上兵村５５７－３２,,36-7332,飲食店営業,株式会社LEOC,03-5220-8550,2021.12.7,2021.12.7,新規,856,,3,ケアハウス フォルテ,0166,0166-36-7332,,,,旭川市東旭川町上兵村５５７－３２,北海道旭川市東旭川町上兵村５５７－３２,,8009,1,1204,東旭川町上兵村,,2021/12/07,2021/12/07,,,株式会社LEOC,,03-5220-8550,,,,,,,,856,新規,飲食店営業,,,,003_北海道_旭川市保健所_食品衛生()_2021年12月_末日_新規,M,76,,,ケアハウスフォルテ0166-36-733280091204,c4e926d9-3ccd-4c0c-8027-560f15019665,株式会社ＬＥＯＣ,e1da72c9-cd94-49b4-aafb-165fe3c3aeac,a6bcb9e2-bca6-4cb6-9263-4081caf954cb,2021/12/07,ケアハウス　フォルテ,ケアハウスフォルテ,株式会社ＬＥＯＣ
ジャックダニエル,旭川市4条通6丁目右8丸善ビル2F,旭川市４条通６丁目右８,丸善ビル２F,,飲食店営業,有限会社山口企画,62-3646,2021.12.8,2021.12.8,新規,857,,3,ジャックダニエル,0166,,,,,旭川市４条通６丁目右８,北海道旭川市四条通６丁目右８,丸善ビル２F,8396,1,1204,四条通６,,2021/12/08,2021/12/08,,,有限会社山口企画,,0166-62-3646,,,,,,,,857,新規,飲食店営業,,,,003_北海道_旭川市保健所_食品衛生()_2021年12月_末日_新規,M,76,,,ジャックダニエル83961204,c8894b56-ee37-4553-87e0-f894c174b3ff,有限会社山口企画,0fac06e9-7a60-4eb0-aec4-7f76d78f2485,7e2e1425-13d0-40de-9f14-a1944caee308,2021/12/08,ジャックダニエル,ジャックダニエル,有限会社山口企画
修理屋 cafeLAB lab,旭川市台場1条6丁目4-19,旭川市台場１条６丁目４－１９,,61-7125,飲食店営業,株式会社三光車体工業,61-7125,2021.12.8,2021.12.8,新規,858,,3,修理屋 cafeLAB lab,0166,0166-61-7125,,,,旭川市台場１条６丁目４－１９,北海道旭川市台場一条６丁目４－１９,,8696,1,1204,台場一条６,,2021/12/08,2021/12/08,,,株式会社三光車体工業,,0166-61-7125,,,,,,,,858,新規,飲食店営業,,,,003_北海道_旭川市保健所_食品衛生()_2021年12月_末日_新規,M,76,,,修理屋ｃａｆｅＬＡＢｌａｂ0166-61-712586961204,675fa636-1a6d-4479-989d-88e81e5293d6,株式会社三光車体工業,31757ee4-db66-48f9-b246-bcf031985f3b,27edcc80-6002-4cf6-9478-949c88b2dc51,2021/12/08,修理屋　ｃａｆｅＬＡＢ　ｌａｂ,修理屋ｃａｆｅＬＡＢｌａｂ,株式会社三光車体工業
福福亭,旭川市旭神2条5丁目9-11,旭川市旭神２条５丁目９－１１,,66-1117,飲食店営業,朴福美,,2021.12.8,2021.12.8,新規,859,,3,福福亭,0166,0166-66-1117,,,,旭川市旭神２条５丁目９－１１,北海道旭川市旭神二条５丁目９－１１,,8685,1,1204,旭神二条５,,2021/12/08,2021/12/08,,,,朴福美,,,,,,,,,859,新規,飲食店営業,,,,003_北海道_旭川市保健所_食品衛生()_2021年12月_末日_新規,M,76,,,福福亭0166-66-111786851204,de01c03c-b8ac-4fd1-a058-56167d202b52,,personal,836b5f95-72be-45a0-9537-b2125c1e4c9b,2021/12/08,福福亭,福福亭,
麺 ぼんてん,旭川市3条通15丁目1365-2/CowCow銀座広小路内,旭川市３条通１５丁目１３６５－２,/CowCow銀座広小路内,,飲食店営業,木村蓮,,2021.12.8,2021.12.8,新規,860,,3,麺 ぼんてん,0166,,,,,旭川市３条通１５丁目１３６５－２,北海道旭川市三条通１５丁目１３６５－２,/CowCow銀座広小路内,8374,1,1204,三条通１５,,2021/12/08,2021/12/08,,,,木村蓮,,,,,,,,,860,新規,飲食店営業,,,,003_北海道_旭川市保健所_食品衛生()_2021年12月_末日_新規,M,76,,,麺ぼんてん83741204,2fd0cba7-2032-4670-b773-5473e426648e,,personal,64b67443-d2eb-4114-9e03-50bda2baf471,2021/12/08,麺　ぼんてん,麺ぼんてん,
炭火ホルモンきくち家,旭川市4条通6丁目3-132/1F,旭川市４条通６丁目３－１３２,/１F,23-0295,飲食店営業,菊地良和,,2021.12.8,2021.12.8,新規,861,,3,炭火ホルモンきくち家,0166,0166-23-0295,,,,旭川市４条通６丁目３－１３２,北海道旭川市四条通６丁目３－１３２,/１F,8396,1,1204,四条通６,,2021/12/08,2021/12/08,,,,菊地良和,,,,,,,,,861,新規,飲食店営業,,,,003_北海道_旭川市保健所_食品衛生()_2021年12月_末日_新規,M,76,,,炭火ホルモンきくち家0166-23-029583961204,babfe04e-084f-4a42-99fe-f6c5149791ab,,personal,fc430488-ee70-4ba7-8875-fac10d040696,2021/12/08,炭火ホルモンきくち家,炭火ホルモンきくち家,
藤原製麺株式会社　ふじの華工場,旭川市永山北2条7丁目7,旭川市永山北２条７丁目７,,47-5900,複合型そうざい製造,藤原製麺株式会社,26-5485,2021.12.9,2021.12.9,新規,862,,3,藤原製麺株式会社　ふじの華工場,0166,0166-47-5900,,,,旭川市永山北２条７丁目７,北海道旭川市永山北二条７丁目７,,8827,1,1204,永山北二条７,,2021/12/09,2021/12/09,,,藤原製麺株式会社,,0166-26-5485,,,,,,,,862,新規,そうざい製造業,,,,003_北海道_旭川市保健所_食品衛生()_2021年12月_末日_新規,E,9,,,藤原製麺株式会社ふじの華工場0166-47-590088271204,8b53f6da-c9bd-468b-84b6-e3b0a5eae828,藤原製麺株式会社,a5025c0a-ba16-45b8-9990-f2acceadf89e,ad433205-59a6-4bc7-b420-b7671a02d3b3,2021/12/09,藤原製麺株式会社ふじの華工場,藤原製麺株式会社ふじの華工場,藤原製麺株式会社
コープさっぽろシーナ(shena)店,旭川市永山3条15丁目1-7/2F,旭川市永山３条１５丁目１－７,/２F,47-1011,飲食店営業,生活協同組合コープさっぽろ,011-671-5710,2021.12.9,2021.12.9,新規,863,,3,コープさっぽろシーナ(shena)店,0166,0166-47-1011,,,,旭川市永山３条１５丁目１－７,北海道旭川市永山三条１５丁目１－７,/２F,7681,1,1204,永山三条１５,,2021/12/09,2021/12/09,,,生活協同組合コープさっぽろ,,011-671-5710,,,,,,,,863,新規,飲食店営業,,,,003_北海道_旭川市保健所_食品衛生()_2021年12月_末日_新規,M,76,,,コプさっぽろシナｓｈｅｎａ店0166-47-101176811204,21155b49-a904-4f5a-824a-9fc1629c88c3,生活協同組合コープさっぽろ,5d2a6114-6538-460e-bebf-0eea11420272,b399d924-0745-450f-97bb-32e35f37cdc4,2021/12/09,コープさっぽろシーナ（ｓｈｅｎａ）店,コプさっぽろシナｓｈｅｎａ店,生活協同組合コープさっぽろ
 サイゼリヤ イオンモール旭川西店,旭川市緑町23丁目2161-3イオンモール旭川西店1F,旭川市緑町２３丁目２１６１－３,イオンモール旭川西店１F,50-3567,飲食店営業,株式会社サイゼリヤ,048-991-6911,2021.12.9,2021.12.9,新規,864,,3, サイゼリヤ イオンモール旭川西店,0166,0166-50-3567,,,,旭川市緑町２３丁目２１６１－３,北海道旭川市緑町２３丁目２１６１－３,イオンモール旭川西店１F,8198,1,1204,緑町２３,,2021/12/09,2021/12/09,,,株式会社サイゼリヤ,,048-991-6911,,,,,,,,864,新規,飲食店営業,,,,003_北海道_旭川市保健所_食品衛生()_2021年12月_末日_新規,M,76,,,サイゼリヤイオンモル旭川西店0166-50-356781981204,a36833a7-aa87-43e0-b5fc-da2ead1bf650,株式会社サイゼリヤ,03b8c71f-6ea6-4534-b039-d8eb38883572,779f2228-dd58-4bac-a56c-83e29850eb8f,2021/12/09,　サイゼリヤ　イオンモール旭川西店,サイゼリヤイオンモル旭川西店,株式会社サイゼリヤ
くいもの屋わん旭川店,旭川市2条通8丁目右1ピアザビルB1F,旭川市２条通８丁目右１,ピアザビルB,21-8277,飲食店営業,株式会社オーイズミフーズ,046-297-2511,2021.12.9,2021.12.9,新規,865,,3,くいもの屋わん旭川店,0166,0166-21-8277,,,,旭川市２条通８丁目右１,北海道旭川市二条通８丁目右１,ピアザビルB,8339,1,1204,二条通８,,2021/12/09,2021/12/09,,,株式会社オーイズミフーズ,,046-297-2511,,,,,,,,865,新規,飲食店営業,,,,003_北海道_旭川市保健所_食品衛生()_2021年12月_末日_新規,M,76,,,くいもの屋わん旭川店0166-21-827783391204,28a9c0e1-51f1-45ad-be28-5b770e4338ae,株式会社オーイズミフーズ,4065ac5b-b2ce-4bea-84a0-5f42f021cde8,03cc8bc0-61c6-4d2f-a039-cd13bf539f1f,2021/12/09,くいもの屋わん旭川店,くいもの屋わん旭川店,株式会社オーイズミフーズ
 USAGIYA旭川本店,旭川市1条通10丁目160-2,旭川市１条通１０丁目１６０－２,,26-6111,飲食店営業,株式会社兎屋,26-6111,2021.12.9,2021.12.9,新規,866,,3, USAGIYA旭川本店,0166,0166-26-6111,,,,旭川市１条通１０丁目１６０－２,北海道旭川市一条通１０丁目１６０－２,,8316,1,1204,一条通１０,,2021/12/09,2021/12/09,,,株式会社兎屋,,0166-26-6111,,,,,,,,866,新規,飲食店営業,,,,003_北海道_旭川市保健所_食品衛生()_2021年12月_末日_新規,M,76,,,ＵＳＡＧＩＹＡ旭川本店0166-26-611183161204,80a6dadf-dee8-4697-9983-68e41e372fd7,株式会社兎屋,c2237d02-fd9c-466a-8e1a-21a221df22f9,93ee7d45-ff1d-4b69-bd2b-6e7418161e73,2021/12/09,　ＵＳＡＧＩＹＡ旭川本店,ＵＳＡＧＩＹＡ旭川本店,株式会社兎屋
Rycan(ライカン),旭川市4条通6丁目405-1ライオンビル河内館2F,旭川市４条通６丁目４０５－１,ライオンビル河内館２F,,飲食店営業,高橋里以也,,2021.12.10,2021.12.10,新規,868,,3,Rycan(ライカン),0166,,,,,旭川市４条通６丁目４０５－１,北海道旭川市四条通６丁目４０５－１,ライオンビル河内館２F,8396,1,1204,四条通６,,2021/12/10,2021/12/10,,,,高橋里以也,,,,,,,,,868,新規,飲食店営業,,,,003_北海道_旭川市保健所_食品衛生()_2021年12月_末日_新規,M,76,,,Ｒｙｃａｎライカン83961204,0de39268-f763-40cd-b454-f77298735e0b,,personal,e0d9568a-a5c0-467b-a669-dec4f52d5dcf,2021/12/10,Ｒｙｃａｎ（ライカン）,Ｒｙｃａｎライカン,
 スーパーチェーンふじ永山西店,旭川市永山7条10丁目6-4,旭川市永山７条１０丁目６－４,,47-5151,飲食店営業,株式会社道北アークス,47-2818,2021.12.13,2021.12.13,新規,869,,3, スーパーチェーンふじ永山西店,0166,0166-47-5151,,,,旭川市永山７条１０丁目６－４,北海道旭川市永山七条１０丁目６－４,,7772,1,1204,永山七条１０,,2021/12/13,2021/12/13,,,株式会社道北アークス,,0166-47-2818,,,,,,,,869,新規,飲食店営業,,,,003_北海道_旭川市保健所_食品衛生()_2021年12月_末日_新規,M,76,,,スパチェンふじ永山西店0166-47-515177721204,6120fd7e-5f39-4904-8b8d-97b32a0fdd26,株式会社道北アークス,86ca9057-dfdf-433f-9dfb-5a7ad9a30c74,3fcd079c-7f0c-4cb3-9c00-ac7d53ff0882,2021/12/13,　スーパーチェーンふじ永山西店,スパチェンふじ永山西店,株式会社道北アークス
 スーパーチェーンふじ永山西店,旭川市永山7条10丁目6-4,旭川市永山７条１０丁目６－４,,47-5151,食肉販売業,株式会社道北アークス,47-2818,2021.12.13,2021.12.13,新規,870,,3, スーパーチェーンふじ永山西店,0166,0166-47-5151,,,,旭川市永山７条１０丁目６－４,北海道旭川市永山七条１０丁目６－４,,7772,1,1204,永山七条１０,,2021/12/13,2021/12/13,,,株式会社道北アークス,,0166-47-2818,,,,,,,,870,新規,食肉販売業,,,,003_北海道_旭川市保健所_食品衛生()_2021年12月_末日_新規,I,58,583,,スパチェンふじ永山西店0166-47-515177721204,6120fd7e-5f39-4904-8b8d-97b32a0fdd26,株式会社道北アークス,86ca9057-dfdf-433f-9dfb-5a7ad9a30c74,51a1736e-6fb4-40f3-80e3-40c1f8a40360,2021/12/13,　スーパーチェーンふじ永山西店,スパチェンふじ永山西店,株式会社道北アークス
 スーパーチェーンふじ永山西店,旭川市永山7条10丁目6-4,旭川市永山７条１０丁目６－４,,47-5151,魚介類販売業,株式会社道北アークス,47-2818,2021.12.13,2021.12.13,新規,871,,3, スーパーチェーンふじ永山西店,0166,0166-47-5151,,,,旭川市永山７条１０丁目６－４,北海道旭川市永山七条１０丁目６－４,,7772,1,1204,永山七条１０,,2021/12/13,2021/12/13,,,株式会社道北アークス,,0166-47-2818,,,,,,,,871,新規,魚介類販売業,,,,003_北海道_旭川市保健所_食品衛生()_2021年12月_末日_新規,I,58,,,スパチェンふじ永山西店0166-47-515177721204,6120fd7e-5f39-4904-8b8d-97b32a0fdd26,株式会社道北アークス,86ca9057-dfdf-433f-9dfb-5a7ad9a30c74,717b045a-c5e7-474b-967c-b0dcd9982764,2021/12/13,　スーパーチェーンふじ永山西店,スパチェンふじ永山西店,株式会社道北アークス
セブンイレブン旭川神楽岡14条店,旭川市神楽岡14条5丁目1-7,旭川市神楽岡１４条５丁目１－７,,66-0711,飲食店営業,株式会社 住友潔商店,61-3632,2021.12.14,2021.12.14,新規,874,,3,セブンイレブン旭川神楽岡14条店,0166,0166-66-0711,,,,旭川市神楽岡１４条５丁目１－７,北海道旭川市神楽岡十四条５丁目１－７,,6655,1,1204,神楽岡十四条５,,2021/12/14,2021/12/14,,,株式会社 住友潔商店,,0166-61-3632,,,,,,,,874,新規,飲食店営業,,,,003_北海道_旭川市保健所_食品衛生()_2021年12月_末日_新規,M,76,,,セブンイレブン旭川神楽岡１４条店0166-66-071166551204,b76c20bf-682b-4a07-a03f-b2ccdfa7f893,株式会社住友潔商店,2095447e-2228-4fc5-8557-971d6bba0d29,2f936dd0-7089-4511-b8cf-bf7af6ab0ff9,2021/12/14,セブンイレブン旭川神楽岡１４条店,セブンイレブン旭川神楽岡１４条店,株式会社住友潔商店
レストラン(シンフォニー),旭川市神楽3条7丁目大雪クリスタルホール内,旭川市神楽３条７丁目,大雪クリスタルホール内,69-2005,そうざい製造業,株式会社厚友会,23-1177,2021.12.14,2021.12.14,新規,875,,3,レストラン(シンフォニー),0166,0166-69-2005,,,,旭川市神楽３条７丁目,北海道旭川市神楽三条７丁目,大雪クリスタルホール内,6688,1,1204,神楽三条７,,2021/12/14,2021/12/14,,,株式会社厚友会,,0166-23-1177,,,,,,,,875,新規,そうざい製造業,,,,003_北海道_旭川市保健所_食品衛生()_2021年12月_末日_新規,E,9,,,レストランシンフォニ0166-69-200566881204,143100f7-1dba-444c-b112-2d7d9a957773,株式会社厚友会,d2e3d689-6f37-4322-b5b6-b4e2103faa11,9a7ed809-8a6c-4c60-a09f-ca409a80fbf1,2021/12/14,レストラン（シンフォニー）,レストランシンフォニ,株式会社厚友会
コープさっぽろ忠和店,旭川市忠和5条8丁目1-21/2F,旭川市忠和５条８丁目１－２１,２F,62-7871,飲食店営業,生活協同組合コープさっぽろ,011-671-5710,2021.12.14,2021.12.14,新規,876,,3,コープさっぽろ忠和店,0166,0166-62-7871,,,,旭川市忠和５条８丁目１－２１,北海道旭川市忠和五条８丁目１－２１,２F,7225,1,1204,忠和五条８,,2021/12/14,2021/12/14,,,生活協同組合コープさっぽろ,,011-671-5710,,,,,,,,876,新規,飲食店営業,,,,003_北海道_旭川市保健所_食品衛生()_2021年12月_末日_新規,M,76,,,コプさっぽろ忠和店0166-62-787172251204,8ffed61a-4728-4b32-b4a5-262360a50a49,生活協同組合コープさっぽろ,5d2a6114-6538-460e-bebf-0eea11420272,210a3713-88cf-4b2a-b9bd-9c70d65784a5,2021/12/14,コープさっぽろ忠和店,コプさっぽろ忠和店,生活協同組合コープさっぽろ
らーめん橙ヤ東光店,旭川市東光6条1丁目3-8,旭川市東光６条１丁目３－８,,34-8665,飲食店営業,有限会社 ブリリアント,73-9133,2021.12.14,2021.12.14,新規,877,,3,らーめん橙ヤ東光店,0166,0166-34-8665,,,,旭川市東光６条１丁目３－８,北海道旭川市東光六条１丁目３－８,,7295,1,1204,東光六条１,,2021/12/14,2021/12/14,,,有限会社 ブリリアント,,0166-73-9133,,,,,,,,877,新規,飲食店営業,,,,003_北海道_旭川市保健所_食品衛生()_2021年12月_末日_新規,M,76,,,らめん橙ヤ東光店0166-34-866572951204,259aba3a-8531-41ff-89e8-4a4309e56e37,有限会社ブリリアント,bcf2a2c4-b638-4755-88ce-88d5a0f858eb,dcab897f-7db6-47e4-ad99-36122e75862b,2021/12/14,らーめん橙ヤ東光店,らめん橙ヤ東光店,有限会社ブリリアント
 Cafe Kirameki,旭川市神居2条12丁目1-19アメリカンハウスI 1F,旭川市神居２条１２丁目１－１９,アメリカンハウスI １F,60-2300,飲食店営業,有限会社アメリカンハウス,60-2300,2021.12.14,2021.12.14,新規,878,,3, Cafe Kirameki,0166,0166-60-2300,,,,旭川市神居２条１２丁目１－１９,北海道旭川市神居二条１２丁目１－１９,アメリカンハウスI １F,6794,1,1204,神居二条１２,,2021/12/14,2021/12/14,,,有限会社アメリカンハウス,,0166-60-2300,,,,,,,,878,新規,飲食店営業,,,,003_北海道_旭川市保健所_食品衛生()_2021年12月_末日_新規,M,76,,,ＣａｆｅＫｉｒａｍｅｋｉ0166-60-230067941204,94e7c339-3778-4614-93f9-860218fe60a6,有限会社アメリカンハウス,4501a56d-f30d-4f05-9e42-94510752516b,ec545def-12f7-4660-8f3e-92d0b94e34d5,2021/12/14,　Ｃａｆｅ　Ｋｉｒａｍｅｋｉ,ＣａｆｅＫｉｒａｍｅｋｉ,有限会社アメリカンハウス
ハッピーミート精肉店,旭川市東旭川南1条6丁目2-6,旭川市東旭川南１条６丁目２－６,,36-8122,食肉販売業,瀬川俊雄,,2021.12.14,2021.12.14,新規,879,,3,ハッピーミート精肉店,0166,0166-36-8122,,,,旭川市東旭川南１条６丁目２－６,北海道旭川市東旭川南一条６丁目２－６,,8660,1,1204,東旭川南一条６,,2021/12/14,2021/12/14,,,,瀬川俊雄,,,,,,,,,879,新規,食肉販売業,,,,003_北海道_旭川市保健所_食品衛生()_2021年12月_末日_新規,I,58,583,,ハッピミト精肉店0166-36-812286601204,ecfbfc9f-1877-4113-83da-43d76d6f3831,,personal,9950107d-070e-4895-96b3-d2dbd2bf0d77,2021/12/14,ハッピーミート精肉店,ハッピミト精肉店,
ラーメンる~,旭川市緑町24丁目2196-60マンションる~1F,旭川市緑町２４丁目２１９６－６０,マンションる~１F,54-6711,飲食店営業,髙嶋健冶,,2021.12.15,2021.12.15,新規,880,,3,ラーメンる~,0166,0166-54-6711,,,,旭川市緑町２４丁目２１９６－６０,北海道旭川市緑町２４丁目２１９６－６０,マンションる~１F,8199,1,1204,緑町２４,,2021/12/15,2021/12/15,,,,髙嶋健冶,,,,,,,,,880,新規,飲食店営業,,,,003_北海道_旭川市保健所_食品衛生()_2021年12月_末日_新規,M,76,,,ラメンる0166-54-671181991204,5528e45f-8998-41b0-87d0-b838895665e1,,personal,c603dd85-1346-4d29-b1b6-08a750ff81e3,2021/12/15,ラーメンる～,ラメンる,
旭川お城の鯉寿し,旭川市忠和6条7丁目1-17,旭川市忠和６条７丁目１－１７,,62-1450,飲食店営業,株式会社旭川お城の鯉寿し,62-1450,2021.12.15,2021.12.15,新規,881,,3,旭川お城の鯉寿し,0166,0166-62-1450,,,,旭川市忠和６条７丁目１－１７,北海道旭川市忠和六条７丁目１－１７,,7232,1,1204,忠和六条７,,2021/12/15,2021/12/15,,,株式会社旭川お城の鯉寿し,,0166-62-1450,,,,,,,,881,新規,飲食店営業,,,,003_北海道_旭川市保健所_食品衛生()_2021年12月_末日_新規,M,76,,,旭川お城の鯉寿し0166-62-145072321204,b971faa7-ac82-4cbb-98c9-aaaee92cc68d,株式会社旭川お城の鯉寿し,da936cb8-05b5-42a4-a4ce-a26442dffe7c,2756013b-2a17-414c-9878-0aca899023b0,2021/12/15,旭川お城の鯉寿し,旭川お城の鯉寿し,株式会社旭川お城の鯉寿し
餃子皮命,旭川市4条通8丁目モダ4·8ビルBF,旭川市４条通８丁目,モダ４・８ビルＢＦ,74-4495,冷凍食品製造業,株式会社taku,,2021.12.15,2021.12.15,新規,882,,3,餃子皮命,0166,0166-74-4495,,,,旭川市４条通８丁目,北海道旭川市四条通８丁目,モダ４・８ビルＢＦ,8398,1,1204,四条通８,,2021/12/15,2021/12/15,,,株式会社taku,,,,,,,,,,882,新規,冷凍食品製造業,,,,003_北海道_旭川市保健所_食品衛生()_2021年12月_末日_新規,E,9,,,餃子皮命0166-74-449583981204,48ee2de7-4b22-4a60-ab24-f5ad3ffa9423,株式会社ｔａｋｕ,e6075979-ea33-47d3-b8e1-db435bafabe1,449494d2-0e36-4985-8c1c-e3c766dd33c1,2021/12/15,餃子皮命,餃子皮命,株式会社ｔａｋｕ
餃子皮命,旭川市4条通8丁目モダ4·8ビルBF,旭川市４条通８丁目,モダ４・８ビルＢＦ,74-4495,麺類製造業,株式会社taku,,2021.12.15,2021.12.15,新規,883,,3,餃子皮命,0166,0166-74-4495,,,,旭川市４条通８丁目,北海道旭川市四条通８丁目,モダ４・８ビルＢＦ,8398,1,1204,四条通８,,2021/12/15,2021/12/15,,,株式会社taku,,,,,,,,,,883,新規,麺類製造業,,,,003_北海道_旭川市保健所_食品衛生()_2021年12月_末日_新規,E,9,,,餃子皮命0166-74-449583981204,48ee2de7-4b22-4a60-ab24-f5ad3ffa9423,株式会社ｔａｋｕ,e6075979-ea33-47d3-b8e1-db435bafabe1,a0eb68d6-dda1-4742-b540-c5d9907a1c76,2021/12/15,餃子皮命,餃子皮命,株式会社ｔａｋｕ
 俺の料理さだ広,旭川市東光11条4丁目4-25,旭川市東光１１条４丁目４－２５,,38-0200,飲食店営業,貞広隆司,,2021.12.16,2021.12.16,新規,886,,3, 俺の料理さだ広,0166,0166-38-0200,,,,旭川市東光１１条４丁目４－２５,北海道旭川市東光十一条４丁目４－２５,,7347,1,1204,東光十一条４,,2021/12/16,2021/12/16,,,,貞広隆司,,,,,,,,,886,新規,飲食店営業,,,,003_北海道_旭川市保健所_食品衛生()_2021年12月_末日_新規,M,76,,,俺の料理さだ広0166-38-020073471204,f204f8d4-02b0-4818-9a25-a9d035129877,,personal,d2c6ae08-de97-4a5b-8171-891e65084b3e,2021/12/16,　俺の料理さだ広,俺の料理さだ広,
thee sandwich　SASA,旭川市神楽岡5条4丁目 1-20,旭川市神楽岡５条４丁目１－２０,,,菓子製造業,佐々木友香,,2021.12.16,2021.12.16,新規,887,,3,thee sandwich　SASA,0166,,,,,旭川市神楽岡５条４丁目１－２０,北海道旭川市神楽岡五条４丁目１－２０,,6591,1,1204,神楽岡五条４,,2021/12/16,2021/12/16,,,,佐々木友香,,,,,,,,,887,新規,菓子製造業,,,,003_北海道_旭川市保健所_食品衛生()_2021年12月_末日_新規,E,9,,,ｔｈｅｅｓａｎｄｗｉｃｈＳＡＳＡ65911204,1a38f5b6-7c73-4370-8032-6e9ff9ea44ab,,personal,13d73e34-189b-404c-aa19-afdede401f07,2021/12/16,ｔｈｅｅ　ｓａｎｄｗｉｃｈ　ＳＡＳＡ,ｔｈｅｅｓａｎｄｗｉｃｈＳＡＳＡ,
平野鮮魚店,旭川市3条通14丁目左9ニュー銀座内,旭川市３条通１４丁目左９,ニュー銀座内,25-2915,魚介類販売業,有限会社 平野鮮魚店,25-2915,2021.12.17,2021.12.17,新規,888,,3,平野鮮魚店,0166,0166-25-2915,,,,旭川市３条通１４丁目左９,北海道旭川市三条通１４丁目左９,ニュー銀座内,8373,1,1204,三条通１４,,2021/12/17,2021/12/17,,,有限会社 平野鮮魚店,,0166-25-2915,,,,,,,,888,新規,魚介類販売業,,,,003_北海道_旭川市保健所_食品衛生()_2021年12月_末日_新規,I,58,,,平野鮮魚店0166-25-291583731204,8cfa6f9b-311d-47a3-8d16-1c905b023485,有限会社平野鮮魚店,72e4e05b-eabf-4df4-ab3e-f1f8e0eff7cd,c4f4226f-47b0-4174-be08-d88022046e68,2021/12/17,平野鮮魚店,平野鮮魚店,有限会社平野鮮魚店
